['2', [20319, 20320]]
['2', [20342, 20343]]
['2', [20365, 20366]]
['2', [20388, 20389]]
['2', [20424, 20425]]
['2', [20449, 20450]]
['2', [20469, 20470]]
['2', [20494, 20495]]
['2', [20880, 20881]]
['2', [20961, 20962]]
['2', [20992, 20993]]
['2', [21105, 21106]]
['2', [21116, 21117]]
['2', [21256, 21257]]
['2', [21481, 21482]]
['2', [21664, 21665]]
['2', [21839, 21840]]
['2', [21861, 21862]]
['2', [21946, 21947]]
['2', [21963, 21964]]
['2', [22015, 22016]]
['2', [22205, 22206]]
['2', [22206, 22207]]
['2', [22215, 22216]]
['2', [23309, 23310]]
['2', [23397, 23398]]
['2', [23536, 23537]]
['2', [23549, 23550]]
['2', [23590, 23591]]
['2', [23622, 23623]]
['2', [23675, 23676]]
['2', [23736, 23737]]
['2', [23973, 23974]]
['2', [25391, 25392]]
['2', [25472, 25473]]
['2', [25503, 25504]]
['2', [25616, 25617]]
['2', [25627, 25628]]
['2', [25767, 25768]]
['2', [25992, 25993]]
['2', [26175, 26176]]
['2', [26350, 26351]]
['2', [26372, 26373]]
['2', [26457, 26458]]
['2', [26474, 26475]]
['2', [26526, 26527]]
['2', [26716, 26717]]
['2', [26717, 26718]]
['2', [26726, 26727]]
['2', [27819, 27820]]
['2', [27907, 27908]]
['2', [28046, 28047]]
['2', [28059, 28060]]
['2', [28100, 28101]]
['2', [28132, 28133]]
['2', [28185, 28186]]
['2', [28245, 28246]]
['2', [28482, 28483]]
['2', [29900, 29901]]
['2', [29981, 29982]]
['2', [30012, 30013]]
['2', [30125, 30126]]
['2', [30136, 30137]]
['2', [30276, 30277]]
['2', [30501, 30502]]
['2', [30684, 30685]]
['2', [30859, 30860]]
['2', [30881, 30882]]
['2', [30966, 30967]]
['2', [30983, 30984]]
['2', [31035, 31036]]
['2', [31225, 31226]]
['2', [31226, 31227]]
['2', [31235, 31236]]
['2', [32328, 32329]]
['2', [32416, 32417]]
['2', [32555, 32556]]
['2', [32568, 32569]]
['2', [32609, 32610]]
['2', [32641, 32642]]
['2', [32694, 32695]]
['2', [32754, 32755]]
['2', [32991, 32992]]
['2', [36616, 36617]]
['2', [39739, 39740]]
['3', [101, 102]]
['3', [243, 244]]
['3', [555, 556]]
['3', [1501, 1502]]
['3', [2904, 2905]]
['3', [2987, 2988]]
['3', [3869, 3870]]
['3', [4342, 4343]]
['3', [4797, 4798]]
['3', [7515, 7516]]
['3', [8853, 8854]]
['3', [8945, 8946]]
['3', [8984, 8985]]
['3', [9261, 9262]]
['3', [9416, 9417]]
['3', [11318, 11319]]
['3', [12721, 12722]]
['3', [12805, 12806]]
['3', [13688, 13689]]
['3', [14161, 14162]]
['3', [14616, 14617]]
['3', [17335, 17336]]
['3', [18673, 18674]]
['3', [18765, 18766]]
['3', [18804, 18805]]
['3', [19082, 19083]]
['3', [19237, 19238]]
['3', [21206, 21207]]
['3', [21462, 21463]]
['3', [21505, 21506]]
['3', [21945, 21946]]
['3', [21968, 21969]]
['3', [22024, 22025]]
['3', [22216, 22217]]
['3', [22527, 22528]]
['3', [22612, 22613]]
['3', [23295, 23296]]
['3', [23742, 23743]]
['3', [23997, 23998]]
['3', [25717, 25718]]
['3', [25973, 25974]]
['3', [26016, 26017]]
['3', [26456, 26457]]
['3', [26479, 26480]]
['3', [26535, 26536]]
['3', [26727, 26728]]
['3', [27037, 27038]]
['3', [27122, 27123]]
['3', [27805, 27806]]
['3', [28251, 28252]]
['3', [28506, 28507]]
['3', [30226, 30227]]
['3', [30482, 30483]]
['3', [30525, 30526]]
['3', [30965, 30966]]
['3', [30988, 30989]]
['3', [31044, 31045]]
['3', [31236, 31237]]
['3', [31546, 31547]]
['3', [31631, 31632]]
['3', [32314, 32315]]
['3', [32760, 32761]]
['3', [33015, 33016]]
['3', [34500, 34501]]
['3', [34926, 34927]]
['3', [35255, 35256]]
['3', [35418, 35419]]
['3', [36962, 36963]]
['3', [37623, 37624]]
['3', [38049, 38050]]
['3', [38378, 38379]]
['3', [38541, 38542]]
['3', [40085, 40086]]
['lifestyle', [36058, 36067]]
['lifestyle', [39181, 39190]]
['and\\/or', [36068, 36075]]
['and\\/or', [39191, 39198]]
['clinical', [312, 320]]
['clinical', [3016, 3024]]
['clinical', [3331, 3339]]
['clinical', [3552, 3560]]
['clinical', [3664, 3672]]
['clinical', [8661, 8669]]
['clinical', [12834, 12842]]
['clinical', [13149, 13157]]
['clinical', [13370, 13378]]
['clinical', [13482, 13490]]
['clinical', [18481, 18489]]
['clinical', [22226, 22234]]
['clinical', [23159, 23167]]
['clinical', [23449, 23457]]
['clinical', [26737, 26745]]
['clinical', [27669, 27677]]
['clinical', [27959, 27967]]
['clinical', [31246, 31254]]
['clinical', [32178, 32186]]
['clinical', [32468, 32476]]
['clinical', [34618, 34626]]
['clinical', [34877, 34885]]
['clinical', [35262, 35270]]
['clinical', [35425, 35433]]
['clinical', [36075, 36083]]
['clinical', [36732, 36740]]
['clinical', [36969, 36977]]
['clinical', [37286, 37294]]
['clinical', [37741, 37749]]
['clinical', [38000, 38008]]
['clinical', [38385, 38393]]
['clinical', [38548, 38556]]
['clinical', [39198, 39206]]
['clinical', [39855, 39863]]
['clinical', [40092, 40100]]
['clinical', [40409, 40417]]


spacy + metamap: 4307['three', [0, 5]]
['three', [1020, 1025]]
['three', [2398, 2403]]
['three', [8358, 8363]]
['three', [12215, 12220]]
['three', [18178, 18183]]
['year', [6, 10]]
['year', [103, 107]]
['year', [203, 207]]
['year', [245, 249]]
['year', [1026, 1030]]
['year', [2906, 2910]]
['year', [2989, 2993]]
['year', [3871, 3875]]
['year', [6242, 6246]]
['year', [6634, 6638]]
['year', [6887, 6891]]
['year', [9263, 9267]]
['year', [12723, 12727]]
['year', [12807, 12811]]
['year', [13690, 13694]]
['year', [16062, 16066]]
['year', [16454, 16458]]
['year', [16707, 16711]]
['year', [19084, 19088]]
['year', [21109, 21113]]
['year', [21200, 21204]]
['year', [21888, 21892]]
['year', [22390, 22394]]
['year', [22529, 22533]]
['year', [25620, 25624]]
['year', [25711, 25715]]
['year', [26399, 26403]]
['year', [26901, 26905]]
['year', [27039, 27043]]
['year', [30129, 30133]]
['year', [30220, 30224]]
['year', [30908, 30912]]
['year', [31410, 31414]]
['year', [31548, 31552]]
['year', [34502, 34506]]
['year', [34928, 34932]]
['year', [35257, 35261]]
['year', [35420, 35424]]
['year', [36964, 36968]]
['year', [37625, 37629]]
['year', [38051, 38055]]
['year', [38380, 38384]]
['year', [38543, 38547]]
['year', [40087, 40091]]
['measured', [11, 19]]
['measured', [269, 277]]
['measured', [464, 472]]
['measured', [814, 822]]
['measured', [3027, 3035]]
['measured', [3827, 3835]]
['measured', [6605, 6613]]
['measured', [7120, 7128]]
['measured', [7540, 7548]]
['measured', [8201, 8209]]
['measured', [12845, 12853]]
['measured', [13646, 13654]]
['measured', [16425, 16433]]
['measured', [16940, 16948]]
['measured', [17360, 17368]]
['measured', [18021, 18029]]
['measured', [25114, 25122]]
['measured', [29623, 29631]]
['measured', [34132, 34140]]
['measured', [35542, 35550]]
['measured', [38665, 38673]]
['weight change', [20, 33]]
['weight change', [108, 121]]
['weight change', [283, 296]]
['weight change', [1031, 1044]]
['weight change', [3625, 3638]]
['weight change', [5392, 5405]]
['weight change', [5469, 5482]]
['weight change', [5963, 5976]]
['weight change', [9268, 9281]]
['weight change', [9536, 9549]]
['weight change', [9723, 9736]]
['weight change', [13443, 13456]]
['weight change', [15212, 15225]]
['weight change', [15289, 15302]]
['weight change', [15783, 15796]]
['weight change', [19089, 19102]]
['weight change', [19357, 19370]]
['weight change', [19544, 19557]]
['weight change', [23102, 23115]]
['weight change', [23884, 23897]]
['weight change', [24429, 24442]]
['weight change', [24552, 24565]]
['weight change', [24752, 24765]]
['weight change', [24936, 24949]]
['weight change', [27612, 27625]]
['weight change', [28393, 28406]]
['weight change', [28938, 28951]]
['weight change', [29061, 29074]]
['weight change', [29261, 29274]]
['weight change', [29445, 29458]]
['weight change', [32121, 32134]]
['weight change', [32902, 32915]]
['weight change', [33447, 33460]]
['weight change', [33570, 33583]]
['weight change', [33770, 33783]]
['weight change', [33954, 33967]]
['weight change', [34507, 34520]]
['weight change', [34899, 34912]]
['weight change', [35868, 35881]]
['weight change', [36754, 36767]]
['weight change', [36991, 37004]]
['weight change', [37306, 37319]]
['weight change', [37630, 37643]]
['weight change', [38022, 38035]]
['weight change', [38991, 39004]]
['weight change', [39877, 39890]]
['weight change', [40114, 40127]]
['weight change', [40429, 40442]]
['african american health', [41, 64]]
['study objective', [65, 80]]
['study', [65, 70]]
['study', [86, 91]]
['study', [1455, 1460]]
['study', [3160, 3165]]
['study', [11272, 11277]]
['study', [12978, 12983]]
['study', [36410, 36415]]
['study', [39533, 39538]]
['african americans', [125, 142]]
['african americans', [1061, 1078]]
['african americans', [1464, 1481]]
['african americans', [7950, 7967]]
['african americans', [11281, 11298]]
['african americans', [17770, 17787]]
['african americans', [36221, 36238]]
