['pancreatic', [944, 954]]
['pancreatic', [1357, 1367]]
['pancreatic', [1480, 1490]]
['pancreatic', [1679, 1689]]
['pancreatic', [1758, 1768]]
['pancreatic', [2062, 2072]]
['pancreatic', [2568, 2578]]
['pancreatic', [2885, 2895]]
['pancreatic', [3566, 3576]]
['pancreatic', [4541, 4551]]
['pancreatic', [5106, 5116]]
['pancreatic', [5153, 5163]]
['pancreatic', [5457, 5467]]
['pancreatic', [5962, 5972]]
['pancreatic', [6376, 6386]]
['pancreatic', [6500, 6510]]
['pancreatic', [6699, 6709]]
['pancreatic', [6778, 6788]]
['pancreatic', [8634, 8644]]
['pancreatic', [12136, 12146]]
['pancreatic', [17499, 17509]]
['pancreatic', [21004, 21014]]
['pancreatic', [26426, 26436]]
['pancreatic', [28194, 28204]]
['pancreatic', [28863, 28873]]
['pancreatic', [29084, 29094]]
['pancreatic', [31406, 31416]]
['pancreatic', [34914, 34924]]
['pancreatic', [36682, 36692]]
['pancreatic', [37351, 37361]]
['pancreatic', [37572, 37582]]
['pancreatic', [39894, 39904]]
['pancreatic', [43394, 43404]]
['pancreatic', [45123, 45133]]
['pancreatic', [46892, 46902]]
['pancreatic', [47561, 47571]]
['pancreatic', [47782, 47792]]
['pancreatic', [49521, 49531]]
['pancreatic', [50190, 50200]]
['pancreatic', [50411, 50421]]
['pancreatic', [52734, 52744]]
['pancreatic', [56858, 56868]]
['pancreatic', [59448, 59458]]
['pancreatic', [60704, 60714]]
['pancreatic', [62784, 62794]]
['pancreatic', [63049, 63059]]
['pancreatic', [63520, 63530]]
['pancreatic', [64187, 64197]]
['pancreatic', [65728, 65738]]
['pancreatic', [66899, 66909]]
['pancreatic', [68155, 68165]]
['pancreatic', [70235, 70245]]
['pancreatic', [70500, 70510]]
['pancreatic', [70971, 70981]]
['pancreatic', [71638, 71648]]
['pancreatic', [73179, 73189]]
['pancreatic', [74298, 74308]]
['pancreatic', [78400, 78410]]
['beta', [11, 15]]
['beta', [151, 155]]
['beta', [440, 444]]
['beta', [677, 681]]
['beta', [955, 959]]
['beta', [987, 991]]
['beta', [1155, 1159]]
['beta', [1491, 1495]]
['beta', [1944, 1948]]
['beta', [1968, 1972]]
['beta', [2073, 2077]]
['beta', [2176, 2180]]
['beta', [2451, 2455]]
['beta', [2759, 2763]]
['beta', [3110, 3114]]
['beta', [3354, 3358]]
['beta', [3457, 3461]]
['beta', [3577, 3581]]
['beta', [3690, 3694]]
['beta', [3800, 3804]]
['beta', [4032, 4036]]
['beta', [4283, 4287]]
['beta', [4469, 4473]]
['beta', [4552, 4556]]
['beta', [4862, 4866]]
['beta', [5117, 5121]]
['beta', [5214, 5218]]
['beta', [5396, 5400]]
['beta', [5973, 5977]]
['beta', [6005, 6009]]
['beta', [6174, 6178]]
['beta', [6511, 6515]]
['beta', [6964, 6968]]
['beta', [6988, 6992]]
['beta', [8645, 8649]]
['beta', [11169, 11173]]
['beta', [11567, 11571]]
['beta', [15142, 15146]]
['beta', [17510, 17514]]
['beta', [20037, 20041]]
['beta', [20435, 20439]]
['beta', [24011, 24015]]
['beta', [32839, 32843]]
['beta', [41327, 41331]]
['beta', [54167, 54171]]
['beta', [58291, 58295]]
['beta', [58798, 58802]]
['beta', [59067, 59071]]
['beta', [59818, 59822]]
['beta', [60110, 60114]]
