['adiposity', [33845, 33854]]
['adiposity', [34053, 34062]]
['adiposity', [34303, 34312]]
['adiposity', [34376, 34385]]
['adiposity', [34775, 34784]]
['adiposity', [38580, 38589]]
['adiposity', [39828, 39837]]
['adiposity', [40381, 40390]]
['adiposity', [40589, 40598]]
['adiposity', [40839, 40848]]
['adiposity', [40913, 40922]]
['adiposity', [41312, 41321]]
['adiposity', [45119, 45128]]
['adiposity', [46509, 46518]]
['adiposity', [47118, 47127]]
['adiposity', [47184, 47193]]
['1', [939, 940]]
['1', [984, 985]]
['1', [1015, 1016]]
['1', [1046, 1047]]
['1', [1097, 1098]]
['1', [1202, 1203]]
['1', [1220, 1221]]
['1', [1247, 1248]]
['1', [1256, 1257]]
['1', [1265, 1266]]
['1', [1278, 1279]]
['1', [1296, 1297]]
['1', [1327, 1328]]
['1', [1378, 1379]]
['1', [2190, 2191]]
['1', [2621, 2622]]
['1', [2670, 2671]]
['1', [2675, 2676]]
['1', [2676, 2677]]
['1', [2724, 2725]]
['1', [4014, 4015]]
['1', [4059, 4060]]
['1', [4090, 4091]]
['1', [4121, 4122]]
['1', [4172, 4173]]
['1', [4277, 4278]]
['1', [4295, 4296]]
['1', [4322, 4323]]
['1', [4331, 4332]]
['1', [4340, 4341]]
['1', [4353, 4354]]
['1', [4371, 4372]]
['1', [4402, 4403]]
['1', [4453, 4454]]
['1', [5199, 5200]]
['1', [5402, 5403]]
['1', [5405, 5406]]
['1', [5408, 5409]]
['1', [5413, 5414]]
['1', [5619, 5620]]
['1', [5629, 5630]]
['1', [5801, 5802]]
['1', [5803, 5804]]
['1', [5810, 5811]]
['1', [5918, 5919]]
['1', [5967, 5968]]
['1', [5983, 5984]]
['1', [6045, 6046]]
['1', [6055, 6056]]
['1', [6057, 6058]]
['1', [6101, 6102]]
['1', [6150, 6151]]
['1', [6178, 6179]]
['1', [6934, 6935]]
['1', [7014, 7015]]
['1', [7073, 7074]]
['1', [7099, 7100]]
['1', [7133, 7134]]
['1', [7451, 7452]]
['1', [7481, 7482]]
['1', [8421, 8422]]
['1', [8487, 8488]]
['1', [8586, 8587]]
['1', [8783, 8784]]
['1', [8802, 8803]]
['1', [9313, 9314]]
['1', [9563, 9564]]
['1', [9573, 9574]]
['1', [9895, 9896]]
['1', [10001, 10002]]
['1', [10007, 10008]]
['1', [10376, 10377]]
['1', [10672, 10673]]
['1', [11369, 11370]]
['1', [12033, 12034]]
['1', [12233, 12234]]
['1', [12253, 12254]]
['1', [12456, 12457]]
['1', [12459, 12460]]
['1', [12462, 12463]]
['1', [12467, 12468]]
['1', [12673, 12674]]
['1', [12683, 12684]]
['1', [12855, 12856]]
['1', [12857, 12858]]
['1', [12864, 12865]]
['1', [12972, 12973]]
['1', [13021, 13022]]
['1', [13037, 13038]]
['1', [13099, 13100]]
['1', [13109, 13110]]
['1', [13111, 13112]]
['1', [13155, 13156]]
['1', [13204, 13205]]
['1', [13232, 13233]]
['1', [13989, 13990]]
['1', [14069, 14070]]
['1', [14128, 14129]]
['1', [14154, 14155]]
['1', [14188, 14189]]
['1', [14506, 14507]]
['1', [14536, 14537]]
['1', [15476, 15477]]
['1', [15542, 15543]]
['1', [15642, 15643]]
['1', [15839, 15840]]
['1', [15858, 15859]]
['1', [16369, 16370]]
['1', [16620, 16621]]
['1', [16630, 16631]]
['1', [16952, 16953]]
['1', [17058, 17059]]
['1', [17064, 17065]]
['1', [17433, 17434]]
['1', [17730, 17731]]
['1', [18427, 18428]]
['1', [19091, 19092]]
['1', [19291, 19292]]
['1', [19534, 19535]]
['1', [20055, 20056]]
['1', [20057, 20058]]
['1', [20078, 20079]]
['1', [20167, 20168]]
['1', [20190, 20191]]
['1', [20385, 20386]]
['1', [20454, 20455]]
['1', [20477, 20478]]
['1', [20493, 20494]]
['1', [20554, 20555]]
['1', [20625, 20626]]
['1', [20840, 20841]]
['1', [20896, 20897]]
['1', [21067, 21068]]
['1', [21434, 21435]]
['1', [21618, 21619]]
['1', [21893, 21894]]
['1', [22777, 22778]]
['1', [23298, 23299]]
['1', [23300, 23301]]
['1', [23321, 23322]]
['1', [23410, 23411]]
['1', [23433, 23434]]
['1', [23628, 23629]]
['1', [23697, 23698]]
['1', [23720, 23721]]
['1', [23736, 23737]]
['1', [23797, 23798]]
['1', [23868, 23869]]
['1', [24083, 24084]]
['1', [24139, 24140]]
['1', [24310, 24311]]
['1', [24677, 24678]]
['1', [24861, 24862]]
['1', [25136, 25137]]
['1', [26012, 26013]]
['1', [26248, 26249]]
['1', [27119, 27120]]
['1', [27121, 27122]]
['1', [27142, 27143]]
['1', [27231, 27232]]
['1', [27254, 27255]]
['1', [27449, 27450]]
['1', [27518, 27519]]
['1', [27541, 27542]]
['1', [27557, 27558]]
['1', [27618, 27619]]
