['of', [671, 673]]
['of', [708, 710]]
['of', [1231, 1233]]
['of', [1284, 1286]]
['of', [1294, 1296]]
['of', [1636, 1638]]
['of', [1683, 1685]]
['of', [2335, 2337]]
['of', [2403, 2405]]
['of', [2573, 2575]]
['of', [2712, 2714]]
['of', [2744, 2746]]
['of', [2990, 2992]]
['of', [3110, 3112]]
['of', [3161, 3163]]
['of', [3415, 3417]]
['of', [3462, 3464]]
['of', [3470, 3472]]
['of', [3640, 3642]]
['of', [3743, 3745]]
['of', [4044, 4046]]
['of', [4161, 4163]]
['of', [4236, 4238]]
['of', [4255, 4257]]
['of', [4315, 4317]]
['of', [4329, 4331]]
['of', [4392, 4394]]
['of', [4526, 4528]]
['of', [4599, 4601]]
['of', [4664, 4666]]
['of', [4795, 4797]]
['of', [4891, 4893]]
['of', [5213, 5215]]
['of', [5350, 5352]]
['of', [5541, 5543]]
['of', [5655, 5657]]
['of', [5744, 5746]]
['of', [5867, 5869]]
['of', [6134, 6136]]
['of', [6193, 6195]]
['of', [6225, 6227]]
['of', [6364, 6366]]
['of', [6442, 6444]]
['of', [6489, 6491]]
['of', [7141, 7143]]
['of', [7209, 7211]]
['of', [7379, 7381]]
['of', [7518, 7520]]
['of', [7550, 7552]]
['of', [7796, 7798]]
['of', [7916, 7918]]
['of', [7967, 7969]]
['of', [8221, 8223]]
['of', [8268, 8270]]
['of', [8276, 8278]]
['of', [8446, 8448]]
['of', [8550, 8552]]
['of', [8851, 8853]]
['of', [8968, 8970]]
['of', [9043, 9045]]
['of', [9062, 9064]]
['of', [9122, 9124]]
['of', [9136, 9138]]
['of', [9199, 9201]]
['of', [9333, 9335]]
['of', [9406, 9408]]
['of', [9471, 9473]]
['of', [9602, 9604]]
['of', [9698, 9700]]
['of', [10020, 10022]]
['of', [10157, 10159]]
['of', [10348, 10350]]
['of', [10463, 10465]]
['of', [10552, 10554]]
['of', [10675, 10677]]
['of', [10942, 10944]]
['of', [11001, 11003]]
['of', [11033, 11035]]
['of', [11172, 11174]]
['of', [11344, 11346]]
['of', [11383, 11385]]
['of', [11447, 11449]]
['of', [11481, 11483]]
['of', [11571, 11573]]
['of', [11797, 11799]]
['of', [11929, 11931]]
['of', [12115, 12117]]
['of', [12234, 12236]]
['of', [12427, 12429]]
['of', [12452, 12454]]
['of', [12522, 12524]]
['of', [12632, 12634]]
['of', [12743, 12745]]
['of', [12862, 12864]]
['of', [12909, 12911]]
['of', [13025, 13027]]
['of', [13061, 13063]]
['of', [13181, 13183]]
['of', [13340, 13342]]
['of', [13453, 13455]]
['of', [13616, 13618]]
['of', [13853, 13855]]
['of', [14170, 14172]]
['of', [14251, 14253]]
['of', [14448, 14450]]
['of', [14609, 14611]]
['of', [14728, 14730]]
['of', [14775, 14777]]
['of', [14891, 14893]]
['of', [14927, 14929]]
['of', [15047, 15049]]
['of', [15206, 15208]]
['of', [15319, 15321]]
['of', [15482, 15484]]
['of', [15719, 15721]]
['of', [16036, 16038]]
['of', [16117, 16119]]
['of', [16314, 16316]]
['of', [16432, 16434]]
['of', [16497, 16499]]
['of', [16555, 16557]]
['of', [16605, 16607]]
['of', [16677, 16679]]
['of', [16801, 16803]]
['of', [16859, 16861]]
['of', [17026, 17028]]
['of', [17084, 17086]]
['of', [17242, 17244]]
['of', [17265, 17267]]
['of', [17322, 17324]]
['of', [17391, 17393]]
['of', [17479, 17481]]
['of', [17579, 17581]]
['of', [17601, 17603]]
['of', [17716, 17718]]
['of', [17815, 17817]]
['of', [17842, 17844]]
['of', [17915, 17917]]
['of', [17955, 17957]]
['of', [17982, 17984]]
['of', [18049, 18051]]
['of', [18112, 18114]]
['of', [18702, 18704]]
['of', [18837, 18839]]
['of', [19122, 19124]]
['of', [19198, 19200]]
['of', [19329, 19331]]
['of', [19688, 19690]]
['of', [19727, 19729]]
['of', [19791, 19793]]
['of', [19825, 19827]]
['of', [19915, 19917]]
['of', [20141, 20143]]
['of', [20273, 20275]]
['of', [20459, 20461]]
['of', [20578, 20580]]
['of', [20771, 20773]]
['of', [20796, 20798]]
['of', [20866, 20868]]
['of', [20976, 20978]]
['of', [21044, 21046]]
['of', [21109, 21111]]
['of', [21167, 21169]]
['of', [21217, 21219]]
['of', [21289, 21291]]
['of', [21413, 21415]]
['of', [21471, 21473]]
['of', [21638, 21640]]
['of', [21696, 21698]]
['of', [21854, 21856]]
['of', [21877, 21879]]
['of', [21934, 21936]]
['of', [22003, 22005]]
['of', [22091, 22093]]
['of', [22191, 22193]]
['of', [22213, 22215]]
['of', [22328, 22330]]
['of', [22427, 22429]]
['of', [22454, 22456]]
['of', [22527, 22529]]
['of', [22567, 22569]]
['of', [22594, 22596]]
['of', [22661, 22663]]
['of', [22724, 22726]]
['of', [23314, 23316]]
['of', [23449, 23451]]
['of', [23734, 23736]]
['of', [23810, 23812]]
['of', [23941, 23943]]
['of', [24300, 24302]]
['of', [24339, 24341]]
['of', [24403, 24405]]
['of', [24437, 24439]]
['of', [24527, 24529]]
['of', [24753, 24755]]
['of', [24885, 24887]]
['of', [25071, 25073]]
['of', [25190, 25192]]
['of', [25383, 25385]]
['of', [25408, 25410]]
['of', [25478, 25480]]
['of', [25588, 25590]]
['of', [25676, 25678]]
['of', [25791, 25793]]
['of', [25829, 25831]]
['of', [26216, 26218]]
['of', [26269, 26271]]
['of', [26350, 26352]]
['pta', [4176, 4179]]
['pta', [4251, 4254]]
['pta', [4325, 4328]]
['pta', [8983, 8986]]
['pta', [9058, 9061]]
['pta', [9132, 9135]]
['populations', [5146, 5157]]
['populations', [9953, 9964]]
['populations', [12333, 12344]]
['populations', [20677, 20688]]
['populations', [25289, 25300]]


spacy + metamap: 2296['sensitivity', [0, 11]]
['sensitivity', [376, 387]]
['sensitivity', [1405, 1416]]
['sensitivity', [6272, 6283]]
['sensitivity', [11080, 11091]]
['sensitivity', [11419, 11430]]
['sensitivity', [13641, 13652]]
['sensitivity', [14222, 14233]]
['sensitivity', [14304, 14315]]
['sensitivity', [15507, 15518]]
['sensitivity', [16088, 16099]]
['sensitivity', [16170, 16181]]
['sensitivity', [16469, 16480]]
['sensitivity', [16804, 16815]]
['sensitivity', [17029, 17040]]
['sensitivity', [17214, 17225]]
['sensitivity', [17449, 17460]]
['sensitivity', [17508, 17519]]
['sensitivity', [17803, 17814]]
['sensitivity', [19763, 19774]]
['sensitivity', [21081, 21092]]
['sensitivity', [21416, 21427]]
['sensitivity', [21641, 21652]]
['sensitivity', [21826, 21837]]
['sensitivity', [22061, 22072]]
['sensitivity', [22120, 22131]]
['sensitivity', [22415, 22426]]
['sensitivity', [24375, 24386]]
['sensitivity', [26166, 26177]]
['specificity', [16, 27]]
['specificity', [392, 403]]
['specificity', [1427, 1438]]
['specificity', [6288, 6299]]
['specificity', [11096, 11107]]
['specificity', [11435, 11446]]
['specificity', [13663, 13674]]
['specificity', [14379, 14390]]
['specificity', [15529, 15540]]
['specificity', [16245, 16256]]
['specificity', [16485, 16496]]
['specificity', [16820, 16831]]
['specificity', [17045, 17056]]
['specificity', [17230, 17241]]
['specificity', [17482, 17493]]
['specificity', [17531, 17542]]
['specificity', [17970, 17981]]
['specificity', [19779, 19790]]
['specificity', [21097, 21108]]
['specificity', [21432, 21443]]
['specificity', [21657, 21668]]
['specificity', [21842, 21853]]
['specificity', [22094, 22105]]
['specificity', [22143, 22154]]
['specificity', [22582, 22593]]
['specificity', [24391, 24402]]
['specificity', [26182, 26193]]
['beck depression inventory', [35, 60]]
['beck depression inventory', [147, 172]]
['persons', [67, 74]]
['persons', [1482, 1489]]
['persons', [2595, 2602]]
['persons', [7401, 7408]]
['persons', [12404, 12411]]
['persons', [17628, 17635]]
['persons', [18115, 18122]]
['persons', [18785, 18792]]
['persons', [20748, 20755]]
['persons', [22240, 22247]]
['persons', [22727, 22734]]
['persons', [23397, 23404]]
['persons', [25360, 25367]]
['traumatic brain injury', [80, 102]]
['traumatic brain injury', [190, 212]]
['objectives', [103, 113]]
['objective', [103, 112]]
['objective', [118, 127]]
['bdi', [177, 180]]
['bdi', [306, 309]]
['bdi', [645, 648]]
['bdi', [959, 962]]
['bdi', [1103, 1106]]
['bdi', [1511, 1514]]
['bdi', [1963, 1966]]
['bdi', [2510, 2513]]
['bdi', [4564, 4567]]
['bdi', [4606, 4609]]
['bdi', [4718, 4721]]
['bdi', [5662, 5665]]
['bdi', [5751, 5754]]
['bdi', [5894, 5897]]
['bdi', [6769, 6772]]
['bdi', [7316, 7319]]
['bdi', [9371, 9374]]
['bdi', [9413, 9416]]
['bdi', [9525, 9528]]
['bdi', [10470, 10473]]
['bdi', [10559, 10562]]
['bdi', [10702, 10705]]
['bdi', [11300, 11303]]
['bdi', [11454, 11457]]
['bdi', [11841, 11844]]
['bdi', [12278, 12281]]
['bdi', [12703, 12706]]
['bdi', [13064, 13067]]
['bdi', [13122, 13125]]
['bdi', [13283, 13286]]
['bdi', [13787, 13790]]
['bdi', [13950, 13953]]
['bdi', [14107, 14110]]
['bdi', [14530, 14533]]
['bdi', [14569, 14572]]
['bdi', [14930, 14933]]
['bdi', [14988, 14991]]
['bdi', [15149, 15152]]
['bdi', [15653, 15656]]
['bdi', [15816, 15819]]
['bdi', [15973, 15976]]
['bdi', [16396, 16399]]
['bdi', [16500, 16503]]
['bdi', [16646, 16649]]
['bdi', [16846, 16849]]
['bdi', [17071, 17074]]
['bdi', [17289, 17292]]
['bdi', [17586, 17589]]
['bdi', [17738, 17741]]
['bdi', [18146, 18149]]
['bdi', [18579, 18582]]
['bdi', [19644, 19647]]
['bdi', [19798, 19801]]
['bdi', [20185, 20188]]
['bdi', [20622, 20625]]
['bdi', [21112, 21115]]
['bdi', [21258, 21261]]
['bdi', [21458, 21461]]
['bdi', [21683, 21686]]
['bdi', [21901, 21904]]
['bdi', [22198, 22201]]
['bdi', [22350, 22353]]
['bdi', [22758, 22761]]
['bdi', [23191, 23194]]
['bdi', [24256, 24259]]
['bdi', [24410, 24413]]
['bdi', [24797, 24800]]
['bdi', [25234, 25237]]
['bdi', [25683, 25686]]
['bdi', [26007, 26010]]
['receiver', [234, 242]]
['characteristic', [253, 267]]
['characteristic', [3624, 3638]]
['characteristic', [8430, 8444]]
['characteristic', [12945, 12959]]
['characteristic', [14811, 14825]]
['roc curve', [339, 348]]
['roc curve', [1067, 1076]]
['roc curve', [5573, 5582]]
['roc curve', [5996, 6005]]
['roc curve', [6040, 6049]]
['roc curve', [10380, 10389]]
['roc curve', [10804, 10813]]
['roc curve', [10848, 10857]]
['roc curve', [12992, 13001]]
['roc curve', [14858, 14867]]
['roc curve', [16716, 16725]]
['roc curve', [21328, 21337]]
['well', [297, 301]]
['well', [1094, 1098]]
['well', [5911, 5915]]
['well', [10719, 10723]]
['depression', [40, 50]]
['depression', [152, 162]]
['depression', [324, 334]]
['depression', [1121, 1131]]
['depression', [1191, 1201]]
['depression', [4667, 4677]]
['depression', [5678, 5688]]
['depression', [5811, 5821]]
['depression', [9474, 9484]]
['depression', [10486, 10496]]
['depression', [10619, 10629]]
['depression', [13036, 13046]]
['depression', [13184, 13194]]
['depression', [13343, 13353]]
['depression', [13456, 13466]]
['depression', [13826, 13836]]
['depression', [13883, 13893]]
['depression', [13974, 13984]]
['depression', [14058, 14068]]
['depression', [14481, 14491]]
['depression', [14902, 14912]]
['depression', [15050, 15060]]
['depression', [15209, 15219]]
['depression', [15322, 15332]]
['depression', [15692, 15702]]
['depression', [15749, 15759]]
['depression', [15840, 15850]]
['depression', [15924, 15934]]
['depression', [16347, 16357]]
['depression', [16608, 16618]]
['depression', [16680, 16690]]
['depression', [17394, 17404]]
['depression', [17614, 17624]]
['depression', [17791, 17801]]
['depression', [17958, 17968]]
['depression', [18624, 18634]]
['depression', [18705, 18715]]
['depression', [18959, 18969]]
['depression', [19201, 19211]]
['depression', [19332, 19342]]
['depression', [21220, 21230]]
['depression', [21292, 21302]]
['depression', [22006, 22016]]
['depression', [22226, 22236]]
['depression', [22403, 22413]]
['depression', [22570, 22580]]
['depression', [23236, 23246]]
['depression', [23317, 23327]]
['depression', [23571, 23581]]
['depression', [23813, 23823]]
['depression', [23944, 23954]]
['depression', [25714, 25724]]
['depression', [25843, 25853]]
['depression', [26098, 26108]]
['analysis', [360, 368]]
['analysis', [578, 586]]
['analysis', [1627, 1635]]
['analysis', [5492, 5500]]
['analysis', [5583, 5591]]
['analysis', [6433, 6441]]
