['c10orf112', [58743, 58752]]
['c10orf112', [58839, 58848]]
['c10orf112', [59016, 59025]]
['c10orf112', [59162, 59171]]
['c10orf112', [59311, 59320]]
['c10orf112', [59517, 59526]]
['c10orf112', [59681, 59690]]
['c10orf112', [59801, 59810]]
['c10orf112', [59869, 59878]]
['c10orf112', [59948, 59957]]
['c10orf112', [60143, 60152]]
['c10orf112', [60290, 60299]]
['c10orf112', [60427, 60436]]
['c10orf112', [60577, 60586]]
['c10orf112', [60687, 60696]]
['c10orf112', [61261, 61270]]
['c10orf112', [61453, 61462]]
['c10orf112', [61796, 61805]]
['c10orf112', [62536, 62545]]
['low-density', [439, 450]]
['low-density', [4466, 4477]]
['lipoprotein', [451, 462]]
['lipoprotein', [651, 662]]
['lipoprotein', [4478, 4489]]
['lipoprotein', [4562, 4573]]
['lipoprotein', [4854, 4865]]
['lipoprotein', [30325, 30336]]
['lipoprotein', [36086, 36097]]
['lipoprotein', [41839, 41850]]
['lipoprotein', [42889, 42900]]
['lipoprotein', [53034, 53045]]
['lipoprotein', [53298, 53309]]
['lipoprotein', [57994, 58005]]
['lipoprotein', [58258, 58269]]
['receptor', [463, 471]]
['receptor', [4496, 4504]]
['receptor', [4549, 4557]]
['receptor', [4643, 4651]]
['receptor', [30151, 30159]]
['receptor', [30189, 30197]]
['receptor', [30293, 30301]]
['receptor', [30441, 30449]]
['receptor', [30513, 30521]]
['receptor', [32136, 32144]]
['receptor', [33252, 33260]]
['receptor', [33346, 33354]]
['receptor', [35912, 35920]]
['receptor', [35950, 35958]]
['receptor', [36054, 36062]]
['receptor', [36202, 36210]]
['receptor', [36274, 36282]]
['receptor', [37897, 37905]]
['receptor', [39013, 39021]]
['receptor', [39107, 39115]]
['receptor', [41665, 41673]]
['receptor', [41703, 41711]]
['receptor', [41807, 41815]]
['receptor', [41955, 41963]]
['receptor', [42027, 42035]]
['receptor', [42715, 42723]]
['receptor', [42753, 42761]]
['receptor', [42857, 42865]]
['receptor', [43005, 43013]]
['receptor', [43077, 43085]]
['receptor', [44701, 44709]]
['receptor', [46525, 46533]]
['receptor', [47642, 47650]]
['receptor', [47736, 47744]]
['receptor', [49219, 49227]]
['receptor', [49313, 49321]]
['receptor', [52896, 52904]]
['receptor', [52945, 52953]]
['receptor', [53118, 53126]]
['receptor', [57856, 57864]]
['receptor', [57905, 57913]]
['receptor', [58078, 58086]]
['ncbi', [473, 477]]
['ncbi', [4083, 4087]]
['ncbi', [4111, 4115]]
['ncbi', [6610, 6614]]
['ncbi', [6637, 6641]]
['ncbi', [15672, 15676]]
['ncbi', [15699, 15703]]
['ncbi', [29796, 29800]]
['ncbi', [29852, 29856]]
['ncbi', [35557, 35561]]
['ncbi', [35613, 35617]]
['ncbi', [41310, 41314]]
['ncbi', [41366, 41370]]
['ncbi', [42360, 42364]]
['ncbi', [42416, 42420]]
['ncbi', [54591, 54595]]
['ncbi', [54775, 54779]]
['ncbi', [54807, 54811]]
['ncbi', [59551, 59555]]
['ncbi', [59735, 59739]]
['ncbi', [59767, 59771]]
['build', [478, 483]]
['build', [4088, 4093]]
['build', [6657, 6662]]
['build', [15719, 15724]]
['build', [29872, 29877]]
['build', [35633, 35638]]
['build', [41386, 41391]]
['build', [42436, 42441]]
['build', [54596, 54601]]
['build', [54780, 54785]]
['build', [54812, 54817]]
['build', [54870, 54875]]
['build', [59556, 59561]]
['build', [59740, 59745]]
['build', [59772, 59777]]
['build', [59830, 59835]]
['35\\.1', [484, 489]]
['35\\.1', [4094, 4099]]
['35\\.1', [6663, 6668]]
['35\\.1', [15725, 15730]]
['35\\.1', [29878, 29883]]
['35\\.1', [35639, 35644]]
['35\\.1', [41392, 41397]]
