genia tagger: 11718['csf', [37, 40]]
['csf', [145, 148]]
['csf', [299, 302]]
['csf', [1235, 1238]]
['csf', [1617, 1620]]
['csf', [1718, 1721]]
['csf', [2674, 2677]]
['csf', [2874, 2877]]
['csf', [3812, 3815]]
['csf', [4963, 4966]]
['csf', [6642, 6645]]
['csf', [6766, 6769]]
['csf', [6891, 6894]]
['csf', [7554, 7557]]
['csf', [7916, 7919]]
['csf', [8060, 8063]]
['csf', [9451, 9454]]
['csf', [12185, 12188]]
['csf', [13868, 13871]]
['csf', [13992, 13995]]
['csf', [14117, 14120]]
['csf', [14780, 14783]]
['csf', [15142, 15145]]
['csf', [15286, 15289]]
['csf', [15664, 15667]]
['csf', [15683, 15686]]
['csf', [16304, 16307]]
['csf', [16415, 16418]]
['csf', [16898, 16901]]
['csf', [17329, 17332]]
['csf', [17533, 17536]]
['csf', [17682, 17685]]
['csf', [17732, 17735]]
['csf', [17995, 17998]]
['csf', [18165, 18168]]
['csf', [18374, 18377]]
['csf', [18552, 18555]]
['csf', [19012, 19015]]
['csf', [19227, 19230]]
['csf', [20181, 20184]]
['csf', [21255, 21258]]
['csf', [21346, 21349]]
['csf', [21706, 21709]]
['csf', [21758, 21761]]
['csf', [22147, 22150]]
['csf', [22542, 22545]]
['csf', [24036, 24039]]
['csf', [24206, 24209]]
['csf', [24415, 24418]]
['csf', [24593, 24596]]
['csf', [25052, 25055]]
['csf', [25267, 25270]]
['csf', [26221, 26224]]
['csf', [27295, 27298]]
['csf', [27386, 27389]]
['csf', [27745, 27748]]
['csf', [27797, 27800]]
['csf', [28186, 28189]]
['csf', [28581, 28584]]
['csf', [30074, 30077]]
['csf', [30244, 30247]]
['csf', [30453, 30456]]
['csf', [30631, 30634]]
['csf', [31090, 31093]]
['csf', [31305, 31308]]
['csf', [32259, 32262]]
['csf', [33333, 33336]]
['csf', [33424, 33427]]
['csf', [33783, 33786]]
['csf', [33835, 33838]]
['csf', [34224, 34227]]
['csf', [34619, 34622]]
['csf', [35534, 35537]]
['csf', [35715, 35718]]
['csf', [36023, 36026]]
['csf', [36163, 36166]]
['csf', [36516, 36519]]
['csf', [37348, 37351]]
['csf', [38416, 38419]]
['csf', [39680, 39683]]
['csf', [39899, 39902]]
['csf', [39940, 39943]]
['csf', [40234, 40237]]
['csf', [40620, 40623]]
['csf', [40791, 40794]]
['csf', [41459, 41462]]
['csf', [41619, 41622]]
['csf', [41827, 41830]]
['csf', [41918, 41921]]
['csf', [42012, 42015]]
['csf', [43503, 43506]]
['csf', [43559, 43562]]
['csf', [43846, 43849]]
['csf', [44205, 44208]]
['csf', [44302, 44305]]
['csf', [44483, 44486]]
['csf', [44791, 44794]]
['csf', [44931, 44934]]
['csf', [45284, 45287]]
['csf', [46116, 46119]]
['csf', [47184, 47187]]
['csf', [48448, 48451]]
['csf', [48667, 48670]]
['csf', [48708, 48711]]
['csf', [49002, 49005]]
['csf', [49388, 49391]]
['csf', [49559, 49562]]
['csf', [50227, 50230]]
['csf', [50387, 50390]]
['csf', [50595, 50598]]
['csf', [50686, 50689]]
['csf', [50780, 50783]]
['csf', [52271, 52274]]
['csf', [52327, 52330]]
['csf', [52614, 52617]]
['csf', [52973, 52976]]
['csf', [54099, 54102]]
['csf', [56040, 56043]]
['csf', [57246, 57249]]
['csf', [58694, 58697]]
['csf', [60635, 60638]]
['csf', [61841, 61844]]
['mci-ad', [372, 378]]
['mci-ad', [669, 675]]
['mci-ad', [836, 842]]
['mci-ad', [2947, 2953]]
['mci-ad', [3245, 3251]]
['mci-ad', [3412, 3418]]
['mci-ad', [4337, 4343]]
['mci-ad', [5071, 5077]]
['mci-ad', [8825, 8831]]
['mci-ad', [9559, 9565]]
['mci-ad', [11559, 11565]]
['mci-ad', [12293, 12299]]
['mci-ad', [18117, 18123]]
['mci-ad', [18491, 18497]]
['mci-ad', [20300, 20306]]
['mci-ad', [21900, 21906]]
['mci-ad', [22233, 22239]]
['mci-ad', [22420, 22426]]
['mci-ad', [23335, 23341]]
['mci-ad', [23634, 23640]]
['mci-ad', [23828, 23834]]
['mci-ad', [24158, 24164]]
['mci-ad', [24532, 24538]]
['mci-ad', [26340, 26346]]
['mci-ad', [27939, 27945]]
['mci-ad', [28272, 28278]]
['mci-ad', [28459, 28465]]
['mci-ad', [29373, 29379]]
['mci-ad', [29672, 29678]]
['mci-ad', [29866, 29872]]
['mci-ad', [30196, 30202]]
['mci-ad', [30570, 30576]]
['mci-ad', [32378, 32384]]
['mci-ad', [33977, 33983]]
['mci-ad', [34310, 34316]]
['mci-ad', [34497, 34503]]
['mci-ad', [35411, 35417]]
['mci-ad', [36136, 36142]]
