['igf-i', [51444, 51449]]
['igf-i', [51676, 51681]]
['igf-i', [51883, 51888]]
['igf-i', [51971, 51976]]
['igf-i', [52112, 52117]]
['igf-i', [52492, 52497]]
['igf-i', [53062, 53067]]
['igf-i', [53119, 53124]]
['igf-i', [53228, 53233]]
['igf-i', [53281, 53286]]
['igf-i', [53454, 53459]]
['igf-i', [53608, 53613]]
['igf-i', [53643, 53648]]
['igf-i', [53869, 53874]]
['igf-i', [53903, 53908]]
['igf-i', [53980, 53985]]
['igf-i', [54035, 54040]]
['igf-i', [54076, 54081]]
['igf-i', [54114, 54119]]
['igf-i', [54215, 54220]]
['igf-i', [54351, 54356]]
['igf-i', [54423, 54428]]
['igf-i', [54456, 54461]]
['igf-i', [54482, 54487]]
['igf-i', [54935, 54940]]
['igf-i', [55167, 55172]]
['igf-i', [55729, 55734]]
['igf-i', [55801, 55806]]
['igf-i', [55980, 55985]]
['igf-i', [56669, 56674]]
['igf-i', [56741, 56746]]
['igf-i', [56920, 56925]]
['igf-i', [57646, 57651]]
['igf-i', [57769, 57774]]
['igf-i', [58199, 58204]]
['igf-i', [58374, 58379]]
['igf-i', [58869, 58874]]
['igf-i', [58992, 58997]]
['igf-i', [59422, 59427]]
['igf-i', [59597, 59602]]
['igf-i', [59773, 59778]]
['igf-i', [59956, 59961]]
['igf-i', [60023, 60028]]
['igf-i', [60206, 60211]]
['igf-i', [60326, 60331]]
['igf-i', [60397, 60402]]
['igf-i', [60459, 60464]]
['igf-i', [60765, 60770]]
['igf-i', [60928, 60933]]
['igf-i', [61270, 61275]]
['igf-i', [61408, 61413]]
['igf-i', [62214, 62219]]
['igf-i', [62360, 62365]]
['igf-i', [62485, 62490]]
['igf-i', [62508, 62513]]
['igf-i', [62683, 62688]]
['igf-i', [62718, 62723]]
['igf-i', [62818, 62823]]
['igf-i', [62862, 62867]]
['igf-i', [63003, 63008]]
['igf-i', [63047, 63052]]
['igf-i', [63102, 63107]]
['igf-i', [63196, 63201]]
['igf-i', [63405, 63410]]
['igf-i', [63618, 63623]]
['igf-i', [63637, 63642]]
['igf-i', [63714, 63719]]
['igf-i', [63857, 63862]]
['igf-i', [64002, 64007]]
['igf-i', [64060, 64065]]
['igf-i', [64179, 64184]]
['igf-i', [64983, 64988]]
['igf-i', [65151, 65156]]
['igf-i', [65245, 65250]]
['igf-i', [65349, 65354]]
['igf-i', [66391, 66396]]
['igf-i', [66479, 66484]]
['igf-i', [66682, 66687]]
['igf-i', [66844, 66849]]
['igf-i', [67220, 67225]]
['igf-i', [68566, 68571]]
['igf-i', [68802, 68807]]
['igf-i', [68966, 68971]]
['igf-i', [69181, 69186]]
['igf-i', [69379, 69384]]
['igf-i', [69493, 69498]]
['igf-i', [69650, 69655]]
['igf-i', [69740, 69745]]
['igf-i', [69984, 69989]]
['igf-i', [70167, 70172]]
['igf-i', [70234, 70239]]
['igf-i', [70417, 70422]]
['igf-i', [70537, 70542]]
['igf-i', [70608, 70613]]
['igf-i', [70670, 70675]]
['igf-i', [70976, 70981]]
['igf-i', [71139, 71144]]
['igf-i', [71481, 71486]]
['igf-i', [71619, 71624]]
['igf-i', [72425, 72430]]
['igf-i', [72571, 72576]]
['igf-i', [72696, 72701]]
['igf-i', [72719, 72724]]
['igf-i', [72894, 72899]]
['igf-i', [72929, 72934]]
['igf-i', [73029, 73034]]
