['or', [29663, 29665]]
['or', [29672, 29674]]
['or', [29812, 29814]]
['or', [30026, 30028]]
['or', [30125, 30127]]
['or', [30149, 30151]]
['or', [30225, 30227]]
['or', [30258, 30260]]
['or', [30273, 30275]]
['or', [30344, 30346]]
['or', [30395, 30397]]
['or', [30418, 30420]]
['or', [30549, 30551]]
['or', [30646, 30648]]
['or', [30661, 30663]]
['or', [30720, 30722]]
['or', [30822, 30824]]
['or', [30910, 30912]]
['or', [30934, 30936]]
['or', [30954, 30956]]
['or', [31101, 31103]]
['or', [31210, 31212]]
['or', [31306, 31308]]
['or', [31387, 31389]]
['or', [31402, 31404]]
['or', [31580, 31582]]
['or', [31747, 31749]]
['or', [31824, 31826]]
['or', [31990, 31992]]
['or', [32017, 32019]]
['or', [32059, 32061]]
['or', [32150, 32152]]
['or', [32210, 32212]]
['or', [32324, 32326]]
['or', [32646, 32648]]
['or', [32718, 32720]]
['or', [32786, 32788]]
['or', [33317, 33319]]
['or', [33468, 33470]]
['or', [33638, 33640]]
['or', [33801, 33803]]
['or', [33923, 33925]]
['or', [34022, 34024]]
['or', [34171, 34173]]
['or', [34390, 34392]]
['elements', [371, 379]]
['elements', [3209, 3217]]
['elements', [34215, 34223]]
['iugr', [4473, 4477]]
['iugr', [15467, 15471]]
['iugr', [15924, 15928]]
['genes', [6910, 6915]]
['genes', [6961, 6966]]
['genes', [7292, 7297]]
['genes', [11660, 11665]]
['genes', [12432, 12437]]
['growth', [928, 934]]
['growth', [2677, 2683]]
['growth', [3431, 3437]]
['growth', [3769, 3775]]
['growth', [4027, 4033]]
['growth', [4090, 4096]]
['growth', [4451, 4457]]
['growth', [6920, 6926]]
['growth', [8524, 8530]]
['growth', [17226, 17232]]
['growth', [19201, 19207]]
['growth', [19894, 19900]]
['growth', [20021, 20027]]
['growth', [20480, 20486]]
['growth', [20618, 20624]]
['growth', [34008, 34014]]
['factors', [5532, 5539]]
['factors', [6927, 6934]]
['matrix', [6992, 6998]]
['matrix', [15609, 15615]]
['matrix', [15695, 15701]]
['metalloproteinase', [6999, 7016]]
['mmp-2', [7017, 7022]]
['mmp-2', [15576, 15581]]
['mmp-9', [7027, 7032]]
['mmp-9', [15566, 15571]]
['cyclooxygenase-2', [7219, 7235]]
['renal', [664, 669]]
['renal', [6411, 6416]]
['renal', [7311, 7316]]
['renal', [8377, 8382]]
['renal', [8489, 8494]]
['renal', [8633, 8638]]
['renal', [8790, 8795]]
['renal', [9003, 9008]]
['renal', [9493, 9498]]
['renal', [9672, 9677]]
['renal', [9732, 9737]]
['renal', [9858, 9863]]
['renal', [9999, 10004]]
['renal', [10072, 10077]]
['renal', [10099, 10104]]
['renal', [10861, 10866]]
['renal', [10946, 10951]]
['renal', [11150, 11155]]
['renal', [11391, 11396]]
['renal', [11916, 11921]]
['renal', [12538, 12543]]
['renal', [17149, 17154]]
['renal', [22275, 22280]]
['renal', [24748, 24753]]
['renal', [25302, 25307]]
['renal', [27316, 27321]]
['renal', [28606, 28611]]
['renal', [31081, 31086]]
['renal', [31635, 31640]]
['renal', [33650, 33655]]
['sodium', [9499, 9505]]
['sodium', [11280, 11286]]
['sodium', [11397, 11403]]
['sodium', [11428, 11434]]
['sodium', [11483, 11489]]
['sodium', [12598, 12604]]
['transporters', [11404, 11416]]
['transporters', [11490, 11502]]
['angiotensin', [7169, 7180]]
['angiotensin', [11750, 11761]]
['angiotensin', [20324, 20335]]
['angiotensin', [25571, 25582]]
['angiotensin', [27278, 27289]]
['angiotensin', [31904, 31915]]
['angiotensin', [33612, 33623]]
['ii', [11762, 11764]]
['ii', [11769, 11771]]
['ii', [12056, 12058]]
['ii', [12363, 12365]]
['ii', [13408, 13410]]
['ii', [15898, 15900]]
['ii', [20403, 20405]]
['ii', [21549, 21551]]
['ii', [25648, 25650]]
['ii', [27290, 27292]]
['ii', [27880, 27882]]
['ii', [31981, 31983]]
['ii', [33624, 33626]]
['angii', [11766, 11771]]
['angii', [12053, 12058]]
['angii', [12360, 12365]]
['angii', [13405, 13410]]
['angii', [20400, 20405]]
['angii', [25645, 25650]]
['angii', [31978, 31983]]
['receptors', [12059, 12068]]
['receptors', [25651, 25660]]
['receptors', [31984, 31993]]
['ras', [7189, 7192]]
['ras', [12202, 12205]]
['ras', [12505, 12508]]
['ras', [20259, 20262]]
['ras', [20682, 20685]]
['central', [10912, 10919]]
['central', [11731, 11738]]
['central', [12352, 12359]]
['central', [12479, 12486]]
['central', [15217, 15224]]
['central', [26082, 26089]]
['central', [32415, 32422]]
['endothelin', [13430, 13440]]
['soluble', [14304, 14311]]
['guanylate', [14312, 14321]]
['cyclase', [14322, 14329]]
['elastin', [15109, 15116]]
['elastin', [15363, 15370]]
['elastin', [15539, 15546]]
['vs\\.', [911, 915]]
['vs\\.', [4900, 4904]]
['vs\\.', [13500, 13504]]
['vs\\.', [13525, 13529]]
['vs\\.', [13537, 13541]]
['vs\\.', [15117, 15121]]
['rigid', [15121, 15126]]
['collagen', [15127, 15135]]
['collagen', [15883, 15891]]
['i', [22, 23]]
['i', [39, 40]]
['i', [57, 58]]
['i', [67, 68]]
['i', [76, 77]]
['i', [90, 91]]
['i', [98, 99]]
['i', [101, 102]]
['i', [136, 137]]
['i', [147, 148]]
['i', [168, 169]]
['i', [183, 184]]
['i', [195, 196]]
['i', [199, 200]]
['i', [204, 205]]
['i', [213, 214]]
['i', [277, 278]]
['i', [299, 300]]
['i', [313, 314]]
['i', [315, 316]]
['i', [333, 334]]
['i', [344, 345]]
['i', [352, 353]]
['i', [394, 395]]
['i', [405, 406]]
['i', [407, 408]]
['i', [425, 426]]
['i', [427, 428]]
['i', [434, 435]]
['i', [449, 450]]
['i', [466, 467]]
['i', [472, 473]]
['i', [477, 478]]
['i', [499, 500]]
['i', [516, 517]]
['i', [545, 546]]
['i', [561, 562]]
['i', [574, 575]]
['i', [577, 578]]
['i', [593, 594]]
['i', [612, 613]]
['i', [628, 629]]
['i', [638, 639]]
['i', [648, 649]]
['i', [655, 656]]
['i', [659, 660]]
['i', [675, 676]]
['i', [702, 703]]
['i', [740, 741]]
['i', [750, 751]]
['i', [765, 766]]
['i', [797, 798]]
['i', [805, 806]]
['i', [827, 828]]
['i', [853, 854]]
['i', [855, 856]]
['i', [879, 880]]
['i', [885, 886]]
['i', [907, 908]]
['i', [915, 916]]
['i', [924, 925]]
['i', [940, 941]]
['i', [943, 944]]
['i', [957, 958]]
['i', [976, 977]]
['i', [984, 985]]
['i', [1011, 1012]]
['i', [1046, 1047]]
['i', [1049, 1050]]
['i', [1057, 1058]]
['i', [1072, 1073]]
['i', [1074, 1075]]
['i', [1083, 1084]]
['i', [1085, 1086]]
['i', [1102, 1103]]
['i', [1111, 1112]]
['i', [1115, 1116]]
['i', [1126, 1127]]
['i', [1134, 1135]]
['i', [1149, 1150]]
['i', [1164, 1165]]
['i', [1175, 1176]]
['i', [1183, 1184]]
['i', [1220, 1221]]
['i', [1255, 1256]]
['i', [1258, 1259]]
['i', [1265, 1266]]
['i', [1277, 1278]]
['i', [1287, 1288]]
['i', [1312, 1313]]
['i', [1316, 1317]]
['i', [1323, 1324]]
['i', [1325, 1326]]
['i', [1339, 1340]]
['i', [1365, 1366]]
['i', [1392, 1393]]
['i', [1394, 1395]]
['i', [1400, 1401]]
['i', [1417, 1418]]
['i', [1440, 1441]]
['i', [1487, 1488]]
['i', [1497, 1498]]
['i', [1506, 1507]]
['i', [1510, 1511]]
['i', [1548, 1549]]
['i', [1551, 1552]]
['i', [1558, 1559]]
['i', [1564, 1565]]
['i', [1574, 1575]]
['i', [1585, 1586]]
['i', [1598, 1599]]
['i', [1603, 1604]]
['i', [1606, 1607]]
['i', [1621, 1622]]
['i', [1623, 1624]]
['i', [1642, 1643]]
['i', [1668, 1669]]
['i', [1671, 1672]]
['i', [1694, 1695]]
['i', [1704, 1705]]
['i', [1711, 1712]]
['i', [1721, 1722]]
['i', [1755, 1756]]
['i', [1763, 1764]]
['i', [1776, 1777]]
['i', [1805, 1806]]
['i', [1810, 1811]]
['i', [1819, 1820]]
['i', [1842, 1843]]
['i', [1845, 1846]]
['i', [1860, 1861]]
['i', [1873, 1874]]
['i', [1883, 1884]]
['i', [1895, 1896]]
['i', [1966, 1967]]
['i', [1970, 1971]]
['i', [2034, 2035]]
['i', [2036, 2037]]
['i', [2045, 2046]]
['i', [2065, 2066]]
['i', [2070, 2071]]
['i', [2072, 2073]]
['i', [2118, 2119]]
['i', [2163, 2164]]
['i', [2173, 2174]]
['i', [2176, 2177]]
['i', [2189, 2190]]
['i', [2195, 2196]]
['i', [2226, 2227]]
['i', [2235, 2236]]
['i', [2265, 2266]]
['i', [2278, 2279]]
['i', [2287, 2288]]
['i', [2306, 2307]]
['i', [2314, 2315]]
['i', [2324, 2325]]
['i', [2342, 2343]]
['i', [2366, 2367]]
['i', [2378, 2379]]
['i', [2384, 2385]]
['i', [2395, 2396]]
['i', [2410, 2411]]
['i', [2412, 2413]]
['i', [2421, 2422]]
['i', [2426, 2427]]
['i', [2432, 2433]]
['i', [2458, 2459]]
['i', [2488, 2489]]
['i', [2495, 2496]]
['i', [2500, 2501]]
['i', [2506, 2507]]
['i', [2526, 2527]]
['i', [2540, 2541]]
['i', [2543, 2544]]
['i', [2562, 2563]]
['i', [2596, 2597]]
['i', [2601, 2602]]
['i', [2622, 2623]]
['i', [2653, 2654]]
['i', [2672, 2673]]
['i', [2693, 2694]]
['i', [2706, 2707]]
['i', [2717, 2718]]
['i', [2724, 2725]]
['i', [2728, 2729]]
['i', [2733, 2734]]
['i', [2737, 2738]]
['i', [2742, 2743]]
['i', [2751, 2752]]
['i', [2762, 2763]]
['i', [2768, 2769]]
['i', [2778, 2779]]
['i', [2799, 2800]]
['i', [2806, 2807]]
['i', [2821, 2822]]
['i', [2830, 2831]]
['i', [2835, 2836]]
['i', [2868, 2869]]
['i', [2871, 2872]]
['i', [2885, 2886]]
['i', [2908, 2909]]
['i', [2910, 2911]]
['i', [2912, 2913]]
['i', [2926, 2927]]
['i', [2941, 2942]]
['i', [2948, 2949]]
['i', [2967, 2968]]
['i', [2985, 2986]]
['i', [2990, 2991]]
['i', [3002, 3003]]
['i', [3005, 3006]]
['i', [3076, 3077]]
['i', [3080, 3081]]
['i', [3130, 3131]]
['i', [3153, 3154]]
['i', [3158, 3159]]
['i', [3167, 3168]]
['i', [3187, 3188]]
['i', [3192, 3193]]
['i', [3266, 3267]]
['i', [3288, 3289]]
['i', [3298, 3299]]
['i', [3302, 3303]]
['i', [3314, 3315]]
['i', [3325, 3326]]
['i', [3328, 3329]]
['i', [3358, 3359]]
['i', [3372, 3373]]
['i', [3391, 3392]]
['i', [3402, 3403]]
['i', [3404, 3405]]
['i', [3414, 3415]]
['i', [3416, 3417]]
['i', [3447, 3448]]
['i', [3490, 3491]]
['i', [3517, 3518]]
['i', [3528, 3529]]
['i', [3559, 3560]]
['i', [3593, 3594]]
['i', [3600, 3601]]
['i', [3616, 3617]]
['i', [3628, 3629]]
['i', [3683, 3684]]
['i', [3698, 3699]]
['i', [3714, 3715]]
['i', [3747, 3748]]
['i', [3816, 3817]]
['i', [3830, 3831]]
['i', [3856, 3857]]
['i', [3888, 3889]]
['i', [3894, 3895]]
['i', [3912, 3913]]
['i', [3929, 3930]]
['i', [3934, 3935]]
['i', [3941, 3942]]
['i', [3944, 3945]]
['i', [3952, 3953]]
['i', [3968, 3969]]
['i', [3995, 3996]]
['i', [4013, 4014]]
['i', [4034, 4035]]
['i', [4073, 4074]]
['i', [4106, 4107]]
['i', [4133, 4134]]
['i', [4138, 4139]]
['i', [4151, 4152]]
['i', [4168, 4169]]
['i', [4176, 4177]]
['i', [4195, 4196]]
['i', [4210, 4211]]
['i', [4212, 4213]]
['i', [4214, 4215]]
['i', [4223, 4224]]
['i', [4227, 4228]]
['i', [4252, 4253]]
['i', [4257, 4258]]
['i', [4264, 4265]]
['i', [4326, 4327]]
['i', [4329, 4330]]
['i', [4337, 4338]]
['i', [4350, 4351]]
['i', [4353, 4354]]
['i', [4355, 4356]]
['i', [4414, 4415]]
['i', [4437, 4438]]
['i', [4447, 4448]]
['i', [4463, 4464]]
['i', [4473, 4474]]
['i', [4480, 4481]]
['i', [4491, 4492]]
['i', [4495, 4496]]
['i', [4500, 4501]]
['i', [4509, 4510]]
['i', [4518, 4519]]
['i', [4537, 4538]]
['i', [4554, 4555]]
['i', [4570, 4571]]
['i', [4584, 4585]]
['i', [4591, 4592]]
['i', [4606, 4607]]
['i', [4620, 4621]]
['i', [4635, 4636]]
['i', [4642, 4643]]
['i', [4700, 4701]]
['i', [4707, 4708]]
['i', [4716, 4717]]
['i', [4721, 4722]]
['i', [4724, 4725]]
['i', [4726, 4727]]
['i', [4739, 4740]]
['i', [4746, 4747]]
['i', [4782, 4783]]
['i', [4796, 4797]]
['i', [4805, 4806]]
['i', [4819, 4820]]
['i', [4835, 4836]]
['i', [4837, 4838]]
['i', [4853, 4854]]
['i', [4871, 4872]]
['i', [4880, 4881]]
['i', [4891, 4892]]
['i', [4922, 4923]]
['i', [4929, 4930]]
['i', [4958, 4959]]
['i', [4973, 4974]]
['i', [4991, 4992]]
['i', [5003, 5004]]
['i', [5010, 5011]]
['i', [5027, 5028]]
['i', [5056, 5057]]
['i', [5077, 5078]]
['i', [5087, 5088]]
['i', [5114, 5115]]
['i', [5119, 5120]]
['i', [5141, 5142]]
['i', [5144, 5145]]
['i', [5146, 5147]]
['i', [5167, 5168]]
['i', [5171, 5172]]
['i', [5196, 5197]]
['i', [5215, 5216]]
['i', [5225, 5226]]
['i', [5228, 5229]]
['i', [5247, 5248]]
['i', [5261, 5262]]
['i', [5274, 5275]]
['i', [5305, 5306]]
['i', [5346, 5347]]
['i', [5354, 5355]]
['i', [5360, 5361]]
['i', [5365, 5366]]
['i', [5438, 5439]]
['i', [5445, 5446]]
['i', [5450, 5451]]
['i', [5453, 5454]]
['i', [5489, 5490]]
['i', [5511, 5512]]
['i', [5521, 5522]]
['i', [5544, 5545]]
['i', [5563, 5564]]
['i', [5621, 5622]]
['i', [5637, 5638]]
['i', [5643, 5644]]
['i', [5645, 5646]]
['i', [5647, 5648]]
['i', [5685, 5686]]
['i', [5696, 5697]]
['i', [5702, 5703]]
['i', [5714, 5715]]
['i', [5729, 5730]]
['i', [5747, 5748]]
['i', [5749, 5750]]
['i', [5755, 5756]]
['i', [5764, 5765]]
['i', [5771, 5772]]
['i', [5781, 5782]]
['i', [5793, 5794]]
['i', [5801, 5802]]
['i', [5809, 5810]]
['i', [5817, 5818]]
['i', [5824, 5825]]
['i', [5843, 5844]]
