['up', [14584, 14586]]
['up', [14857, 14859]]
['up', [15700, 15702]]
['up', [15851, 15853]]
['up', [16079, 16081]]
['up', [16194, 16196]]
['up', [16264, 16266]]
['up', [16931, 16933]]
['up', [17144, 17146]]
['up', [19418, 19420]]
['up', [19611, 19613]]
['up', [20185, 20187]]
['up', [20608, 20610]]
['up', [21624, 21626]]
['up', [23100, 23102]]
['up', [23239, 23241]]
['up', [23978, 23980]]
['up', [24284, 24286]]
['up', [24835, 24837]]
['up', [24882, 24884]]
['up', [25386, 25388]]
['up', [25453, 25455]]
['up', [25819, 25821]]
['up', [25994, 25996]]
['up', [26001, 26003]]
['up', [26567, 26569]]
['up', [26730, 26732]]
['up', [27603, 27605]]
['up', [27816, 27818]]
['up', [30090, 30092]]
['up', [30283, 30285]]
['up', [30857, 30859]]
['up', [31280, 31282]]
['up', [32296, 32298]]
['up', [33772, 33774]]
['up', [33911, 33913]]
['up', [34650, 34652]]
['up', [34956, 34958]]
['up', [35507, 35509]]
['up', [35554, 35556]]
['up', [36058, 36060]]
['up', [36125, 36127]]
['up', [36491, 36493]]
['up', [36666, 36668]]
['up', [36673, 36675]]
['up', [37239, 37241]]
['up', [37402, 37404]]
['up', [38249, 38251]]
['up', [38462, 38464]]
['up', [39378, 39380]]
['up', [39591, 39593]]
['up', [41866, 41868]]
['up', [42059, 42061]]
['up', [42633, 42635]]
['up', [43056, 43058]]
['up', [44072, 44074]]
['up', [45548, 45550]]
['up', [45687, 45689]]
['up', [46426, 46428]]
['up', [46732, 46734]]
['up', [47283, 47285]]
['up', [47330, 47332]]
['up', [47834, 47836]]
['up', [47901, 47903]]
['up', [48267, 48269]]
['up', [48442, 48444]]
['up', [48449, 48451]]
['up', [49015, 49017]]
['up', [49178, 49180]]
['up', [51384, 51386]]
['up', [51577, 51579]]
['up', [52151, 52153]]
['up', [52574, 52576]]
['up', [53590, 53592]]
['up', [55066, 55068]]
['up', [55205, 55207]]
['up', [55944, 55946]]
['up', [56250, 56252]]
['up', [56801, 56803]]
['up', [56848, 56850]]
['up', [57352, 57354]]
['up', [57419, 57421]]
['up', [57785, 57787]]
['up', [57960, 57962]]
['up', [57967, 57969]]
['up', [58533, 58535]]
['up', [58696, 58698]]
['up', [60629, 60631]]
['up', [62302, 62304]]
['up', [62496, 62498]]
['up', [63070, 63072]]
['up', [63493, 63495]]
['up', [64509, 64511]]
['up', [65402, 65404]]
['up', [65976, 65978]]
['up', [66399, 66401]]
['up', [67415, 67417]]
['up', [68435, 68437]]
['up', [69089, 69091]]
['up', [69513, 69515]]
['up', [70032, 70034]]
['up', [71049, 71051]]
['up', [72337, 72339]]
['up', [73814, 73816]]
['up', [73953, 73955]]
['up', [74692, 74694]]
['up', [74998, 75000]]
['up', [75549, 75551]]
['up', [75596, 75598]]
['up', [76100, 76102]]
['up', [76167, 76169]]
['up', [76533, 76535]]
['up', [76708, 76710]]
['up', [76715, 76717]]
['up', [77281, 77283]]
['up', [77444, 77446]]
['up', [78482, 78484]]
['up', [78621, 78623]]
['up', [79360, 79362]]
['up', [79666, 79668]]
['up', [80217, 80219]]
['up', [80264, 80266]]
['up', [80768, 80770]]
['up', [80835, 80837]]
['up', [81201, 81203]]
['up', [81376, 81378]]
['up', [81383, 81385]]
['up', [81949, 81951]]
['up', [82112, 82114]]
['up', [83135, 83137]]
['up', [83274, 83276]]
['up', [84174, 84176]]
['up', [84313, 84315]]
['up', [85053, 85055]]
['up', [85359, 85361]]
['up', [85960, 85962]]
['up', [86266, 86268]]
['up', [86818, 86820]]
['up', [86865, 86867]]
['up', [87369, 87371]]
['up', [87436, 87438]]
['up', [87802, 87804]]
['up', [87977, 87979]]
['up', [87984, 87986]]
['up', [88550, 88552]]
['up', [88713, 88715]]
['up', [89527, 89529]]
['up', [89574, 89576]]
['up', [90078, 90080]]
['up', [90145, 90147]]
['up', [90511, 90513]]
['up', [90686, 90688]]
['up', [90693, 90695]]
['up', [91259, 91261]]
['up', [91422, 91424]]
['up', [92349, 92351]]
['up', [92730, 92732]]
['up', [92906, 92908]]
['up', [94760, 94762]]
['up', [95047, 95049]]
['up', [95286, 95288]]
['up', [97167, 97169]]
['up', [97573, 97575]]
['up', [98740, 98742]]
['up', [99121, 99123]]
['up', [99297, 99299]]
['up', [101151, 101153]]
['up', [101438, 101440]]
['up', [101677, 101679]]
['up', [103558, 103560]]
['up', [103964, 103966]]
['up', [106382, 106384]]
['up', [106902, 106904]]
['up', [107210, 107212]]
['up', [107698, 107700]]
['up', [108290, 108292]]
['up', [108914, 108916]]
['up', [111321, 111323]]
['up', [111841, 111843]]
['up', [112149, 112151]]
['up', [112637, 112639]]
['up', [113229, 113231]]
['up', [113853, 113855]]
['mri', [239, 242]]
['mri', [1931, 1934]]
['mri', [2330, 2333]]
['mri', [3884, 3887]]
['mri', [5813, 5816]]
['mri', [11411, 11414]]
['mri', [18312, 18315]]
['mri', [19666, 19669]]
['mri', [21401, 21404]]
['mri', [22188, 22191]]
['mri', [28984, 28987]]
['mri', [30338, 30341]]
['mri', [32073, 32076]]
['mri', [32860, 32863]]
['mri', [40760, 40763]]
['mri', [42114, 42117]]
['mri', [43849, 43852]]
['mri', [44636, 44639]]
['mri', [50278, 50281]]
['mri', [51632, 51635]]
['mri', [53367, 53370]]
['mri', [54154, 54157]]
['mri', [59523, 59526]]
['mri', [61196, 61199]]
['mri', [62551, 62554]]
['mri', [64286, 64289]]
['mri', [65073, 65076]]
['mri', [65457, 65460]]
['mri', [67192, 67195]]
['mri', [67979, 67982]]
['mri', [70826, 70829]]
['mri', [71613, 71616]]
['mri', [72114, 72117]]
['mri', [72901, 72904]]
['mri', [91937, 91940]]
['mri', [98328, 98331]]
['scans', [2334, 2339]]
['am', [22, 24]]
['am', [151, 153]]
['am', [160, 162]]
['am', [233, 235]]
['am', [433, 435]]
['am', [1211, 1213]]
['am', [1511, 1513]]
['am', [1665, 1667]]
['am', [1885, 1887]]
['am', [2022, 2024]]
['am', [2198, 2200]]
['am', [2310, 2312]]
['am', [2982, 2984]]
['am', [3003, 3005]]
['am', [3014, 3016]]
['am', [3438, 3440]]
['am', [3916, 3918]]
['am', [4541, 4543]]
['am', [4641, 4643]]
['am', [5080, 5082]]
['am', [5719, 5721]]
['am', [5769, 5771]]
['am', [5891, 5893]]
['am', [5922, 5924]]
['am', [5954, 5956]]
['am', [6008, 6010]]
['am', [6174, 6176]]
['am', [6234, 6236]]
['am', [6265, 6267]]
['am', [6975, 6977]]
['am', [7698, 7700]]
['am', [7709, 7711]]
['am', [7765, 7767]]
['am', [8858, 8860]]
['am', [9113, 9115]]
['am', [9127, 9129]]
['am', [9213, 9215]]
['am', [9448, 9450]]
['am', [10568, 10570]]
['am', [11317, 11319]]
['am', [11367, 11369]]
['am', [11489, 11491]]
['am', [11520, 11522]]
['am', [11552, 11554]]
['am', [11606, 11608]]
['am', [11773, 11775]]
['am', [11833, 11835]]
['am', [11864, 11866]]
['am', [12574, 12576]]
['am', [13298, 13300]]
['am', [13309, 13311]]
['am', [13365, 13367]]
['am', [14458, 14460]]
['am', [14714, 14716]]
['am', [14728, 14730]]
['am', [14814, 14816]]
['am', [15049, 15051]]
['am', [16169, 16171]]
['am', [16499, 16501]]
['am', [17195, 17197]]
['am', [17302, 17304]]
['am', [20249, 20251]]
['am', [20397, 20399]]
['am', [20976, 20978]]
['am', [21543, 21545]]
['am', [21564, 21566]]
['am', [21730, 21732]]
['am', [21814, 21816]]
['am', [22073, 22075]]
['am', [22174, 22176]]
['am', [22796, 22798]]
['am', [23257, 23259]]
['am', [23333, 23335]]
['am', [24342, 24344]]
['am', [24500, 24502]]
['am', [24636, 24638]]
['am', [25000, 25002]]
['am', [25168, 25170]]
['am', [25274, 25276]]
['am', [25471, 25473]]
['am', [26075, 26077]]
['am', [26453, 26455]]
['am', [27171, 27173]]
['am', [27867, 27869]]
['am', [27974, 27976]]
['am', [30921, 30923]]
['am', [31069, 31071]]
['am', [31648, 31650]]
['am', [32215, 32217]]
['am', [32236, 32238]]
['am', [32402, 32404]]
['am', [32486, 32488]]
['am', [32745, 32747]]
['am', [32846, 32848]]
['am', [33468, 33470]]
['am', [33929, 33931]]
['am', [34005, 34007]]
['am', [35014, 35016]]
['am', [35172, 35174]]
['am', [35308, 35310]]
['am', [35672, 35674]]
['am', [35840, 35842]]
['am', [35946, 35948]]
['am', [36143, 36145]]
['am', [36747, 36749]]
['am', [37125, 37127]]
['am', [37817, 37819]]
['am', [38513, 38515]]
['am', [38620, 38622]]
['am', [38946, 38948]]
['am', [39642, 39644]]
['am', [39749, 39751]]
['am', [42697, 42699]]
['am', [42845, 42847]]
['am', [43424, 43426]]
['am', [43991, 43993]]
['am', [44012, 44014]]
['am', [44178, 44180]]
['am', [44262, 44264]]
['am', [44521, 44523]]
['am', [44622, 44624]]
['am', [45244, 45246]]
['am', [45705, 45707]]
['am', [45781, 45783]]
['am', [46790, 46792]]
['am', [46948, 46950]]
['am', [47084, 47086]]
['am', [47448, 47450]]
['am', [47616, 47618]]
['am', [47722, 47724]]
['am', [47919, 47921]]
['am', [48523, 48525]]
['am', [48901, 48903]]
['am', [52215, 52217]]
['am', [52363, 52365]]
['am', [52942, 52944]]
['am', [53509, 53511]]
['am', [53530, 53532]]
['am', [53696, 53698]]
['am', [53780, 53782]]
['am', [54039, 54041]]
['am', [54140, 54142]]
['am', [54762, 54764]]
['am', [55223, 55225]]
['am', [55299, 55301]]
['am', [56308, 56310]]
['am', [56466, 56468]]
['am', [56602, 56604]]
['am', [56966, 56968]]
['am', [57134, 57136]]
['am', [57240, 57242]]
['am', [57437, 57439]]
['am', [58041, 58043]]
['am', [58419, 58421]]
['am', [63134, 63136]]
['am', [63282, 63284]]
['am', [63861, 63863]]
['am', [64428, 64430]]
['am', [64449, 64451]]
['am', [64615, 64617]]
['am', [64699, 64701]]
['am', [64958, 64960]]
['am', [65059, 65061]]
['am', [66040, 66042]]
['am', [66188, 66190]]
['am', [66767, 66769]]
['am', [67334, 67336]]
['am', [67355, 67357]]
['am', [67521, 67523]]
['am', [67605, 67607]]
['am', [67864, 67866]]
['am', [67965, 67967]]
['am', [68499, 68501]]
['am', [68647, 68649]]
['am', [69153, 69155]]
['am', [69301, 69303]]
['am', [69881, 69883]]
['am', [70400, 70402]]
['am', [70968, 70970]]
['am', [70989, 70991]]
['am', [71155, 71157]]
['am', [71239, 71241]]
['am', [71498, 71500]]
['am', [71599, 71601]]
['am', [72256, 72258]]
['am', [72277, 72279]]
['am', [72443, 72445]]
['am', [72527, 72529]]
['am', [72786, 72788]]
['am', [72887, 72889]]
['am', [73510, 73512]]
