['prostate', [34, 42]]
['prostate', [213, 221]]
['prostate', [244, 252]]
['prostate', [1858, 1866]]
['prostate', [2307, 2315]]
['prostate', [2573, 2581]]
['prostate', [3218, 3226]]
['prostate', [5733, 5741]]
['prostate', [8184, 8192]]
['prostate', [17604, 17612]]
['prostate', [47414, 47422]]
['prostate', [47604, 47612]]
['prostate', [47952, 47960]]
['prostate', [48033, 48041]]
['prostate', [49207, 49215]]
['prostate', [49422, 49430]]
['prostate', [49689, 49697]]
['prostate', [52326, 52334]]
['prostate', [55087, 55095]]
['specific', [150, 158]]
['specific', [683, 691]]
['specific', [776, 784]]
['specific', [1056, 1064]]
['specific', [3227, 3235]]
['specific', [4738, 4746]]
['specific', [5502, 5510]]
['specific', [5629, 5637]]
['specific', [5670, 5678]]
['specific', [5770, 5778]]
['specific', [7953, 7961]]
['specific', [8080, 8088]]
['specific', [8121, 8129]]
['specific', [8221, 8229]]
['specific', [12492, 12500]]
['specific', [12810, 12818]]
['specific', [13518, 13526]]
['specific', [13612, 13620]]
['specific', [13892, 13900]]
['specific', [15819, 15827]]
['specific', [17373, 17381]]
['specific', [17500, 17508]]
['specific', [17541, 17549]]
['specific', [17641, 17649]]
['specific', [19889, 19897]]
['specific', [20207, 20215]]
['specific', [21766, 21774]]
['specific', [23443, 23451]]
['specific', [23543, 23551]]
['specific', [23761, 23769]]
['specific', [24071, 24079]]
['specific', [24401, 24409]]
['specific', [24647, 24655]]
['specific', [24976, 24984]]
['specific', [25291, 25299]]
['specific', [25566, 25574]]
['specific', [25666, 25674]]
['specific', [25884, 25892]]
['specific', [26194, 26202]]
['specific', [26524, 26532]]
['specific', [26770, 26778]]
['specific', [27099, 27107]]
['specific', [27414, 27422]]
['specific', [27823, 27831]]
['specific', [27919, 27927]]
['specific', [28747, 28755]]
['specific', [29015, 29023]]
['specific', [29834, 29842]]
['specific', [29869, 29877]]
['specific', [31267, 31275]]
['specific', [31634, 31642]]
['specific', [31867, 31875]]
['specific', [32042, 32050]]
['specific', [33957, 33965]]
['specific', [34038, 34046]]
['specific', [34182, 34190]]
['specific', [35721, 35729]]
['specific', [36018, 36026]]
['specific', [37325, 37333]]
['specific', [37421, 37429]]
['specific', [38249, 38257]]
['specific', [38517, 38525]]
