['fbii', [35201, 35205]]
['fbii', [35946, 35950]]
['fbii', [36102, 36106]]
['fbii', [36225, 36229]]
['fbii', [41464, 41468]]
['fbii', [42201, 42205]]
['fbii', [42357, 42361]]
['fbii', [42480, 42484]]
['fbii', [44120, 44124]]
['fbii', [44276, 44280]]
['fbii', [44399, 44403]]
['fbii', [53374, 53378]]
['fbii', [53980, 53984]]
['total', [4642, 4647]]
['total', [6449, 6454]]
['total', [6562, 6567]]
['total', [7180, 7185]]
['total', [7738, 7743]]
['total', [8845, 8850]]
['total', [9383, 9388]]
['total', [14466, 14471]]
['total', [16273, 16278]]
['total', [16386, 16391]]
['total', [17004, 17009]]
['total', [17562, 17567]]
['total', [18669, 18674]]
['total', [19235, 19240]]
['total', [21043, 21048]]
['total', [21156, 21161]]
['total', [21774, 21779]]
['total', [23948, 23953]]
['total', [24061, 24066]]
['total', [24681, 24686]]
['total', [25240, 25245]]
['total', [26347, 26352]]
['total', [26886, 26891]]
['total', [32111, 32116]]
['total', [34787, 34792]]
['total', [38374, 38379]]
['total', [41050, 41055]]
['total', [47380, 47385]]
['total', [50056, 50061]]
['total', [50283, 50288]]
['total', [52959, 52964]]
['total', [54415, 54420]]
['total', [54673, 54678]]
['total', [55531, 55536]]
['total', [64962, 64967]]
['total', [65220, 65225]]
['total', [66078, 66083]]
['score', [2417, 2422]]
['score', [4648, 4653]]
['score', [4956, 4961]]
['score', [5111, 5116]]
['score', [5391, 5396]]
['score', [6466, 6471]]
['score', [6570, 6575]]
['score', [7186, 7191]]
['score', [8238, 8243]]
['score', [8714, 8719]]
['score', [8747, 8752]]
['score', [8812, 8817]]
['score', [8891, 8896]]
['score', [9152, 9157]]
['score', [11549, 11554]]
['score', [11676, 11681]]
['score', [11796, 11801]]
['score', [12239, 12244]]
['score', [14472, 14477]]
['score', [14780, 14785]]
['score', [14935, 14940]]
['score', [15215, 15220]]
['score', [16290, 16295]]
['score', [16394, 16399]]
['score', [17010, 17015]]
['score', [18062, 18067]]
['score', [18538, 18543]]
