genia tagger: 0

['adults', [43340, 43346]]
['adults', [45111, 45117]]
['adults', [48275, 48281]]
['adults', [53188, 53194]]
['available', [239, 248]]
['available', [5612, 5621]]
['available', [6660, 6669]]
['available', [8893, 8902]]
['available', [9941, 9950]]
['available', [12003, 12012]]
['available', [12386, 12395]]
['available', [14215, 14224]]
['available', [14486, 14495]]
['available', [16332, 16341]]
['available', [18611, 18620]]
['available', [18994, 19003]]
['available', [20823, 20832]]
['available', [21094, 21103]]
['available', [22940, 22949]]
['available', [25211, 25220]]
['available', [25594, 25603]]
['available', [26923, 26932]]
['available', [27306, 27315]]
['available', [29885, 29894]]
['available', [30156, 30165]]
['available', [32212, 32221]]
['available', [32483, 32492]]
['available', [34330, 34339]]
['available', [35321, 35330]]
['data', [46, 50]]
['data', [254, 258]]
['data', [1893, 1897]]
['data', [3686, 3690]]
['data', [3744, 3748]]
['data', [3841, 3845]]
['data', [4022, 4026]]
['data', [4035, 4039]]
['data', [4303, 4307]]
['data', [4556, 4560]]
['data', [4589, 4593]]
['data', [4658, 4662]]
['data', [5572, 5576]]
['data', [6718, 6722]]
['data', [7836, 7840]]
['data', [7869, 7873]]
['data', [7938, 7942]]
['data', [8853, 8857]]
['data', [9999, 10003]]
['data', [11208, 11212]]
['data', [12376, 12380]]
['data', [13671, 13675]]
['data', [14476, 14480]]
['data', [16322, 16326]]
['data', [17816, 17820]]
['data', [18984, 18988]]
['data', [20279, 20283]]
['data', [21084, 21088]]
['data', [22930, 22934]]
['data', [24416, 24420]]
['data', [25584, 25588]]
['data', [26128, 26132]]
['data', [27296, 27300]]
['data', [29341, 29345]]
['data', [30146, 30150]]
['data', [31668, 31672]]
['data', [32473, 32477]]
['data', [34320, 34324]]
['data', [35311, 35315]]
['data', [39114, 39118]]
['data', [40270, 40274]]
['data', [43212, 43216]]
['data', [44368, 44372]]
['data', [49743, 49747]]
['data', [54656, 54660]]
['period', [313, 319]]
['period', [4726, 4732]]
['period', [8006, 8012]]
['period', [12640, 12646]]
['period', [13617, 13623]]
['period', [16976, 16982]]
['period', [19248, 19254]]
['period', [20225, 20231]]
['period', [23584, 23590]]
['period', [25848, 25854]]
['period', [27560, 27566]]
['period', [29287, 29293]]
['period', [31614, 31620]]
['period', [35966, 35972]]
['period', [36792, 36798]]
['period', [41394, 41400]]
['period', [45492, 45498]]
['cohort', [337, 343]]
['cohort', [781, 787]]
['cohort', [11285, 11291]]
['cohort', [11379, 11385]]
['cohort', [12655, 12661]]
['cohort', [12752, 12758]]
['cohort', [17017, 17023]]
['cohort', [17893, 17899]]
['cohort', [17987, 17993]]
['cohort', [19263, 19269]]
['cohort', [19360, 19366]]
['cohort', [23625, 23631]]
['cohort', [24493, 24499]]
['cohort', [24587, 24593]]
['cohort', [25863, 25869]]
['cohort', [25960, 25966]]
['cohort', [26205, 26211]]
['cohort', [26299, 26305]]
['cohort', [27575, 27581]]
['cohort', [27672, 27678]]
['cohort', [36007, 36013]]
['cohort', [36833, 36839]]
['cohort', [39477, 39483]]
['cohort', [43575, 43581]]
['cohort', [46109, 46115]]
['cohort', [51022, 51028]]
['groups', [364, 370]]
['groups', [4338, 4344]]
['groups', [11584, 11590]]
['groups', [18192, 18198]]
['groups', [24792, 24798]]
['groups', [26504, 26510]]
['groups', [38721, 38727]]
['groups', [42819, 42825]]
['groups', [45852, 45858]]
['groups', [46359, 46365]]
['groups', [46720, 46726]]
['groups', [50765, 50771]]
['groups', [51272, 51278]]
['groups', [51633, 51639]]
['group', [364, 369]]
['group', [690, 695]]
['group', [1219, 1224]]
['group', [2755, 2760]]
['group', [4338, 4343]]
['group', [5558, 5563]]
['group', [6311, 6316]]
['group', [8838, 8843]]
['group', [9592, 9597]]
['group', [11584, 11589]]
['group', [11689, 11694]]
['group', [11890, 11895]]
['group', [13164, 13169]]
['group', [13807, 13812]]
['group', [14145, 14150]]
['group', [15102, 15107]]
['group', [15583, 15588]]
['group', [15954, 15959]]
['group', [16671, 16676]]
['group', [17048, 17053]]
['group', [17159, 17164]]
['group', [18192, 18197]]
['group', [18297, 18302]]
['group', [18498, 18503]]
['group', [19772, 19777]]
['group', [20415, 20420]]
['group', [20753, 20758]]
['group', [21710, 21715]]
['group', [22191, 22196]]
['group', [22562, 22567]]
['group', [23279, 23284]]
['group', [23656, 23661]]
['group', [23767, 23772]]
['group', [24792, 24797]]
['group', [24897, 24902]]
['group', [25098, 25103]]
['group', [26504, 26509]]
['group', [26609, 26614]]
['group', [26810, 26815]]
['group', [28085, 28090]]
['group', [28833, 28838]]
['group', [29477, 29482]]
['group', [29815, 29820]]
['group', [30772, 30777]]
['group', [31253, 31258]]
['group', [31804, 31809]]
['group', [32142, 32147]]
['group', [33099, 33104]]
['group', [33580, 33585]]
['group', [33952, 33957]]
['group', [34669, 34674]]
['group', [34943, 34948]]
['group', [35660, 35665]]
['group', [36038, 36043]]
['group', [36149, 36154]]
['group', [36864, 36869]]
['group', [36975, 36980]]
['group', [38721, 38726]]
['group', [38905, 38910]]
['group', [38977, 38982]]
['group', [39273, 39278]]
['group', [41029, 41034]]
['group', [42819, 42824]]
['group', [43003, 43008]]
['group', [43075, 43080]]
['group', [43371, 43376]]
['group', [45127, 45132]]
['group', [45852, 45857]]
['group', [46359, 46364]]
['group', [46720, 46725]]
['group', [49638, 49643]]
['group', [50765, 50770]]
['group', [51272, 51277]]
['group', [51633, 51638]]
['group', [54551, 54556]]
['basis', [378, 383]]
['basis', [16806, 16811]]
['basis', [23414, 23419]]
['basis', [34804, 34809]]
['basis', [35795, 35800]]
['basis', [41248, 41253]]
['basis', [45346, 45351]]
['basis', [45866, 45871]]
['basis', [47145, 47150]]
['basis', [50779, 50784]]
['basis', [52058, 52063]]
['histology', [393, 402]]
['histology', [3897, 3906]]
['histology', [13417, 13426]]
['histology', [16621, 16630]]
['histology', [20025, 20034]]
['histology', [23229, 23238]]
['histology', [28338, 28347]]
['histology', [29086, 29095]]
['histology', [34619, 34628]]
['histology', [35610, 35619]]
['histology', [37731, 37740]]
['histology', [40513, 40522]]
['histology', [41829, 41838]]
['histology', [44611, 44620]]
['histology', [50231, 50240]]
['histology', [55144, 55153]]
['tumor', [13, 18]]
['tumor', [68, 73]]
['tumor', [134, 139]]
['tumor', [275, 280]]
['tumor', [387, 392]]
['tumor', [414, 419]]
['tumor', [441, 446]]
['tumor', [475, 480]]
['tumor', [618, 623]]
['tumor', [732, 737]]
['tumor', [826, 831]]
['tumor', [970, 975]]
['tumor', [1015, 1020]]
['tumor', [1158, 1163]]
['tumor', [1259, 1264]]
['tumor', [1471, 1476]]
['tumor', [1520, 1525]]
['tumor', [1580, 1585]]
['tumor', [1846, 1851]]
['tumor', [1921, 1926]]
['tumor', [1978, 1983]]
['tumor', [2016, 2021]]
['tumor', [2050, 2055]]
['tumor', [2101, 2106]]
['tumor', [2127, 2132]]
['tumor', [2188, 2193]]
['tumor', [2272, 2277]]
