['p3', [28533, 28535]]
['p3', [29923, 29925]]
['p3', [29984, 29986]]
['p3', [30592, 30594]]
['p3', [30756, 30758]]
['p3', [30968, 30970]]
['p3', [32137, 32139]]
['p3', [33507, 33509]]
['p3', [34332, 34334]]
['p3', [34936, 34938]]
['p3', [36326, 36328]]
['p3', [36387, 36389]]
['p3', [36995, 36997]]
['p3', [37159, 37161]]
['p3', [37371, 37373]]
['p3', [38532, 38534]]
['p3', [39251, 39253]]
['p3', [40622, 40624]]
['p3', [41447, 41449]]
['p3', [42552, 42554]]
['p3', [43377, 43379]]
['p3', [43982, 43984]]
['p3', [45372, 45374]]
['p3', [45433, 45435]]
['p3', [45966, 45968]]
['p3', [47356, 47358]]
['p3', [47417, 47419]]
['p3', [48026, 48028]]
['p3', [48190, 48192]]
['p3', [48402, 48404]]
['p3', [49791, 49793]]
['p3', [49955, 49957]]
['p3', [50167, 50169]]
['p3', [52769, 52771]]
['p3', [55367, 55369]]
['p3', [56232, 56234]]
['p3', [56535, 56537]]
['p3', [57696, 57698]]
['p3', [57780, 57782]]
['p3', [59709, 59711]]
['p3', [59914, 59916]]
['p3', [60312, 60314]]
['p3', [64364, 64366]]
['p3', [66962, 66964]]
['p3', [67827, 67829]]
['p3', [68130, 68132]]
['p3', [69291, 69293]]
['p3', [69375, 69377]]
['p3', [71304, 71306]]
['p3', [71509, 71511]]
['p3', [71907, 71909]]
['p3', [74698, 74700]]
['p3', [75327, 75329]]
['p3', [76220, 76222]]
['p3', [76765, 76767]]
['p3', [78538, 78540]]
['p3', [79394, 79396]]
['p3', [80023, 80025]]
['p3', [80916, 80918]]
['p3', [81461, 81463]]
['p3', [83234, 83236]]
['creatine', [828, 836]]
['kinase', [837, 843]]
['kinase', [8749, 8755]]
['kinase', [17379, 17385]]
['myoglobin', [848, 857]]
['myoglobin', [8820, 8829]]
['myoglobin', [8872, 8881]]
['myoglobin', [17450, 17459]]
['myoglobin', [17502, 17511]]
['nuclear', [2022, 2029]]
['receptor', [2030, 2038]]
['receptor', [2073, 2081]]
['receptor', [2284, 2292]]
['peroxisome', [2039, 2049]]
['peroxisome', [2360, 2370]]
['peroxisome', [5004, 5014]]
['peroxisome', [5224, 5234]]
['peroxisome', [5269, 5279]]
['peroxisome', [5351, 5361]]
['peroxisome', [5400, 5410]]
['peroxisome', [54015, 54025]]
['peroxisome', [65610, 65620]]
['proliferator-activated', [2050, 2072]]
['enzymes', [2122, 2129]]
['retinoic', [2273, 2281]]
['x', [5, 6]]
['x', [196, 197]]
['x', [370, 371]]
['x', [473, 474]]
['x', [501, 502]]
['x', [557, 558]]
['x', [595, 596]]
['x', [626, 627]]
['x', [895, 896]]
['x', [914, 915]]
['x', [985, 986]]
['x', [1090, 1091]]
['x', [1158, 1159]]
['x', [1226, 1227]]
['x', [1261, 1262]]
['x', [1440, 1441]]
['x', [1486, 1487]]
['x', [1573, 1574]]
['x', [1678, 1679]]
['x', [1719, 1720]]
['x', [1831, 1832]]
['x', [1910, 1911]]
['x', [2043, 2044]]
['x', [2146, 2147]]
['x', [2184, 2185]]
['x', [2282, 2283]]
