genia tagger: 0

['cdk', [19930, 19933]]
['cdk', [24885, 24888]]
['cdk', [24959, 24962]]
['cdk', [24983, 24986]]
['cdk', [25169, 25172]]
['cdk', [25260, 25263]]
['cdk', [25321, 25324]]
['cdk', [27446, 27449]]
['cdk', [27500, 27503]]
['cdk', [28856, 28859]]
['cdk', [28910, 28913]]
['cdk', [38092, 38095]]
['cdk', [38166, 38169]]
['cdk', [38190, 38193]]
['cdk', [38376, 38379]]
['cdk', [38467, 38470]]
['cdk', [38528, 38531]]
['cdk', [40031, 40034]]
['cdk', [40105, 40108]]
['cdk', [40129, 40132]]
['cdk', [40315, 40318]]
['cdk', [40406, 40409]]
['cdk', [40467, 40470]]
['cdk', [41954, 41957]]
['cdk', [42022, 42025]]
['cdk', [42452, 42455]]
['cdk', [43221, 43224]]
['cdk', [43353, 43356]]
['cdk', [43591, 43594]]
['cdk', [44701, 44704]]
['cdk', [45260, 45263]]
['cdk', [46346, 46349]]
['cdk', [46414, 46417]]
['cdk', [46844, 46847]]
['cdk', [47613, 47616]]
['cdk', [47745, 47748]]
['cdk', [47983, 47986]]
['cdk', [49093, 49096]]
['cdk', [49652, 49655]]
['cdk', [50733, 50736]]
['cdk', [54583, 54586]]
['cdk inhibitor', [57, 70]]
['cdk inhibitor', [302, 315]]
['cdk inhibitor', [384, 397]]
['cdk inhibitor', [1657, 1670]]
['cdk inhibitor', [2413, 2426]]
['cdk inhibitor', [2538, 2551]]
['cdk inhibitor', [2654, 2667]]
['cdk inhibitor', [42452, 42465]]
['cdk inhibitor', [44701, 44714]]
['cdk inhibitor', [46844, 46857]]
['cdk inhibitor', [49093, 49106]]
['cdk inhibitor', [50733, 50746]]
['cdk inhibitor', [54583, 54596]]
['mechanisms', [335, 345]]
['small molecule', [369, 383]]
['small molecule', [2523, 2537]]
['small molecule', [42437, 42451]]
['small molecule', [46829, 46843]]
['formerly', [407, 415]]
['intestinal', [25, 35]]
['intestinal', [473, 483]]
['intestinal', [543, 553]]
['intestinal', [1107, 1117]]
['intestinal', [1142, 1152]]
['intestinal', [1582, 1592]]
['intestinal', [2831, 2841]]
['intestinal', [3219, 3229]]
['intestinal', [11495, 11505]]
['intestinal', [15582, 15592]]
['intestinal', [15899, 15909]]
['intestinal', [16065, 16075]]
['intestinal', [17090, 17100]]
['intestinal', [18799, 18809]]
['intestinal', [19073, 19083]]
['intestinal', [23160, 23170]]
['intestinal', [23477, 23487]]
['intestinal', [23643, 23653]]
['intestinal', [24668, 24678]]
['intestinal', [26377, 26387]]
['intestinal', [26643, 26653]]
['intestinal', [28053, 28063]]
['intestinal', [33452, 33462]]
['intestinal', [33769, 33779]]
['intestinal', [33935, 33945]]
['intestinal', [36366, 36376]]
['intestinal', [36683, 36693]]
['intestinal', [36849, 36859]]
['intestinal', [37875, 37885]]
['intestinal', [39584, 39594]]
['intestinal', [39814, 39824]]
['intestinal', [41523, 41533]]
['intestinal', [41788, 41798]]
['intestinal', [42060, 42070]]
['intestinal', [42475, 42485]]
['intestinal', [43470, 43480]]
['intestinal', [43721, 43731]]
['intestinal', [44740, 44750]]
['intestinal', [46180, 46190]]
['intestinal', [46452, 46462]]
['intestinal', [46867, 46877]]
['intestinal', [47862, 47872]]
['intestinal', [48113, 48123]]
['intestinal', [49132, 49142]]
['intestinal', [50828, 50838]]
['intestinal', [51371, 51381]]
['intestinal', [51620, 51630]]
['intestinal', [51882, 51892]]
['intestinal', [53943, 53953]]
['intestinal', [54678, 54688]]
['intestinal', [55221, 55231]]
['intestinal', [55470, 55480]]
['intestinal', [55732, 55742]]
['intestinal', [57793, 57803]]
['mouse', [19, 24]]
['mouse', [501, 506]]
['mouse', [2732, 2737]]
['mouse', [4116, 4121]]
['mouse', [6052, 6057]]
['mouse', [6551, 6556]]
['mouse', [7935, 7940]]
['mouse', [9873, 9878]]
['mouse', [10372, 10377]]
['mouse', [11480, 11485]]
['mouse', [12673, 12678]]
['mouse', [16960, 16965]]
['mouse', [17084, 17089]]
['mouse', [19058, 19063]]
['mouse', [20251, 20256]]
['mouse', [24538, 24543]]
['mouse', [24662, 24667]]
['mouse', [26628, 26633]]
['mouse', [27821, 27826]]
['mouse', [28038, 28043]]
['mouse', [29231, 29236]]
['mouse', [34830, 34835]]
['mouse', [37744, 37749]]
['mouse', [37869, 37874]]
['mouse', [39808, 39813]]
['mouse', [41772, 41777]]
['mouse', [46164, 46169]]
['mouse', [51077, 51082]]
['mouse', [51702, 51707]]
['mouse', [53373, 53378]]
['mouse', [54927, 54932]]
['mouse', [55552, 55557]]
['mouse', [57223, 57228]]
['models', [507, 513]]
['models', [4122, 4128]]
['models', [7941, 7947]]
['models', [41778, 41784]]
['models', [42519, 42525]]
['models', [44340, 44346]]
['models', [46170, 46176]]
['models', [46911, 46917]]
['models', [48732, 48738]]
['model', [507, 512]]
['model', [3262, 3267]]
['model', [4122, 4127]]
['model', [7405, 7410]]
['model', [7941, 7946]]
['model', [11227, 11232]]
['model', [11397, 11402]]
['model', [11486, 11491]]
['model', [12679, 12684]]
['model', [14072, 14077]]
['model', [18975, 18980]]
['model', [19064, 19069]]
['model', [20257, 20262]]
['model', [21650, 21655]]
['model', [26545, 26550]]
['model', [26634, 26639]]
['model', [27827, 27832]]
['model', [27955, 27960]]
['model', [28044, 28049]]
['model', [29237, 29242]]
['model', [30631, 30636]]
['model', [31941, 31946]]
['model', [41778, 41783]]
['model', [42519, 42524]]
['model', [44340, 44345]]
['model', [45938, 45943]]
