['stat3', [76366, 76371]]
['stat3', [76508, 76513]]
['stat3', [76608, 76613]]
['stat3', [76643, 76648]]
['stat3', [76694, 76699]]
['stat3', [76794, 76799]]
['stat3', [76912, 76917]]
['stat3', [76993, 76998]]
['stat3', [77560, 77565]]
['stat3', [77658, 77663]]
['stat3', [77878, 77883]]
['stat3', [78937, 78942]]
['stat3', [81795, 81800]]
['stat3', [81937, 81942]]
['stat3', [82037, 82042]]
['stat3', [82072, 82077]]
['stat3', [82123, 82128]]
['stat3', [82223, 82228]]
['stat3', [82341, 82346]]
['stat3', [82422, 82427]]
['stat3', [82989, 82994]]
['stat3', [83087, 83092]]
['stat3', [83307, 83312]]
['stat3', [84366, 84371]]
['stat3', [85729, 85734]]
['stat3', [86844, 86849]]
['stat3', [88594, 88599]]
['stat3', [89709, 89714]]
['stat3', [91205, 91210]]
['stat3', [91261, 91266]]
['stat3', [91268, 91273]]
['stat3', [91498, 91503]]
['stat3', [91638, 91643]]
['stat3', [91802, 91807]]
['stat3', [91992, 91997]]
['stat3', [92141, 92146]]
['stat3', [92346, 92351]]
['stat3', [92517, 92522]]
['stat3', [92655, 92660]]
['stat3', [92904, 92909]]
['stat3', [92953, 92958]]
['stat3', [93054, 93059]]
['stat3', [97385, 97390]]
['stat3', [97441, 97446]]
['stat3', [97448, 97453]]
['stat3', [97678, 97683]]
['stat3', [97818, 97823]]
['stat3', [97982, 97987]]
['stat3', [98172, 98177]]
['stat3', [98321, 98326]]
['stat3', [98526, 98531]]
['stat3', [98697, 98702]]
['stat3', [98835, 98840]]
['stat3', [99084, 99089]]
['stat3', [99133, 99138]]
['stat3', [99234, 99239]]
['wnt5a', [0, 5]]
['wnt5a', [331, 336]]
['wnt5a', [715, 720]]
['wnt5a', [724, 729]]
['wnt5a', [786, 791]]
['wnt5a', [874, 879]]
['wnt5a', [1001, 1006]]
['wnt5a', [1060, 1065]]
['wnt5a', [1079, 1084]]
['wnt5a', [1221, 1226]]
['wnt5a', [1308, 1313]]
