['neuronal', [26065, 26073]]
['neuronal', [26265, 26273]]
['neuronal', [27506, 27514]]
['neuronal', [27559, 27567]]
['neuronal', [27759, 27767]]
['neuronal', [29000, 29008]]
['neuronal', [29235, 29243]]
['neuronal', [30091, 30099]]
['neuronal', [30326, 30334]]
['neuronal', [31991, 31999]]
['neuronal', [33488, 33496]]
['neuronal', [37709, 37717]]
['neuronal', [38620, 38628]]
['neuronal', [38920, 38928]]
['neuronal', [39777, 39785]]
['neuronal', [45103, 45111]]
['neuronal', [46014, 46022]]
['neuronal', [46314, 46322]]
['neuronal', [47171, 47179]]
['cells', [741, 746]]
['cells', [4194, 4199]]
['cells', [6169, 6174]]
['cells', [6241, 6246]]
['cells', [6539, 6544]]
['cells', [6678, 6683]]
['cells', [7035, 7040]]
['cells', [7134, 7139]]
['cells', [7210, 7215]]
['cells', [7427, 7432]]
['cells', [7996, 8001]]
['cells', [10281, 10286]]
['cells', [12039, 12044]]
['cells', [12111, 12116]]
['cells', [12409, 12414]]
['cells', [12548, 12553]]
['cells', [12905, 12910]]
['cells', [13004, 13009]]
['cells', [13080, 13085]]
['cells', [13297, 13302]]
['cells', [13867, 13872]]
['cells', [16153, 16158]]
['cells', [17906, 17911]]
['cells', [18872, 18877]]
['cells', [19092, 19097]]
['cells', [19313, 19318]]
['cells', [19968, 19973]]
['cells', [20242, 20247]]
['cells', [20821, 20826]]
['cells', [20942, 20947]]
['cells', [21994, 21999]]
['cells', [22960, 22965]]
['cells', [23180, 23185]]
['cells', [23401, 23406]]
['cells', [24056, 24061]]
['cells', [24330, 24335]]
['cells', [24909, 24914]]
['cells', [25030, 25035]]
['cells', [26074, 26079]]
['cells', [27040, 27045]]
['cells', [27260, 27265]]
['cells', [27481, 27486]]
['cells', [27568, 27573]]
['cells', [28534, 28539]]
['cells', [28754, 28759]]
['cells', [28975, 28980]]
['cells', [29631, 29636]]
['cells', [29905, 29910]]
['cells', [30722, 30727]]
['cells', [30996, 31001]]
['cells', [31576, 31581]]
['cells', [31697, 31702]]
['cells', [33073, 33078]]
['cells', [33194, 33199]]
['insulin\\/igf', [965, 977]]
['insulin\\/igf', [19581, 19593]]
['insulin\\/igf', [20548, 20560]]
['insulin\\/igf', [23669, 23681]]
['insulin\\/igf', [24636, 24648]]
['insulin\\/igf', [29244, 29256]]
['insulin\\/igf', [30335, 30347]]
['insulin\\/igf', [31303, 31315]]
['insulin\\/igf', [32800, 32812]]
['insulin\\/igf', [36036, 36048]]
['insulin\\/igf', [38201, 38213]]
['insulin\\/igf', [38314, 38326]]
['insulin\\/igf', [43430, 43442]]
['insulin\\/igf', [45595, 45607]]
['insulin\\/igf', [45708, 45720]]
['insulin', [348, 355]]
['insulin', [571, 578]]
['insulin', [965, 972]]
['insulin', [1096, 1103]]
['insulin', [1108, 1115]]
['insulin', [1396, 1403]]
['insulin', [1748, 1755]]
['insulin', [2012, 2019]]
['insulin', [2350, 2357]]
['insulin', [2755, 2762]]
['insulin', [3751, 3758]]
['insulin', [3874, 3881]]
['insulin', [4615, 4622]]
['insulin', [5128, 5135]]
['insulin', [6008, 6015]]
['insulin', [6295, 6302]]
['insulin', [6370, 6377]]
['insulin', [6382, 6389]]
['insulin', [7709, 7716]]
['insulin', [7768, 7775]]
['insulin', [12165, 12172]]
['insulin', [12240, 12247]]
['insulin', [12252, 12259]]
['insulin', [13580, 13587]]
['insulin', [13639, 13646]]
['insulin', [19346, 19353]]
['insulin', [19506, 19513]]
['insulin', [19581, 19588]]
['insulin', [19709, 19716]]
['insulin', [19718, 19725]]
['insulin', [20334, 20341]]
['insulin', [20548, 20555]]
['insulin', [20753, 20760]]
['insulin', [21329, 21336]]
['insulin', [23434, 23441]]
['insulin', [23594, 23601]]
['insulin', [23669, 23676]]
['insulin', [23797, 23804]]
['insulin', [23806, 23813]]
['insulin', [24422, 24429]]
['insulin', [24636, 24643]]
['insulin', [24841, 24848]]
['insulin', [25417, 25424]]
['insulin', [29009, 29016]]
['insulin', [29169, 29176]]
['insulin', [29244, 29251]]
['insulin', [29372, 29379]]
['insulin', [29381, 29388]]
['insulin', [29997, 30004]]
['insulin', [30100, 30107]]
['insulin', [30260, 30267]]
['insulin', [30335, 30342]]
['insulin', [30463, 30470]]
['insulin', [30472, 30479]]
['insulin', [31088, 31095]]
['insulin', [31303, 31310]]
['insulin', [31508, 31515]]
['insulin', [32084, 32091]]
['insulin', [32800, 32807]]
['insulin', [33005, 33012]]
['insulin', [33581, 33588]]
['insulin', [34406, 34413]]
['insulin', [35458, 35465]]
['insulin', [35844, 35851]]
['insulin', [35890, 35897]]
['insulin', [35899, 35906]]
['insulin', [35988, 35995]]
['insulin', [36036, 36043]]
['insulin', [36352, 36359]]
['insulin', [37575, 37582]]
['insulin', [37633, 37640]]
['insulin', [37968, 37975]]
['insulin', [38201, 38208]]
['insulin', [38314, 38321]]
['insulin', [38929, 38936]]
['insulin', [39253, 39260]]
['insulin', [39470, 39477]]
['insulin', [39882, 39889]]
['insulin', [40328, 40335]]
['insulin', [40793, 40800]]
['insulin', [41800, 41807]]
['insulin', [42852, 42859]]
['insulin', [43238, 43245]]
['insulin', [43284, 43291]]
['insulin', [43293, 43300]]
['insulin', [43382, 43389]]
['insulin', [43430, 43437]]
['insulin', [43746, 43753]]
['insulin', [44969, 44976]]
['insulin', [45027, 45034]]
['insulin', [45362, 45369]]
['insulin', [45595, 45602]]
['insulin', [45708, 45715]]
['insulin', [46323, 46330]]
['insulin', [46647, 46654]]
['insulin', [46864, 46871]]
['insulin', [47276, 47283]]
['insulin', [47722, 47729]]
['insulin', [48187, 48194]]
['insulin-like', [1108, 1120]]
['insulin-like', [6382, 6394]]
['insulin-like', [12252, 12264]]
['growth', [1121, 1127]]
['growth', [3024, 3030]]
['growth', [4077, 4083]]
['growth', [4260, 4266]]
['growth', [6395, 6401]]
['growth', [12265, 12271]]
['factor', [1128, 1134]]
['factor', [2147, 2153]]
['factor', [4416, 4422]]
['factor', [6402, 6408]]
['factor', [12272, 12278]]
['factor', [41117, 41123]]
['factor', [48511, 48517]]
['pp-a', [1195, 1199]]
['pp-a', [36741, 36745]]
['pp-a', [36923, 36927]]
['pp-a', [37026, 37030]]
['pp-a', [37236, 37240]]
['pp-a', [37399, 37403]]
['pp-a', [40005, 40009]]
['pp-a', [40030, 40034]]
['pp-a', [40296, 40300]]
['pp-a', [44135, 44139]]
['pp-a', [44317, 44321]]
['pp-a', [44420, 44424]]
['pp-a', [44630, 44634]]
['pp-a', [44793, 44797]]
['pp-a', [47399, 47403]]
['pp-a', [47424, 47428]]
['pp-a', [47690, 47694]]
['c2d', [881, 884]]
['c2d', [1219, 1222]]
['c2d', [6886, 6889]]
['c2d', [6892, 6895]]
['c2d', [12756, 12759]]
['c2d', [12762, 12765]]
['c2d', [17987, 17990]]
['c2d', [18326, 18329]]
['c2d', [18650, 18653]]
['c2d', [18986, 18989]]
['c2d', [19148, 19151]]
['c2d', [20007, 20010]]
['c2d', [20264, 20267]]
['c2d', [21071, 21074]]
['c2d', [21774, 21777]]
['c2d', [22075, 22078]]
['c2d', [22414, 22417]]
['c2d', [22738, 22741]]
['c2d', [23074, 23077]]
['c2d', [23236, 23239]]
['c2d', [24095, 24098]]
['c2d', [24352, 24355]]
['c2d', [25159, 25162]]
['c2d', [25862, 25865]]
['c2d', [26155, 26158]]
['c2d', [26494, 26497]]
['c2d', [26818, 26821]]
['c2d', [27154, 27157]]
['c2d', [27316, 27319]]
['c2d', [27649, 27652]]
['c2d', [27988, 27991]]
['c2d', [28312, 28315]]
['c2d', [28648, 28651]]
['c2d', [28810, 28813]]
['c2d', [29670, 29673]]
['c2d', [29927, 29930]]
['c2d', [30761, 30764]]
['c2d', [31018, 31021]]
['c2d', [31826, 31829]]
['c2d', [32529, 32532]]
['c2d', [33323, 33326]]
['c2d', [34026, 34029]]
['igf', [973, 976]]
['igf', [1408, 1411]]
['igf', [6410, 6413]]
['igf', [7718, 7721]]
['igf', [12280, 12283]]
['igf', [13589, 13592]]
['igf', [19355, 19358]]
['igf', [19589, 19592]]
['igf', [19736, 19739]]
['igf', [19796, 19799]]
['igf', [19907, 19910]]
['igf', [20343, 20346]]
['igf', [20556, 20559]]
['igf', [23443, 23446]]
['igf', [23677, 23680]]
['igf', [23824, 23827]]
['igf', [23884, 23887]]
['igf', [23995, 23998]]
['igf', [24431, 24434]]
['igf', [24644, 24647]]
['igf', [29018, 29021]]
['igf', [29252, 29255]]
['igf', [29399, 29402]]
['igf', [29459, 29462]]
['igf', [29570, 29573]]
['igf', [30006, 30009]]
['igf', [30109, 30112]]
['igf', [30343, 30346]]
['igf', [30490, 30493]]
['igf', [30550, 30553]]
['igf', [30661, 30664]]
['igf', [31097, 31100]]
['igf', [31311, 31314]]
['igf', [32808, 32811]]
['igf', [35856, 35859]]
['igf', [35908, 35911]]
['igf', [35919, 35922]]
['igf', [36000, 36003]]
['igf', [36044, 36047]]
['igf', [36364, 36367]]
['igf', [36426, 36429]]
['igf', [37587, 37590]]
['igf', [37645, 37648]]
['igf', [38209, 38212]]
['igf', [38322, 38325]]
['igf', [39479, 39482]]
['igf', [39710, 39713]]
['igf', [39786, 39789]]
['igf', [40340, 40343]]
['igf', [40805, 40808]]
['igf', [43250, 43253]]
['igf', [43302, 43305]]
['igf', [43313, 43316]]
['igf', [43394, 43397]]
['igf', [43438, 43441]]
['igf', [43758, 43761]]
['igf', [43820, 43823]]
['igf', [44981, 44984]]
['igf', [45039, 45042]]
['igf', [45603, 45606]]
['igf', [45716, 45719]]
['igf', [46873, 46876]]
['igf', [47104, 47107]]
['igf', [47180, 47183]]
['igf', [47734, 47737]]
['igf', [48199, 48202]]
['pro-inflammatory', [1817, 1833]]
['pro-inflammatory', [2096, 2112]]
['pro-inflammatory', [2179, 2195]]
['pro-inflammatory', [4320, 4336]]
['pro-inflammatory', [5057, 5073]]
['pro-inflammatory', [38356, 38372]]
['pro-inflammatory', [45750, 45766]]
['cytokine', [1834, 1842]]
['cytokine', [2113, 2121]]
['cytokine', [2196, 2204]]
['cytokine', [4337, 4345]]
['cytokine', [5074, 5082]]
['cytokine', [38373, 38381]]
['cytokine', [45767, 45775]]
['\\[', [1854, 1856]]
['\\[', [1975, 1977]]
['\\[', [2031, 2033]]
['\\[', [2168, 2170]]
['\\[', [2258, 2260]]
['\\[', [2479, 2481]]
['\\[', [2571, 2573]]
['\\[', [2855, 2857]]
['\\[', [3233, 3235]]
['\\[', [3376, 3378]]
['\\[', [3502, 3504]]
['\\[', [3770, 3772]]
['\\[', [3893, 3895]]
['\\[', [3951, 3953]]
['\\[', [4043, 4045]]
['\\[', [4267, 4269]]
['\\[', [4360, 4362]]
['\\[', [4458, 4460]]
['\\[', [4633, 4635]]
['\\[', [4747, 4749]]
