['genes', [13244, 13249]]
['genes', [13569, 13574]]
['genes', [13612, 13617]]
['genes', [13652, 13657]]
['genes', [14108, 14113]]
['genes', [14537, 14542]]
['genes', [15252, 15257]]
['genes', [17961, 17966]]
['genes', [20214, 20219]]
['target', [3337, 3343]]
['target', [3510, 3516]]
['target', [8765, 8771]]
['target', [8938, 8944]]
['target', [20048, 20054]]
['expression', [564, 574]]
['expression', [873, 883]]
['expression', [2408, 2418]]
['expression', [2590, 2600]]
['expression', [2687, 2697]]
['expression', [2982, 2992]]
['expression', [3055, 3065]]
['expression', [3362, 3372]]
['expression', [4426, 4436]]
['expression', [5056, 5066]]
['expression', [5641, 5651]]
['expression', [5896, 5906]]
['expression', [7835, 7845]]
['expression', [8017, 8027]]
['expression', [8114, 8124]]
['expression', [8409, 8419]]
['expression', [8482, 8492]]
['expression', [8790, 8800]]
['expression', [9856, 9866]]
['expression', [10486, 10496]]
['expression', [11072, 11082]]
['expression', [11327, 11337]]
['expression', [13555, 13565]]
['expression', [14094, 14104]]
['expression', [18168, 18178]]
['expression', [18372, 18382]]
['expression', [18463, 18473]]
['expression', [19394, 19404]]
['expression', [20927, 20937]]
['analysis', [1437, 1445]]
['analysis', [1467, 1475]]
['analysis', [2265, 2273]]
['analysis', [3066, 3074]]
['analysis', [3373, 3381]]
['analysis', [6863, 6871]]
['analysis', [6893, 6901]]
['analysis', [7692, 7700]]
['analysis', [8493, 8501]]
['analysis', [8801, 8809]]
['analysis', [17073, 17081]]
['analysis', [19871, 19879]]
['genomic', [3382, 3389]]
['genomic', [4164, 4171]]
['genomic', [4208, 4215]]
['genomic', [8810, 8817]]
['genomic', [9593, 9600]]
['genomic', [9637, 9644]]
['genomic', [13291, 13298]]
['genomic', [13445, 13452]]
['genomic', [14767, 14774]]
['genomic', [20380, 20387]]
['genomic', [20554, 20561]]
['dna', [3390, 3393]]
['dna', [4409, 4412]]
['dna', [5469, 5472]]
['dna', [5624, 5627]]
['dna', [5928, 5931]]
['dna', [5972, 5975]]
['dna', [8818, 8821]]
['dna', [9838, 9841]]
['dna', [10900, 10903]]
['dna', [11055, 11058]]
['dna', [11359, 11362]]
['dna', [11403, 11406]]
['cases\\.', [3434, 3441]]
['cases\\.', [8862, 8869]]
['putative', [3441, 3449]]
['putative', [4113, 4121]]
['putative', [8869, 8877]]
['putative', [9542, 9550]]
['exonic', [3450, 3456]]
['exonic', [8878, 8884]]
['regions', [3457, 3464]]
['regions', [3517, 3524]]
['regions', [8885, 8892]]
['regions', [8945, 8952]]
['genome', [3486, 3492]]
['genome', [8914, 8920]]
['m13', [3654, 3657]]
['m13', [9082, 9085]]
['ptprd', [3933, 3938]]
['ptprd', [9362, 9367]]
['reference', [3939, 3948]]
['reference', [9368, 9377]]
['sequence', [3623, 3631]]
['sequence', [3949, 3957]]
['sequence', [4228, 4236]]
['sequence', [5764, 5772]]
['sequence', [9051, 9059]]
['sequence', [9378, 9386]]
['sequence', [9657, 9665]]
['sequence', [11195, 11203]]
['polyscan', [4053, 4061]]
['polyscan', [9482, 9490]]
['3\\.0', [4062, 4066]]
['3\\.0', [9491, 9495]]
['if', [69, 71]]
['if', [195, 197]]
['if', [509, 511]]
['if', [530, 532]]
['if', [632, 634]]
['if', [762, 764]]
['if', [1117, 1119]]
['if', [2165, 2167]]
['if', [2184, 2186]]
['if', [3043, 3045]]
['if', [3186, 3188]]
['if', [3552, 3554]]
['if', [3598, 3600]]
['if', [4310, 4312]]
['if', [4957, 4959]]
['if', [5092, 5094]]
['if', [7592, 7594]]
['if', [7611, 7613]]
['if', [8470, 8472]]
['if', [8613, 8615]]
['if', [8980, 8982]]
['if', [9026, 9028]]
['if', [9739, 9741]]
['if', [10387, 10389]]
['if', [10522, 10524]]
['if', [12206, 12208]]
['if', [12238, 12240]]
['if', [12498, 12500]]
['if', [12841, 12843]]
['if', [12938, 12940]]
['if', [13063, 13065]]
['if', [15259, 15261]]
['if', [15427, 15429]]
['if', [15654, 15656]]
['if', [16055, 16057]]
['if', [16388, 16390]]
['if', [16418, 16420]]
['if', [17019, 17021]]
['if', [18348, 18350]]
['if', [19375, 19377]]
['if', [19919, 19921]]
['if', [19923, 19925]]
['if', [20031, 20033]]
['if', [21262, 21264]]
['immunohistochemistry\\.', [5070, 5092]]
['immunohistochemistry\\.', [10500, 10522]]
['immunohistochemistry\\.', [18182, 18204]]
['antibodies', [5095, 5105]]
['antibodies', [6293, 6303]]
['antibodies', [10525, 10535]]
['antibodies', [11724, 11734]]
['rabbit', [5122, 5128]]
['rabbit', [5208, 5214]]
['rabbit', [10552, 10558]]
['rabbit', [10638, 10644]]
['anti-vegfr2', [5129, 5140]]
['anti-vegfr2', [6281, 6292]]
['anti-vegfr2', [10559, 10570]]
['anti-vegfr2', [11712, 11723]]
['55b11', [4701, 4706]]
['55b11', [5142, 5147]]
['55b11', [10131, 10136]]
['55b11', [10572, 10577]]
['igg', [5215, 5218]]
['igg', [10645, 10648]]
['probe', [2578, 2583]]
['probe', [2671, 2676]]
['probe', [5257, 5262]]
['probe', [8005, 8010]]
['probe', [8098, 8103]]
['probe', [10687, 10692]]
['used', [3170, 3174]]
['used', [5106, 5110]]
['used', [5263, 5267]]
['used', [8597, 8601]]
['used', [10536, 10540]]
['used', [10693, 10697]]
['used', [13159, 13163]]
['included', [1451, 1459]]
['included', [1733, 1741]]
['included', [5111, 5119]]
['included', [5268, 5276]]
['included', [6877, 6885]]
['included', [7159, 7167]]
['included', [10541, 10549]]
['included', [10698, 10706]]
['included', [14905, 14913]]
['overlapping', [5277, 5288]]
['overlapping', [10707, 10718]]
['bac', [2513, 2516]]
['bac', [5289, 5292]]
['bac', [5341, 5344]]
['bac', [7940, 7943]]
['bac', [10719, 10722]]
['bac', [10771, 10774]]
['bac', [17590, 17593]]
['clones', [5293, 5299]]
['clones', [10723, 10729]]
['rp11-168j13', [5315, 5326]]
['rp11-168j13', [10745, 10756]]
['rp11-152o23', [5328, 5339]]
['rp11-152o23', [10758, 10769]]
['chori', [5362, 5367]]
['chori', [10792, 10797]]
['ctd-2360l14', [5374, 5385]]
['ctd-2360l14', [10804, 10815]]
['mutant', [1007, 1013]]
['mutant', [5412, 5418]]
['mutant', [5950, 5956]]
['mutant', [10843, 10849]]
['mutant', [11381, 11387]]
['mutant', [16372, 16378]]
['mutant', [17474, 17480]]
['mutant', [17766, 17772]]
['mutant', [17905, 17911]]
['mutant', [21782, 21788]]
['transfectants', [5419, 5432]]
['transfectants', [10850, 10863]]
['full', [711, 715]]
['full', [3311, 3315]]
['full', [5456, 5460]]
['full', [8739, 8743]]
['full', [10887, 10891]]
['full', [13682, 13686]]
['length', [3316, 3322]]
['length', [5461, 5467]]
['length', [8744, 8750]]
['length', [10892, 10898]]
['cdna', [5468, 5472]]
['cdna', [5623, 5627]]
['cdna', [5927, 5931]]
['cdna', [10899, 10903]]
['cdna', [11054, 11058]]
['cdna', [11358, 11362]]
['kpni', [5568, 5572]]
['kpni', [10999, 11003]]
['noti', [5577, 5581]]
['noti', [11008, 11012]]
['restriction', [5582, 5593]]
['restriction', [11013, 11024]]
['enzymes', [5594, 5601]]
['enzymes', [11025, 11032]]
['pcdna3\\.1\\-hygro', [5622, 5638]]
['pcdna3\\.1\\-hygro', [11053, 11069]]
['\\(', [106, 108]]
['\\(', [1503, 1505]]
['\\(', [1597, 1599]]
['\\(', [1693, 1695]]
['\\(', [1746, 1748]]
['\\(', [1781, 1783]]
['\\(', [1811, 1813]]
['\\(', [1837, 1839]]
['\\(', [1992, 1994]]
['\\(', [2059, 2061]]
['\\(', [2325, 2327]]
['\\(', [2371, 2373]]
['\\(', [2490, 2492]]
['\\(', [2974, 2976]]
['\\(', [3127, 3129]]
['\\(', [3216, 3218]]
['\\(', [3698, 3700]]
['\\(', [3989, 3991]]
['\\(', [4042, 4044]]
['\\(', [4066, 4068]]
