['aromatase', [17277, 17286]]
['aromatase', [22386, 22395]]
['ovarian', [57, 64]]
['ovarian', [832, 839]]
['ovarian', [1049, 1056]]
['ovarian', [1288, 1295]]
['ovarian', [1341, 1348]]
['ovarian', [1559, 1566]]
['ovarian', [3364, 3371]]
['ovarian', [3400, 3407]]
['ovarian', [3716, 3723]]
['ovarian', [3832, 3839]]
['ovarian', [3952, 3959]]
['ovarian', [4285, 4292]]
['ovarian', [4401, 4408]]
['ovarian', [4521, 4528]]
['ovarian', [4771, 4778]]
['ovarian', [4934, 4941]]
['ovarian', [5037, 5044]]
['ovarian', [5126, 5133]]
['ovarian', [5284, 5291]]
['ovarian', [5664, 5671]]
['ovarian', [5751, 5758]]
['ovarian', [5985, 5992]]
['ovarian', [6174, 6181]]
['ovarian', [6303, 6310]]
['ovarian', [6764, 6771]]
['ovarian', [7108, 7115]]
['ovarian', [7487, 7494]]
['ovarian', [7579, 7586]]
['ovarian', [7647, 7654]]
['ovarian', [7754, 7761]]
['ovarian', [8118, 8125]]
['ovarian', [8258, 8265]]
['ovarian', [8485, 8492]]
['ovarian', [8648, 8655]]
['ovarian', [8751, 8758]]
['ovarian', [8840, 8847]]
['ovarian', [8998, 9005]]
['ovarian', [9378, 9385]]
['ovarian', [9465, 9472]]
['ovarian', [9699, 9706]]
['ovarian', [9888, 9895]]
['ovarian', [10017, 10024]]
['ovarian', [10478, 10485]]
['ovarian', [10822, 10829]]
['ovarian', [11201, 11208]]
['ovarian', [11293, 11300]]
['ovarian', [11361, 11368]]
['ovarian', [11468, 11475]]
['ovarian', [11832, 11839]]
['ovarian', [11972, 11979]]
['ovarian', [12208, 12215]]
['ovarian', [12587, 12594]]
['ovarian', [12639, 12646]]
['ovarian', [13018, 13025]]
['ovarian', [13111, 13118]]
['ovarian', [13179, 13186]]
['ovarian', [13324, 13331]]
['ovarian', [13392, 13399]]
['ovarian', [13500, 13507]]
['ovarian', [13788, 13795]]
['ovarian', [14153, 14160]]
['ovarian', [14293, 14300]]
['ovarian', [14610, 14617]]
['ovarian', [14750, 14757]]
['ovarian', [15060, 15067]]
['ovarian', [15098, 15105]]
['ovarian', [15439, 15446]]
['ovarian', [15647, 15654]]
['ovarian', [16238, 16245]]
['ovarian', [16367, 16374]]
['ovarian', [16711, 16718]]
['ovarian', [17233, 17240]]
['ovarian', [17516, 17523]]
['ovarian', [17615, 17622]]
['ovarian', [17799, 17806]]
['ovarian', [18141, 18148]]
['ovarian', [18307, 18314]]
['ovarian', [18401, 18408]]
['ovarian', [19225, 19232]]
['ovarian', [19840, 19847]]
['ovarian', [20169, 20176]]
['ovarian', [20207, 20214]]
['ovarian', [20548, 20555]]
['ovarian', [20756, 20763]]
['ovarian', [21347, 21354]]
['ovarian', [21476, 21483]]
['ovarian', [21820, 21827]]
