['ct', [37754, 37756]]
['ct', [37816, 37818]]
['ct', [38049, 38051]]
['ct', [38385, 38387]]
['ct', [38537, 38539]]
['ct', [38617, 38619]]
['ct', [38847, 38849]]
['ct', [38962, 38964]]
['ct', [39010, 39012]]
['ct', [39159, 39161]]
['ct', [39304, 39306]]
['ct', [39494, 39496]]
['ct', [39808, 39810]]
['ct', [40109, 40111]]
['ct', [40164, 40166]]
['ct', [40233, 40235]]
['ct', [40281, 40283]]
['ct', [40394, 40396]]
['ct', [40422, 40424]]
['ct', [40437, 40439]]
['ct', [40731, 40733]]
['ct', [41047, 41049]]
['ct', [41383, 41385]]
['ct', [41460, 41462]]
['ct', [41585, 41587]]
['ct', [41759, 41761]]
['ct', [41879, 41881]]
['ct', [42049, 42051]]
['ct', [42083, 42085]]
['ct', [42247, 42249]]
['ct', [42264, 42266]]
['ct', [42330, 42332]]
['ct', [42462, 42464]]
['ct', [42632, 42634]]
['ct', [42682, 42684]]
['ct', [42759, 42761]]
['ct', [42961, 42963]]
['ct', [43026, 43028]]
['ct', [43055, 43057]]
['ct', [43271, 43273]]
['ct', [43289, 43291]]
['ct', [43319, 43321]]
['ct', [43636, 43638]]
['ct', [43711, 43713]]
['ct', [43807, 43809]]
['ct', [44046, 44048]]
['ct', [44084, 44086]]
['ct', [44237, 44239]]
['ct', [44441, 44443]]
['ct', [44751, 44753]]
['ct', [44813, 44815]]
['ct', [45046, 45048]]
['ct', [45382, 45384]]
['ct', [45534, 45536]]
['ct', [45614, 45616]]
['ct', [45844, 45846]]
['ct', [45959, 45961]]
['ct', [46007, 46009]]
['ct', [46156, 46158]]
['ct', [46301, 46303]]
['ct', [46491, 46493]]
['ct', [46805, 46807]]
['ct', [47106, 47108]]
['ct', [47196, 47198]]
['ct', [47696, 47698]]
['ct', [47755, 47757]]
['ct', [47808, 47810]]
['ct', [47822, 47824]]
['ct', [47915, 47917]]
['ct', [47937, 47939]]
['ct', [48070, 48072]]
['ct', [48123, 48125]]
['ct', [48129, 48131]]
['ct', [48166, 48168]]
['ct', [48202, 48204]]
['ct', [48308, 48310]]
['ct', [48430, 48432]]
['ct', [48574, 48576]]
['ct', [48862, 48864]]
['ct', [48887, 48889]]
['ct', [48945, 48947]]
['mri', [171, 174]]
['mri', [518, 521]]
['mri', [791, 794]]
['mri', [1030, 1033]]
['mri', [1254, 1257]]
['mri', [1545, 1548]]
['mri', [3879, 3882]]
['mri', [4065, 4068]]
['mri', [4526, 4529]]
['mri', [4640, 4643]]
['mri', [4861, 4864]]
['mri', [5135, 5138]]
['mri', [5374, 5377]]
['mri', [5598, 5601]]
['mri', [5890, 5893]]
['mri', [7133, 7136]]
['mri', [7564, 7567]]
['mri', [8182, 8185]]
['mri', [11431, 11434]]
['mri', [12476, 12479]]
['mri', [12557, 12560]]
['mri', [12653, 12656]]
['mri', [12855, 12858]]
['mri', [13342, 13345]]
['mri', [13405, 13408]]
['mri', [13497, 13500]]
['mri', [13651, 13654]]
['mri', [13754, 13757]]
['mri', [17420, 17423]]
['mri', [18465, 18468]]
['mri', [18546, 18549]]
['mri', [18642, 18645]]
['mri', [18844, 18847]]
['mri', [19331, 19334]]
['mri', [19394, 19397]]
['mri', [19486, 19489]]
['mri', [19640, 19643]]
['mri', [19743, 19746]]
['mri', [22875, 22878]]
['mri', [24517, 24520]]
['mri', [25563, 25566]]
['mri', [25644, 25647]]
['mri', [25740, 25743]]
['mri', [25942, 25945]]
['mri', [26469, 26472]]
['mri', [26550, 26553]]
['mri', [26646, 26649]]
['mri', [26848, 26851]]
['mri', [27336, 27339]]
['mri', [27399, 27402]]
['mri', [27491, 27494]]
['mri', [27645, 27648]]
['mri', [27748, 27751]]
['mri', [28030, 28033]]
['mri', [28093, 28096]]
['mri', [28185, 28188]]
['mri', [28339, 28342]]
['mri', [28442, 28445]]
['mri', [35201, 35204]]
['mri', [35519, 35522]]
['mri', [35615, 35618]]
['mri', [35905, 35908]]
['mri', [36310, 36313]]
['mri', [37027, 37030]]
['mri', [37299, 37302]]
['mri', [38854, 38857]]
['mri', [42198, 42201]]
['mri', [42516, 42519]]
['mri', [42612, 42615]]
['mri', [42902, 42905]]
['mri', [43307, 43310]]
['mri', [44024, 44027]]
['mri', [44296, 44299]]
['mri', [45851, 45854]]
['mri', [48088, 48091]]
['mri', [48280, 48283]]
['mri', [48948, 48951]]
['neurological', [310, 322]]
['neurological', [1510, 1522]]
['neurological', [1651, 1663]]
['neurological', [5855, 5867]]
['neurological', [5996, 6008]]
['neurological', [11373, 11385]]
['neurological', [15322, 15334]]
['neurological', [16214, 16226]]
