['bcl2', [5538, 5542]]
['akt', [5544, 5547]]
['akt', [12271, 12274]]
['akt', [13802, 13805]]
['akt', [13905, 13908]]
['nf', [5549, 5551]]
['nf', [6291, 6293]]
['nf', [6697, 6699]]
['nf', [6841, 6843]]
['nf', [9177, 9179]]
['nf', [12672, 12674]]
['nf', [13807, 13809]]
['nf', [13846, 13848]]
['nf', [15550, 15552]]
['\\?', [5551, 5553]]
['\\?', [13809, 13811]]
['\\?', [13848, 13850]]
['\\?', [16421, 16423]]
['\\?', [16520, 16522]]
['\\?', [16582, 16584]]
['\\?', [16736, 16738]]
['b', [200, 201]]
['b', [302, 303]]
['b', [315, 316]]
['b', [436, 437]]
['b', [550, 551]]
['b', [755, 756]]
['b', [770, 771]]
['b', [808, 809]]
['b', [888, 889]]
['b', [903, 904]]
['b', [962, 963]]
['b', [964, 965]]
['b', [974, 975]]
['b', [1138, 1139]]
['b', [1731, 1732]]
['b', [1780, 1781]]
['b', [1813, 1814]]
['b', [2042, 2043]]
['b', [2140, 2141]]
['b', [2237, 2238]]
['b', [2296, 2297]]
['b', [2548, 2549]]
['b', [2593, 2594]]
['b', [2662, 2663]]
['b', [2761, 2762]]
['b', [2788, 2789]]
['b', [3005, 3006]]
['b', [3140, 3141]]
['b', [3291, 3292]]
['b', [3449, 3450]]
['b', [3525, 3526]]
['b', [3613, 3614]]
['b', [3778, 3779]]
['b', [3799, 3800]]
['b', [3854, 3855]]
['b', [3996, 3997]]
['b', [4168, 4169]]
['b', [4208, 4209]]
['b', [4324, 4325]]
['b', [4530, 4531]]
['b', [4908, 4909]]
['b', [5144, 5145]]
['b', [5182, 5183]]
['b', [5210, 5211]]
['b', [5241, 5242]]
['b', [5538, 5539]]
['b', [5552, 5553]]
['b', [5669, 5670]]
['b', [5698, 5699]]
['b', [5822, 5823]]
['b', [6103, 6104]]
['b', [6110, 6111]]
['b', [6656, 6657]]
['b', [6865, 6866]]
['b', [6877, 6878]]
['b', [6984, 6985]]
['b', [7031, 7032]]
['b', [7367, 7368]]
['b', [7413, 7414]]
['b', [7708, 7709]]
['b', [7712, 7713]]
['b', [7724, 7725]]
['b', [7968, 7969]]
['b', [8152, 8153]]
['b', [8218, 8219]]
['b', [8367, 8368]]
['b', [8442, 8443]]
['b', [8521, 8522]]
['b', [8565, 8566]]
['b', [8590, 8591]]
['b', [8685, 8686]]
['b', [8695, 8696]]
['b', [8701, 8702]]
['b', [8713, 8714]]
['b', [8824, 8825]]
['b', [8859, 8860]]
['b', [8948, 8949]]
['b', [8963, 8964]]
['b', [9084, 9085]]
['b', [9131, 9132]]
['b', [9172, 9173]]
['b', [9213, 9214]]
['b', [9252, 9253]]
['b', [9302, 9303]]
['b', [9342, 9343]]
['b', [9407, 9408]]
['b', [9519, 9520]]
['b', [9581, 9582]]
['b', [9971, 9972]]
['b', [10116, 10117]]
['b', [10360, 10361]]
['b', [10657, 10658]]
['b', [10681, 10682]]
['b', [10919, 10920]]
['b', [11047, 11048]]
['b', [11107, 11108]]
['b', [11132, 11133]]
['b', [11188, 11189]]
['b', [11361, 11362]]
['b', [11403, 11404]]
['b', [11488, 11489]]
['b', [11501, 11502]]
['b', [11666, 11667]]
['b', [11813, 11814]]
['b', [12054, 12055]]
['b', [12066, 12067]]
['b', [12248, 12249]]
['b', [12327, 12328]]
['b', [12588, 12589]]
['b', [12711, 12712]]
['b', [12897, 12898]]
['b', [13111, 13112]]
['b', [13232, 13233]]
['b', [13429, 13430]]
['b', [13602, 13603]]
['b', [13687, 13688]]
['b', [13698, 13699]]
['b', [13720, 13721]]
['b', [13729, 13730]]
['b', [13810, 13811]]
['b', [13849, 13850]]
['b', [14096, 14097]]
['b', [14190, 14191]]
['b', [14828, 14829]]
['b', [15240, 15241]]
['b', [15338, 15339]]
['b', [15490, 15491]]
['b', [15545, 15546]]
['b', [15562, 15563]]
['b', [15601, 15602]]
['b', [15740, 15741]]
['b', [15743, 15744]]
['b', [15799, 15800]]
['b', [15908, 15909]]
['b', [16113, 16114]]
['b', [16227, 16228]]
['b', [16605, 16606]]
['b', [16699, 16700]]
['b', [16856, 16857]]
['vegf', [5555, 5559]]
['vegf', [13840, 13844]]
['human', [5985, 5990]]
['human', [14524, 14529]]
['human', [14646, 14651]]
['cell', [5387, 5391]]
['cell', [5405, 5409]]
['cell', [5436, 5440]]
['cell', [6007, 6011]]
['cell', [6156, 6160]]
['cell', [6194, 6198]]
['cell', [6447, 6451]]
['cell', [7385, 7389]]
['cell', [12004, 12008]]
['cell', [14387, 14391]]
['cell', [14537, 14541]]
['cell', [14668, 14672]]
['cell', [16859, 16863]]
['lines', [6012, 6017]]
['target', [5504, 5510]]
['target', [6073, 6079]]
['target', [6530, 6536]]
['target', [12212, 12218]]
['target', [13647, 13653]]
['target', [13954, 13960]]
['target', [16882, 16888]]
['genes', [5464, 5469]]
['genes', [5891, 5896]]
['genes', [6080, 6085]]
['genes', [13831, 13836]]
['cells', [6447, 6452]]
['cells', [14387, 14392]]
['cells', [14537, 14542]]
['cells', [14668, 14673]]
['trial', [721, 726]]
['trial', [3174, 3179]]
['trial', [4418, 4423]]
['trial', [4934, 4939]]
['trial', [7122, 7127]]
['trial', [7199, 7204]]
['trial', [7571, 7576]]
['trial', [7760, 7765]]
['trial', [7902, 7907]]
['trial', [7998, 8003]]
['trial', [8661, 8666]]
['trial', [9395, 9400]]
['trial', [9995, 10000]]
['trial', [10033, 10038]]
['trial', [10082, 10087]]
['trial', [11033, 11038]]
['trial', [11242, 11247]]
['trial', [12406, 12411]]
['trial', [12513, 12518]]
['trial', [15148, 15153]]
['sm', [2234, 2236]]
['sm', [5140, 5142]]
['sm', [8079, 8081]]
['sm', [8371, 8373]]
['sm', [8389, 8391]]
['sm', [8561, 8563]]
['sm', [8574, 8576]]
['sm', [9156, 9158]]
['sm', [9542, 9544]]
['sm', [9764, 9766]]
['sm', [10893, 10895]]
['sm', [10983, 10985]]
['sm', [11174, 11176]]
['sm', [11757, 11759]]
['sm', [13628, 13630]]
['sm', [15114, 15116]]
['sm', [15234, 15236]]
['sm', [15330, 15332]]
['sm', [16498, 16500]]
