['cancer', [93539, 93545]]
['cancer', [94300, 94306]]
['populations', [538, 549]]
['populations', [1133, 1144]]
['populations', [4103, 4114]]
['populations', [4899, 4910]]
['populations', [6676, 6687]]
['populations', [7749, 7760]]
['populations', [8552, 8563]]
['populations', [12007, 12018]]
['populations', [15471, 15482]]
['populations', [15711, 15722]]
['populations', [19876, 19887]]
['populations', [21493, 21504]]
['populations', [22588, 22599]]
['populations', [27395, 27406]]
['populations', [30859, 30870]]
['populations', [31099, 31110]]
['populations', [35264, 35275]]
['populations', [36881, 36892]]
['populations', [37976, 37987]]
['populations', [43148, 43159]]
['populations', [43388, 43399]]
['populations', [47553, 47564]]
['populations', [49170, 49181]]
['populations', [50265, 50276]]
['populations', [53085, 53096]]
['populations', [53325, 53336]]
['populations', [57490, 57501]]
['populations', [59107, 59118]]
['populations', [60202, 60213]]
['promis-sf', [1459, 1468]]
['promis-sf', [1487, 1496]]
['promis-sf', [6385, 6394]]
['promis-sf', [7057, 7066]]
['promis-sf', [8076, 8085]]
['promis-sf', [8104, 8113]]
['promis-sf', [24985, 24994]]
['promis-sf', [25017, 25026]]
['promis-sf', [25644, 25653]]
['promis-sf', [40373, 40382]]
['promis-sf', [40405, 40414]]
['promis-sf', [41032, 41041]]
['promis-sf', [62600, 62609]]
['promis-sf', [62632, 62641]]
['promis-sf', [63259, 63268]]
['promis-sf', [64953, 64962]]
['promis-sf', [64985, 64994]]
['promis-sf', [65612, 65621]]
['survivors', [1875, 1884]]
['survivors', [2107, 2116]]
['survivors', [2402, 2411]]
['survivors', [2502, 2511]]
['survivors', [2656, 2665]]
['survivors', [4159, 4168]]
['survivors', [13474, 13483]]
['survivors', [17813, 17822]]
['survivors', [18342, 18351]]
['survivors', [21347, 21356]]
['survivors', [21955, 21964]]
['survivors', [22210, 22219]]
['survivors', [24750, 24759]]
['survivors', [24892, 24901]]
['survivors', [28862, 28871]]
['survivors', [33201, 33210]]
['survivors', [33730, 33739]]
['survivors', [36735, 36744]]
['survivors', [37343, 37352]]
['survivors', [37598, 37607]]
['survivors', [40138, 40147]]
['survivors', [40280, 40289]]
['survivors', [45490, 45499]]
['survivors', [46019, 46028]]
['survivors', [49024, 49033]]
['survivors', [49632, 49641]]
['survivors', [49887, 49896]]
['survivors', [55427, 55436]]
['survivors', [55956, 55965]]
['survivors', [58961, 58970]]
['survivors', [59569, 59578]]
['survivors', [59824, 59833]]
['survivors', [62365, 62374]]
['survivors', [62507, 62516]]
['survivors', [64718, 64727]]
['survivors', [64860, 64869]]
['sites', [4331, 4336]]
['sites', [20984, 20989]]
['sites', [23270, 23275]]
['sites', [23423, 23428]]
['sites', [36372, 36377]]
['sites', [38658, 38663]]
['sites', [38811, 38816]]
['sites', [48661, 48666]]
['sites', [50947, 50952]]
['sites', [51100, 51105]]
['sites', [58598, 58603]]
['sites', [60884, 60889]]
['sites', [61037, 61042]]
['sites', [67718, 67723]]
['sites', [68329, 68334]]
['sites', [82945, 82950]]
['sites', [83556, 83561]]
['cat', [3448, 3451]]
['cat', [3554, 3557]]
['cat', [4137, 4140]]
['cat', [5713, 5716]]
['cat', [10346, 10349]]
['cat', [10675, 10678]]
['cat', [11061, 11064]]
['cat', [13947, 13950]]
['cat', [14388, 14391]]
['cat', [15098, 15101]]
['cat', [17514, 17517]]
['cat', [18565, 18568]]
['cat', [20382, 20385]]
['cat', [20424, 20427]]
['cat', [21999, 22002]]
['cat', [22369, 22372]]
['cat', [23437, 23440]]
['cat', [26063, 26066]]
['cat', [26449, 26452]]
['cat', [29335, 29338]]
['cat', [29776, 29779]]
['cat', [30486, 30489]]
['cat', [32902, 32905]]
['cat', [33953, 33956]]
['cat', [35770, 35773]]
['cat', [35812, 35815]]
['cat', [37387, 37390]]
['cat', [37757, 37760]]
['cat', [38825, 38828]]
['cat', [41624, 41627]]
['cat', [42065, 42068]]
['cat', [42775, 42778]]
['cat', [45191, 45194]]
['cat', [46242, 46245]]
['cat', [48059, 48062]]
['cat', [48101, 48104]]
['cat', [49676, 49679]]
['cat', [50046, 50049]]
['cat', [51114, 51117]]
['cat', [51561, 51564]]
['cat', [52002, 52005]]
['cat', [52712, 52715]]
['cat', [55128, 55131]]
['cat', [56179, 56182]]
['cat', [57996, 57999]]
['cat', [58038, 58041]]
['cat', [59613, 59616]]
['cat', [59983, 59986]]
['cat', [61051, 61054]]
['cat', [66206, 66209]]
['cat', [69116, 69119]]
['cat', [69719, 69722]]
['cat', [70497, 70500]]
['cat', [77794, 77797]]
['cat', [78471, 78474]]
['cat', [79801, 79804]]
['cat', [80578, 80581]]
['cat', [81433, 81436]]
['cat', [84343, 84346]]
['cat', [84946, 84949]]
['cat', [85724, 85727]]
['cat', [93021, 93024]]
['cat', [93698, 93701]]
['cat', [95028, 95031]]
['cat', [95805, 95808]]
['item', [5498, 5502]]
['item', [5719, 5723]]
['item', [6057, 6061]]
['item', [6395, 6399]]
['item', [9386, 9390]]
['item', [11270, 11274]]
['item', [11331, 11335]]
['item', [12563, 12567]]
['item', [13510, 13514]]
['item', [13996, 14000]]
['item', [14157, 14161]]
['item', [15947, 15951]]
['item', [18660, 18664]]
['item', [18724, 18728]]
['item', [19047, 19051]]
['item', [19059, 19063]]
['item', [20775, 20779]]
['item', [21520, 21524]]
['item', [22301, 22305]]
['item', [24486, 24490]]
['item', [24569, 24573]]
['item', [24619, 24623]]
['item', [24719, 24723]]
['item', [24947, 24951]]
['item', [24971, 24975]]
['item', [24995, 24999]]
['item', [26658, 26662]]
['item', [26719, 26723]]
['item', [27951, 27955]]
['item', [28898, 28902]]
['item', [29384, 29388]]
['item', [29545, 29549]]
['item', [31335, 31339]]
['item', [34048, 34052]]
['item', [34112, 34116]]
['item', [34435, 34439]]
['item', [34447, 34451]]
['item', [36163, 36167]]
['item', [36908, 36912]]
['item', [37689, 37693]]
['item', [39874, 39878]]
['item', [39957, 39961]]
['item', [40007, 40011]]
['item', [40107, 40111]]
['item', [40335, 40339]]
['item', [40359, 40363]]
['item', [40383, 40387]]
['item', [41673, 41677]]
['item', [41834, 41838]]
['item', [43624, 43628]]
['item', [46337, 46341]]
['item', [46401, 46405]]
['item', [46724, 46728]]
['item', [46736, 46740]]
['item', [48452, 48456]]
['item', [49197, 49201]]
['item', [49978, 49982]]
['item', [51610, 51614]]
['item', [51771, 51775]]
['item', [53561, 53565]]
['item', [56274, 56278]]
['item', [56338, 56342]]
['item', [56661, 56665]]
['item', [56673, 56677]]
['item', [58389, 58393]]
['item', [59134, 59138]]
['item', [59915, 59919]]
['item', [62101, 62105]]
['item', [62184, 62188]]
['item', [62234, 62238]]
['item', [62334, 62338]]
['item', [62562, 62566]]
['item', [62586, 62590]]
['item', [62610, 62614]]
['item', [64454, 64458]]
['item', [64537, 64541]]
['item', [64587, 64591]]
['item', [64687, 64691]]
['item', [64915, 64919]]
['item', [64939, 64943]]
['item', [64963, 64967]]
['item', [67581, 67585]]
['item', [79262, 79266]]
['item', [82808, 82812]]
['item', [94489, 94493]]
['banks', [5503, 5508]]
['banks', [5724, 5729]]
['banks', [6062, 6067]]
['banks', [6400, 6405]]
['major', [6724, 6729]]
['major', [6983, 6988]]
['major', [13745, 13750]]
['major', [29133, 29138]]
['major', [41422, 41427]]
['major', [51359, 51364]]
['sexual', [47, 53]]
['sexual', [84, 90]]
['sexual', [269, 275]]
['sexual', [498, 504]]
['sexual', [879, 885]]
['sexual', [1045, 1051]]
['sexual', [1218, 1224]]
['sexual', [1255, 1261]]
['sexual', [1368, 1374]]
['sexual', [1607, 1613]]
['sexual', [1783, 1789]]
['sexual', [1849, 1855]]
['sexual', [2130, 2136]]
['sexual', [2241, 2247]]
['sexual', [2260, 2266]]
['sexual', [2368, 2374]]
['sexual', [2578, 2584]]
['sexual', [2704, 2710]]
['sexual', [2782, 2788]]
['sexual', [2821, 2827]]
['sexual', [3040, 3046]]
['sexual', [3243, 3249]]
['sexual', [3786, 3792]]
['sexual', [4039, 4045]]
['sexual', [4382, 4388]]
['sexual', [4608, 4614]]
