['t', [4013, 4014]]
['t', [4056, 4057]]
['t', [4071, 4072]]
['t', [4085, 4086]]
['t', [4120, 4121]]
['t', [4138, 4139]]
['t', [4150, 4151]]
['t', [4179, 4180]]
['t', [4195, 4196]]
['t', [4223, 4224]]
['t', [4257, 4258]]
['t', [4278, 4279]]
['t', [4284, 4285]]
['t', [4307, 4308]]
['t', [4322, 4323]]
['t', [4325, 4326]]
['t', [4333, 4334]]
['t', [4345, 4346]]
['t', [4352, 4353]]
['t', [4386, 4387]]
['t', [4419, 4420]]
['t', [4424, 4425]]
['t', [4460, 4461]]
['t', [4512, 4513]]
['t', [4538, 4539]]
['t', [4565, 4566]]
['t', [4572, 4573]]
['t', [4575, 4576]]
['t', [4593, 4594]]
['t', [4621, 4622]]
['t', [4632, 4633]]
['t', [4645, 4646]]
['t', [4649, 4650]]
['t', [4656, 4657]]
['t', [4664, 4665]]
['t', [4695, 4696]]
['t', [4719, 4720]]
['t', [4725, 4726]]
['t', [4750, 4751]]
['t', [4756, 4757]]
['t', [4785, 4786]]
['t', [4806, 4807]]
['t', [4811, 4812]]
['t', [4827, 4828]]
['t', [4850, 4851]]
['t', [4859, 4860]]
['t', [4861, 4862]]
['t', [4863, 4864]]
['t', [4892, 4893]]
['t', [4906, 4907]]
['t', [4915, 4916]]
['t', [4922, 4923]]
['t', [4934, 4935]]
['t', [4943, 4944]]
['t', [4947, 4948]]
['t', [5020, 5021]]
['t', [5029, 5030]]
['t', [5042, 5043]]
['t', [5049, 5050]]
['t', [5051, 5052]]
['t', [5059, 5060]]
['t', [5117, 5118]]
['t', [5134, 5135]]
['t', [5143, 5144]]
['t', [5149, 5150]]
['t', [5200, 5201]]
['t', [5217, 5218]]
['t', [5238, 5239]]
['t', [5266, 5267]]
['t', [5272, 5273]]
['t', [5292, 5293]]
['t', [5313, 5314]]
['t', [5323, 5324]]
['t', [5342, 5343]]
['t', [5423, 5424]]
['t', [5428, 5429]]
['t', [5452, 5453]]
['t', [5463, 5464]]
['t', [5472, 5473]]
['t', [5492, 5493]]
['t', [5495, 5496]]
['t', [5500, 5501]]
['t', [5522, 5523]]
['t', [5537, 5538]]
['t', [5544, 5545]]
['t', [5555, 5556]]
['t', [5596, 5597]]
['t', [5640, 5641]]
['t', [5647, 5648]]
['t', [5685, 5686]]
['t', [5693, 5694]]
['t', [5743, 5744]]
['t', [5758, 5759]]
['t', [5767, 5768]]
['t', [5776, 5777]]
['t', [5805, 5806]]
['t', [5808, 5809]]
['t', [5819, 5820]]
['t', [5832, 5833]]
['t', [5836, 5837]]
['t', [5843, 5844]]
['t', [5863, 5864]]
['t', [5877, 5878]]
['t', [5892, 5893]]
['t', [5912, 5913]]
['t', [5921, 5922]]
['t', [5972, 5973]]
['t', [6003, 6004]]
['t', [6014, 6015]]
['t', [6020, 6021]]
['t', [6074, 6075]]
['t', [6128, 6129]]
['t', [6136, 6137]]
['t', [6155, 6156]]
['t', [6175, 6176]]
['t', [6181, 6182]]
['t', [6199, 6200]]
['t', [6203, 6204]]
['t', [6219, 6220]]
['t', [6236, 6237]]
['t', [6245, 6246]]
['t', [6255, 6256]]
['t', [6263, 6264]]
['t', [6267, 6268]]
['t', [6287, 6288]]
['t', [6333, 6334]]
['t', [6337, 6338]]
['t', [6366, 6367]]
['t', [6385, 6386]]
['t', [6420, 6421]]
['t', [6430, 6431]]
['t', [6438, 6439]]
['t', [6447, 6448]]
['t', [6464, 6465]]
['t', [6492, 6493]]
['t', [6496, 6497]]
['t', [6513, 6514]]
['t', [6542, 6543]]
['t', [6556, 6557]]
['t', [6565, 6566]]
['t', [6573, 6574]]
['t', [6578, 6579]]
['t', [6585, 6586]]
['t', [6596, 6597]]
['t', [6640, 6641]]
['t', [6646, 6647]]
['t', [6676, 6677]]
['t', [6690, 6691]]
['t', [6725, 6726]]
['t', [6731, 6732]]
['t', [6741, 6742]]
['t', [6767, 6768]]
['t', [6772, 6773]]
['t', [6788, 6789]]
['t', [6791, 6792]]
['t', [6798, 6799]]
['t', [6808, 6809]]
['t', [6813, 6814]]
['t', [6842, 6843]]
['t', [6870, 6871]]
['t', [6884, 6885]]
['t', [6900, 6901]]
['t', [6930, 6931]]
['t', [6945, 6946]]
['t', [6967, 6968]]
['t', [6997, 6998]]
['t', [7005, 7006]]
['t', [7013, 7014]]
['t', [7037, 7038]]
['t', [7063, 7064]]
['t', [7108, 7109]]
['t', [7124, 7125]]
['t', [7132, 7133]]
['t', [7160, 7161]]
['t', [7184, 7185]]
['t', [7199, 7200]]
['t', [7216, 7217]]
['t', [7236, 7237]]
['t', [7264, 7265]]
['t', [7266, 7267]]
['t', [7268, 7269]]
['t', [7274, 7275]]
['t', [7286, 7287]]
['t', [7302, 7303]]
['t', [7313, 7314]]
['t', [7347, 7348]]
['t', [7352, 7353]]
['t', [7360, 7361]]
['t', [7361, 7362]]
['t', [7363, 7364]]
['t', [7371, 7372]]
['t', [7373, 7374]]
['t', [7378, 7379]]
['t', [7387, 7388]]
['t', [7393, 7394]]
['t', [7398, 7399]]
['t', [7399, 7400]]
['t', [7402, 7403]]
['t', [7415, 7416]]
['t', [7417, 7418]]
['t', [7419, 7420]]
['t', [7462, 7463]]
['t', [7464, 7465]]
['t', [7465, 7466]]
