['dopamine', [89874, 89882]]
['dopamine', [89931, 89939]]
['dopamine', [90027, 90035]]
['dopamine', [90128, 90136]]
['dopamine', [90362, 90370]]
['dopamine', [90402, 90410]]
['dopamine', [91533, 91541]]
['dopamine', [91731, 91739]]
['dopamine', [91755, 91763]]
['dopamine', [91942, 91950]]
['dopamine', [91999, 92007]]
['dopamine', [92095, 92103]]
['dopamine', [92196, 92204]]
['dopamine', [92430, 92438]]
['dopamine', [92470, 92478]]
['dopamine', [93601, 93609]]
['dopamine', [93799, 93807]]
['dopamine', [93823, 93831]]
['dopamine', [94010, 94018]]
['dopamine', [94067, 94075]]
['dopamine', [94163, 94171]]
['dopamine', [94264, 94272]]
['dopamine', [94498, 94506]]
['dopamine', [94538, 94546]]
['dopamine', [95169, 95177]]
['dopamine', [95193, 95201]]
['dopamine', [95380, 95388]]
['dopamine', [95437, 95445]]
['dopamine', [95533, 95541]]
['dopamine', [95634, 95642]]
['dopamine', [95868, 95876]]
['dopamine', [95908, 95916]]
['dopamine', [96157, 96165]]
['dopamine', [96181, 96189]]
['dopamine', [96368, 96376]]
['dopamine', [96425, 96433]]
['dopamine', [96521, 96529]]
['dopamine', [96622, 96630]]
['dopamine', [96856, 96864]]
['dopamine', [96896, 96904]]
['dopamine', [98466, 98474]]
['dopamine', [98521, 98529]]
['dopamine', [98792, 98800]]
['dopamine', [99075, 99083]]
['dopamine', [99174, 99182]]
['dopamine', [99215, 99223]]
['dopamine', [100017, 100025]]
['dopamine', [100072, 100080]]
['dopamine', [100343, 100351]]
['dopamine', [100626, 100634]]
['dopamine', [100725, 100733]]
['dopamine', [100766, 100774]]
['dopamine', [104828, 104836]]
['dopamine', [105162, 105170]]
['dopamine', [105798, 105806]]
['dopamine', [106112, 106120]]
['dopamine', [106420, 106428]]
['dopamine', [106796, 106804]]
['dopamine', [106849, 106857]]
['dopamine', [106980, 106988]]
['dopamine', [107283, 107291]]
['dopamine', [107464, 107472]]
['dopamine', [107688, 107696]]
['dopamine', [107925, 107933]]
['dopamine', [108211, 108219]]
['dopamine', [108416, 108424]]
['dopamine', [108491, 108499]]
['dopamine', [108538, 108546]]
['dopamine', [108784, 108792]]
['dopamine', [108869, 108877]]
['dopamine', [108964, 108972]]
['dopamine', [109028, 109036]]
['dopamine', [112906, 112914]]
['dopamine', [113240, 113248]]
['dopamine', [113876, 113884]]
['dopamine', [114190, 114198]]
['dopamine', [114498, 114506]]
['dopamine', [114874, 114882]]
['dopamine', [114927, 114935]]
['dopamine', [115058, 115066]]
['dopamine', [115361, 115369]]
['dopamine', [115542, 115550]]
['dopamine', [115766, 115774]]
['dopamine', [116003, 116011]]
['dopamine', [116289, 116297]]
['dopamine', [116494, 116502]]
['dopamine', [116569, 116577]]
['dopamine', [116616, 116624]]
['dopamine', [116862, 116870]]
['dopamine', [116947, 116955]]
['dopamine', [117042, 117050]]
['dopamine', [117106, 117114]]
['cells', [2698, 2703]]
['cells', [3751, 3756]]
['cells', [4511, 4516]]
['vta', [2859, 2862]]
['snc', [2771, 2774]]
['snc', [3054, 3057]]
['snc', [3734, 3737]]
['dopaminergic', [2095, 2107]]
['dopaminergic', [3699, 3711]]
['dopaminergic', [3738, 3750]]
['dopaminergic', [4278, 4290]]
['dopaminergic', [4498, 4510]]
['dopaminergic', [22590, 22602]]
['dopaminergic', [33441, 33453]]
['dopaminergic', [33970, 33982]]
['dopaminergic', [35510, 35522]]
['dopaminergic', [48250, 48262]]
['dopaminergic', [61900, 61912]]
['dopaminergic', [62429, 62441]]
['dopaminergic', [63969, 63981]]
['l-dopa', [1206, 1212]]
['l-dopa', [3479, 3485]]
['l-dopa', [3871, 3877]]
['l-dopa', [27112, 27118]]
['l-dopa', [34348, 34354]]
['l-dopa', [55570, 55576]]
['l-dopa', [62807, 62813]]
['msns', [4081, 4085]]
['msns', [5845, 5849]]
['msns', [6797, 6801]]
['msns', [7058, 7062]]
['msns', [7415, 7419]]
['msns', [8068, 8072]]
['msns', [8578, 8582]]
['msns', [8849, 8853]]
['msns', [9002, 9006]]
['msns', [10681, 10685]]
['msns', [12195, 12199]]
['msns', [17735, 17739]]
['msns', [29992, 29996]]
['msns', [31277, 31281]]
['msns', [32270, 32274]]
['msns', [32299, 32303]]
['msns', [32613, 32617]]
['msns', [36339, 36343]]
['msns', [37853, 37857]]
['msns', [43394, 43398]]
['msns', [58450, 58454]]
['msns', [59735, 59739]]
['msns', [60728, 60732]]
['msns', [60757, 60761]]
['msns', [61071, 61075]]
['msns', [67136, 67140]]
['msns', [67247, 67251]]
['msns', [67374, 67378]]
['msns', [68101, 68105]]
['msns', [74654, 74658]]
['msns', [74765, 74769]]
['msns', [74892, 74896]]
['msns', [75619, 75623]]
['msns', [84709, 84713]]
['msns', [84820, 84824]]
['msns', [84947, 84951]]
['msns', [85674, 85678]]
['msns', [88126, 88130]]
['msns', [88237, 88241]]
['msns', [88364, 88368]]
['msns', [89091, 89095]]
['msns', [91159, 91163]]
['msns', [93227, 93231]]
['msns', [102600, 102604]]
['msns', [103503, 103507]]
['msns', [110678, 110682]]
['msns', [111581, 111585]]
['msn', [4081, 4084]]
['msn', [5309, 5312]]
['msn', [5708, 5711]]
['msn', [5845, 5848]]
['msn', [6797, 6800]]
['msn', [7058, 7061]]
['msn', [7376, 7379]]
['msn', [7415, 7418]]
['msn', [8068, 8071]]
['msn', [8474, 8477]]
['msn', [8578, 8581]]
['msn', [8849, 8852]]
['msn', [9002, 9005]]
['msn', [9931, 9934]]
['msn', [9970, 9973]]
['msn', [10088, 10091]]
['msn', [10681, 10684]]
['msn', [12195, 12198]]
['msn', [13059, 13062]]
['msn', [13163, 13166]]
['msn', [17735, 17738]]
['msn', [18098, 18101]]
['msn', [19152, 19155]]
['msn', [19875, 19878]]
['msn', [23451, 23454]]
['msn', [29992, 29995]]
['msn', [30318, 30321]]
['msn', [30446, 30449]]
['msn', [30525, 30528]]
['msn', [30658, 30661]]
['msn', [30802, 30805]]
['msn', [30875, 30878]]
['msn', [30947, 30950]]
['msn', [31277, 31280]]
['msn', [31565, 31568]]
['msn', [31761, 31764]]
['msn', [31843, 31846]]
['msn', [31958, 31961]]
['msn', [32049, 32052]]
['msn', [32112, 32115]]
['msn', [32270, 32273]]
['msn', [32299, 32302]]
['msn', [32613, 32616]]
['msn', [32655, 32658]]
['msn', [34162, 34165]]
['msn', [35589, 35592]]
['msn', [35628, 35631]]
['msn', [35746, 35749]]
['msn', [36339, 36342]]
['msn', [37853, 37856]]
['msn', [38718, 38721]]
['msn', [38822, 38825]]
['msn', [43394, 43397]]
