['peritoneal', [36948, 36958]]
['peritoneal', [37012, 37022]]
['peritoneal', [37381, 37391]]
['peritoneal', [37501, 37511]]
['peritoneal', [38462, 38472]]
['peritoneal', [38659, 38669]]
['peritoneal', [39009, 39019]]
['peritoneal', [39287, 39297]]
['peritoneal', [39326, 39336]]
['peritoneal', [39473, 39483]]
['peritoneal', [39512, 39522]]
['peritoneal', [39634, 39644]]
['peritoneal', [39938, 39948]]
['peritoneal', [40011, 40021]]
['peritoneal', [40115, 40125]]
['peritoneal', [40236, 40246]]
['peritoneal', [40317, 40327]]
['peritoneal', [40497, 40507]]
['peritoneal', [40570, 40580]]
['peritoneal', [40674, 40684]]
['peritoneal', [40743, 40753]]
['peritoneal', [40940, 40950]]
['peritoneal', [41013, 41023]]
['peritoneal', [41061, 41071]]
['peritoneal', [41109, 41119]]
['peritoneal', [41158, 41168]]
['peritoneal', [41210, 41220]]
['peritoneal', [41444, 41454]]
['peritoneal', [41528, 41538]]
['peritoneal', [41572, 41582]]
['peritoneal', [41938, 41948]]
['peritoneal', [42011, 42021]]
['peritoneal', [42115, 42125]]
['peritoneal', [42236, 42246]]
['peritoneal', [42317, 42327]]
['peritoneal', [42497, 42507]]
['peritoneal', [42570, 42580]]
['peritoneal', [42674, 42684]]
['peritoneal', [42743, 42753]]
['peritoneal', [42940, 42950]]
['peritoneal', [43013, 43023]]
['peritoneal', [43061, 43071]]
['peritoneal', [43109, 43119]]
['peritoneal', [43158, 43168]]
['peritoneal', [43210, 43220]]
['peritoneal', [43444, 43454]]
['peritoneal', [43528, 43538]]
['peritoneal', [43572, 43582]]
['macrophages', [69, 80]]
['macrophages', [537, 548]]
['macrophages', [641, 652]]
['macrophages', [868, 879]]
['macrophages', [980, 991]]
['macrophages', [1103, 1114]]
['macrophages', [1722, 1733]]
['macrophages', [2225, 2236]]
['macrophages', [3584, 3595]]
['macrophages', [3642, 3653]]
['macrophages', [3968, 3979]]
['macrophages', [4013, 4024]]
['macrophages', [4979, 4990]]
['macrophages', [5136, 5147]]
['macrophages', [5778, 5789]]
['macrophages', [6735, 6746]]
['macrophages', [7332, 7343]]
['macrophages', [9716, 9727]]
['macrophages', [9873, 9884]]
['macrophages', [10516, 10527]]
['macrophages', [11474, 11485]]
['macrophages', [12072, 12083]]
['macrophages', [14009, 14020]]
['macrophages', [14054, 14065]]
['macrophages', [14127, 14138]]
['macrophages', [14167, 14178]]
['macrophages', [14498, 14509]]
['macrophages', [14646, 14657]]
['macrophages', [14809, 14820]]
['macrophages', [14961, 14972]]
['macrophages', [15015, 15026]]
