['cad', [6724, 6727]]
['cad', [6813, 6816]]
['cad', [6883, 6886]]
['cad', [11518, 11521]]
['cad', [11604, 11607]]
['cad', [11693, 11696]]
['cad', [11763, 11766]]
['cad', [14618, 14621]]
['cad', [16298, 16301]]
['cad', [17466, 17469]]
['cad', [17646, 17649]]
['cad', [18734, 18737]]
['cad', [20414, 20417]]
['cad', [21582, 21585]]
['cad', [21762, 21765]]
['cad', [22026, 22029]]
['cad', [22210, 22213]]
['cad', [22916, 22919]]
['cad', [23357, 23360]]
['cad', [25475, 25478]]
['cad', [25610, 25613]]
['cad', [25858, 25861]]
['cad', [26493, 26496]]
['cad', [27115, 27118]]
['cad', [27378, 27381]]
['cad', [27562, 27565]]
['cad', [28268, 28271]]
['cad', [28709, 28712]]
['cad', [30827, 30830]]
['cad', [30962, 30965]]
['cad', [31210, 31213]]
['cad', [31845, 31848]]
['cad', [32467, 32470]]
['cad', [36978, 36981]]
['cad', [42364, 42367]]
['homa-ir', [643, 650]]
['homa-ir', [6139, 6146]]
['homa-ir', [6289, 6296]]
['homa-ir', [7343, 7350]]
['homa-ir', [7942, 7949]]
['homa-ir', [8028, 8035]]
['homa-ir', [8066, 8073]]
['homa-ir', [8319, 8326]]
['homa-ir', [11018, 11025]]
['homa-ir', [11168, 11175]]
['homa-ir', [12224, 12231]]
['homa-ir', [12823, 12830]]
['homa-ir', [12909, 12916]]
['homa-ir', [12947, 12954]]
['homa-ir', [13200, 13207]]
['homa-ir', [14094, 14101]]
['homa-ir', [14338, 14345]]
['homa-ir', [14489, 14496]]
['homa-ir', [14834, 14841]]
['homa-ir', [14971, 14978]]
['homa-ir', [15153, 15160]]
['homa-ir', [15256, 15263]]
['homa-ir', [15519, 15526]]
['homa-ir', [15652, 15659]]
['homa-ir', [15800, 15807]]
['homa-ir', [16075, 16082]]
['homa-ir', [16224, 16231]]
['homa-ir', [16415, 16422]]
['homa-ir', [18210, 18217]]
['homa-ir', [18454, 18461]]
['homa-ir', [18605, 18612]]
['homa-ir', [18950, 18957]]
['homa-ir', [19087, 19094]]
['homa-ir', [19269, 19276]]
['homa-ir', [19372, 19379]]
['homa-ir', [19635, 19642]]
['homa-ir', [19768, 19775]]
['homa-ir', [19916, 19923]]
['homa-ir', [20191, 20198]]
['homa-ir', [20340, 20347]]
['homa-ir', [20531, 20538]]
['homa-ir', [23226, 23233]]
['homa-ir', [28578, 28585]]
['homa-ir', [32639, 32646]]
['homa-ir', [32745, 32752]]
['homa-ir', [33227, 33234]]
['homa-ir', [33305, 33312]]
