['yy1', [47704, 47707]]
['yy1', [47757, 47760]]
['yy1', [47851, 47854]]
['yy1', [47895, 47898]]
['yy1', [47952, 47955]]
['yy1', [48013, 48016]]
['yy1', [48111, 48114]]
['yy1', [48149, 48152]]
['yy1', [48575, 48578]]
['yy1', [48634, 48637]]
['yy1', [48656, 48659]]
['yy1', [48863, 48866]]
['yy1', [49057, 49060]]
['yy1', [49081, 49084]]
['yy1', [49169, 49172]]
['yy1', [49223, 49226]]
['yy1', [49291, 49294]]
['yy1', [49327, 49330]]
['yy1', [49445, 49448]]
['yy1', [49524, 49527]]
['yy1', [49570, 49573]]
['yy1', [49600, 49603]]
['yy1', [49927, 49930]]
['yy1', [49957, 49960]]
['yy1', [50371, 50374]]
['yy1', [50449, 50452]]
['yy1', [50461, 50464]]
['yy1', [50572, 50575]]
['yy1', [50775, 50778]]
['yy1', [51027, 51030]]
['yy1', [51484, 51487]]
['yy1', [51553, 51556]]
['yy1', [51581, 51584]]
['yy1', [51827, 51830]]
['yy1', [51840, 51843]]
['yy1', [52014, 52017]]
['yy1', [52172, 52175]]
['yy1', [52248, 52251]]
['yy1', [52281, 52284]]
['yy1', [52301, 52304]]
['yy1', [52319, 52322]]
['yy1', [52346, 52349]]
['yy1', [52430, 52433]]
['yy1', [52690, 52693]]
['yy1', [52881, 52884]]
['yy1', [52898, 52901]]
['yy1', [52992, 52995]]
['yy1', [53158, 53161]]
['yy1', [53180, 53183]]
['yy1', [53282, 53285]]
['yy1', [53486, 53489]]
['yy1', [53647, 53650]]
['yy1', [53808, 53811]]
['yy1', [54303, 54306]]
['yy1', [54311, 54314]]
['yy1', [54321, 54324]]
['yy1', [54334, 54337]]
['yy1', [54431, 54434]]
['yy1', [54442, 54445]]
['yy1', [54455, 54458]]
['yy1', [54479, 54482]]
['yy1', [54508, 54511]]
['yy1', [54728, 54731]]
['yy1', [54750, 54753]]
['yy1', [54947, 54950]]
['yy1', [55067, 55070]]
['yy1', [55129, 55132]]
['yy1', [55306, 55309]]
['yy1', [55350, 55353]]
['yy1', [55428, 55431]]
['yy1', [55441, 55444]]
['yy1', [55550, 55553]]
['yy1', [55638, 55641]]
['yy1', [55832, 55835]]
['yy1', [55924, 55927]]
['yy1', [55992, 55995]]
['yy1', [56209, 56212]]
['yy1', [56495, 56498]]
['yy1', [56530, 56533]]
['yy1', [56615, 56618]]
['yy1', [56647, 56650]]
['yy1', [56725, 56728]]
['yy1', [56848, 56851]]
['yy1', [56915, 56918]]
['yy1', [56965, 56968]]
['yy1', [57012, 57015]]
['yy1', [57242, 57245]]
['yy1', [57294, 57297]]
['yy1', [57552, 57555]]
['yy1', [57845, 57848]]
['yy1', [57992, 57995]]
['yy1', [58177, 58180]]
['yy1', [58258, 58261]]
['yy1', [58358, 58361]]
['yy1', [58816, 58819]]
['yy1', [58877, 58880]]
['yy1', [58981, 58984]]
['yy1', [59407, 59410]]
['yy1', [59458, 59461]]
['yy1', [59684, 59687]]
['yy1', [60375, 60378]]
['yy1', [60528, 60531]]
['yy1', [60761, 60764]]
['yy1', [60965, 60968]]
['yy1', [61099, 61102]]
['yy1', [61229, 61232]]
['yy1', [61297, 61300]]
['yy1', [61374, 61377]]
['yy1', [61601, 61604]]
['yy1', [61882, 61885]]
['yy1', [61968, 61971]]
['yy1', [62248, 62251]]
['yy1', [62538, 62541]]
['yy1', [62723, 62726]]
['yy1', [62835, 62838]]
['yy1', [62894, 62897]]
['yy1', [63007, 63010]]
['yy1', [63240, 63243]]
['yy1', [63444, 63447]]
['yy1', [63578, 63581]]
['yy1', [63708, 63711]]
['yy1', [63776, 63779]]
['yy1', [63853, 63856]]
['yy1', [64080, 64083]]
['yy1', [64361, 64364]]
['yy1', [64447, 64450]]
['yy1', [64727, 64730]]
['yy1', [65017, 65020]]
['yy1', [65202, 65205]]
['yy1', [65314, 65317]]
['yy1', [65373, 65376]]
['yy1', [65501, 65504]]
['yy1', [65560, 65563]]
['yy1', [65984, 65987]]
['yy1', [66220, 66223]]
['yy1', [66256, 66259]]
['yy1', [66278, 66281]]
['yy1', [66288, 66291]]
['yy1', [66301, 66304]]
['yy1', [66528, 66531]]
['yy1', [66607, 66610]]
['yy1', [66660, 66663]]
['yy1', [66754, 66757]]
['yy1', [66798, 66801]]
['yy1', [66855, 66858]]
['yy1', [66916, 66919]]
['yy1', [67014, 67017]]
['yy1', [67052, 67055]]
['yy1', [67478, 67481]]
['yy1', [67537, 67540]]
['yy1', [67559, 67562]]
