['trastuzumab', [18561, 18572]]
['trastuzumab', [20269, 20280]]
['trastuzumab', [22392, 22403]]
['trastuzumab', [23022, 23033]]
['trastuzumab', [23715, 23726]]
['trastuzumab', [24178, 24189]]
['trastuzumab', [24397, 24408]]
['trastuzumab', [25196, 25207]]
['trastuzumab', [25613, 25624]]
['trastuzumab', [25983, 25994]]
['trastuzumab', [26189, 26200]]
['trastuzumab', [26483, 26494]]
['trastuzumab', [26728, 26739]]
['trastuzumab', [26922, 26933]]
['trastuzumab', [27014, 27025]]
['trastuzumab', [27156, 27167]]
['trastuzumab', [27378, 27389]]
['trastuzumab', [27481, 27492]]
['trastuzumab', [27878, 27889]]
['trastuzumab', [28290, 28301]]
['trastuzumab', [28646, 28657]]
['trastuzumab', [28733, 28744]]
['trastuzumab', [28765, 28776]]
['trastuzumab', [29174, 29185]]
['trastuzumab', [29433, 29444]]
['trastuzumab', [31141, 31152]]
['trastuzumab', [33264, 33275]]
['trastuzumab', [33894, 33905]]
['trastuzumab', [34587, 34598]]
['trastuzumab', [35050, 35061]]
['trastuzumab', [36930, 36941]]
['trastuzumab', [37235, 37246]]
['trastuzumab', [38472, 38483]]
['trastuzumab', [38567, 38578]]
['trastuzumab', [38939, 38950]]
['trastuzumab', [39502, 39513]]
['trastuzumab', [39887, 39898]]
['trastuzumab', [40133, 40144]]
['trastuzumab', [40674, 40685]]
['trastuzumab', [40702, 40713]]
['trastuzumab', [41708, 41719]]
['herceptin', [783, 792]]
['herceptin', [14338, 14347]]
['herceptin', [25209, 25218]]
['herceptin', [40290, 40299]]
['herceptin', [40940, 40949]]
['herceptin', [40990, 40999]]
['herceptin', [41010, 41019]]
['herceptin', [41144, 41153]]
['herceptin', [41167, 41176]]
['herceptin', [41371, 41380]]
['herceptin', [41526, 41535]]
['herceptin', [41536, 41545]]
['human', [678, 683]]
['human', [804, 809]]
['human', [8008, 8013]]
['human', [9493, 9498]]
['human', [9904, 9909]]
['human', [10725, 10730]]
['human', [11363, 11368]]
['human', [13575, 13580]]
['human', [14380, 14385]]
['human', [15232, 15237]]
['human', [15688, 15693]]
['human', [18492, 18497]]
['human', [24446, 24451]]
['human', [25251, 25256]]
['human', [26103, 26108]]
['human', [26559, 26564]]
['human', [29364, 29369]]
['human', [36473, 36478]]
['human', [40769, 40774]]
['human', [40838, 40843]]
['epidermal', [810, 819]]
['epidermal', [8014, 8023]]
['epidermal', [13581, 13590]]
['epidermal', [24452, 24461]]
['growth', [820, 826]]
['growth', [8024, 8030]]
['growth', [13591, 13597]]
['growth', [13778, 13784]]
['growth', [24462, 24468]]
['growth', [24649, 24655]]
['factor', [827, 833]]
['factor', [8031, 8037]]
['factor', [13598, 13604]]
['factor', [24469, 24475]]
['receptor-2', [834, 844]]
['receptor-2', [8038, 8048]]
['her2', [846, 850]]
['her2', [1214, 1218]]
['her2', [8050, 8054]]
['her2', [8075, 8079]]
['her2', [13839, 13843]]
['her2', [13938, 13942]]
['her2', [14105, 14109]]
['her2', [14225, 14229]]
['her2', [14395, 14399]]
['her2', [14433, 14437]]
['her2', [14564, 14568]]
['her2', [14916, 14920]]
['her2', [15173, 15177]]
['her2', [15507, 15511]]
['her2', [15668, 15672]]
['her2', [16678, 16682]]
['her2', [17484, 17488]]
['her2', [17619, 17623]]
['her2', [18466, 18470]]
['her2', [24710, 24714]]
['her2', [24809, 24813]]
['her2', [24976, 24980]]
['her2', [25096, 25100]]
['her2', [25266, 25270]]
['her2', [25304, 25308]]
['her2', [25435, 25439]]
['her2', [25787, 25791]]
['her2', [26044, 26048]]
['her2', [26378, 26382]]
['her2', [26539, 26543]]
['her2', [27550, 27554]]
['her2', [28356, 28360]]
['her2', [28491, 28495]]
['her2', [29338, 29342]]
['her2', [37025, 37029]]
['her2', [40548, 40552]]
['her2', [41614, 41618]]
['her2', [41630, 41634]]
['cancer', [114, 120]]
['cancer', [291, 297]]
['cancer', [486, 492]]
['cancer', [881, 887]]
['cancer', [1493, 1499]]
['cancer', [1782, 1788]]
['cancer', [1822, 1828]]
['cancer', [2055, 2061]]
['cancer', [2441, 2447]]
['cancer', [2520, 2526]]
['cancer', [2656, 2662]]
['cancer', [3539, 3545]]
['cancer', [4920, 4926]]
['cancer', [4997, 5003]]
['cancer', [5461, 5467]]
['cancer', [5705, 5711]]
['cancer', [8143, 8149]]
['cancer', [9303, 9309]]
['cancer', [10044, 10050]]
['cancer', [13883, 13889]]
['cancer', [14060, 14066]]
['cancer', [14503, 14509]]
['cancer', [14943, 14949]]
['cancer', [15701, 15707]]
['cancer', [16093, 16099]]
['cancer', [16522, 16528]]
['cancer', [18505, 18511]]
['cancer', [23632, 23638]]
['cancer', [24754, 24760]]
['cancer', [24931, 24937]]
['cancer', [25374, 25380]]
['cancer', [25814, 25820]]
['cancer', [26572, 26578]]
['cancer', [26964, 26970]]
['cancer', [27394, 27400]]
['cancer', [29377, 29383]]
['cancer', [34504, 34510]]
['cancer', [35663, 35669]]
['cancer', [36130, 36136]]
['cancer', [37460, 37466]]
['cancer', [37562, 37568]]
['cells', [298, 303]]
['cells', [2062, 2067]]
['cells', [14256, 14261]]
['cells', [25127, 25132]]
['cells', [40524, 40529]]
['cells', [40922, 40927]]
['radio-labeled', [2915, 2928]]
['radio-labeled', [4795, 4808]]
['radio-labeled', [5842, 5855]]
['radio-labeled', [24103, 24116]]
['radio-labeled', [34975, 34988]]
['monoclonal', [2929, 2939]]
['monoclonal', [3212, 3222]]
['monoclonal', [4809, 4819]]
['monoclonal', [5592, 5602]]
['antibodies', [2940, 2950]]
['antibodies', [3365, 3375]]
['antibodies', [3703, 3713]]
['antibodies', [4085, 4095]]
['antibodies', [4148, 4158]]
['antibodies', [4820, 4830]]
['antibodies', [5299, 5309]]
['antibodies', [5603, 5613]]
['antibodies', [5816, 5826]]
['antibodies', [13484, 13494]]
['antibodies', [23442, 23452]]
['antibodies', [23529, 23539]]
['antibodies', [24117, 24127]]
['antibodies', [34314, 34324]]
['antibodies', [34401, 34411]]
['antibodies', [34989, 34999]]
['antibodies', [35925, 35935]]
['antibodies', [36904, 36914]]
['murine', [3283, 3289]]
['animal', [3290, 3296]]
['animal', [4647, 4653]]
['animal', [11286, 11292]]
['animal', [15209, 15215]]
['animal', [16115, 16121]]
['animal', [18652, 18658]]
['animal', [23766, 23772]]
['animal', [26080, 26086]]
['animal', [26986, 26992]]
['animal', [29524, 29530]]
['animal', [34638, 34644]]
['animal', [36859, 36865]]
['model', [3297, 3302]]
['model', [8234, 8239]]
['model', [8849, 8854]]
['model', [10283, 10288]]
['model', [10376, 10381]]
['model', [11293, 11298]]
['model', [13263, 13268]]
['model', [36866, 36871]]
['lung', [3534, 3538]]
['nodal', [46, 51]]
['nodal', [1643, 1648]]
['nodal', [2223, 2228]]
['nodal', [3681, 3686]]
['nodal', [5385, 5390]]
['nodal', [5676, 5681]]
['nodal', [10652, 10657]]
['nodal', [13557, 13562]]
['nodal', [24428, 24433]]
['nodal', [35362, 35367]]
['nodal', [35406, 35411]]
['staging', [52, 59]]
['staging', [1649, 1656]]
['staging', [2229, 2236]]
['staging', [2756, 2763]]
['staging', [3687, 3694]]
['staging', [10658, 10665]]
['staging', [13563, 13570]]
['staging', [24434, 24441]]
['staging', [35368, 35375]]
['staging', [35412, 35419]]
['staging', [37729, 37736]]
['because', [3695, 3702]]
['because', [13890, 13897]]
['because', [24761, 24768]]
['lymphatic', [2854, 2863]]
['lymphatic', [3119, 3128]]
['lymphatic', [3427, 3436]]
['lymphatic', [3781, 3790]]
['lymphatic', [3873, 3882]]
['lymphatic', [4027, 4036]]
['lymphatic', [4497, 4506]]
['lymphatic', [4555, 4564]]
['lymphatic', [4707, 4716]]
['lymphatic', [5754, 5763]]
['lymphatic', [8318, 8327]]
['lymphatic', [8605, 8614]]
['lymphatic', [8701, 8710]]
['lymphatic', [9856, 9865]]
['lymphatic', [13502, 13511]]
['lymphatic', [22552, 22561]]
['lymphatic', [33424, 33433]]
['lymphatic', [35717, 35726]]
['lymphatic', [39732, 39741]]
['system\\.', [3791, 3799]]
['small', [3718, 3723]]
['small', [3799, 3804]]
['small', [22010, 22015]]
['small', [23429, 23434]]
['small', [32882, 32887]]
['small', [34301, 34306]]
['small', [39380, 39385]]
['molecules', [3724, 3733]]
['molecules', [3805, 3814]]
['molecules', [16991, 17000]]
['molecules', [27863, 27872]]
['131i-labeled', [5141, 5153]]
['131i-labeled', [5286, 5298]]
['antiferrin', [5154, 5164]]
['immunoglobulin', [5165, 5179]]
['lymphoma\\.', [5233, 5243]]
['7', [5094, 5095]]
['7', [5243, 5244]]
['7', [5793, 5794]]
['7', [8161, 8162]]
['7', [9033, 9034]]
['7', [12076, 12077]]
['7', [14517, 14518]]
['7', [15229, 15230]]
['7', [15431, 15432]]
['7', [16386, 16387]]
['7', [17058, 17059]]
['7', [18710, 18711]]
['7', [18726, 18727]]
['7', [19022, 19023]]
['7', [19167, 19168]]
['7', [22938, 22939]]
['7', [23210, 23211]]
['7', [23668, 23669]]
['7', [23929, 23930]]
['7', [25388, 25389]]
['7', [26100, 26101]]
['7', [26302, 26303]]
['7', [27257, 27258]]
['7', [27930, 27931]]
['7', [29582, 29583]]
['7', [29598, 29599]]
['7', [29894, 29895]]
['7', [30039, 30040]]
['7', [33810, 33811]]
['7', [34082, 34083]]
['7', [34540, 34541]]
['7', [34801, 34802]]
['7', [37332, 37333]]
['7', [39786, 39787]]
['7', [40338, 40339]]
['7', [40345, 40346]]
['7', [40735, 40736]]
['7', [40795, 40796]]
['7', [41039, 41040]]
['7', [41064, 41065]]
['7', [41227, 41228]]
['7', [41251, 41252]]
['7', [41340, 41341]]
['carcinoembryonic', [5313, 5329]]
['antigen', [5330, 5337]]
['cea', [5339, 5342]]
['111in-', [1010, 1016]]
['111in-', [1294, 1300]]
['111in-', [5566, 5572]]
['111in-', [5782, 5788]]
['111in-', [7949, 7955]]
['111in-', [8444, 8450]]
['111in-', [16596, 16602]]
['111in-', [18289, 18295]]
['111in-', [18548, 18554]]
['111in-', [27468, 27474]]
['111in-', [29161, 29167]]
['111in-', [29420, 29426]]
['111in-', [36917, 36923]]
['111in-', [38459, 38465]]
['111in-', [38926, 38932]]
['111in-', [40462, 40468]]
['111in-', [40481, 40487]]
['111in-', [40668, 40674]]
['111in-', [40691, 40697]]
['111in-', [40929, 40935]]
['111in-', [40951, 40957]]
['111in-', [40971, 40977]]
['99mtc-labeled', [5578, 5591]]
['regional', [5638, 5646]]
['nodes\\.', [508, 515]]
['nodes\\.', [1239, 1246]]
['nodes\\.', [3985, 3992]]
['nodes\\.', [5653, 5660]]
['nodes\\.', [23654, 23661]]
['nodes\\.', [34526, 34533]]
['9', [1904, 1905]]
['9', [1905, 1906]]
['9', [5093, 5094]]
['9', [5578, 5579]]
['9', [5579, 5580]]
['9', [5660, 5661]]
['9', [6264, 6265]]
['9', [6265, 6266]]
