genia tagger: 2723['hnscc', [298, 303]]
['4', [21457, 21458]]
['4', [21846, 21847]]
['4', [22867, 22868]]
['4', [23316, 23317]]
['4', [23471, 23472]]
['4', [23788, 23789]]
['4', [24177, 24178]]
['4', [25198, 25199]]
['4', [26046, 26047]]
['4', [26425, 26426]]
['4', [26427, 26428]]
['4', [26439, 26440]]
['4', [26502, 26503]]
['4', [26557, 26558]]
['4', [27064, 27065]]
['4', [27443, 27444]]
['4', [27445, 27446]]
['4', [27457, 27458]]
['4', [27520, 27521]]
['4', [27575, 27576]]
['4', [27660, 27661]]
['4', [28005, 28006]]
['4', [28575, 28576]]
['4', [29548, 29549]]
['4', [30217, 30218]]
['4', [30562, 30563]]
['4', [31132, 31133]]
['4', [32105, 32106]]
['hemoglobin', [3058, 3068]]
['platelet', [3079, 3087]]
['count', [1191, 1196]]
['count', [3040, 3045]]
['count', [3088, 3093]]
['\\?', [3008, 3010]]
['\\?', [3046, 3048]]
['\\?', [3094, 3096]]
['100', [3096, 3099]]
['100', [16722, 16725]]
['100', [20761, 20764]]
['100', [26441, 26444]]
['100', [27459, 27462]]
['000\\/dl', [3100, 3107]]
['phase', [0, 5]]
['phase', [92, 97]]
['phase', [1060, 1065]]
['phase', [2187, 2192]]
['phase', [2386, 2391]]
['phase', [3748, 3753]]
['phase', [4780, 4785]]
['phase', [6567, 6572]]
['phase', [6621, 6626]]
['phase', [6877, 6882]]
['phase', [8318, 8323]]
['phase', [9350, 9355]]
['phase', [11138, 11143]]
['phase', [11192, 11197]]
['phase', [11448, 11453]]
['phase', [13268, 13273]]
['phase', [13558, 13563]]
['phase', [13618, 13623]]
['phase', [14237, 14242]]
['phase', [15274, 15279]]
['phase', [17307, 17312]]
['phase', [17597, 17602]]
['phase', [17657, 17662]]
['phase', [18276, 18281]]
['phase', [19313, 19318]]
['phase', [20945, 20950]]
['phase', [21005, 21010]]
['phase', [21624, 21629]]
['phase', [22661, 22666]]
['phase', [23276, 23281]]
['phase', [23336, 23341]]
['phase', [23955, 23960]]
['phase', [24992, 24997]]
['phase', [29265, 29270]]
['phase', [29612, 29617]]
['phase', [29749, 29754]]
['phase', [31822, 31827]]
['phase', [32169, 32174]]
['phase', [32306, 32311]]
['phase', [32957, 32962]]
['i', [6, 7]]
['i', [20, 21]]
['i', [23, 24]]
['i', [28, 29]]
['i', [42, 43]]
['i', [46, 47]]
['i', [51, 52]]
['i', [89, 90]]
['i', [98, 99]]
['i', [113, 114]]
['i', [128, 129]]
['i', [139, 140]]
['i', [173, 174]]
['i', [175, 176]]
['i', [184, 185]]
['i', [204, 205]]
['i', [222, 223]]
['i', [239, 240]]
['i', [243, 244]]
['i', [248, 249]]
['i', [270, 271]]
['i', [309, 310]]
['i', [329, 330]]
['i', [331, 332]]
['i', [339, 340]]
['i', [366, 367]]
['i', [373, 374]]
['i', [380, 381]]
['i', [421, 422]]
['i', [436, 437]]
['i', [449, 450]]
['i', [458, 459]]
['i', [500, 501]]
['i', [527, 528]]
['i', [545, 546]]
['i', [556, 557]]
['i', [559, 560]]
['i', [602, 603]]
['i', [622, 623]]
['i', [666, 667]]
['i', [796, 797]]
['i', [798, 799]]
['i', [800, 801]]
['i', [807, 808]]
['i', [809, 810]]
['i', [828, 829]]
['i', [830, 831]]
['i', [863, 864]]
['i', [870, 871]]
['i', [881, 882]]
['i', [895, 896]]
['i', [917, 918]]
['i', [952, 953]]
['i', [967, 968]]
['i', [1003, 1004]]
['i', [1005, 1006]]
['i', [1012, 1013]]
['i', [1041, 1042]]
['i', [1047, 1048]]
['i', [1051, 1052]]
['i', [1055, 1056]]
['i', [1066, 1067]]
['i', [1067, 1068]]
['i', [1071, 1072]]
['i', [1077, 1078]]
['i', [1086, 1087]]
['i', [1108, 1109]]
['i', [1140, 1141]]
['i', [1164, 1165]]
['i', [1173, 1174]]
['i', [1242, 1243]]
['i', [1266, 1267]]
['i', [1280, 1281]]
['i', [1286, 1287]]
['i', [1294, 1295]]
['i', [1309, 1310]]
['i', [1312, 1313]]
['i', [1347, 1348]]
['i', [1354, 1355]]
['i', [1376, 1377]]
['i', [1391, 1392]]
['i', [1399, 1400]]
['i', [1405, 1406]]
['i', [1413, 1414]]
['i', [1415, 1416]]
['i', [1428, 1429]]
['i', [1429, 1430]]
['i', [1430, 1431]]
['i', [1436, 1437]]
['i', [1444, 1445]]
['i', [1501, 1502]]
['i', [1516, 1517]]
['i', [1534, 1535]]
['i', [1555, 1556]]
['i', [1568, 1569]]
['i', [1591, 1592]]
['i', [1608, 1609]]
['i', [1616, 1617]]
['i', [1623, 1624]]
['i', [1640, 1641]]
['i', [1644, 1645]]
['i', [1651, 1652]]
['i', [1664, 1665]]
['i', [1669, 1670]]
['i', [1682, 1683]]
['i', [1710, 1711]]
['i', [1724, 1725]]
['i', [1738, 1739]]
['i', [1740, 1741]]
['i', [1748, 1749]]
['i', [1757, 1758]]
['i', [1791, 1792]]
['i', [1796, 1797]]
['i', [1806, 1807]]
['i', [1826, 1827]]
['i', [1838, 1839]]
['i', [1857, 1858]]
['i', [1862, 1863]]
['i', [1868, 1869]]
['i', [1878, 1879]]
['i', [1894, 1895]]
['i', [1899, 1900]]
['i', [1924, 1925]]
['i', [1938, 1939]]
['i', [1959, 1960]]
['i', [1967, 1968]]
['i', [1975, 1976]]
['i', [1978, 1979]]
['i', [1980, 1981]]
['i', [1989, 1990]]
['i', [1991, 1992]]
['i', [1996, 1997]]
['i', [2015, 2016]]
['i', [2029, 2030]]
['i', [2053, 2054]]
['i', [2059, 2060]]
['i', [2094, 2095]]
['i', [2112, 2113]]
['i', [2122, 2123]]
['i', [2128, 2129]]
['i', [2135, 2136]]
['i', [2140, 2141]]
['i', [2145, 2146]]
['i', [2162, 2163]]
['i', [2174, 2175]]
['i', [2184, 2185]]
['i', [2217, 2218]]
['i', [2231, 2232]]
['i', [2233, 2234]]
['i', [2235, 2236]]
['i', [2242, 2243]]
['i', [2244, 2245]]
['i', [2285, 2286]]
['i', [2287, 2288]]
['i', [2309, 2310]]
['i', [2316, 2317]]
['i', [2319, 2320]]
['i', [2323, 2324]]
['i', [2343, 2344]]
['i', [2351, 2352]]
['i', [2372, 2373]]
['i', [2392, 2393]]
['i', [2393, 2394]]
['i', [2397, 2398]]
['i', [2404, 2405]]
['i', [2418, 2419]]
['i', [2427, 2428]]
['i', [2432, 2433]]
['i', [2438, 2439]]
['i', [2466, 2467]]
['i', [2494, 2495]]
['i', [2509, 2510]]
['i', [2525, 2526]]
['i', [2546, 2547]]
['i', [2578, 2579]]
['i', [2618, 2619]]
['i', [2638, 2639]]
['i', [2645, 2646]]
['i', [2650, 2651]]
['i', [2657, 2658]]
['i', [2713, 2714]]
['i', [2734, 2735]]
['i', [2762, 2763]]
['i', [2767, 2768]]
['i', [2774, 2775]]
['i', [2781, 2782]]
['i', [2793, 2794]]
['i', [2831, 2832]]
['i', [2848, 2849]]
['i', [2850, 2851]]
['i', [2858, 2859]]
['i', [2867, 2868]]
['i', [2878, 2879]]
['i', [2880, 2881]]
['i', [2892, 2893]]
['i', [2894, 2895]]
['i', [2907, 2908]]
['i', [2913, 2914]]
['i', [2919, 2920]]
['i', [2923, 2924]]
['i', [2926, 2927]]
['i', [3037, 3038]]
['i', [3066, 3067]]
['i', [3132, 3133]]
