genia tagger: 2723['hnscc', [298, 303]]
['survival', [30649, 30657]]
['80\\%', [1327, 1331]]
['locally', [1358, 1365]]
['locally', [16221, 16228]]
['locally', [16290, 16297]]
['locally', [20260, 20267]]
['locally', [20329, 20336]]
['locally', [25940, 25947]]
['locally', [26009, 26016]]
['locally', [26958, 26965]]
['locally', [27027, 27034]]
['advanced disease', [1366, 1382]]
['time', [1390, 1394]]
['time', [8059, 8063]]
['time', [12630, 12634]]
['time', [16554, 16558]]
['time', [16830, 16834]]
['time', [20593, 20597]]
['time', [20869, 20873]]
['time', [26273, 26277]]
['time', [26549, 26553]]
['time', [27291, 27295]]
['time', [27567, 27571]]
['iv', [863, 865]]
['iv', [1294, 1296]]
['iv', [1436, 1438]]
['iv', [1444, 1446]]
['iv', [1516, 1518]]
['iv', [1651, 1653]]
['iv', [1740, 1742]]
['iv', [1826, 1828]]
['iv', [2525, 2527]]
['iv', [2546, 2548]]
['iv', [2850, 2852]]
['iv', [3132, 3134]]
['iv', [3555, 3557]]
['iv', [4002, 4004]]
['iv', [4561, 4563]]
['iv', [5138, 5140]]
['iv', [5433, 5435]]
['iv', [5905, 5907]]
['iv', [5996, 5998]]
['iv', [6159, 6161]]
['iv', [7865, 7867]]
['iv', [8011, 8013]]
['iv', [8187, 8189]]
['iv', [8200, 8202]]
['iv', [8572, 8574]]
['iv', [9131, 9133]]
['iv', [9708, 9710]]
['iv', [10003, 10005]]
['iv', [10475, 10477]]
['iv', [10566, 10568]]
['iv', [10729, 10731]]
['iv', [12436, 12438]]
['iv', [12582, 12584]]
['iv', [12758, 12760]]
['iv', [12771, 12773]]
['iv', [13076, 13078]]
['iv', [13404, 13406]]
['iv', [13717, 13719]]
['iv', [13819, 13821]]
['iv', [14303, 14305]]
['iv', [15905, 15907]]
['iv', [15923, 15925]]
['iv', [15956, 15958]]
['iv', [16057, 16059]]
['iv', [16088, 16090]]
['iv', [16192, 16194]]
['iv', [16417, 16419]]
['iv', [16474, 16476]]
['iv', [16543, 16545]]
['iv', [16685, 16687]]
['iv', [16749, 16751]]
['iv', [16825, 16827]]
['iv', [16874, 16876]]
['iv', [17115, 17117]]
['iv', [17443, 17445]]
['iv', [17756, 17758]]
['iv', [17858, 17860]]
['iv', [18342, 18344]]
['iv', [19944, 19946]]
['iv', [19962, 19964]]
['iv', [19995, 19997]]
['iv', [20096, 20098]]
['iv', [20127, 20129]]
['iv', [20231, 20233]]
['iv', [20456, 20458]]
['iv', [20513, 20515]]
['iv', [20582, 20584]]
['iv', [20724, 20726]]
['iv', [20788, 20790]]
['iv', [20864, 20866]]
['iv', [20913, 20915]]
['iv', [21104, 21106]]
['iv', [21206, 21208]]
['iv', [21690, 21692]]
['iv', [23435, 23437]]
['iv', [23537, 23539]]
['iv', [24021, 24023]]
['iv', [25624, 25626]]
['iv', [25642, 25644]]
['iv', [25675, 25677]]
['iv', [25776, 25778]]
['iv', [25807, 25809]]
['iv', [25911, 25913]]
['iv', [26136, 26138]]
['iv', [26193, 26195]]
['iv', [26262, 26264]]
['iv', [26404, 26406]]
['iv', [26468, 26470]]
['iv', [26544, 26546]]
['iv', [26593, 26595]]
['iv', [26642, 26644]]
['iv', [26660, 26662]]
['iv', [26693, 26695]]
['iv', [26794, 26796]]
['iv', [26825, 26827]]
['iv', [26929, 26931]]
['iv', [27154, 27156]]
['iv', [27211, 27213]]
['iv', [27280, 27282]]
['iv', [27422, 27424]]
['iv', [27486, 27488]]
['iv', [27562, 27564]]
['iv', [27611, 27613]]
['iv', [27798, 27800]]
['iv', [27945, 27947]]
['iv', [27982, 27984]]
['iv', [28096, 28098]]
['iv', [28172, 28174]]
['iv', [28387, 28389]]
['iv', [28853, 28855]]
['iv', [29416, 29418]]
['iv', [30355, 30357]]
['iv', [30502, 30504]]
['iv', [30539, 30541]]
['iv', [30653, 30655]]
['iv', [30729, 30731]]
['iv', [30944, 30946]]
['iv', [31410, 31412]]
['iv', [31973, 31975]]
['40\\%', [1464, 1468]]
['development', [1472, 1483]]
['nodal', [414, 419]]
['nodal', [1487, 1492]]
['nodal', [1717, 1722]]
['nodal', [2824, 2829]]
['metastasis', [1493, 1503]]
['metastasis', [3404, 3414]]
['primary', [1532, 1539]]
['primary', [2160, 2167]]
['primary', [3456, 3463]]
['approximately', [1549, 1562]]
['50\\%', [1563, 1567]]
['involvement', [1568, 1579]]
['involvement', [13428, 13439]]
['involvement', [17467, 17478]]
['single', [1590, 1596]]
['lymph node', [389, 399]]
['lymph node', [1597, 1607]]
['lymph node', [2799, 2809]]
['lymph node', [13417, 13427]]
['lymph node', [17456, 17466]]
['marked', [1629, 1635]]
['feature', [1673, 1680]]
['feature', [1903, 1910]]
['feature', [13382, 13389]]
['feature', [13507, 13514]]
['feature', [17421, 17428]]
['feature', [17546, 17553]]
['extracapsular', [1690, 1703]]
['extracapsular', [13445, 13458]]
['extracapsular', [17484, 17497]]
['extension', [1704, 1713]]
['extension', [13459, 13468]]
['extension', [17498, 17507]]
['disease', [420, 427]]
['disease', [1311, 1318]]
['disease', [1375, 1382]]
['disease', [1723, 1730]]
['disease', [2508, 2515]]
['disease', [2830, 2837]]
['disease', [7982, 7989]]
['disease', [8158, 8165]]
['disease', [12553, 12560]]
['disease', [12729, 12736]]
['disease', [27928, 27935]]
['disease', [28930, 28937]]
['disease', [30485, 30492]]
['disease', [31487, 31494]]
['positive surgical margin', [1735, 1759]]
['positive surgical margin', [2845, 2869]]
['standard', [1769, 1777]]
['standard', [27963, 27971]]
['standard', [28265, 28273]]
['standard', [30520, 30528]]
['standard', [30822, 30830]]
['care', [1781, 1785]]
['care', [28277, 28281]]
['care', [30834, 30838]]
['postoperative', [3992, 4005]]
['postoperative', [8562, 8575]]
['postoperative', [27788, 27801]]
['postoperative', [27972, 27985]]
['postoperative', [28162, 28175]]
['postoperative', [28377, 28390]]
['postoperative', [29406, 29419]]
['postoperative', [30345, 30358]]
['postoperative', [30529, 30542]]
['postoperative', [30719, 30732]]
['postoperative', [30934, 30947]]
['postoperative', [31963, 31976]]
['chemoradiotherapy', [1830, 1847]]
['chemoradiotherapy', [28402, 28419]]
['chemoradiotherapy', [30959, 30976]]
['post operative', [1815, 1829]]
['resection', [1918, 1927]]
['significant', [1974, 1985]]
['significant', [15741, 15752]]
['significant', [19780, 19791]]
['significant', [23128, 23139]]
['significant', [25459, 25470]]
['significant', [28436, 28447]]
['significant', [30993, 31004]]
['effort', [2002, 2008]]
['effort', [28716, 28722]]
['effort', [31273, 31279]]
['less', [2021, 2025]]
['less', [7062, 7066]]
['less', [7244, 7248]]
['less', [11633, 11637]]
['less', [11815, 11819]]
['less', [14287, 14291]]
['less', [18326, 18330]]
['less', [21674, 21678]]
['less', [24005, 24009]]
['less', [28753, 28757]]
['less', [31310, 31314]]
['toxic', [804, 809]]
['toxic', [1000, 1005]]
['toxic', [1986, 1991]]
['toxic', [2026, 2031]]
['toxic', [2239, 2244]]
['toxic', [4029, 4034]]
['toxic', [4230, 4235]]
['toxic', [4240, 4245]]
['toxic', [5072, 5077]]
['toxic', [5269, 5274]]
['toxic', [5663, 5668]]
['toxic', [6495, 6500]]
['toxic', [7334, 7339]]
['toxic', [7940, 7945]]
['toxic', [8599, 8604]]
['toxic', [8800, 8805]]
['toxic', [8810, 8815]]
['toxic', [9642, 9647]]
['toxic', [9839, 9844]]
['toxic', [10233, 10238]]
['toxic', [11065, 11070]]
['toxic', [11905, 11910]]
['toxic', [12511, 12516]]
['toxic', [13577, 13582]]
['toxic', [13600, 13605]]
['toxic', [13885, 13890]]
['toxic', [14292, 14297]]
['toxic', [14851, 14856]]
['toxic', [17616, 17621]]
['toxic', [17639, 17644]]
['toxic', [17924, 17929]]
['toxic', [18331, 18336]]
['toxic', [18890, 18895]]
['toxic', [20964, 20969]]
['toxic', [20987, 20992]]
['toxic', [21272, 21277]]
['toxic', [21679, 21684]]
['toxic', [22238, 22243]]
['toxic', [23295, 23300]]
['toxic', [23318, 23323]]
['toxic', [23603, 23608]]
['toxic', [24010, 24015]]
['toxic', [24569, 24574]]
['toxic', [28448, 28453]]
['toxic', [28482, 28487]]
['toxic', [28700, 28705]]
['toxic', [28758, 28763]]
['toxic', [29208, 29213]]
['toxic', [29372, 29377]]
['toxic', [29474, 29479]]
['toxic', [29833, 29838]]
['toxic', [29906, 29911]]
['toxic', [31005, 31010]]
['toxic', [31039, 31044]]
['toxic', [31257, 31262]]
['toxic', [31315, 31320]]
['toxic', [31765, 31770]]
['toxic', [31929, 31934]]
['toxic', [32031, 32036]]
['toxic', [32390, 32395]]
['toxic', [32463, 32468]]
['toxic', [32859, 32864]]
['strategy', [2032, 2040]]
['use', [2069, 2072]]
['use', [4831, 4834]]
['use', [6682, 6685]]
['use', [6810, 6813]]
['use', [7885, 7888]]
['use', [9401, 9404]]
['use', [11253, 11256]]
['use', [11381, 11384]]
['use', [12456, 12459]]
['use', [15794, 15797]]
['use', [19833, 19836]]
['use', [23181, 23184]]
['use', [25512, 25515]]
['end point', [2168, 2177]]
['one', [2193, 2196]]
['one', [5047, 5050]]
['one', [6124, 6127]]
['one', [9617, 9620]]
['one', [10694, 10697]]
['one', [15507, 15510]]
['one', [16369, 16372]]
['one', [16664, 16667]]
['one', [19546, 19549]]
['one', [20408, 20411]]
['one', [20703, 20706]]
['one', [22894, 22897]]
['one', [25225, 25228]]
['one', [26088, 26091]]
['one', [26383, 26386]]
['one', [27106, 27109]]
['one', [27401, 27404]]
['one', [28001, 28004]]
['one', [28615, 28618]]
['one', [30558, 30561]]
['one', [31172, 31175]]
['dlt', [2249, 2252]]
['dlt', [4321, 4324]]
['dlt', [4771, 4774]]
['dlt', [8891, 8894]]
['dlt', [9341, 9344]]
['radiation', [17, 26]]
['radiation', [2313, 2322]]
['radiation', [3344, 3353]]
['radiation', [3967, 3976]]
['radiation', [4493, 4502]]
['radiation', [4890, 4899]]
['radiation', [5782, 5791]]
['radiation', [5868, 5877]]
['radiation', [5941, 5950]]
['radiation', [6043, 6052]]
['radiation', [6239, 6248]]
['radiation', [6740, 6749]]
['radiation', [8537, 8546]]
['radiation', [9063, 9072]]
['radiation', [9460, 9469]]
['radiation', [10352, 10361]]
['radiation', [10438, 10447]]
['radiation', [10511, 10520]]
['radiation', [10613, 10622]]
['radiation', [10809, 10818]]
['radiation', [11311, 11320]]
['radiation', [13862, 13871]]
['radiation', [14896, 14905]]
['radiation', [15608, 15617]]
['radiation', [17901, 17910]]
['radiation', [18935, 18944]]
['radiation', [19647, 19656]]
['radiation', [21249, 21258]]
['radiation', [22283, 22292]]
['radiation', [22995, 23004]]
['radiation', [23580, 23589]]
['radiation', [24614, 24623]]
['radiation', [25326, 25335]]
['radiation', [28543, 28552]]
['radiation', [28603, 28612]]
['radiation', [30141, 30150]]
['radiation', [30188, 30197]]
['radiation', [31100, 31109]]
['radiation', [31160, 31169]]
['radiation', [32698, 32707]]
['radiation', [32745, 32754]]
['adjuvant', [8, 16]]
['adjuvant', [2330, 2338]]
['adjuvant', [29011, 29019]]
['adjuvant', [31568, 31576]]
['setting', [2339, 2346]]
['setting', [4006, 4013]]
['setting', [8576, 8583]]
['setting', [28811, 28818]]
['setting', [29020, 29027]]
['setting', [29420, 29427]]
['setting', [31368, 31375]]
['setting', [31577, 31584]]
['setting', [31977, 31984]]
['setting', [32966, 32973]]
['endpoints', [2422, 2431]]
['assessment', [2445, 2455]]
['patterns', [2481, 2489]]
['patterns', [7961, 7969]]
['patterns', [12532, 12540]]
['first', [2493, 2498]]
['first', [8128, 8133]]
['first', [12699, 12704]]
['first', [13684, 13689]]
['first', [13710, 13715]]
['first', [17723, 17728]]
['first', [17749, 17754]]
['first', [21071, 21076]]
['first', [21097, 21102]]
['first', [23402, 23407]]
['first', [23428, 23433]]
['disease-free survival', [2508, 2529]]
['overall', [2534, 2541]]
['overall', [7999, 8006]]
['overall', [8175, 8182]]
['overall', [12570, 12577]]
['overall', [12746, 12753]]
['overall', [15911, 15918]]
['overall', [16673, 16680]]
['overall', [16737, 16744]]
['overall', [16813, 16820]]
['overall', [16862, 16869]]
['overall', [19950, 19957]]
['overall', [20712, 20719]]
['overall', [20776, 20783]]
['overall', [20852, 20859]]
['overall', [20901, 20908]]
['overall', [25630, 25637]]
['overall', [26392, 26399]]
['overall', [26456, 26463]]
['overall', [26532, 26539]]
['overall', [26581, 26588]]
['overall', [26648, 26655]]
['overall', [27410, 27417]]
['overall', [27474, 27481]]
['overall', [27550, 27557]]
['overall', [27599, 27606]]
['overall', [28084, 28091]]
['overall', [30641, 30648]]
['materials', [2613, 2622]]
['oral cavity', [2726, 2737]]
['oropharynx', [2739, 2749]]
['larynx', [2753, 2759]]
['regional lymph nodes', [2790, 2810]]
['inclusion criteria', [2907, 2925]]
['southwest oncology group', [2938, 2962]]
['swog', [2984, 2988]]
['ps', [905, 907]]
['ps', [1452, 1454]]
['ps', [1697, 1699]]
['ps', [2476, 2478]]
['ps', [2503, 2505]]
['ps', [2989, 2991]]
['ps', [7977, 7979]]
['ps', [12548, 12550]]
['ps', [13452, 13454]]
['ps', [13531, 13533]]
['ps', [15892, 15894]]
['ps', [15948, 15950]]
['ps', [15969, 15971]]
['ps', [16104, 16106]]
['ps', [16179, 16181]]
['ps', [16216, 16218]]
['ps', [16285, 16287]]
['ps', [16404, 16406]]
['ps', [16461, 16463]]
['ps', [16530, 16532]]
['ps', [17491, 17493]]
['ps', [17570, 17572]]
['ps', [19931, 19933]]
['ps', [19987, 19989]]
['ps', [20008, 20010]]
['ps', [20143, 20145]]
['ps', [20218, 20220]]
['ps', [20255, 20257]]
['ps', [20324, 20326]]
['ps', [20443, 20445]]
['ps', [20500, 20502]]
['ps', [20569, 20571]]
['ps', [25611, 25613]]
['ps', [25667, 25669]]
['ps', [25688, 25690]]
['ps', [25823, 25825]]
['ps', [25898, 25900]]
['ps', [25935, 25937]]
['ps', [26004, 26006]]
['ps', [26123, 26125]]
['ps', [26180, 26182]]
['ps', [26249, 26251]]
['ps', [26629, 26631]]
['ps', [26685, 26687]]
['ps', [26706, 26708]]
['ps', [26841, 26843]]
['ps', [26916, 26918]]
['ps', [26953, 26955]]
['ps', [27022, 27024]]
['ps', [27141, 27143]]
['ps', [27198, 27200]]
['ps', [27267, 27269]]
['age', [1272, 1275]]
['age', [1305, 1308]]
['age', [1424, 1427]]
['age', [3004, 3007]]
['age', [13310, 13313]]
['age', [17349, 17352]]
['age', [28107, 28110]]
['age', [28774, 28777]]
['age', [29200, 29203]]
['age', [29364, 29367]]
['age', [29922, 29925]]
['age', [30664, 30667]]
['age', [31331, 31334]]
['age', [31757, 31760]]
['age', [31921, 31924]]
['age', [32479, 32482]]
['years', [3013, 3018]]
['years', [3559, 3564]]
['years', [7122, 7127]]
['years', [7317, 7322]]
['years', [7540, 7545]]
['years', [11693, 11698]]
['years', [11888, 11893]]
['years', [12111, 12116]]
['years', [13321, 13326]]
['years', [17360, 17365]]
['absolute neutrophil count', [3020, 3045]]
['hemoglobin', [3058, 3068]]
['\\/dl', [3074, 3078]]
['\\/dl', [3103, 3107]]
['platelet count', [3079, 3093]]
['adequate', [3112, 3120]]
['adequate', [6327, 6335]]
['adequate', [10897, 10905]]
['renal', [3121, 3126]]
['liver function', [3131, 3145]]
['six', [3189, 3192]]
['six', [3850, 3853]]
['six', [3925, 3928]]
['six', [4732, 4735]]
['six', [5840, 5843]]
['six', [8420, 8423]]
['six', [8495, 8498]]
['six', [9302, 9305]]
['six', [10410, 10413]]
['six', [14316, 14319]]
['six', [18355, 18358]]
['six', [21703, 21706]]
['six', [24034, 24037]]
['weeks', [3193, 3198]]
['weeks', [3929, 3934]]
['weeks', [5616, 5621]]
['weeks', [5844, 5849]]
['weeks', [6401, 6406]]
['weeks', [8499, 8504]]
['weeks', [10186, 10191]]
['weeks', [10414, 10419]]
['weeks', [10971, 10976]]
['weeks', [13919, 13924]]
['weeks', [14006, 14011]]
['weeks', [14399, 14404]]
['weeks', [14942, 14947]]
['weeks', [15079, 15084]]
['weeks', [15706, 15711]]
['weeks', [17958, 17963]]
['weeks', [18045, 18050]]
['weeks', [18438, 18443]]
['weeks', [18981, 18986]]
['weeks', [19118, 19123]]
['weeks', [19745, 19750]]
['weeks', [21306, 21311]]
['weeks', [21393, 21398]]
['weeks', [21786, 21791]]
['weeks', [22329, 22334]]
['weeks', [22466, 22471]]
['weeks', [23093, 23098]]
['weeks', [23637, 23642]]
['weeks', [23724, 23729]]
['weeks', [24117, 24122]]
['weeks', [24660, 24665]]
['weeks', [24797, 24802]]
['weeks', [25424, 25429]]
['surgery', [3202, 3209]]
['surgery', [6350, 6357]]
['surgery', [6413, 6420]]
['surgery', [10920, 10927]]
['surgery', [10983, 10990]]
['informed consent', [3235, 3251]]
['informed consent', [3677, 3693]]
['investigational', [3267, 3282]]
['nature', [3283, 3289]]
['prior chemotherapy', [3322, 3340]]
['radiation therapy', [3344, 3361]]
['radiation therapy', [3967, 3984]]
['radiation therapy', [4493, 4510]]
['radiation therapy', [4890, 4907]]
['radiation therapy', [5782, 5799]]
['radiation therapy', [5868, 5885]]
['radiation therapy', [5941, 5958]]
['radiation therapy', [6740, 6757]]
['radiation therapy', [8537, 8554]]
['radiation therapy', [9063, 9080]]
['radiation therapy', [9460, 9477]]
['radiation therapy', [10352, 10369]]
['radiation therapy', [10438, 10455]]
['radiation therapy', [10511, 10528]]
['radiation therapy', [11311, 11328]]
['radiation therapy', [13862, 13879]]
['radiation therapy', [15608, 15625]]
['radiation therapy', [17901, 17918]]
['radiation therapy', [19647, 19664]]
['radiation therapy', [21249, 21266]]
['radiation therapy', [22995, 23012]]
['radiation therapy', [23580, 23597]]
['radiation therapy', [25326, 25343]]
['evidence', [3384, 3392]]
['distant metastasis', [3396, 3414]]
['primary tumors', [3456, 3470]]
['grade', [3507, 3512]]
['grade', [4057, 4062]]
['grade', [4110, 4115]]
['grade', [4142, 4147]]
['grade', [4168, 4173]]
['grade', [4201, 4206]]
['grade', [4256, 4261]]
['grade', [5103, 5108]]
['grade', [5261, 5266]]
['grade', [8627, 8632]]
['grade', [8680, 8685]]
['grade', [8712, 8717]]
['grade', [8738, 8743]]
['grade', [8771, 8776]]
['grade', [8826, 8831]]
['grade', [9673, 9678]]
['grade', [9831, 9836]]
['grade', [13586, 13591]]
['grade', [13747, 13752]]
['grade', [14064, 14069]]
['grade', [14339, 14344]]
['grade', [14453, 14458]]
['grade', [14838, 14843]]
['grade', [15448, 15453]]
['grade', [15474, 15479]]
['grade', [17625, 17630]]
['grade', [17786, 17791]]
['grade', [18103, 18108]]
['grade', [18378, 18383]]
['grade', [18492, 18497]]
['grade', [18877, 18882]]
['grade', [19487, 19492]]
['grade', [19513, 19518]]
['grade', [20973, 20978]]
['grade', [21134, 21139]]
['grade', [21451, 21456]]
['grade', [21726, 21731]]
['grade', [21840, 21845]]
['grade', [22225, 22230]]
['grade', [22835, 22840]]
['grade', [22861, 22866]]
['grade', [23304, 23309]]
['grade', [23465, 23470]]
['grade', [23782, 23787]]
['grade', [24057, 24062]]
['grade', [24171, 24176]]
['grade', [24556, 24561]]
['grade', [25166, 25171]]
['grade', [25192, 25197]]
['grade', [28472, 28477]]
['grade', [29542, 29547]]
['grade', [31029, 31034]]
['grade', [32099, 32104]]
['last', [3549, 3553]]
['last', [4077, 4081]]
['last', [8251, 8255]]
['last', [8647, 8651]]
['last', [12822, 12826]]
['last', [14632, 14636]]
['last', [15527, 15531]]
['last', [18671, 18675]]
['last', [19566, 19570]]
['last', [22019, 22023]]
['last', [22914, 22918]]
['last', [24350, 24354]]
['last', [25245, 25249]]
['participating', [3647, 3660]]
['institution', [3611, 3622]]
['institution', [3661, 3672]]
['institution', [5220, 5231]]
['institution', [9790, 9801]]
['subject', [3717, 3724]]
['treatment plan', [3726, 3740]]
['treatment plan', [8296, 8310]]
['traditional', [3780, 3791]]
['traditional', [8350, 8361]]
['dose escalation', [3792, 3807]]
['dose escalation', [8362, 8377]]
['schema', [3808, 3814]]
['schema', [4382, 4388]]
['schema', [8378, 8384]]
['schema', [8952, 8958]]
['cohorts', [3839, 3846]]
['cohorts', [4523, 4530]]
['cohorts', [8409, 8416]]
['cohorts', [9093, 9100]]
['m2', [786, 788]]
['m2', [3918, 3920]]
['m2', [4456, 4458]]
['m2', [4610, 4612]]
['m2', [8488, 8490]]
['m2', [9026, 9028]]
['m2', [9180, 9182]]
['m2', [13162, 13164]]
['m2', [13780, 13782]]
['m2', [14176, 14178]]
['m2', [15232, 15234]]
['m2', [17201, 17203]]
['m2', [17819, 17821]]
['m2', [18215, 18217]]
['m2', [19271, 19273]]
['m2', [21167, 21169]]
['m2', [21563, 21565]]
['m2', [22619, 22621]]
['m2', [23498, 23500]]
['m2', [23894, 23896]]
['m2', [24950, 24952]]
['m2', [29585, 29587]]
['m2', [29664, 29666]]
['m2', [32142, 32144]]
['m2', [32221, 32223]]
['fever', [4135, 4140]]
['fever', [8705, 8710]]
['non', [4214, 4217]]
['non', [8784, 8787]]
['hematologic', [4218, 4229]]
['hematologic', [8788, 8799]]
['hematologic', [28688, 28699]]
['hematologic', [31245, 31256]]
['toxicities', [4240, 4250]]
['toxicities', [5072, 5082]]
['toxicities', [8810, 8820]]
['toxicities', [9642, 9652]]
['toxicities', [13600, 13610]]
['toxicities', [13885, 13895]]
['toxicities', [17639, 17649]]
['toxicities', [17924, 17934]]
['toxicities', [20987, 20997]]
['toxicities', [21272, 21282]]
['toxicities', [23318, 23328]]
['toxicities', [23603, 23613]]
['initial', [4341, 4348]]
['initial', [8911, 8918]]
['initial', [13112, 13119]]
['initial', [16048, 16055]]
['initial', [16263, 16270]]
['initial', [17151, 17158]]
['initial', [20087, 20094]]
['initial', [20302, 20309]]
['initial', [25767, 25774]]
['initial', [25982, 25989]]
['initial', [26785, 26792]]
['initial', [27000, 27007]]
['dose level', [4349, 4359]]
['dose level', [4668, 4678]]
['dose level', [8919, 8929]]
['dose level', [9238, 9248]]
['dose level', [14815, 14825]]
['dose level', [15132, 15142]]
['dose level', [18854, 18864]]
['dose level', [19171, 19181]]
['dose level', [22202, 22212]]
['dose level', [22519, 22529]]
['dose level', [24533, 24543]]
['dose level', [24850, 24860]]
['dose level', [29593, 29603]]
['dose level', [32150, 32160]]
['de', [110, 112]]
['de', [122, 124]]
['de', [397, 399]]
['de', [505, 507]]
['de', [1224, 1226]]
['de', [1472, 1474]]
['de', [1605, 1607]]
['de', [1636, 1638]]
['de', [1687, 1689]]
['de', [1811, 1813]]
['de', [2012, 2014]]
['de', [2211, 2213]]
['de', [2356, 2358]]
['de', [2807, 2809]]
['de', [2931, 2933]]
['de', [3113, 3115]]
['de', [3252, 3254]]
['de', [3387, 3389]]
['de', [3510, 3512]]
['de', [3575, 3577]]
['de', [4042, 4044]]
['de', [4060, 4062]]
['de', [4113, 4115]]
['de', [4145, 4147]]
['de', [4171, 4173]]
['de', [4204, 4206]]
['de', [4259, 4261]]
['de', [4368, 4370]]
['de', [4393, 4395]]
['de', [4593, 4595]]
['de', [4645, 4647]]
['de', [4819, 4821]]
['de', [5083, 5085]]
['de', [5106, 5108]]
['de', [5155, 5157]]
['de', [5264, 5266]]
['de', [5353, 5355]]
['de', [5625, 5627]]
['de', [5739, 5741]]
['de', [5902, 5904]]
['de', [5993, 5995]]
['de', [6095, 6097]]
['de', [6156, 6158]]
['de', [6328, 6330]]
['de', [6600, 6602]]
['de', [6655, 6657]]
['de', [6668, 6670]]
['de', [7028, 7030]]
['de', [7083, 7085]]
['de', [7144, 7146]]
['de', [7231, 7233]]
['de', [7278, 7280]]
['de', [7472, 7474]]
['de', [7501, 7503]]
['de', [7562, 7564]]
['de', [7616, 7618]]
['de', [7749, 7751]]
['de', [7857, 7859]]
['de', [7893, 7895]]
['de', [8148, 8150]]
['de', [8284, 8286]]
['de', [8612, 8614]]
['de', [8630, 8632]]
['de', [8683, 8685]]
['de', [8715, 8717]]
['de', [8741, 8743]]
['de', [8774, 8776]]
['de', [8829, 8831]]
['de', [8938, 8940]]
['de', [8963, 8965]]
['de', [9163, 9165]]
['de', [9215, 9217]]
['de', [9389, 9391]]
['de', [9653, 9655]]
['de', [9676, 9678]]
['de', [9725, 9727]]
['de', [9834, 9836]]
['de', [9923, 9925]]
['de', [10195, 10197]]
['de', [10309, 10311]]
['de', [10472, 10474]]
['de', [10563, 10565]]
['de', [10665, 10667]]
['de', [10726, 10728]]
['de', [10898, 10900]]
['de', [11171, 11173]]
['de', [11226, 11228]]
['de', [11239, 11241]]
['de', [11599, 11601]]
['de', [11654, 11656]]
['de', [11715, 11717]]
['de', [11802, 11804]]
['de', [11849, 11851]]
['de', [12043, 12045]]
['de', [12072, 12074]]
['de', [12133, 12135]]
['de', [12187, 12189]]
['de', [12320, 12322]]
['de', [12428, 12430]]
['de', [12464, 12466]]
['de', [12719, 12721]]
['de', [12855, 12857]]
['de', [13232, 13234]]
['de', [13395, 13397]]
['de', [13425, 13427]]
['de', [13589, 13591]]
['de', [13750, 13752]]
['de', [13960, 13962]]
['de', [13965, 13967]]
['de', [14067, 14069]]
['de', [14096, 14098]]
['de', [14100, 14102]]
['de', [14112, 14114]]
['de', [14329, 14331]]
['de', [14342, 14344]]
['de', [14443, 14445]]
['de', [14456, 14458]]
['de', [14841, 14843]]
['de', [14861, 14863]]
['de', [14876, 14878]]
['de', [15050, 15052]]
['de', [15055, 15057]]
['de', [15157, 15159]]
['de', [15451, 15453]]
['de', [15477, 15479]]
['de', [15871, 15873]]
['de', [16338, 16340]]
['de', [17271, 17273]]
['de', [17434, 17436]]
['de', [17464, 17466]]
['de', [17628, 17630]]
['de', [17789, 17791]]
['de', [17999, 18001]]
['de', [18004, 18006]]
['de', [18106, 18108]]
['de', [18135, 18137]]
['de', [18139, 18141]]
['de', [18151, 18153]]
['de', [18368, 18370]]
['de', [18381, 18383]]
['de', [18482, 18484]]
['de', [18495, 18497]]
['de', [18880, 18882]]
['de', [18900, 18902]]
['de', [18915, 18917]]
['de', [19089, 19091]]
['de', [19094, 19096]]
['de', [19196, 19198]]
['de', [19490, 19492]]
['de', [19516, 19518]]
['de', [19910, 19912]]
['de', [20377, 20379]]
['de', [20976, 20978]]
['de', [21137, 21139]]
['de', [21347, 21349]]
['de', [21352, 21354]]
['de', [21454, 21456]]
['de', [21483, 21485]]
['de', [21487, 21489]]
['de', [21499, 21501]]
['de', [21716, 21718]]
['de', [21729, 21731]]
['de', [21830, 21832]]
['de', [21843, 21845]]
['de', [22228, 22230]]
['de', [22248, 22250]]
['de', [22263, 22265]]
['de', [22437, 22439]]
['de', [22442, 22444]]
['de', [22544, 22546]]
['de', [22838, 22840]]
['de', [22864, 22866]]
['de', [23258, 23260]]
['de', [23307, 23309]]
['de', [23468, 23470]]
['de', [23678, 23680]]
['de', [23683, 23685]]
['de', [23785, 23787]]
['de', [23814, 23816]]
['de', [23818, 23820]]
['de', [23830, 23832]]
['de', [24047, 24049]]
['de', [24060, 24062]]
['de', [24161, 24163]]
['de', [24174, 24176]]
['de', [24559, 24561]]
['de', [24579, 24581]]
['de', [24594, 24596]]
['de', [24768, 24770]]
['de', [24773, 24775]]
['de', [24875, 24877]]
['de', [25169, 25171]]
['de', [25195, 25197]]
['de', [25589, 25591]]
['de', [26057, 26059]]
['de', [27075, 27077]]
['de', [27738, 27740]]
['de', [27852, 27854]]
['de', [28021, 28023]]
['de', [28475, 28477]]
['de', [29545, 29547]]
['de', [29650, 29652]]
['de', [29897, 29899]]
['de', [30004, 30006]]
['de', [30295, 30297]]
['de', [30409, 30411]]
['de', [30578, 30580]]
['de', [31032, 31034]]
['de', [32102, 32104]]
['de', [32207, 32209]]
['de', [32454, 32456]]
['de', [32561, 32563]]
['de', [32777, 32779]]
