['cad', [21873, 21876]]
['cad', [22178, 22181]]
['cad', [22365, 22368]]
['cad', [22544, 22547]]
['cad', [22706, 22709]]
['cad', [22778, 22781]]
['cad', [23866, 23869]]
['cad', [24015, 24018]]
['cad', [24630, 24633]]
['cad', [24941, 24944]]
['cad', [25827, 25830]]
['cad', [26132, 26135]]
['cad', [26337, 26340]]
['cad', [26365, 26368]]
['cad', [26815, 26818]]
['cad', [27483, 27486]]
['cad', [27515, 27518]]
['cad', [28398, 28401]]
['cad', [28851, 28854]]
['cad', [29060, 29063]]
['cad', [31048, 31051]]
['cad', [31591, 31594]]
['cad', [31858, 31861]]
['cad', [31982, 31985]]
['cad', [32234, 32237]]
['cad', [32449, 32452]]
['cad', [33287, 33290]]
['cad', [33664, 33667]]
['cad', [33692, 33695]]
['cad', [34142, 34145]]
['cad', [34810, 34813]]
['cad', [34842, 34845]]
['cad', [35725, 35728]]
['cad', [36178, 36181]]
['cad', [36387, 36390]]
['cad', [38375, 38378]]
['cad', [38918, 38921]]
['cad', [39185, 39188]]
['cad', [39309, 39312]]
['cad', [39561, 39564]]
['cad', [39776, 39779]]
['cad', [40614, 40617]]
['cad', [40909, 40912]]
['cad', [41176, 41179]]
['cad', [41300, 41303]]
['cad', [41552, 41555]]
['cad', [41767, 41770]]
['cad', [42605, 42608]]
['cad', [42900, 42903]]
['cad', [43167, 43170]]
['cad', [43291, 43294]]
['cad', [43543, 43546]]
['cad', [43758, 43761]]
['cad', [44596, 44599]]
['cad', [44972, 44975]]
['cad', [45242, 45245]]
['cad', [45439, 45442]]
['cad', [45513, 45516]]
['cad', [45562, 45565]]
['cad', [45834, 45837]]
['cad', [46062, 46065]]
['cad', [46438, 46441]]
['cad', [47140, 47143]]
['cad', [47466, 47469]]
['cad', [47737, 47740]]
['sipa', [732, 736]]
['sipa', [1304, 1308]]
['sipa', [1699, 1703]]
['sipa', [6806, 6810]]
['sipa', [7123, 7127]]
['sipa', [7590, 7594]]
['sipa', [8154, 8158]]
['sipa', [9505, 9509]]
['sipa', [9906, 9910]]
['sipa', [13573, 13577]]
['sipa', [13891, 13895]]
['sipa', [14358, 14362]]
['sipa', [14922, 14926]]
['sipa', [16273, 16277]]
['sipa', [16674, 16678]]
['sipa', [19972, 19976]]
['sipa', [23926, 23930]]
['sipa', [28296, 28300]]
['sipa', [35623, 35627]]
['sipa', [46269, 46273]]
['sipa', [46364, 46368]]
['sipa', [46450, 46454]]
['sipa', [46526, 46530]]
['sipa', [46610, 46614]]
['sipa', [46688, 46692]]
['sipa', [47194, 47198]]
['p-selectin', [756, 766]]
['p-selectin', [1530, 1540]]
['p-selectin', [6830, 6840]]
['p-selectin', [7816, 7826]]
['p-selectin', [7928, 7938]]
['p-selectin', [8042, 8052]]
['p-selectin', [13597, 13607]]
['p-selectin', [14584, 14594]]
['p-selectin', [14696, 14706]]
['p-selectin', [14810, 14820]]
['p-selectin', [20337, 20347]]
['p-selectin', [20576, 20586]]
['p-selectin', [20724, 20734]]
['p-selectin', [24291, 24301]]
['p-selectin', [24530, 24540]]
['p-selectin', [24678, 24688]]
['p-selectin', [26482, 26492]]
['p-selectin', [26642, 26652]]
['p-selectin', [28894, 28904]]
['p-selectin', [28995, 29005]]
['p-selectin', [29355, 29365]]
['p-selectin', [30513, 30523]]
['p-selectin', [32892, 32902]]
['p-selectin', [33809, 33819]]
['p-selectin', [33969, 33979]]
['p-selectin', [36221, 36231]]
['p-selectin', [36322, 36332]]
['p-selectin', [36682, 36692]]
['p-selectin', [37840, 37850]]
['p-selectin', [40219, 40229]]
['p-selectin', [42210, 42220]]
['p-selectin', [44201, 44211]]
['p-selectin', [46293, 46303]]
['p-selectin', [47256, 47266]]
['collagen', [970, 978]]
['collagen', [1143, 1151]]
['collagen', [8262, 8270]]
['collagen', [8469, 8477]]
['collagen', [8502, 8510]]
['collagen', [10185, 10193]]
['collagen', [15030, 15038]]
['collagen', [15237, 15245]]
['collagen', [15270, 15278]]
['collagen', [16953, 16961]]
['collagen', [18975, 18983]]
['collagen', [22929, 22937]]
['pfa-100', [1083, 1090]]
['pfa-100', [8334, 8341]]
['pfa-100', [9886, 9893]]
['pfa-100', [15102, 15109]]
['pfa-100', [16654, 16661]]
['pfa-100', [19160, 19167]]
['pfa-100', [19238, 19245]]
['pfa-100', [23114, 23121]]
['pfa-100', [23192, 23199]]
['pfa-100', [45797, 45804]]
['pfa-100', [45846, 45853]]
['pfa-100', [45947, 45954]]
['group', [1286, 1291]]
['group', [1393, 1398]]
['group', [1456, 1461]]
['group', [5795, 5800]]
['group', [10738, 10743]]
['group', [11051, 11056]]
['group', [12561, 12566]]
['group', [17507, 17512]]
['group', [17820, 17825]]
['group', [18382, 18387]]
['group', [18415, 18420]]
['group', [19056, 19061]]
['group', [19916, 19921]]
['group', [20065, 20070]]
['group', [20153, 20158]]
['group', [20962, 20967]]
['group', [20991, 20996]]
['group', [21817, 21822]]
['group', [22336, 22341]]
['group', [22369, 22374]]
['group', [23010, 23015]]
['group', [23870, 23875]]
['group', [24019, 24024]]
['group', [24107, 24112]]
['group', [24916, 24921]]
['group', [24945, 24950]]
['group', [25771, 25776]]
['group', [32212, 32217]]
['group', [32337, 32342]]
['group', [32453, 32458]]
['group', [32466, 32471]]
['group', [39539, 39544]]
['group', [39664, 39669]]
['group', [39780, 39785]]
['group', [39793, 39798]]
['group', [41530, 41535]]
['group', [41655, 41660]]
['group', [41771, 41776]]
['group', [41784, 41789]]
['group', [43521, 43526]]
['group', [43646, 43651]]
['group', [43762, 43767]]
['group', [43775, 43780]]
['group', [45517, 45522]]
['group', [45548, 45553]]
['group', [45566, 45571]]
['group', [45669, 45674]]
['cad\\.', [430, 435]]
['cad\\.', [2081, 2086]]
['cad\\.', [3644, 3649]]
['cad\\.', [4073, 4078]]
['cad\\.', [18824, 18829]]
['cad\\.', [22778, 22783]]
['cad\\.', [26337, 26342]]
['cad\\.', [28398, 28403]]
['cad\\.', [31982, 31987]]
['cad\\.', [33287, 33292]]
['cad\\.', [33664, 33669]]
['cad\\.', [35725, 35730]]
['cad\\.', [39309, 39314]]
['cad\\.', [40614, 40619]]
['cad\\.', [41300, 41305]]
['cad\\.', [42605, 42610]]
['cad\\.', [43291, 43296]]
['cad\\.', [44596, 44601]]
['pad-associated', [2807, 2821]]
['poor', [2822, 2826]]
['poor', [6672, 6676]]
['poor', [13439, 13443]]
['poor', [26851, 26855]]
['poor', [34178, 34182]]
['outcomes', [2468, 2476]]
['outcomes', [2827, 2835]]
['outcomes', [2997, 3005]]
['outcomes', [4663, 4671]]
['outcomes', [26753, 26761]]
['outcomes', [26856, 26864]]
['outcomes', [27322, 27330]]
['outcomes', [34080, 34088]]
