['pph', [4544, 4547]]
['pph', [4880, 4883]]
['pph', [9443, 9446]]
['pph', [9779, 9782]]
['pph', [15019, 15022]]
['pph', [15056, 15059]]
['pph', [15157, 15160]]
['pph', [18248, 18251]]
['pph', [18285, 18288]]
['pph', [18386, 18389]]
['pph', [21469, 21472]]
['pph', [21506, 21509]]
['pph', [21607, 21610]]
['pph', [24690, 24693]]
['pph', [24727, 24730]]
['pph', [24828, 24831]]
['pph', [33413, 33416]]
['pph', [33689, 33692]]
['pph', [33744, 33747]]
['pph', [33855, 33858]]
['pph', [38236, 38239]]
['pph', [38512, 38515]]
['pph', [38567, 38570]]
['pph', [38678, 38681]]
['pph', [44726, 44729]]
['pph', [44852, 44855]]
['pph', [44945, 44948]]
['pph', [46643, 46646]]
['pph', [47547, 47550]]
['lbw', [5676, 5679]]
['lbw', [5801, 5804]]
['lbw', [5899, 5902]]
['lbw', [10575, 10578]]
['lbw', [10700, 10703]]
['lbw', [10798, 10801]]
['lbw', [14714, 14717]]
['lbw', [15528, 15531]]
['lbw', [15594, 15597]]
['lbw', [15785, 15788]]
['lbw', [15864, 15867]]
['lbw', [16009, 16012]]
['lbw', [17943, 17946]]
['lbw', [18757, 18760]]
['lbw', [18823, 18826]]
['lbw', [19014, 19017]]
['lbw', [19093, 19096]]
['lbw', [19238, 19241]]
['lbw', [21164, 21167]]
['lbw', [21978, 21981]]
['lbw', [22044, 22047]]
['lbw', [22235, 22238]]
['lbw', [22314, 22317]]
['lbw', [22459, 22462]]
['lbw', [24385, 24388]]
['lbw', [25199, 25202]]
['lbw', [25265, 25268]]
['lbw', [25456, 25459]]
['lbw', [25535, 25538]]
['lbw', [25680, 25683]]
['lbw', [26706, 26709]]
['lbw', [26772, 26775]]
['lbw', [26963, 26966]]
['lbw', [27042, 27045]]
['lbw', [27187, 27190]]
['lbw', [28213, 28216]]
['lbw', [28279, 28282]]
['lbw', [28470, 28473]]
['lbw', [28549, 28552]]
['lbw', [28694, 28697]]
['lbw', [32037, 32040]]
['lbw', [36860, 36863]]
['lbw', [41348, 41351]]
['lbw', [41406, 41409]]
['lbw', [41567, 41570]]
['lbw', [41634, 41637]]
['lbw', [44158, 44161]]
['lbw', [44216, 44219]]
['lbw', [44377, 44380]]
['lbw', [44444, 44447]]
['lbw', [45185, 45188]]
['vlbw', [5800, 5804]]
['vlbw', [10699, 10703]]
['irb', [6075, 6078]]
['irb', [6232, 6235]]
['irb', [10975, 10978]]
['irb', [11132, 11135]]
['blast', [7025, 7030]]
['blast', [11925, 11930]]
['sas', [7203, 7206]]
['sas', [12104, 12107]]
['version', [6965, 6972]]
['version', [7207, 7214]]
['version', [11865, 11872]]
['version', [12108, 12115]]
['9\\.0', [7215, 7219]]
['9\\.0', [12116, 12120]]
['9\\.0', [51196, 51200]]
['sga', [5481, 5484]]
['sga', [5894, 5897]]
['sga', [8197, 8200]]
['sga', [10380, 10383]]
['sga', [10793, 10796]]
['sga', [13098, 13101]]
['sga', [14676, 14679]]
['sga', [15689, 15692]]
['sga', [16249, 16252]]
['sga', [16274, 16277]]
['sga', [16675, 16678]]
['sga', [17905, 17908]]
['sga', [18918, 18921]]
['sga', [19478, 19481]]
['sga', [19503, 19506]]
['sga', [19904, 19907]]
['sga', [21126, 21129]]
['sga', [22139, 22142]]
['sga', [22699, 22702]]
