genia tagger: 5668['jakob-creutzfeldt', [60, 77]]
['a', [31420, 31421]]
['a', [31433, 31434]]
['a', [31438, 31439]]
['a', [31443, 31444]]
['a', [31449, 31450]]
['a', [31467, 31468]]
['a', [31472, 31473]]
['a', [31514, 31515]]
['a', [31551, 31552]]
['a', [31560, 31561]]
['a', [31588, 31589]]
['a', [31605, 31606]]
['a', [31626, 31627]]
['a', [31629, 31630]]
['a', [31632, 31633]]
['a', [31660, 31661]]
['a', [31668, 31669]]
['a', [31709, 31710]]
['a', [31725, 31726]]
['a', [31741, 31742]]
['a', [31745, 31746]]
['a', [31761, 31762]]
['a', [31787, 31788]]
['a', [31836, 31837]]
['a', [31848, 31849]]
['a', [31850, 31851]]
['a', [31863, 31864]]
['a', [31914, 31915]]
['a', [31928, 31929]]
['a', [31935, 31936]]
['a', [31942, 31943]]
['a', [31945, 31946]]
['a', [31953, 31954]]
['a', [31963, 31964]]
['a', [31966, 31967]]
['a', [31973, 31974]]
['a', [32011, 32012]]
['a', [32027, 32028]]
['a', [32030, 32031]]
['a', [32045, 32046]]
['a', [32059, 32060]]
['a', [32064, 32065]]
['a', [32087, 32088]]
['a', [32131, 32132]]
['a', [32149, 32150]]
['a', [32159, 32160]]
['a', [32166, 32167]]
['a', [32171, 32172]]
['a', [32182, 32183]]
['a', [32196, 32197]]
['a', [32206, 32207]]
['a', [32222, 32223]]
['a', [32229, 32230]]
['a', [32237, 32238]]
['a', [32241, 32242]]
['a', [32250, 32251]]
['a', [32251, 32252]]
['a', [32255, 32256]]
['a', [32260, 32261]]
['a', [32277, 32278]]
['a', [32281, 32282]]
['a', [32301, 32302]]
['a', [32329, 32330]]
['a', [32333, 32334]]
['a', [32343, 32344]]
['a', [32351, 32352]]
['a', [32356, 32357]]
['a', [32369, 32370]]
['a', [32375, 32376]]
['a', [32388, 32389]]
['a', [32397, 32398]]
['a', [32402, 32403]]
['a', [32449, 32450]]
['a', [32474, 32475]]
['a', [32484, 32485]]
['a', [32490, 32491]]
['a', [32502, 32503]]
['a', [32506, 32507]]
['a', [32516, 32517]]
['a', [32529, 32530]]
['a', [32538, 32539]]
['a', [32544, 32545]]
['a', [32552, 32553]]
['a', [32564, 32565]]
['a', [32575, 32576]]
['a', [32593, 32594]]
['a', [32598, 32599]]
['a', [32602, 32603]]
['a', [32658, 32659]]
['a', [32666, 32667]]
['a', [32677, 32678]]
['a', [32681, 32682]]
['a', [32686, 32687]]
['a', [32692, 32693]]
['a', [32701, 32702]]
['a', [32713, 32714]]
['a', [32718, 32719]]
['a', [32727, 32728]]
['a', [32770, 32771]]
['a', [32782, 32783]]
['a', [32813, 32814]]
['a', [32817, 32818]]
['a', [32824, 32825]]
['a', [32835, 32836]]
['a', [32840, 32841]]
['a', [32867, 32868]]
['a', [32884, 32885]]
['a', [32893, 32894]]
['a', [32923, 32924]]
['a', [32930, 32931]]
['a', [32938, 32939]]
['a', [32943, 32944]]
['a', [32950, 32951]]
['a', [32969, 32970]]
['a', [32979, 32980]]
['a', [32997, 32998]]
['a', [33007, 33008]]
['a', [33063, 33064]]
['a', [33075, 33076]]
['a', [33078, 33079]]
['a', [33084, 33085]]
['a', [33105, 33106]]
['a', [33109, 33110]]
['a', [33161, 33162]]
['a', [33172, 33173]]
['a', [33181, 33182]]
['a', [33195, 33196]]
['a', [33202, 33203]]
['a', [33222, 33223]]
['a', [33273, 33274]]
['a', [33316, 33317]]
['a', [33347, 33348]]
['a', [33366, 33367]]
['a', [33378, 33379]]
['a', [33389, 33390]]
['a', [33391, 33392]]
['a', [33401, 33402]]
['a', [33415, 33416]]
['a', [33423, 33424]]
['a', [33429, 33430]]
['a', [33445, 33446]]
['a', [33454, 33455]]
['a', [33461, 33462]]
['a', [33475, 33476]]
['a', [33502, 33503]]
['a', [33507, 33508]]
['a', [33528, 33529]]
['a', [33532, 33533]]
['a', [33540, 33541]]
['a', [33544, 33545]]
['a', [33576, 33577]]
['a', [33612, 33613]]
['a', [33624, 33625]]
['a', [33665, 33666]]
['a', [33682, 33683]]
['a', [33692, 33693]]
['a', [33701, 33702]]
['a', [33721, 33722]]
['a', [33729, 33730]]
['a', [33747, 33748]]
['a', [33755, 33756]]
['a', [33761, 33762]]
['a', [33792, 33793]]
['a', [33831, 33832]]
['a', [33840, 33841]]
['a', [33847, 33848]]
['a', [33853, 33854]]
['a', [33858, 33859]]
['a', [33863, 33864]]
['a', [33875, 33876]]
['a', [33884, 33885]]
['a', [33919, 33920]]
['a', [33928, 33929]]
['a', [33953, 33954]]
['a', [33961, 33962]]
['a', [33965, 33966]]
['a', [33973, 33974]]
['a', [33978, 33979]]
['a', [34001, 34002]]
['a', [34006, 34007]]
['a', [34022, 34023]]
['a', [34055, 34056]]
['a', [34081, 34082]]
['a', [34086, 34087]]
['a', [34095, 34096]]
['a', [34130, 34131]]
['a', [34134, 34135]]
['a', [34139, 34140]]
['a', [34150, 34151]]
['a', [34188, 34189]]
['a', [34194, 34195]]
['a', [34211, 34212]]
['a', [34246, 34247]]
['a', [34254, 34255]]
['a', [34263, 34264]]
['a', [34279, 34280]]
['a', [34353, 34354]]
['a', [34369, 34370]]
['a', [34374, 34375]]
['a', [34384, 34385]]
['a', [34407, 34408]]
['a', [34421, 34422]]
['a', [34440, 34441]]
['a', [34475, 34476]]
['a', [34485, 34486]]
['a', [34492, 34493]]
['a', [34507, 34508]]
['a', [34510, 34511]]
['a', [34516, 34517]]
['a', [34524, 34525]]
['a', [34545, 34546]]
['a', [34561, 34562]]
['a', [34579, 34580]]
['a', [34582, 34583]]
['a', [34611, 34612]]
['a', [34622, 34623]]
['a', [34632, 34633]]
['a', [34639, 34640]]
['a', [34675, 34676]]
['a', [34678, 34679]]
['a', [34697, 34698]]
['a', [34704, 34705]]
['a', [34726, 34727]]
['a', [34744, 34745]]
['a', [34759, 34760]]
['a', [34766, 34767]]
['a', [34771, 34772]]
['a', [34787, 34788]]
['a', [34794, 34795]]
['a', [34809, 34810]]
['a', [34839, 34840]]
['a', [34857, 34858]]
['a', [34877, 34878]]
['a', [34886, 34887]]
['a', [34893, 34894]]
['a', [34944, 34945]]
['a', [34960, 34961]]
['a', [34971, 34972]]
['a', [34990, 34991]]
['a', [35018, 35019]]
['a', [35033, 35034]]
['a', [35057, 35058]]
['a', [35062, 35063]]
['a', [35079, 35080]]
['a', [35094, 35095]]
['a', [35108, 35109]]
['a', [35133, 35134]]
['a', [35152, 35153]]
['a', [35183, 35184]]
['a', [35189, 35190]]
['a', [35193, 35194]]
['a', [35202, 35203]]
['a', [35216, 35217]]
['a', [35222, 35223]]
['a', [35232, 35233]]
['a', [35241, 35242]]
['a', [35247, 35248]]
['a', [35253, 35254]]
['a', [35264, 35265]]
['a', [35274, 35275]]
['a', [35332, 35333]]
['a', [35372, 35373]]
['a', [35385, 35386]]
['a', [35456, 35457]]
['a', [35473, 35474]]
['a', [35479, 35480]]
['a', [35481, 35482]]
['a', [35499, 35500]]
['a', [35506, 35507]]
['a', [35520, 35521]]
['a', [35527, 35528]]
['a', [35550, 35551]]
['a', [35611, 35612]]
['a', [35617, 35618]]
['a', [35645, 35646]]
['a', [35656, 35657]]
['a', [35670, 35671]]
['a', [35700, 35701]]
['a', [35729, 35730]]
['a', [35732, 35733]]
['a', [35738, 35739]]
['a', [35747, 35748]]
['a', [35772, 35773]]
['a', [35792, 35793]]
['a', [35835, 35836]]
['a', [35844, 35845]]
['a', [35850, 35851]]
['a', [35853, 35854]]
['a', [35858, 35859]]
['a', [35879, 35880]]
['a', [35882, 35883]]
['a', [35909, 35910]]
['a', [35926, 35927]]
['a', [35954, 35955]]
['a', [35977, 35978]]
['a', [35984, 35985]]
['a', [36000, 36001]]
['a', [36007, 36008]]
['a', [36036, 36037]]
['a', [36039, 36040]]
['a', [36049, 36050]]
['a', [36097, 36098]]
['a', [36106, 36107]]
['a', [36110, 36111]]
['a', [36112, 36113]]
['a', [36115, 36116]]
['a', [36136, 36137]]
['a', [36163, 36164]]
['a', [36179, 36180]]
['a', [36196, 36197]]
['a', [36212, 36213]]
['a', [36241, 36242]]
['a', [36253, 36254]]
['a', [36256, 36257]]
['a', [36276, 36277]]
['a', [36291, 36292]]
['a', [36296, 36297]]
['a', [36303, 36304]]
['a', [36315, 36316]]
['a', [36342, 36343]]
['a', [36351, 36352]]
['a', [36368, 36369]]
['a', [36374, 36375]]
['a', [36398, 36399]]
['a', [36408, 36409]]
['a', [36413, 36414]]
['a', [36424, 36425]]
['a', [36433, 36434]]
['a', [36437, 36438]]
['a', [36440, 36441]]
['a', [36455, 36456]]
['a', [36463, 36464]]
['a', [36480, 36481]]
['a', [36490, 36491]]
['a', [36517, 36518]]
['a', [36527, 36528]]
['a', [36532, 36533]]
['a', [36537, 36538]]
['a', [36555, 36556]]
['a', [36574, 36575]]
['a', [36584, 36585]]
['a', [36599, 36600]]
['a', [36603, 36604]]
['a', [36613, 36614]]
['a', [36625, 36626]]
['a', [36640, 36641]]
['a', [36649, 36650]]
['a', [36652, 36653]]
['a', [36658, 36659]]
['a', [36674, 36675]]
['a', [36716, 36717]]
['a', [36720, 36721]]
['a', [36752, 36753]]
['a', [36763, 36764]]
['a', [36768, 36769]]
['a', [36774, 36775]]
['a', [36781, 36782]]
['a', [36844, 36845]]
['a', [36855, 36856]]
['a', [36858, 36859]]
['a', [36866, 36867]]
['a', [36886, 36887]]
['a', [36893, 36894]]
['a', [36937, 36938]]
['a', [36953, 36954]]
['a', [36961, 36962]]
['a', [36964, 36965]]
['a', [36979, 36980]]
['a', [36984, 36985]]
['a', [36995, 36996]]
['a', [37005, 37006]]
['a', [37022, 37023]]
['a', [37028, 37029]]
['a', [37032, 37033]]
['a', [37034, 37035]]
['a', [37048, 37049]]
['a', [37064, 37065]]
['a', [37079, 37080]]
['a', [37090, 37091]]
['a', [37099, 37100]]
['a', [37110, 37111]]
['a', [37119, 37120]]
['a', [37123, 37124]]
['a', [37128, 37129]]
['a', [37139, 37140]]
['a', [37142, 37143]]
['a', [37150, 37151]]
['a', [37182, 37183]]
['a', [37192, 37193]]
['a', [37197, 37198]]
['a', [37204, 37205]]
['a', [37218, 37219]]
['a', [37222, 37223]]
['a', [37279, 37280]]
['a', [37295, 37296]]
['a', [37299, 37300]]
['a', [37307, 37308]]
['a', [37317, 37318]]
['a', [37328, 37329]]
['a', [37351, 37352]]
['a', [37360, 37361]]
['a', [37366, 37367]]
['a', [37369, 37370]]
['a', [37374, 37375]]
['a', [37395, 37396]]
['a', [37398, 37399]]
['a', [37425, 37426]]
['a', [37442, 37443]]
['a', [37470, 37471]]
['a', [37493, 37494]]
['a', [37500, 37501]]
['a', [37516, 37517]]
['a', [37523, 37524]]
['a', [37552, 37553]]
['a', [37555, 37556]]
['a', [37565, 37566]]
['a', [37613, 37614]]
['a', [37622, 37623]]
['a', [37626, 37627]]
['a', [37628, 37629]]
['a', [37631, 37632]]
['a', [37652, 37653]]
['a', [37679, 37680]]
['a', [37695, 37696]]
['a', [37712, 37713]]
['a', [37728, 37729]]
['a', [37757, 37758]]
['a', [37769, 37770]]
['a', [37772, 37773]]
['a', [37792, 37793]]
['a', [37807, 37808]]
['a', [37812, 37813]]
['a', [37819, 37820]]
['a', [37831, 37832]]
['a', [37858, 37859]]
['a', [37867, 37868]]
['a', [37884, 37885]]
['a', [37890, 37891]]
['a', [37914, 37915]]
['a', [37924, 37925]]
['a', [37929, 37930]]
['a', [37940, 37941]]
['a', [37949, 37950]]
['a', [37953, 37954]]
['a', [37956, 37957]]
['a', [37971, 37972]]
['a', [37979, 37980]]
['a', [37996, 37997]]
['a', [38006, 38007]]
['a', [38033, 38034]]
['a', [38043, 38044]]
['a', [38048, 38049]]
['a', [38053, 38054]]
['a', [38071, 38072]]
['a', [38090, 38091]]
['a', [38100, 38101]]
['a', [38115, 38116]]
['a', [38119, 38120]]
['a', [38129, 38130]]
['a', [38141, 38142]]
['a', [38156, 38157]]
['a', [38165, 38166]]
['a', [38168, 38169]]
['a', [38174, 38175]]
['a', [38190, 38191]]
['a', [38232, 38233]]
['a', [38236, 38237]]
['a', [38268, 38269]]
['a', [38279, 38280]]
['a', [38284, 38285]]
['a', [38290, 38291]]
['a', [38297, 38298]]
['a', [38360, 38361]]
['a', [38371, 38372]]
['a', [38374, 38375]]
['a', [38382, 38383]]
['a', [38402, 38403]]
['a', [38409, 38410]]
['a', [38453, 38454]]
['a', [38469, 38470]]
['a', [38477, 38478]]
['a', [38480, 38481]]
['a', [38495, 38496]]
['a', [38500, 38501]]
['a', [38511, 38512]]
['a', [38521, 38522]]
['a', [38538, 38539]]
['a', [38544, 38545]]
['a', [38548, 38549]]
['a', [38550, 38551]]
['a', [38564, 38565]]
['a', [38580, 38581]]
['a', [38595, 38596]]
['a', [38606, 38607]]
['a', [38615, 38616]]
['a', [38626, 38627]]
['a', [38635, 38636]]
['a', [38639, 38640]]
['a', [38644, 38645]]
['a', [38655, 38656]]
['a', [38658, 38659]]
['a', [38666, 38667]]
['a', [38698, 38699]]
['a', [38708, 38709]]
['a', [38713, 38714]]
['a', [38720, 38721]]
['a', [38734, 38735]]
['a', [38738, 38739]]
['a', [38795, 38796]]
['a', [38811, 38812]]
['a', [38815, 38816]]
['a', [38823, 38824]]
['a', [38833, 38834]]
['a', [38844, 38845]]
['mris', [6382, 6386]]
['mris', [6568, 6572]]
['mris', [7288, 7292]]
['mris', [10266, 10270]]
['mris', [10973, 10977]]
['mris', [11159, 11163]]
['mris', [11879, 11883]]
['mris', [14860, 14864]]
['flair', [6806, 6811]]
['flair', [6920, 6925]]
['flair', [11397, 11402]]
['flair', [11511, 11516]]
['flair', [35856, 35861]]
['flair', [37372, 37377]]
['vitamin', [8261, 8268]]
['vitamin', [12853, 12860]]
['b12', [8269, 8272]]
['b12', [12861, 12864]]
['rpr', [8274, 8277]]
['rpr', [12866, 12869]]
['rpr', [24381, 24384]]
['rpr', [32856, 32859]]
['anti-thyroperoxidase', [8292, 8312]]
['anti-thyroperoxidase', [12884, 12904]]
['antibody', [8313, 8321]]
['antibody', [8342, 8350]]
['antibody', [9469, 9477]]
['antibody', [9871, 9879]]
['antibody', [12905, 12913]]
['antibody', [12934, 12942]]
['antibody', [14062, 14070]]
['antibody', [14464, 14472]]
['antibody', [36342, 36350]]
['antibody', [37858, 37866]]
['anti-thyroglobulin', [8323, 8341]]
['anti-thyroglobulin', [12915, 12933]]
['anti-nuclear', [8370, 8382]]
['anti-nuclear', [12962, 12974]]
['antigen', [8383, 8390]]
['antigen', [12975, 12982]]
['c3', [8392, 8394]]
['c3', [12984, 12986]]
['c4', [8396, 8398]]
['c4', [12988, 12990]]
['rheumatoid', [8400, 8410]]
['rheumatoid', [12992, 13002]]
['factor', [8411, 8417]]
['factor', [13003, 13009]]
['c', [0, 1]]
['c', [34, 35]]
['c', [66, 67]]
['c', [144, 145]]
['c', [148, 149]]
['c', [179, 180]]
['c', [187, 188]]
['c', [209, 210]]
['c', [242, 243]]
['c', [283, 284]]
['c', [297, 298]]
['c', [302, 303]]
['c', [349, 350]]
['c', [357, 358]]
['c', [366, 367]]
['c', [418, 419]]
['c', [448, 449]]
['c', [458, 459]]
['c', [463, 464]]
['c', [495, 496]]
['c', [541, 542]]
['c', [545, 546]]
['c', [552, 553]]
['c', [556, 557]]
['c', [572, 573]]
['c', [576, 577]]
['c', [616, 617]]
['c', [621, 622]]
['c', [634, 635]]
['c', [672, 673]]
['c', [695, 696]]
['c', [748, 749]]
['c', [775, 776]]
['c', [786, 787]]
['c', [818, 819]]
['c', [860, 861]]
['c', [871, 872]]
['c', [875, 876]]
['c', [909, 910]]
['c', [937, 938]]
['c', [963, 964]]
['c', [987, 988]]
['c', [992, 993]]
['c', [1018, 1019]]
['c', [1021, 1022]]
['c', [1022, 1023]]
['c', [1039, 1040]]
['c', [1058, 1059]]
['c', [1070, 1071]]
['c', [1093, 1094]]
['c', [1147, 1148]]
['c', [1162, 1163]]
['c', [1163, 1164]]
['c', [1203, 1204]]
['c', [1236, 1237]]
['c', [1282, 1283]]
['c', [1319, 1320]]
['c', [1354, 1355]]
['c', [1358, 1359]]
['c', [1391, 1392]]
['c', [1393, 1394]]
['c', [1399, 1400]]
['c', [1446, 1447]]
['c', [1500, 1501]]
['c', [1553, 1554]]
['c', [1560, 1561]]
['c', [1565, 1566]]
['c', [1588, 1589]]
['c', [1592, 1593]]
['c', [1593, 1594]]
['c', [1607, 1608]]
['c', [1629, 1630]]
['c', [1640, 1641]]
['c', [1661, 1662]]
['c', [1734, 1735]]
['c', [1748, 1749]]
['c', [1785, 1786]]
['c', [1804, 1805]]
['c', [1814, 1815]]
['c', [1817, 1818]]
['c', [1818, 1819]]
['c', [1849, 1850]]
['c', [1879, 1880]]
['c', [1884, 1885]]
['c', [1898, 1899]]
['c', [1909, 1910]]
['c', [1913, 1914]]
['c', [1974, 1975]]
['c', [1984, 1985]]
['c', [2011, 2012]]
['c', [2039, 2040]]
['c', [2043, 2044]]
['c', [2059, 2060]]
['c', [2081, 2082]]
['c', [2084, 2085]]
['c', [2103, 2104]]
['c', [2105, 2106]]
['c', [2110, 2111]]
['c', [2111, 2112]]
['c', [2130, 2131]]
['c', [2181, 2182]]
['c', [2224, 2225]]
['c', [2228, 2229]]
['c', [2322, 2323]]
['c', [2351, 2352]]
['c', [2395, 2396]]
['c', [2419, 2420]]
['c', [2447, 2448]]
['c', [2451, 2452]]
['c', [2548, 2549]]
['c', [2576, 2577]]
['c', [2580, 2581]]
['c', [2593, 2594]]
['c', [2598, 2599]]
['c', [2625, 2626]]
['c', [2701, 2702]]
['c', [2706, 2707]]
['c', [2758, 2759]]
['c', [2803, 2804]]
['c', [2899, 2900]]
['c', [2903, 2904]]
['c', [2915, 2916]]
['c', [2920, 2921]]
['c', [2966, 2967]]
['c', [3050, 3051]]
['c', [3057, 3058]]
['c', [3062, 3063]]
['c', [3070, 3071]]
['c', [3105, 3106]]
['c', [3136, 3137]]
['c', [3193, 3194]]
['c', [3196, 3197]]
['c', [3282, 3283]]
['c', [3330, 3331]]
['c', [3343, 3344]]
['c', [3374, 3375]]
['c', [3414, 3415]]
['c', [3515, 3516]]
['c', [3673, 3674]]
['c', [3686, 3687]]
['c', [3796, 3797]]
['c', [3801, 3802]]
['c', [3865, 3866]]
['c', [3875, 3876]]
['c', [3902, 3903]]
['c', [3966, 3967]]
['c', [4008, 4009]]
['c', [4083, 4084]]
['c', [4150, 4151]]
['c', [4226, 4227]]
['c', [4255, 4256]]
['c', [4275, 4276]]
['c', [4312, 4313]]
['c', [4493, 4494]]
['c', [4557, 4558]]
['c', [4626, 4627]]
['c', [4640, 4641]]
['c', [4686, 4687]]
['c', [4770, 4771]]
['c', [4777, 4778]]
['c', [4782, 4783]]
['c', [4790, 4791]]
['c', [4825, 4826]]
['c', [4856, 4857]]
['c', [4913, 4914]]
['c', [4916, 4917]]
['c', [5002, 5003]]
['c', [5050, 5051]]
['c', [5063, 5064]]
['c', [5094, 5095]]
['c', [5134, 5135]]
['c', [5235, 5236]]
['c', [5393, 5394]]
['c', [5406, 5407]]
['c', [5516, 5517]]
['c', [5521, 5522]]
['c', [5585, 5586]]
['c', [5595, 5596]]
['c', [5622, 5623]]
['c', [5686, 5687]]
['c', [5728, 5729]]
['c', [5803, 5804]]
['c', [5870, 5871]]
['c', [5946, 5947]]
['c', [5975, 5976]]
['c', [5995, 5996]]
['c', [6032, 6033]]
['c', [6213, 6214]]
['c', [6277, 6278]]
['c', [6346, 6347]]
['c', [6435, 6436]]
['c', [6452, 6453]]
['c', [6453, 6454]]
['c', [6466, 6467]]
['c', [6494, 6495]]
['c', [6499, 6500]]
['c', [6533, 6534]]
['c', [6548, 6549]]
['c', [6660, 6661]]
['c', [6683, 6684]]
['c', [6698, 6699]]
['c', [6703, 6704]]
['c', [6736, 6737]]
['c', [6743, 6744]]
['c', [6761, 6762]]
['c', [6798, 6799]]
['c', [6831, 6832]]
['c', [6836, 6837]]
['c', [6873, 6874]]
['c', [6878, 6879]]
['c', [7005, 7006]]
['c', [7010, 7011]]
['c', [7125, 7126]]
['c', [7171, 7172]]
['c', [7177, 7178]]
['c', [7186, 7187]]
['c', [7200, 7201]]
['c', [7220, 7221]]
['c', [7266, 7267]]
['c', [7314, 7315]]
['c', [7319, 7320]]
['c', [7350, 7351]]
['c', [7361, 7362]]
['c', [7379, 7380]]
['c', [7380, 7381]]
['c', [7388, 7389]]
['c', [7405, 7406]]
['c', [7410, 7411]]
['c', [7467, 7468]]
['c', [7473, 7474]]
['c', [7481, 7482]]
['c', [7486, 7487]]
['c', [7509, 7510]]
['c', [7525, 7526]]
['c', [7558, 7559]]
['c', [7563, 7564]]
['c', [7606, 7607]]
['c', [7607, 7608]]
['c', [7713, 7714]]
['c', [7753, 7754]]
['c', [7780, 7781]]
['c', [7798, 7799]]
['c', [7868, 7869]]
['c', [7872, 7873]]
['c', [7890, 7891]]
['c', [7921, 7922]]
['c', [7980, 7981]]
['c', [8143, 8144]]
['c', [8169, 8170]]
['c', [8184, 8185]]
['c', [8204, 8205]]
['c', [8217, 8218]]
['c', [8225, 8226]]
['c', [8228, 8229]]
['c', [8363, 8364]]
['c', [8377, 8378]]
['c', [8392, 8393]]
['c', [8396, 8397]]
['c', [8413, 8414]]
['c', [8419, 8420]]
['c', [8424, 8425]]
['c', [8462, 8463]]
['c', [8491, 8492]]
['c', [8527, 8528]]
['c', [8533, 8534]]
['c', [8540, 8541]]
['c', [8555, 8556]]
['c', [8601, 8602]]
['c', [8817, 8818]]
['c', [8945, 8946]]
['c', [8984, 8985]]
['c', [9054, 9055]]
['c', [9179, 9180]]
['c', [9180, 9181]]
['c', [9226, 9227]]
['c', [9227, 9228]]
['c', [9273, 9274]]
['c', [9306, 9307]]
['c', [9311, 9312]]
['c', [9319, 9320]]
['c', [9382, 9383]]
['c', [9392, 9393]]
['c', [9438, 9439]]
['c', [9443, 9444]]
['c', [9490, 9491]]
['c', [9493, 9494]]
['c', [9506, 9507]]
['c', [9525, 9526]]
['c', [9531, 9532]]
['c', [9595, 9596]]
['c', [9613, 9614]]
['c', [9669, 9670]]
['c', [9683, 9684]]
['c', [9712, 9713]]
['c', [9728, 9729]]
['c', [9742, 9743]]
['c', [9753, 9754]]
['c', [9766, 9767]]
['c', [9777, 9778]]
['c', [9850, 9851]]
['c', [9854, 9855]]
['c', [9891, 9892]]
['c', [9913, 9914]]
['c', [9916, 9917]]
['c', [9929, 9930]]
['c', [9967, 9968]]
['c', [9992, 9993]]
['c', [10062, 10063]]
['c', [10244, 10245]]
['c', [10277, 10278]]
['c', [10287, 10288]]
['c', [10360, 10361]]
['c', [10454, 10455]]
['c', [10536, 10537]]
['c', [10537, 10538]]
['c', [10555, 10556]]
['c', [10556, 10557]]
['c', [10574, 10575]]
['c', [10589, 10590]]
['c', [10660, 10661]]
['c', [10756, 10757]]
['c', [10777, 10778]]
['c', [10793, 10794]]
['c', [10815, 10816]]
['c', [10827, 10828]]
['c', [10833, 10834]]
['c', [10875, 10876]]
['c', [10886, 10887]]
['c', [10889, 10890]]
['c', [10943, 10944]]
['c', [10947, 10948]]
['c', [10954, 10955]]
['c', [11026, 11027]]
['c', [11043, 11044]]
['c', [11044, 11045]]
['c', [11057, 11058]]
['c', [11085, 11086]]
['c', [11090, 11091]]
['c', [11124, 11125]]
['c', [11139, 11140]]
['c', [11251, 11252]]
['c', [11274, 11275]]
['c', [11289, 11290]]
['c', [11294, 11295]]
['c', [11327, 11328]]
['c', [11334, 11335]]
['c', [11352, 11353]]
['c', [11389, 11390]]
['c', [11422, 11423]]
['c', [11427, 11428]]
['c', [11464, 11465]]
['c', [11469, 11470]]
['c', [11596, 11597]]
['c', [11601, 11602]]
['c', [11716, 11717]]
['c', [11762, 11763]]
['c', [11768, 11769]]
['c', [11777, 11778]]
['c', [11791, 11792]]
['c', [11811, 11812]]
['c', [11857, 11858]]
['c', [11905, 11906]]
['c', [11910, 11911]]
['c', [11941, 11942]]
['c', [11952, 11953]]
['c', [11970, 11971]]
['c', [11971, 11972]]
['c', [11979, 11980]]
['c', [11996, 11997]]
['c', [12001, 12002]]
['c', [12058, 12059]]
['c', [12064, 12065]]
['c', [12072, 12073]]
['c', [12077, 12078]]
['c', [12100, 12101]]
['c', [12116, 12117]]
['c', [12149, 12150]]
['c', [12154, 12155]]
['c', [12197, 12198]]
['c', [12198, 12199]]
['c', [12305, 12306]]
['c', [12345, 12346]]
['c', [12372, 12373]]
['c', [12390, 12391]]
['c', [12460, 12461]]
['c', [12464, 12465]]
['c', [12482, 12483]]
['c', [12513, 12514]]
['c', [12572, 12573]]
['c', [12735, 12736]]
['c', [12761, 12762]]
['c', [12776, 12777]]
['c', [12796, 12797]]
['c', [12809, 12810]]
['c', [12817, 12818]]
['c', [12820, 12821]]
['c', [12955, 12956]]
['c', [12969, 12970]]
['c', [12984, 12985]]
['c', [12988, 12989]]
['c', [13005, 13006]]
['c', [13011, 13012]]
['c', [13016, 13017]]
['c', [13054, 13055]]
['c', [13083, 13084]]
['c', [13119, 13120]]
['c', [13125, 13126]]
['c', [13132, 13133]]
['c', [13147, 13148]]
['c', [13193, 13194]]
['c', [13410, 13411]]
['c', [13538, 13539]]
['c', [13577, 13578]]
['c', [13647, 13648]]
['c', [13772, 13773]]
['c', [13773, 13774]]
['c', [13819, 13820]]
['c', [13820, 13821]]
['c', [13866, 13867]]
['c', [13899, 13900]]
['c', [13904, 13905]]
['c', [13912, 13913]]
['c', [13975, 13976]]
['c', [13985, 13986]]
['c', [14031, 14032]]
['c', [14036, 14037]]
['c', [14083, 14084]]
['c', [14086, 14087]]
['c', [14099, 14100]]
['c', [14118, 14119]]
['c', [14124, 14125]]
['c', [14188, 14189]]
['c', [14206, 14207]]
['c', [14262, 14263]]
['c', [14276, 14277]]
['c', [14305, 14306]]
['c', [14321, 14322]]
['c', [14335, 14336]]
['c', [14346, 14347]]
['c', [14359, 14360]]
['c', [14370, 14371]]
['c', [14443, 14444]]
['c', [14447, 14448]]
['c', [14484, 14485]]
['c', [14506, 14507]]
['c', [14509, 14510]]
['c', [14522, 14523]]
['c', [14560, 14561]]
['c', [14585, 14586]]
['c', [14655, 14656]]
['c', [14838, 14839]]
['c', [14871, 14872]]
['c', [14881, 14882]]
['c', [14954, 14955]]
['c', [15048, 15049]]
['c', [15130, 15131]]
['c', [15131, 15132]]
['c', [15149, 15150]]
['c', [15150, 15151]]
['c', [15168, 15169]]
['c', [15183, 15184]]
['c', [15254, 15255]]
['c', [15351, 15352]]
['c', [15372, 15373]]
['c', [15388, 15389]]
['c', [15410, 15411]]
['c', [15422, 15423]]
['c', [15428, 15429]]
['c', [15470, 15471]]
['c', [15481, 15482]]
['c', [15484, 15485]]
['c', [15538, 15539]]
['c', [15542, 15543]]
['c', [15549, 15550]]
['c', [15576, 15577]]
['c', [15613, 15614]]
['c', [15639, 15640]]
['c', [15705, 15706]]
['c', [15784, 15785]]
['c', [15807, 15808]]
['c', [15837, 15838]]
['c', [15872, 15873]]
['c', [15902, 15903]]
['c', [15928, 15929]]
['c', [16060, 16061]]
['c', [16189, 16190]]
['c', [16193, 16194]]
['c', [16205, 16206]]
['c', [16300, 16301]]
['c', [16316, 16317]]
['c', [16320, 16321]]
['c', [16338, 16339]]
['c', [16376, 16377]]
['c', [16458, 16459]]
['c', [16474, 16475]]
['c', [16508, 16509]]
['c', [16512, 16513]]
['c', [16666, 16667]]
['c', [16679, 16680]]
['c', [16684, 16685]]
['c', [16720, 16721]]
['c', [16743, 16744]]
['c', [16745, 16746]]
['c', [16750, 16751]]
['c', [16789, 16790]]
['c', [16814, 16815]]
['c', [16850, 16851]]
['c', [16854, 16855]]
['c', [16871, 16872]]
['c', [16897, 16898]]
