genia tagger: 5668['jakob-creutzfeldt', [60, 77]]
['dwi', [31238, 31241]]
['dwi', [31772, 31775]]
['dwi', [32632, 32635]]
['dwi', [32803, 32806]]
['dwi', [33049, 33052]]
['dwi', [33419, 33422]]
['dwi', [33894, 33897]]
['dwi', [34013, 34016]]
['dwi', [34184, 34187]]
['dwi', [34454, 34457]]
['dwi', [35310, 35313]]
['dwi', [35721, 35724]]
['dwi', [35885, 35888]]
['dwi', [37250, 37253]]
['dwi', [37401, 37404]]
['dwi', [38766, 38769]]
['\\)', [109, 111]]
['\\)', [212, 214]]
['\\)', [808, 810]]
['\\)', [842, 844]]
['\\)', [901, 903]]
['\\)', [1096, 1098]]
['\\)', [1311, 1313]]
['\\)', [1402, 1404]]
['\\)', [1589, 1591]]
['\\)', [3906, 3908]]
['\\)', [3947, 3949]]
['\\)', [4276, 4278]]
['\\)', [5626, 5628]]
['\\)', [5667, 5669]]
['\\)', [5996, 5998]]
['\\)', [6562, 6564]]
['\\)', [6811, 6813]]
['\\)', [6891, 6893]]
['\\)', [6978, 6980]]
['\\)', [7187, 7189]]
['\\)', [7260, 7262]]
['\\)', [7935, 7937]]
['\\)', [8550, 8552]]
['\\)', [8551, 8553]]
['\\)', [8656, 8658]]
['\\)', [9093, 9095]]
['\\)', [9126, 9128]]
['\\)', [9168, 9170]]
['\\)', [9214, 9216]]
['\\)', [9261, 9263]]
['\\)', [9304, 9306]]
['\\)', [9508, 9510]]
['\\)', [9869, 9871]]
['\\)', [9931, 9933]]
['\\)', [10093, 10095]]
['\\)', [10447, 10449]]
['\\)', [10955, 10957]]
['\\)', [11153, 11155]]
['\\)', [11402, 11404]]
['\\)', [11482, 11484]]
['\\)', [11569, 11571]]
['\\)', [11778, 11780]]
['\\)', [11851, 11853]]
['\\)', [12527, 12529]]
['\\)', [13142, 13144]]
['\\)', [13143, 13145]]
['\\)', [13248, 13250]]
['\\)', [13686, 13688]]
['\\)', [13719, 13721]]
['\\)', [13761, 13763]]
['\\)', [13807, 13809]]
['\\)', [13854, 13856]]
['\\)', [13897, 13899]]
['\\)', [14101, 14103]]
['\\)', [14462, 14464]]
['\\)', [14524, 14526]]
['\\)', [14686, 14688]]
['\\)', [15041, 15043]]
['\\)', [15550, 15552]]
['\\)', [16422, 16424]]
['\\)', [16711, 16713]]
['\\)', [17043, 17045]]
['\\)', [17126, 17128]]
['\\)', [17206, 17208]]
['\\)', [18078, 18080]]
['\\)', [18367, 18369]]
['\\)', [18699, 18701]]
['\\)', [18782, 18784]]
['\\)', [18862, 18864]]
['\\)', [19258, 19260]]
['\\)', [20598, 20600]]
['\\)', [22135, 22137]]
['\\)', [22170, 22172]]
['\\)', [22202, 22204]]
['\\)', [23028, 23030]]
['\\)', [24745, 24747]]
['\\)', [25545, 25547]]
['\\)', [27733, 27735]]
['\\)', [29073, 29075]]
['\\)', [30610, 30612]]
['\\)', [30645, 30647]]
['\\)', [30677, 30679]]
['\\)', [31503, 31505]]
['\\)', [33220, 33222]]
['\\)', [34020, 34022]]
['\\)', [35966, 35968]]
['\\)', [36274, 36276]]
