['er', [83, 85]]
['er', [141, 143]]
['er', [158, 160]]
['er', [192, 194]]
['er', [212, 214]]
['er', [239, 241]]
['er', [424, 426]]
['er', [439, 441]]
['er', [607, 609]]
['er', [611, 613]]
['er', [636, 638]]
['er', [697, 699]]
['er', [721, 723]]
['er', [795, 797]]
['er', [829, 831]]
['er', [928, 930]]
['er', [946, 948]]
['er', [1006, 1008]]
['er', [1073, 1075]]
['er', [1123, 1125]]
['er', [1214, 1216]]
['er', [1233, 1235]]
['er', [1254, 1256]]
['er', [1310, 1312]]
['er', [1347, 1349]]
['er', [1391, 1393]]
['er', [1407, 1409]]
['er', [1456, 1458]]
['er', [1498, 1500]]
['er', [1544, 1546]]
['er', [1577, 1579]]
['er', [1617, 1619]]
['er', [1645, 1647]]
['er', [1671, 1673]]
['er', [1676, 1678]]
['er', [1786, 1788]]
['er', [1864, 1866]]
['er', [1943, 1945]]
['er', [1952, 1954]]
['er', [1967, 1969]]
['er', [1987, 1989]]
['er', [2014, 2016]]
['er', [2054, 2056]]
['er', [2094, 2096]]
['er', [2111, 2113]]
['er', [2174, 2176]]
['er', [2212, 2214]]
['er', [2226, 2228]]
['er', [2309, 2311]]
['er', [2337, 2339]]
['er', [2395, 2397]]
['er', [2574, 2576]]
['er', [2606, 2608]]
['er', [2695, 2697]]
['er', [2990, 2992]]
['er', [2994, 2996]]
['er', [3006, 3008]]
['er', [3022, 3024]]
['er', [3055, 3057]]
['er', [3152, 3154]]
['er', [3225, 3227]]
['er', [3262, 3264]]
['er', [3314, 3316]]
['er', [3340, 3342]]
['er', [3394, 3396]]
['er', [3414, 3416]]
['er', [3612, 3614]]
['er', [3633, 3635]]
['er', [3747, 3749]]
['er', [3778, 3780]]
['er', [3800, 3802]]
['er', [3905, 3907]]
['er', [4067, 4069]]
['er', [4082, 4084]]
['er', [4165, 4167]]
['er', [4192, 4194]]
['er', [4201, 4203]]
['er', [4222, 4224]]
['er', [4234, 4236]]
['er', [4501, 4503]]
['er', [4535, 4537]]
['er', [4611, 4613]]
['er', [4724, 4726]]
['er', [4739, 4741]]
['er', [4747, 4749]]
['er', [4796, 4798]]
['er', [4827, 4829]]
['er', [4936, 4938]]
['er', [4986, 4988]]
['er', [5035, 5037]]
['er', [5134, 5136]]
['er', [5139, 5141]]
['er', [5170, 5172]]
['er', [5175, 5177]]
['er', [5195, 5197]]
['er', [5651, 5653]]
['er', [5668, 5670]]
['er', [5841, 5843]]
['er', [5893, 5895]]
['er', [6067, 6069]]
['er', [6656, 6658]]
['er', [6774, 6776]]
['er', [6984, 6986]]
['er', [7014, 7016]]
['er', [7046, 7048]]
['er', [7053, 7055]]
['er', [7155, 7157]]
['er', [7160, 7162]]
['er', [7182, 7184]]
['er', [7244, 7246]]
['er', [7278, 7280]]
['er', [7308, 7310]]
['er', [7354, 7356]]
['er', [7447, 7449]]
['er', [7481, 7483]]
['er', [7524, 7526]]
['er', [7583, 7585]]
['er', [7617, 7619]]
['er', [7640, 7642]]
['er', [7673, 7675]]
['er', [7680, 7682]]
['er', [7722, 7724]]
['er', [7776, 7778]]
['er', [7873, 7875]]
['er', [8137, 8139]]
['er', [8225, 8227]]
['er', [8270, 8272]]
['er', [8493, 8495]]
['er', [8663, 8665]]
['er', [8689, 8691]]
['er', [8831, 8833]]
['er', [8857, 8859]]
['er', [8926, 8928]]
['er', [9026, 9028]]
['er', [9156, 9158]]
['er', [9170, 9172]]
['er', [9318, 9320]]
['er', [9425, 9427]]
['er', [9490, 9492]]
['er', [9855, 9857]]
['er', [9952, 9954]]
['er', [10033, 10035]]
['er', [10037, 10039]]
['er', [10091, 10093]]
['er', [10167, 10169]]
['er', [10193, 10195]]
['er', [10223, 10225]]
['er', [10245, 10247]]
['er', [10288, 10290]]
['er', [10296, 10298]]
['er', [10359, 10361]]
['er', [10367, 10369]]
['er', [10438, 10440]]
['er', [10479, 10481]]
['er', [10556, 10558]]
['er', [10726, 10728]]
['er', [10840, 10842]]
['er', [10847, 10849]]
['er', [11026, 11028]]
['er', [11207, 11209]]
['er', [11256, 11258]]
['er', [11540, 11542]]
['er', [11752, 11754]]
['er', [11811, 11813]]
['er', [12134, 12136]]
['er', [12189, 12191]]
['er', [12265, 12267]]
['er', [12345, 12347]]
['er', [12384, 12386]]
['er', [12566, 12568]]
['er', [12583, 12585]]
['er', [12593, 12595]]
['er', [12671, 12673]]
['er', [12676, 12678]]
['er', [12735, 12737]]
['er', [12740, 12742]]
['er', [12815, 12817]]
['er', [12855, 12857]]
['er', [12909, 12911]]
['er', [12934, 12936]]
['er', [12981, 12983]]
['er', [13033, 13035]]
['er', [13100, 13102]]
['er', [13242, 13244]]
['er', [13269, 13271]]
['er', [13522, 13524]]
['er', [13557, 13559]]
['er', [13705, 13707]]
['er', [13768, 13770]]
['er', [13858, 13860]]
['er', [14058, 14060]]
['er', [14085, 14087]]
['er', [14347, 14349]]
['er', [14417, 14419]]
['er', [14579, 14581]]
['er', [14608, 14610]]
['er', [14749, 14751]]
['er', [14818, 14820]]
['er', [14991, 14993]]
['er', [15253, 15255]]
['er', [15276, 15278]]
['er', [15416, 15418]]
['er', [15440, 15442]]
['er', [15509, 15511]]
['er', [15576, 15578]]
['er', [15628, 15630]]
['er', [15639, 15641]]
['er', [15681, 15683]]
['er', [15820, 15822]]
['er', [15887, 15889]]
['er', [15911, 15913]]
['er', [15931, 15933]]
['er', [15943, 15945]]
['er', [16012, 16014]]
['er', [16058, 16060]]
['er', [16093, 16095]]
['er', [16113, 16115]]
['er', [16349, 16351]]
['er', [16610, 16612]]
['er', [16668, 16670]]
['er', [16796, 16798]]
['er', [16921, 16923]]
['er', [16983, 16985]]
['er', [17017, 17019]]
['er', [17055, 17057]]
['er', [17297, 17299]]
['er', [17307, 17309]]
['er', [17319, 17321]]
['er', [17372, 17374]]
['er', [17407, 17409]]
['er', [17446, 17448]]
['er', [17567, 17569]]
['er', [17616, 17618]]
['er', [17631, 17633]]
['er', [17780, 17782]]
['er', [17812, 17814]]
['er', [17852, 17854]]
['er', [17968, 17970]]
['er', [18183, 18185]]
['er', [18190, 18192]]
['er', [18208, 18210]]
['er', [18216, 18218]]
['er', [18274, 18276]]
['er', [18296, 18298]]
['er', [18304, 18306]]
['er', [18318, 18320]]
['er', [18411, 18413]]
['er', [18476, 18478]]
['er', [18505, 18507]]
['er', [18529, 18531]]
['er', [18619, 18621]]
['er', [18685, 18687]]
['er', [18727, 18729]]
['er', [18736, 18738]]
['er', [18753, 18755]]
