['database', [10037, 10045]]
['database', [10338, 10346]]
['database', [11590, 11598]]
['database', [13103, 13111]]
['database', [17813, 17821]]
['database', [17967, 17975]]
['database', [18582, 18590]]
['database', [18883, 18891]]
['database', [19955, 19963]]
['database', [20109, 20117]]
['database', [20724, 20732]]
['database', [21025, 21033]]
['database', [22280, 22288]]
['database', [23794, 23802]]
['database', [25576, 25584]]
['\xe2\x80\x98anorexia', [9623, 9634]]
['\xe2\x80\x98anorexia', [10405, 10416]]
['\xe2\x80\x98anorexia', [18168, 18179]]
['\xe2\x80\x98anorexia', [18950, 18961]]
['\xe2\x80\x98anorexia', [20310, 20321]]
['\xe2\x80\x98anorexia', [21092, 21103]]
['nervosa\xe2\x80\x99', [10417, 10427]]
['nervosa\xe2\x80\x99', [18962, 18972]]
['nervosa\xe2\x80\x99', [21104, 21114]]
['height', [1939, 1945]]
['height', [5841, 5847]]
['height', [6570, 6576]]
['height', [11768, 11774]]
['height', [12505, 12511]]
['height', [13363, 13369]]
['height', [13739, 13745]]
['height', [14345, 14351]]
['height', [14850, 14856]]
['height', [14965, 14971]]
['height', [15312, 15318]]
['height', [15406, 15412]]
['height', [22458, 22464]]
['height', [23195, 23201]]
['height', [24054, 24060]]
['height', [24430, 24436]]
['height', [25036, 25042]]
['height', [25836, 25842]]
['height', [26212, 26218]]
['height', [26819, 26825]]
['height', [27325, 27331]]
['height', [27440, 27446]]
['height', [27787, 27793]]
['height', [27881, 27887]]
['height', [31185, 31191]]
['height', [31305, 31311]]
['height', [31552, 31558]]
['height', [31602, 31608]]
['height', [31701, 31707]]
['height', [36282, 36288]]
['height', [36402, 36408]]
['height', [36649, 36655]]
['height', [36699, 36705]]
['height', [36798, 36804]]
['height', [41377, 41383]]
['height', [41497, 41503]]
['height', [41744, 41750]]
['height', [41794, 41800]]
['height', [41893, 41899]]
['height', [45265, 45271]]
['height', [46412, 46418]]
['height', [49397, 49403]]
['height', [50120, 50126]]
['height', [51559, 51565]]
['height', [53502, 53508]]
['height', [56935, 56941]]
['height', [58082, 58088]]
['height', [61067, 61073]]
['height', [61790, 61796]]
['height', [63229, 63235]]
['height', [65172, 65178]]
['height', [68168, 68174]]
['height', [71999, 72005]]
['without', [12485, 12492]]
['without', [12512, 12519]]
['without', [23175, 23182]]
['without', [23202, 23209]]
['shoes', [12520, 12525]]
['shoes', [23210, 23215]]
['1', [858, 859]]
['1', [862, 863]]
['1', [893, 894]]
['1', [1025, 1026]]
['1', [1225, 1226]]
['1', [1228, 1229]]
['1', [1278, 1279]]
['1', [2348, 2349]]
['1', [2615, 2616]]
['1', [2639, 2640]]
['1', [3153, 3154]]
['1', [3160, 3161]]
['1', [3175, 3176]]
['1', [3243, 3244]]
['1', [3849, 3850]]
['1', [4029, 4030]]
['1', [5498, 5499]]
['1', [5596, 5597]]
['1', [6030, 6031]]
['1', [6705, 6706]]
['1', [7000, 7001]]
['1', [7004, 7005]]
['1', [7035, 7036]]
['1', [7168, 7169]]
['1', [7368, 7369]]
['1', [7371, 7372]]
['1', [7421, 7422]]
['1', [8923, 8924]]
['1', [8980, 8981]]
['1', [9968, 9969]]
['1', [11015, 11016]]
['1', [11016, 11017]]
['1', [12241, 12242]]
['1', [12526, 12527]]
['1', [13093, 13094]]
['1', [13226, 13227]]
['1', [13250, 13251]]
['1', [13310, 13311]]
['1', [13314, 13315]]
['1', [13347, 13348]]
['1', [13412, 13413]]
['1', [13418, 13419]]
['1', [13566, 13567]]
['1', [14011, 14012]]
['1', [14028, 14029]]
['1', [16289, 16290]]
['1', [17467, 17468]]
['1', [17524, 17525]]
['1', [18513, 18514]]
['1', [19560, 19561]]
['1', [19561, 19562]]
['1', [20655, 20656]]
['1', [21703, 21704]]
['1', [21704, 21705]]
['1', [22931, 22932]]
['1', [23216, 23217]]
['1', [23784, 23785]]
['1', [23917, 23918]]
['1', [23941, 23942]]
['1', [24001, 24002]]
['1', [24005, 24006]]
['1', [24038, 24039]]
['1', [24103, 24104]]
['1', [24109, 24110]]
['1', [24257, 24258]]
['1', [24702, 24703]]
['1', [24719, 24720]]
['1', [25566, 25567]]
['1', [25699, 25700]]
['1', [25723, 25724]]
['1', [25783, 25784]]
['1', [25787, 25788]]
['1', [25820, 25821]]
['1', [25885, 25886]]
['1', [25891, 25892]]
['1', [26039, 26040]]
['1', [26485, 26486]]
['1', [26502, 26503]]
['1', [28764, 28765]]
['1', [29207, 29208]]
['1', [29231, 29232]]
['1', [29256, 29257]]
['1', [29640, 29641]]
['1', [29661, 29662]]
['1', [29688, 29689]]
['1', [29868, 29869]]
['1', [29934, 29935]]
['1', [29952, 29953]]
['1', [29976, 29977]]
['1', [29997, 29998]]
['1', [30018, 30019]]
['1', [30042, 30043]]
['1', [30063, 30064]]
['1', [30083, 30084]]
['1', [30106, 30107]]
['1', [30154, 30155]]
['1', [30346, 30347]]
['1', [30349, 30350]]
['1', [30376, 30377]]
['1', [30417, 30418]]
['1', [30462, 30463]]
['1', [30510, 30511]]
['1', [30518, 30519]]
['1', [30582, 30583]]
['1', [30602, 30603]]
['1', [30660, 30661]]
['1', [30759, 30760]]
['1', [30893, 30894]]
['1', [31100, 31101]]
['1', [31478, 31479]]
['1', [31712, 31713]]
['1', [32065, 32066]]
['1', [32153, 32154]]
['1', [32156, 32157]]
['1', [32194, 32195]]
['1', [32371, 32372]]
['1', [32515, 32516]]
['1', [32533, 32534]]
['1', [32546, 32547]]
['1', [32564, 32565]]
['1', [32567, 32568]]
['1', [32583, 32584]]
['1', [32586, 32587]]
['1', [32604, 32605]]
['1', [32620, 32621]]
['1', [32623, 32624]]
['1', [32661, 32662]]
['1', [32682, 32683]]
['1', [32721, 32722]]
['1', [32743, 32744]]
['1', [33044, 33045]]
['1', [33140, 33141]]
['1', [33195, 33196]]
['1', [33319, 33320]]
['1', [33352, 33353]]
['1', [33378, 33379]]
['1', [33393, 33394]]
['1', [33396, 33397]]
['1', [33414, 33415]]
['1', [33436, 33437]]
['1', [33502, 33503]]
['1', [33534, 33535]]
['1', [33566, 33567]]
['1', [33600, 33601]]
['1', [33616, 33617]]
['1', [33619, 33620]]
['1', [33632, 33633]]
['1', [33712, 33713]]
['1', [33727, 33728]]
['1', [33748, 33749]]
['1', [33756, 33757]]
['1', [33821, 33822]]
['1', [33848, 33849]]
['1', [33925, 33926]]
['1', [33994, 33995]]
['1', [34305, 34306]]
['1', [34329, 34330]]
['1', [34354, 34355]]
['1', [34738, 34739]]
['1', [34759, 34760]]
['1', [34786, 34787]]
['1', [34966, 34967]]
['1', [35032, 35033]]
['1', [35050, 35051]]
['1', [35074, 35075]]
['1', [35095, 35096]]
['1', [35116, 35117]]
['1', [35140, 35141]]
['1', [35161, 35162]]
['1', [35181, 35182]]
['1', [35204, 35205]]
['1', [35252, 35253]]
['1', [35444, 35445]]
['1', [35447, 35448]]
['1', [35474, 35475]]
['1', [35515, 35516]]
['1', [35560, 35561]]
['1', [35608, 35609]]
['1', [35616, 35617]]
['1', [35680, 35681]]
['1', [35700, 35701]]
['1', [35758, 35759]]
['1', [35857, 35858]]
['1', [35991, 35992]]
['1', [36197, 36198]]
['1', [36575, 36576]]
['1', [36809, 36810]]
['1', [37161, 37162]]
['1', [37249, 37250]]
['1', [37252, 37253]]
['1', [37290, 37291]]
['1', [37467, 37468]]
['1', [37611, 37612]]
['1', [37629, 37630]]
['1', [37642, 37643]]
['1', [37660, 37661]]
['1', [37663, 37664]]
['1', [37679, 37680]]
['1', [37682, 37683]]
['1', [37700, 37701]]
['1', [37716, 37717]]
['1', [37719, 37720]]
['1', [37757, 37758]]
['1', [37778, 37779]]
['1', [37817, 37818]]
['1', [37839, 37840]]
['1', [38139, 38140]]
['1', [38235, 38236]]
['1', [38290, 38291]]
['1', [38414, 38415]]
['1', [38447, 38448]]
['1', [38473, 38474]]
['1', [38488, 38489]]
['1', [38491, 38492]]
['1', [38509, 38510]]
['1', [38531, 38532]]
['1', [38597, 38598]]
['1', [38629, 38630]]
['1', [38661, 38662]]
['1', [38695, 38696]]
['1', [38711, 38712]]
['1', [38714, 38715]]
['1', [38727, 38728]]
