['ppp1r13l', [53553, 53561]]
['ppp1r13l', [53934, 53942]]
['ppp1r13l', [54011, 54019]]
['ppp1r13l', [54143, 54151]]
['ppp1r13l', [54174, 54182]]
['ppp1r13l', [54238, 54246]]
['ppp1r13l', [54332, 54340]]
['ppp1r13l', [54428, 54436]]
['ppp1r13l', [54593, 54601]]
['ppp1r13l', [54722, 54730]]
['ppp1r13l', [54877, 54885]]
['ppp1r13l', [55026, 55034]]
['ppp1r13l', [55127, 55135]]
['ppp1r13l', [55158, 55166]]
['ppp1r13l', [55222, 55230]]
['ppp1r13l', [55316, 55324]]
['ppp1r13l', [55412, 55420]]
['ppp1r13l', [55577, 55585]]
['ppp1r13l', [55706, 55714]]
['ppp1r13l', [55861, 55869]]
['ppp1r13l', [56010, 56018]]
['ppp1r13l', [56120, 56128]]
['ppp1r13l', [56557, 56565]]
['ppp1r13l', [57309, 57317]]
['ppp1r13l', [57357, 57365]]
['ppp1r13l', [57502, 57510]]
['ppp1r13l', [57670, 57678]]
['ppp1r13l', [58001, 58009]]
['ppp1r13l', [58303, 58311]]
['ppp1r13l', [58740, 58748]]
['ppp1r13l', [59492, 59500]]
['ppp1r13l', [59540, 59548]]
['ppp1r13l', [59685, 59693]]
['ppp1r13l', [59853, 59861]]
['ppp1r13l', [60184, 60192]]
['ppp1r13l', [60615, 60623]]
['ppp1r13l', [60837, 60845]]
['ppp1r13l', [60868, 60876]]
['ppp1r13l', [61241, 61249]]
['ppp1r13l', [61485, 61493]]
['ppp1r13l', [61651, 61659]]
['ppp1r13l', [61933, 61941]]
['ppp1r13l', [61998, 62006]]
['ppp1r13l', [62263, 62271]]
['ppp1r13l', [62485, 62493]]
['ppp1r13l', [62516, 62524]]
['ppp1r13l', [62889, 62897]]
['ppp1r13l', [63133, 63141]]
['ppp1r13l', [63299, 63307]]
['ppp1r13l', [63581, 63589]]
['ppp1r13l', [63646, 63654]]
['ppp1r13l', [63773, 63781]]
['ppp1r13l', [63977, 63985]]
['ppp1r13l', [64070, 64078]]
['ppp1r13l', [64398, 64406]]
['ppp1r13l', [64469, 64477]]
['ppp1r13l', [64880, 64888]]
['ppp1r13l', [65062, 65070]]
['ppp1r13l', [65229, 65237]]
['ppp1r13l', [65585, 65593]]
['ppp1r13l', [65777, 65785]]
['ppp1r13l', [65984, 65992]]
['ppp1r13l', [66156, 66164]]
['ppp1r13l', [66237, 66245]]
['ppp1r13l', [66441, 66449]]
['ppp1r13l', [66534, 66542]]
['ppp1r13l', [66862, 66870]]
['ppp1r13l', [66933, 66941]]
['ppp1r13l', [67344, 67352]]
['ppp1r13l', [67526, 67534]]
['ppp1r13l', [67693, 67701]]
['ppp1r13l', [68049, 68057]]
['ppp1r13l', [68241, 68249]]
['ppp1r13l', [68448, 68456]]
['ppp1r13l', [68620, 68628]]
['ppp1r13l', [68851, 68859]]
['ppp1r13l', [69363, 69371]]
['ppp1r13l', [69451, 69459]]
['ppp1r13l', [69680, 69688]]
['ppp1r13l', [69739, 69747]]
['ppp1r13l', [70092, 70100]]
['ppp1r13l', [70149, 70157]]
['ppp1r13l', [70298, 70306]]
['ppp1r13l', [70463, 70471]]
['ppp1r13l', [70715, 70723]]
['ppp1r13l', [70892, 70900]]
['ppp1r13l', [71122, 71130]]
['ppp1r13l', [71579, 71587]]
['ppp1r13l', [71661, 71669]]
['ppp1r13l', [71925, 71933]]
['ppp1r13l', [72213, 72221]]
['ppp1r13l', [72283, 72291]]
['ppp1r13l', [72513, 72521]]
['ppp1r13l', [73206, 73214]]
['ppp1r13l', [73407, 73415]]
['ppp1r13l', [73498, 73506]]
['ppp1r13l', [73940, 73948]]
['ppp1r13l', [74078, 74086]]
['ppp1r13l', [74202, 74210]]
['ppp1r13l', [74419, 74427]]
['ppp1r13l', [74564, 74572]]
['ppp1r13l', [74744, 74752]]
['ppp1r13l', [74991, 74999]]
['ppp1r13l', [75299, 75307]]
['ppp1r13l', [75811, 75819]]
['ppp1r13l', [75899, 75907]]
['ppp1r13l', [76128, 76136]]
['ppp1r13l', [76187, 76195]]
['ppp1r13l', [76540, 76548]]
['ppp1r13l', [76597, 76605]]
['ppp1r13l', [76746, 76754]]
['ppp1r13l', [76911, 76919]]
['ppp1r13l', [77163, 77171]]
['ppp1r13l', [77340, 77348]]
['ppp1r13l', [77570, 77578]]
['ppp1r13l', [78027, 78035]]
['ppp1r13l', [78109, 78117]]
['ppp1r13l', [78373, 78381]]
['ppp1r13l', [78661, 78669]]
['ppp1r13l', [78731, 78739]]
['ppp1r13l', [78961, 78969]]
['ppp1r13l', [79654, 79662]]
['ppp1r13l', [79855, 79863]]
['ppp1r13l', [79946, 79954]]
['ppp1r13l', [80388, 80396]]
['ppp1r13l', [80526, 80534]]
['ppp1r13l', [80650, 80658]]
['ppp1r13l', [80867, 80875]]
['ppp1r13l', [81012, 81020]]
['ppp1r13l', [81192, 81200]]
['ppp1r13l', [81439, 81447]]
['p53-independent', [95, 110]]
['p53-independent', [74804, 74819]]
['p53-independent', [81252, 81267]]
['mechanisms', [111, 121]]
['mechanisms', [28825, 28835]]
['mechanisms', [40049, 40059]]
['mechanisms', [56196, 56206]]
['mechanisms', [58379, 58389]]
['mechanisms', [69074, 69084]]
['mechanisms', [74820, 74830]]
['mechanisms', [75090, 75100]]
['mechanisms', [75522, 75532]]
['mechanisms', [81268, 81278]]
['mechanisms', [81538, 81548]]
['nf-', [187, 190]]
['nf-', [7835, 7838]]
['nf-', [12508, 12511]]
['nf-', [19033, 19036]]
['nf-', [23712, 23715]]
['nf-', [28531, 28534]]
['nf-', [39755, 39758]]
['nf-', [54917, 54920]]
['nf-', [55901, 55904]]
['nf-', [69946, 69949]]
['nf-', [72326, 72329]]
['nf-', [73051, 73054]]
['nf-', [76394, 76397]]
['nf-', [78774, 78777]]
['nf-', [79499, 79502]]
['\\?', [190, 192]]
['\\?', [1456, 1458]]
['\\?', [1458, 1460]]
['\\?', [1606, 1608]]
['\\?', [1608, 1610]]
['\\?', [4909, 4911]]
['\\?', [5235, 5237]]
['\\?', [5519, 5521]]
['\\?', [7838, 7840]]
['\\?', [9396, 9398]]
['\\?', [12511, 12513]]
['\\?', [12649, 12651]]
['\\?', [12651, 12653]]
['\\?', [12799, 12801]]
['\\?', [12801, 12803]]
['\\?', [16104, 16106]]
['\\?', [16431, 16433]]
['\\?', [16715, 16717]]
['\\?', [19036, 19038]]
['\\?', [20596, 20598]]
['\\?', [23715, 23717]]
['\\?', [24444, 24446]]
['\\?', [24446, 24448]]
['\\?', [25133, 25135]]
['\\?', [25135, 25137]]
['\\?', [25992, 25994]]
['\\?', [25994, 25996]]
['\\?', [26180, 26182]]
['\\?', [26182, 26184]]
['\\?', [28534, 28536]]
['\\?', [29815, 29817]]
['\\?', [29817, 29819]]
['\\?', [30100, 30102]]
['\\?', [30102, 30104]]
['\\?', [30311, 30313]]
['\\?', [30313, 30315]]
['\\?', [30360, 30362]]
['\\?', [30362, 30364]]
['\\?', [31155, 31157]]
['\\?', [31157, 31159]]
['\\?', [31778, 31780]]
['\\?', [31780, 31782]]
['\\?', [32084, 32086]]
['\\?', [32086, 32088]]
['\\?', [32334, 32336]]
['\\?', [32336, 32338]]
['\\?', [33149, 33151]]
['\\?', [33151, 33153]]
['\\?', [34005, 34007]]
['\\?', [34007, 34009]]
['\\?', [34752, 34754]]
['\\?', [34754, 34756]]
['\\?', [35668, 35670]]
['\\?', [35670, 35672]]
['\\?', [36357, 36359]]
['\\?', [36359, 36361]]
['\\?', [37216, 37218]]
['\\?', [37218, 37220]]
['\\?', [37404, 37406]]
['\\?', [37406, 37408]]
['\\?', [39758, 39760]]
['\\?', [41039, 41041]]
['\\?', [41041, 41043]]
['\\?', [41324, 41326]]
['\\?', [41326, 41328]]
['\\?', [41535, 41537]]
['\\?', [41537, 41539]]
['\\?', [41584, 41586]]
['\\?', [41586, 41588]]
['\\?', [42379, 42381]]
['\\?', [42381, 42383]]
['\\?', [43002, 43004]]
['\\?', [43004, 43006]]
['\\?', [43308, 43310]]
['\\?', [43310, 43312]]
['\\?', [43558, 43560]]
['\\?', [43560, 43562]]
['\\?', [44373, 44375]]
['\\?', [44375, 44377]]
['\\?', [45229, 45231]]
['\\?', [45231, 45233]]
['\\?', [45976, 45978]]
['\\?', [45978, 45980]]
['\\?', [46884, 46886]]
['\\?', [46886, 46888]]
['\\?', [47573, 47575]]
['\\?', [47575, 47577]]
['\\?', [48419, 48421]]
['\\?', [48421, 48423]]
['\\?', [49108, 49110]]
['\\?', [49110, 49112]]
['\\?', [49968, 49970]]
['\\?', [49970, 49972]]
['\\?', [50156, 50158]]
['\\?', [50158, 50160]]
['\\?', [51462, 51464]]
['\\?', [51464, 51466]]
['\\?', [51650, 51652]]
['\\?', [51652, 51654]]
['\\?', [54920, 54922]]
['\\?', [55904, 55906]]
['\\?', [57186, 57188]]
['\\?', [57188, 57190]]
['\\?', [57471, 57473]]
['\\?', [57473, 57475]]
['\\?', [57682, 57684]]
['\\?', [57684, 57686]]
['\\?', [57731, 57733]]
['\\?', [57733, 57735]]
['\\?', [59369, 59371]]
['\\?', [59371, 59373]]
['\\?', [59654, 59656]]
['\\?', [59656, 59658]]
['\\?', [59865, 59867]]
['\\?', [59867, 59869]]
['\\?', [59914, 59916]]
['\\?', [59916, 59918]]
['\\?', [60710, 60712]]
['\\?', [60712, 60714]]
['\\?', [61333, 61335]]
['\\?', [61335, 61337]]
['\\?', [61639, 61641]]
['\\?', [61641, 61643]]
['\\?', [61889, 61891]]
['\\?', [61891, 61893]]
['\\?', [62358, 62360]]
['\\?', [62360, 62362]]
['\\?', [62981, 62983]]
