['necrostatin-1', [53278, 53291]]
['necrostatin-1', [53401, 53414]]
['necrostatin-1', [53966, 53979]]
['necrostatin-1', [54660, 54673]]
['necrostatin-1', [55313, 55326]]
['necrostatin-1', [55472, 55485]]
['necrostatin-1', [55880, 55893]]
['necrostatin-1', [56171, 56184]]
['necrostatin-1', [56630, 56643]]
['necrostatin-1', [56700, 56713]]
['necrostatin-1', [56753, 56766]]
['necrostatin-1', [57048, 57061]]
['necrostatin-1', [57139, 57152]]
['necrostatin-1', [57296, 57309]]
['necrostatin-1', [57553, 57566]]
['necrostatin-1', [57826, 57839]]
['necrostatin-1', [57999, 58012]]
['necrostatin-1', [58081, 58094]]
['necrostatin-1', [58356, 58369]]
['necrostatin-1', [58702, 58715]]
['necrostatin-1', [58850, 58863]]
['necrostatin-1', [59085, 59098]]
['necrostatin-1', [59751, 59764]]
['necrostatin-1', [60317, 60330]]
['necrostatin-1', [60332, 60345]]
['necrostatin-1', [60510, 60523]]
['necrostatin-1', [60732, 60745]]
['necrostatin-1', [60915, 60928]]
['necrostatin-1', [61032, 61045]]
['necrostatin-1', [61216, 61229]]
['necrostatin-1', [61543, 61556]]
['necrostatin-1', [61666, 61679]]
['necrostatin-1', [62231, 62244]]
['necrostatin-1', [62925, 62938]]
['necrostatin-1', [63578, 63591]]
['necrostatin-1', [63737, 63750]]
['necrostatin-1', [64145, 64158]]
['necrostatin-1', [64352, 64365]]
['necrostatin-1', [64441, 64454]]
['necrostatin-1', [64631, 64644]]
['necrostatin-1', [64765, 64778]]
['necrostatin-1', [64857, 64870]]
['necrostatin-1', [65073, 65086]]
['necrostatin-1', [65275, 65288]]
['necrostatin-1', [65412, 65425]]
['necrostatin-1', [65537, 65550]]
['necrostatin-1', [65716, 65729]]
['necrostatin-1', [66014, 66027]]
['necrostatin-1', [66167, 66180]]
['necrostatin-1', [66485, 66498]]
['necrostatin-1', [66976, 66989]]
['necrostatin-1', [67052, 67065]]
['necrostatin-1', [67352, 67365]]
['necrostatin-1', [67516, 67529]]
['necrostatin-1', [67744, 67757]]
['necrostatin-1', [67972, 67985]]
['necrostatin-1', [68384, 68397]]
['necrostatin-1', [68473, 68486]]
['necrostatin-1', [68663, 68676]]
['necrostatin-1', [68797, 68810]]
['necrostatin-1', [68889, 68902]]
['necrostatin-1', [69105, 69118]]
['necrostatin-1', [69307, 69320]]
['necrostatin-1', [69444, 69457]]
['necrostatin-1', [69569, 69582]]
['necrostatin-1', [69748, 69761]]
['necrostatin-1', [70046, 70059]]
['necrostatin-1', [70199, 70212]]
['necrostatin-1', [70517, 70530]]
['necrostatin-1', [71008, 71021]]
['necrostatin-1', [71084, 71097]]
['necrostatin-1', [71384, 71397]]
['necrostatin-1', [71548, 71561]]
['necrostatin-1', [71776, 71789]]
['necrostatin-1', [72004, 72017]]
['tumor', [199, 204]]
['tumor', [1899, 1904]]
['necrosis', [163, 171]]
['necrosis', [205, 213]]
['necrosis', [1863, 1871]]
['necrosis', [1905, 1913]]
['necrosis', [2306, 2314]]
['necrosis', [2614, 2622]]
['necrosis', [3117, 3125]]
['necrosis', [30478, 30486]]
['necrosis', [35905, 35913]]
['necrosis', [44362, 44370]]
['necrosis', [45549, 45557]]
['necrosis', [49316, 49324]]
['necrosis', [55156, 55164]]
['necrosis', [55703, 55711]]
['necrosis', [57581, 57589]]
['necrosis', [63421, 63429]]
['necrosis', [63968, 63976]]
['factor', [214, 220]]
['factor', [1914, 1920]]
['factor', [15227, 15233]]
['factor', [26317, 26323]]
['factor', [55044, 55050]]
['factor', [63309, 63315]]
['alpha', [221, 226]]
['alpha', [1921, 1926]]
['tnf', [228, 231]]
['tnf', [501, 504]]
['tnf', [1928, 1931]]
['tnf', [2099, 2102]]
['tnf', [2251, 2254]]
['tnf', [2761, 2764]]
['tnf', [48180, 48183]]
['tnf', [49676, 49679]]
['tnf', [51772, 51775]]
['tnf', [51809, 51812]]
['tnf', [54469, 54472]]
['tnf', [56445, 56448]]
['tnf', [57941, 57944]]
['tnf', [60037, 60040]]
['tnf', [60074, 60077]]
['tnf', [62734, 62737]]
['fas\\.', [237, 242]]
['fas\\.', [509, 514]]
['cci', [475, 478]]
['cci', [621, 624]]
['cci', [761, 764]]
['cci', [923, 926]]
['cci', [1070, 1073]]
['cci', [1157, 1160]]
['cci', [3644, 3647]]
['cci', [3825, 3828]]
['cci', [4313, 4316]]
['cci', [5020, 5023]]
['cci', [5814, 5817]]
['cci', [6116, 6119]]
['cci', [9672, 9675]]
['cci', [10265, 10268]]
['cci', [13256, 13259]]
['cci', [14508, 14511]]
['cci', [15394, 15397]]
['cci', [16101, 16104]]
['cci', [16896, 16899]]
['cci', [17199, 17202]]
['cci', [20757, 20760]]
['cci', [21351, 21354]]
['cci', [24344, 24347]]
['cci', [25597, 25600]]
['cci', [26454, 26457]]
['cci', [26659, 26662]]
['cci', [26746, 26749]]
['cci', [26810, 26813]]
['cci', [27049, 27052]]
['cci', [27170, 27173]]
['cci', [27310, 27313]]
['cci', [27447, 27450]]
['cci', [27551, 27554]]
['cci', [27690, 27693]]
['cci', [27803, 27806]]
['cci', [28273, 28276]]
['cci', [28525, 28528]]
['cci', [29466, 29469]]
['cci', [29895, 29898]]
['cci', [30304, 30307]]
['cci', [30373, 30376]]
['cci', [30744, 30747]]
['cci', [31061, 31064]]
['cci', [31140, 31143]]
['cci', [31227, 31230]]
['cci', [31881, 31884]]
['cci', [32086, 32089]]
['cci', [32173, 32176]]
['cci', [32237, 32240]]
['cci', [32476, 32479]]
['cci', [32597, 32600]]
['cci', [32737, 32740]]
['cci', [32874, 32877]]
['cci', [32978, 32981]]
['cci', [33117, 33120]]
['cci', [33230, 33233]]
['cci', [33700, 33703]]
['cci', [33952, 33955]]
['cci', [34893, 34896]]
['cci', [35322, 35325]]
['cci', [35731, 35734]]
['cci', [35800, 35803]]
['cci', [36171, 36174]]
['cci', [36488, 36491]]
['cci', [36567, 36570]]
['cci', [36654, 36657]]
['cci', [37328, 37331]]
['cci', [37415, 37418]]
['cci', [37479, 37482]]
['cci', [37718, 37721]]
['cci', [37839, 37842]]
['cci', [37979, 37982]]
['cci', [38116, 38119]]
['cci', [38211, 38214]]
['cci', [38298, 38301]]
['cci', [38362, 38365]]
['cci', [38601, 38604]]
['cci', [38722, 38725]]
['cci', [38862, 38865]]
['cci', [38999, 39002]]
['cci', [39104, 39107]]
['cci', [39243, 39246]]
['cci', [39356, 39359]]
['cci', [39831, 39834]]
['cci', [39970, 39973]]
['cci', [40083, 40086]]
['cci', [40554, 40557]]
['cci', [40806, 40809]]
['cci', [41747, 41750]]
['cci', [42156, 42159]]
['cci', [42408, 42411]]
['cci', [43349, 43352]]
['cci', [43779, 43782]]
['cci', [44188, 44191]]
['cci', [44257, 44260]]
['cci', [44628, 44631]]
['cci', [44966, 44969]]
['cci', [45375, 45378]]
['cci', [45444, 45447]]
['cci', [45815, 45818]]
['cci', [46133, 46136]]
['cci', [46212, 46215]]
['cci', [46299, 46302]]
['cci', [46980, 46983]]
['cci', [47059, 47062]]
['cci', [47146, 47149]]
['cci', [48090, 48093]]
['cci', [48204, 48207]]
['cci', [48483, 48486]]
['cci', [48580, 48583]]
['cci', [48838, 48841]]
['cci', [49018, 49021]]
['cci', [49140, 49143]]
['cci', [49199, 49202]]
['cci', [49502, 49505]]
['cci', [49793, 49796]]
