['her2', [58781, 58785]]
['her2', [58928, 58932]]
['her2', [59059, 59063]]
['her2', [59130, 59134]]
['her2', [59178, 59182]]
['her2', [59369, 59373]]
['her2', [59984, 59988]]
['her2', [60099, 60103]]
['her2', [60252, 60256]]
['her2', [60372, 60376]]
['her2', [60523, 60527]]
['her2', [60849, 60853]]
['her2', [61016, 61020]]
['her2', [61230, 61234]]
['her2', [61321, 61325]]
['her2', [61447, 61451]]
['her2', [61506, 61510]]
['her2', [63850, 63854]]
['her2', [64011, 64015]]
['her2', [64128, 64132]]
['her2', [64186, 64190]]
['her2', [64535, 64539]]
['her2', [64654, 64658]]
['her2', [64740, 64744]]
['her2', [64853, 64857]]
['her2', [64868, 64872]]
['her2', [65011, 65015]]
['her2', [65261, 65265]]
['her2', [65378, 65382]]
['her2', [65451, 65455]]
['her2', [65578, 65582]]
['her2', [65772, 65776]]
['her2', [65851, 65855]]
['her2', [66011, 66015]]
['her2', [66158, 66162]]
['her2', [66289, 66293]]
['her2', [66360, 66364]]
['her2', [66408, 66412]]
['her2', [66599, 66603]]
['her2', [67214, 67218]]
['her2', [67329, 67333]]
['her2', [67482, 67486]]
['her2', [67602, 67606]]
['her2', [67753, 67757]]
['her2', [68079, 68083]]
['her2', [68246, 68250]]
['her2', [68460, 68464]]
['her2', [68551, 68555]]
['her2', [68677, 68681]]
['her2', [68736, 68740]]
['her2', [71080, 71084]]
['her2', [71241, 71245]]
['her2', [71358, 71362]]
['her2', [71416, 71420]]
['her2', [71765, 71769]]
['her2', [71884, 71888]]
['her2', [71970, 71974]]
['her2', [72083, 72087]]
['her2', [72098, 72102]]
['her2', [72241, 72245]]
['her2', [72491, 72495]]
['tyrosine', [84, 92]]
['tyrosine', [897, 905]]
['tyrosine', [2386, 2394]]
['tyrosine', [3696, 3704]]
['tyrosine', [3809, 3817]]
['tyrosine', [32622, 32630]]
['tyrosine', [40271, 40279]]
['tyrosine', [52834, 52842]]
['tyrosine', [54616, 54624]]
['tyrosine', [59183, 59191]]
['tyrosine', [66413, 66421]]
['kinase', [93, 99]]
['kinase', [906, 912]]
['kinase', [2395, 2401]]
['kinase', [3705, 3711]]
['kinase', [3818, 3824]]
['kinase', [4408, 4414]]
['kinase', [4442, 4448]]
['kinase', [4465, 4471]]
['kinase', [5907, 5913]]
['kinase', [5935, 5941]]
['kinase', [6338, 6344]]
['kinase', [32631, 32637]]
['kinase', [40280, 40286]]
['kinase', [52843, 52849]]
['kinase', [54625, 54631]]
