['\\%', [51701, 51703]]
['\\%', [52264, 52266]]
['\\%', [53039, 53041]]
['\\%', [53071, 53073]]
['\\%', [53135, 53137]]
['\\%', [53154, 53156]]
['\\%', [53413, 53415]]
['\\%', [53788, 53790]]
['\\%', [60049, 60051]]
['\\%', [60057, 60059]]
['\\%', [61506, 61508]]
['\\%', [61871, 61873]]
['\\%', [62998, 63000]]
['\\%', [63561, 63563]]
['\\%', [64336, 64338]]
['\\%', [64368, 64370]]
['\\%', [64432, 64434]]
['\\%', [64451, 64453]]
['\\%', [64710, 64712]]
['\\%', [65085, 65087]]
['\\%', [70924, 70926]]
['\\%', [70959, 70961]]
['\\%', [70982, 70984]]
['\\%', [70992, 70994]]
['\\%', [71019, 71021]]
['\\%', [71027, 71029]]
['\\%', [71045, 71047]]
['\\%', [71054, 71056]]
['\\%', [71089, 71091]]
['\\%', [71101, 71103]]
['\\%', [71128, 71130]]
['\\%', [71137, 71139]]
['\\%', [71163, 71165]]
['\\%', [71173, 71175]]
['\\%', [71222, 71224]]
['\\%', [71233, 71235]]
['\\%', [71259, 71261]]
['\\%', [71271, 71273]]
['\\%', [71361, 71363]]
['\\%', [71371, 71373]]
['\\%', [71577, 71579]]
['\\%', [72610, 72612]]
['\\%', [72621, 72623]]
['\\%', [73803, 73805]]
['\\%', [74664, 74666]]
['\\%', [74680, 74682]]
['\\%', [74881, 74883]]
['\\%', [74897, 74899]]
['\\%', [75134, 75136]]
['\\%', [75149, 75151]]
['\\%', [75635, 75637]]
['\\%', [75645, 75647]]
['\\%', [75698, 75700]]
['\\%', [75710, 75712]]
['\\%', [75800, 75802]]
['\\%', [75810, 75812]]
['\\%', [75887, 75889]]
['\\%', [75899, 75901]]
['\\%', [75984, 75986]]
['\\%', [75994, 75996]]
['\\%', [76075, 76077]]
['\\%', [76086, 76088]]
['\\%', [76183, 76185]]
['\\%', [76194, 76196]]
['ci', [800, 802]]
['ci', [863, 865]]
['ci', [2010, 2012]]
['ci', [2063, 2065]]
['ci', [2166, 2168]]
['ci', [2287, 2289]]
['ci', [3772, 3774]]
['ci', [4827, 4829]]
['ci', [5818, 5820]]
['ci', [5881, 5883]]
['ci', [7029, 7031]]
['ci', [7082, 7084]]
['ci', [7185, 7187]]
['ci', [7306, 7308]]
['ci', [7773, 7775]]
['ci', [8128, 8130]]
['ci', [8913, 8915]]
['ci', [9762, 9764]]
['ci', [10426, 10428]]
['ci', [10566, 10568]]
['ci', [12763, 12765]]
['ci', [13152, 13154]]
['ci', [13869, 13871]]
['ci', [14875, 14877]]
['ci', [15637, 15639]]
['ci', [17653, 17655]]
['ci', [17955, 17957]]
['ci', [18849, 18851]]
['ci', [19204, 19206]]
['ci', [19990, 19992]]
['ci', [20839, 20841]]
['ci', [21503, 21505]]
['ci', [21643, 21645]]
['ci', [23841, 23843]]
['ci', [24230, 24232]]
['ci', [24947, 24949]]
['ci', [25953, 25955]]
['ci', [26715, 26717]]
['ci', [28927, 28929]]
['ci', [29317, 29319]]
['ci', [30034, 30036]]
['ci', [31040, 31042]]
['ci', [31803, 31805]]
['ci', [33821, 33823]]
['ci', [34123, 34125]]
['ci', [35487, 35489]]
['ci', [36059, 36061]]
['ci', [37190, 37192]]
['ci', [37220, 37222]]
['ci', [37324, 37326]]
['ci', [37499, 37501]]
['ci', [39049, 39051]]
['ci', [39161, 39163]]
['ci', [39860, 39862]]
['ci', [39913, 39915]]
['ci', [40016, 40018]]
['ci', [40107, 40109]]
['ci', [40904, 40906]]
['ci', [41476, 41478]]
['ci', [42607, 42609]]
['ci', [42637, 42639]]
['ci', [42741, 42743]]
['ci', [42916, 42918]]
['ci', [44466, 44468]]
['ci', [44578, 44580]]
['ci', [45277, 45279]]
['ci', [45330, 45332]]
['ci', [45433, 45435]]
['ci', [45524, 45526]]
['ci', [46612, 46614]]
['ci', [47272, 47274]]
['ci', [47547, 47549]]
['ci', [47637, 47639]]
['ci', [48243, 48245]]
['ci', [48487, 48489]]
['ci', [49044, 49046]]
['ci', [49620, 49622]]
['ci', [51074, 51076]]
['ci', [51270, 51272]]
['ci', [52903, 52905]]
['ci', [53729, 53731]]
['ci', [53872, 53874]]
['ci', [54196, 54198]]
['ci', [54206, 54208]]
['ci', [54456, 54458]]
['ci', [54925, 54927]]
['ci', [55945, 55947]]
['ci', [56437, 56439]]
