['prci', [28845, 28849]]
['prci', [29299, 29303]]
['prci', [31817, 31821]]
['prci', [35543, 35547]]
['prci', [38061, 38065]]
['prci', [44626, 44630]]
['prci', [44716, 44720]]
['prci', [50053, 50057]]
['prci', [53223, 53227]]
['prci', [53313, 53317]]
['prci', [62657, 62661]]
['prci', [71240, 71244]]
['prci', [72661, 72665]]
['prci', [75248, 75252]]
['prci', [75664, 75668]]
['prci', [75794, 75798]]
['prci', [76846, 76850]]
['prci', [77858, 77862]]
['prci', [78202, 78206]]
['prci', [78274, 78278]]
['prci', [78370, 78374]]
['prci', [78447, 78451]]
['prci', [81034, 81038]]
['prci', [81450, 81454]]
['prci', [81580, 81584]]
['prci', [82632, 82636]]
['prci', [83644, 83648]]
['prci', [83988, 83992]]
['prci', [84060, 84064]]
['prci', [84156, 84160]]
['prci', [84257, 84261]]
['prci', [84321, 84325]]
['prci', [84389, 84393]]
['prci', [88561, 88565]]
['prci', [89205, 89209]]
['prci', [89853, 89857]]
['prci', [94025, 94029]]
['prci', [94669, 94673]]
['irb', [9019, 9022]]
['irb', [32367, 32370]]
['irb', [38611, 38614]]
['percent\\.', [9982, 9991]]
['percent\\.', [33330, 33339]]
['percent\\.', [39575, 39584]]
['five', [353, 357]]
['five', [5551, 5555]]
['five', [5680, 5684]]
['five', [8491, 8495]]
['five', [9991, 9995]]
['five', [10535, 10539]]
['five', [11478, 11482]]
['five', [15027, 15031]]
['five', [15110, 15114]]
['five', [18785, 18789]]
['five', [19102, 19106]]
['five', [20454, 20458]]
['five', [28898, 28902]]
['five', [29027, 29031]]
['five', [31839, 31843]]
['five', [33339, 33343]]
['five', [33883, 33887]]
['five', [34826, 34830]]
['five', [38083, 38087]]
['five', [39584, 39588]]
['five', [40128, 40132]]
['five', [41071, 41075]]
['five', [44621, 44625]]
['five', [44704, 44708]]
['five', [48379, 48383]]
['five', [48696, 48700]]
['five', [50048, 50052]]
['five', [53218, 53222]]
['five', [53301, 53305]]
['five', [56976, 56980]]
['five', [57293, 57297]]
['five', [60980, 60984]]
['five', [61298, 61302]]
['five', [62652, 62656]]
['five', [73177, 73181]]
['five', [78963, 78967]]
['factors', [9328, 9335]]
['factors', [9410, 9417]]
['factors', [9634, 9641]]
['factors', [9996, 10003]]
['factors', [10201, 10208]]
['factors', [10298, 10305]]
['factors', [10640, 10647]]
['factors', [13319, 13326]]
['factors', [13871, 13878]]
['factors', [14830, 14837]]
['factors', [14978, 14985]]
['factors', [15037, 15044]]
['factors', [15127, 15134]]
['factors', [20464, 20471]]
['factors', [20746, 20753]]
['factors', [24236, 24243]]
['factors', [24339, 24346]]
['factors', [24446, 24453]]
['factors', [26453, 26460]]
['factors', [26577, 26584]]
['factors', [32676, 32683]]
['factors', [32758, 32765]]
['factors', [32982, 32989]]
['factors', [33344, 33351]]
['factors', [33549, 33556]]
['factors', [33646, 33653]]
