['proteins', [37337, 37345]]
['proteins', [37539, 37547]]
['proteins', [38174, 38182]]
['proteins', [38362, 38370]]
['proteins', [38544, 38552]]
['proteins', [38590, 38598]]
['proteins', [38899, 38907]]
['proteins', [38976, 38984]]
['proteins', [39025, 39033]]
['proteins', [39080, 39088]]
['proteins', [39118, 39126]]
['proteins', [39256, 39264]]
['proteins', [39438, 39446]]
['proteins', [39484, 39492]]
['proteins', [39793, 39801]]
['proteins', [39870, 39878]]
['proteins', [39919, 39927]]
['proteins', [39974, 39982]]
['proteins', [40012, 40020]]
['proteins', [40189, 40197]]
['proteins', [40321, 40329]]
['proteins', [40489, 40497]]
['proteins', [40573, 40581]]
['proteins', [41180, 41188]]
['proteins', [41669, 41677]]
['proteins', [41801, 41809]]
['proteins', [41969, 41977]]
['proteins', [42053, 42061]]
['proteins', [42660, 42668]]
['proteins', [43168, 43176]]
['proteins', [43342, 43350]]
['proteins', [43979, 43987]]
['proteins', [44153, 44161]]
['proteins', [44932, 44940]]
['proteins', [45031, 45039]]
['proteins', [45303, 45311]]
['proteins', [45710, 45718]]
['proteins', [46118, 46126]]
['proteins', [46413, 46421]]
['proteins', [46462, 46470]]
['proteins', [46567, 46575]]
['proteins', [46777, 46785]]
['proteins', [46959, 46967]]
['proteins', [47233, 47241]]
['proteins', [47331, 47339]]
['proteins', [47596, 47604]]
['proteins', [47843, 47851]]
['proteins', [48330, 48338]]
['proteins', [50994, 51002]]
['proteins', [51763, 51771]]
['proteins', [51862, 51870]]
['proteins', [52134, 52142]]
['proteins', [52541, 52549]]
['proteins', [52949, 52957]]
['proteins', [53244, 53252]]
['proteins', [53293, 53301]]
['proteins', [53398, 53406]]
['proteins', [53608, 53616]]
['proteins', [53790, 53798]]
['proteins', [54064, 54072]]
['proteins', [54162, 54170]]
['proteins', [54427, 54435]]
['proteins', [54674, 54682]]
['proteins', [55161, 55169]]
['proteins', [57825, 57833]]
['proteins', [58659, 58667]]
['proteins', [59434, 59442]]
['proteins', [63965, 63973]]
['proteins', [64829, 64837]]
['proteins', [65673, 65681]]
['proteins', [65749, 65757]]
['proteins', [67053, 67061]]
['proteins', [70453, 70461]]
['proteins', [70988, 70996]]
['proteins', [71064, 71072]]
['proteins', [72368, 72376]]
['proteins', [75768, 75776]]
['plasma', [305, 311]]
['plasma', [484, 490]]
['plasma', [540, 546]]
['plasma', [981, 987]]
['plasma', [1454, 1460]]
['plasma', [1566, 1572]]
['plasma', [1708, 1714]]
['plasma', [2134, 2140]]
['plasma', [7734, 7740]]
['plasma', [10189, 10195]]
['plasma', [11309, 11315]]
['plasma', [16913, 16919]]
['plasma', [19372, 19378]]
['plasma', [20147, 20153]]
['plasma', [20272, 20278]]
['plasma', [20364, 20370]]
['plasma', [20536, 20542]]
['plasma', [20889, 20895]]
['plasma', [21133, 21139]]
['plasma', [22030, 22036]]
['plasma', [22070, 22076]]
['plasma', [22121, 22127]]
['plasma', [22272, 22278]]
['plasma', [22375, 22381]]
['plasma', [22967, 22973]]
['plasma', [23134, 23140]]
['plasma', [24079, 24085]]
['plasma', [25040, 25046]]
['plasma', [25268, 25274]]
['plasma', [25584, 25590]]
['plasma', [26299, 26305]]
['plasma', [26424, 26430]]
['plasma', [26516, 26522]]
['plasma', [26688, 26694]]
['plasma', [27041, 27047]]
['plasma', [27285, 27291]]
['plasma', [28182, 28188]]
['plasma', [28222, 28228]]
['plasma', [28273, 28279]]
['plasma', [28424, 28430]]
['plasma', [28527, 28533]]
['plasma', [29119, 29125]]
['plasma', [29286, 29292]]
['plasma', [30231, 30237]]
['plasma', [31192, 31198]]
['plasma', [31420, 31426]]
['plasma', [31736, 31742]]
['plasma', [32443, 32449]]
['plasma', [32568, 32574]]
['plasma', [32660, 32666]]
['plasma', [32832, 32838]]
['plasma', [33185, 33191]]
['plasma', [33429, 33435]]
['plasma', [34337, 34343]]
['plasma', [34462, 34468]]
['plasma', [34554, 34560]]
['plasma', [34726, 34732]]
