['jnk3', [55552, 55556]]
['jnk3', [56007, 56011]]
['jnk3', [56326, 56330]]
['jnk3', [56904, 56908]]
['jnk3', [57046, 57050]]
['jnk3', [57080, 57084]]
['jnk3', [58973, 58977]]
['jnk3', [59126, 59130]]
['jnk3', [59422, 59426]]
['jnk3', [59534, 59538]]
['jnk3', [60086, 60090]]
['jnk3', [60391, 60395]]
['jnk3', [61077, 61081]]
['jnk3', [61532, 61536]]
['jnk3', [61851, 61855]]
['jnk3', [62429, 62433]]
['jnk3', [62571, 62575]]
['jnk3', [62605, 62609]]
['jnk3', [64166, 64170]]
['jnk3', [64828, 64832]]
['jnk3', [64956, 64960]]
['jnk3', [65198, 65202]]
['jnk3', [65643, 65647]]
['jnk3', [65765, 65769]]
['jnk3', [68703, 68707]]
['jnk3', [69365, 69369]]
['jnk3', [69493, 69497]]
['jnk3', [69735, 69739]]
['jnk3', [70180, 70184]]
['jnk3', [70302, 70306]]
['nmda', [69, 73]]
['nmda', [376, 380]]
['nmda', [616, 620]]
['nmda', [1418, 1422]]
['nmda', [1769, 1773]]
['nmda', [2763, 2767]]
['nmda', [3019, 3023]]
['nmda', [3288, 3292]]
['nmda', [3440, 3444]]
['nmda', [3586, 3590]]
['nmda', [3813, 3817]]
['nmda', [5924, 5928]]
['nmda', [6266, 6270]]
['nmda', [6576, 6580]]
['nmda', [6846, 6850]]
['nmda', [6910, 6914]]
['nmda', [25798, 25802]]
['nmda', [26321, 26325]]
['nmda', [26550, 26554]]
['nmda', [26614, 26618]]
['nmda', [28327, 28331]]
['nmda', [28361, 28365]]
['nmda', [28530, 28534]]
['nmda', [30415, 30419]]
['nmda', [31405, 31409]]
['nmda', [31477, 31481]]
['nmda', [31904, 31908]]
['nmda', [32890, 32894]]
['nmda', [33413, 33417]]
['nmda', [33642, 33646]]
['nmda', [33706, 33710]]
['nmda', [35419, 35423]]
['nmda', [35453, 35457]]
['nmda', [35622, 35626]]
['nmda', [37507, 37511]]
['nmda', [38497, 38501]]
['nmda', [38569, 38573]]
['nmda', [38996, 39000]]
['nmda', [39982, 39986]]
['nmda', [40505, 40509]]
['nmda', [40726, 40730]]
['nmda', [40790, 40794]]
['nmda', [42503, 42507]]
['nmda', [42678, 42682]]
['nmda', [42742, 42746]]
['nmda', [44455, 44459]]
['nmda', [44490, 44494]]
['nmda', [44659, 44663]]
['nmda', [45664, 45668]]
