['adam8', [43996, 44001]]
['adam8', [44003, 44008]]
['adam8', [44168, 44173]]
['adam8', [44454, 44459]]
['adam8', [44554, 44559]]
['adam8', [45219, 45224]]
['adam8', [45319, 45324]]
['adam8', [45372, 45377]]
['adam8', [45562, 45567]]
['adam8', [45873, 45878]]
['adam8', [45918, 45923]]
['adam8', [45939, 45944]]
['adam8', [45967, 45972]]
['adam8', [46203, 46208]]
['adam8', [46235, 46240]]
['adam8', [46347, 46352]]
['adam8', [46484, 46489]]
['adam8', [46562, 46567]]
['adam8', [46619, 46624]]
['adam8', [46720, 46725]]
['adam8', [46751, 46756]]
['adam8', [46812, 46817]]
['adam8', [46902, 46907]]
['adam8', [46993, 46998]]
['adam8', [47023, 47028]]
['adam8', [47078, 47083]]
['adam8', [47126, 47131]]
['adam8', [47175, 47180]]
['adam8', [47196, 47201]]
['adam8', [47407, 47412]]
['adam8', [47477, 47482]]
['adam8', [47578, 47583]]
['adam8', [47599, 47604]]
['adam8', [47660, 47665]]
['adam8', [47698, 47703]]
['adam8', [47754, 47759]]
['adam8', [47811, 47816]]
['adam8', [48039, 48044]]
['adam8', [48107, 48112]]
['adam8', [48495, 48500]]
['adam8', [48629, 48634]]
['adam8', [48737, 48742]]
['adam8', [48820, 48825]]
['adam8', [49058, 49063]]
['adam8', [49254, 49259]]
['adam8', [49412, 49417]]
['adam8', [49559, 49564]]
['adam8', [49650, 49655]]
['adam8', [49797, 49802]]
['adam8', [49864, 49869]]
['adam8', [50109, 50114]]
['adam8', [50443, 50448]]
['adam8', [50624, 50629]]
['adam8', [50763, 50768]]
['adam8', [50838, 50843]]
['adam8', [51085, 51090]]
['adam8', [51367, 51372]]
['adam8', [51796, 51801]]
['adam8', [52349, 52354]]
['adam8', [52365, 52370]]
['adam8', [52536, 52541]]
['adam8', [52988, 52993]]
['adam8', [53220, 53225]]
['adam8', [54080, 54085]]
['adam8', [54189, 54194]]
['adam8', [54326, 54331]]
['adam8', [54450, 54455]]
['adam8', [54528, 54533]]
['adam8', [55317, 55322]]
['adam8', [55833, 55838]]
['adam8', [55995, 56000]]
['adam8', [56189, 56194]]
['adam8', [56306, 56311]]
['adam8', [56335, 56340]]
['adam8', [57120, 57125]]
['adam8', [57268, 57273]]
['adam8', [57332, 57337]]
['adam8', [57379, 57384]]
['adam8', [57503, 57508]]
['adam8', [57686, 57691]]
['adam8', [57827, 57832]]
['adam8', [58698, 58703]]
['adam8', [58874, 58879]]
['adam8', [59783, 59788]]
['adam8', [59833, 59838]]
['adam8', [61014, 61019]]
['adam8', [61105, 61110]]
['adam8', [61455, 61460]]
['adam8', [61644, 61649]]
['adam8', [61924, 61929]]
['adam8', [62138, 62143]]
['adam8', [62326, 62331]]
['adam8', [62371, 62376]]
['adam8', [62392, 62397]]
['adam8', [62420, 62425]]
['adam8', [62656, 62661]]
['adam8', [62688, 62693]]
['adam8', [62800, 62805]]
['adam8', [62937, 62942]]
['adam8', [63015, 63020]]
['adam8', [63072, 63077]]
['adam8', [63173, 63178]]
['adam8', [63204, 63209]]
['adam8', [63265, 63270]]
['adam8', [63355, 63360]]
['adam8', [63446, 63451]]
['adam8', [63476, 63481]]
['adam8', [63531, 63536]]
['adam8', [63579, 63584]]
['adam8', [63628, 63633]]
['adam8', [63649, 63654]]
['adam8', [63860, 63865]]
['adam8', [63930, 63935]]
['adam8', [64031, 64036]]
['adam8', [64052, 64057]]
['adam8', [64113, 64118]]
['adam8', [64151, 64156]]
['adam8', [64207, 64212]]
['adam8', [64264, 64269]]
['adam8', [64492, 64497]]
['adam8', [64560, 64565]]
['adam8', [64948, 64953]]
['adam8', [65082, 65087]]
['adam8', [65190, 65195]]
['adam8', [65273, 65278]]
['adam8', [65511, 65516]]
['adam8', [65707, 65712]]
['adam8', [65865, 65870]]
['adam8', [66012, 66017]]
['adam8', [66103, 66108]]
['adam8', [66250, 66255]]
['adam8', [66317, 66322]]
['adam8', [66562, 66567]]
['adam8', [66896, 66901]]
['adam8', [67077, 67082]]
['adam8', [67216, 67221]]
['adam8', [67291, 67296]]
['adam8', [67538, 67543]]
['adam8', [67820, 67825]]
['adam8', [68249, 68254]]
['adam8', [68802, 68807]]
['adam8', [68818, 68823]]
['adam8', [68989, 68994]]
['adam8', [69441, 69446]]
['adam8', [69673, 69678]]
['adam8', [70533, 70538]]
['adam8', [70642, 70647]]
['adam8', [70779, 70784]]
['adam8', [70903, 70908]]
['adam8', [70981, 70986]]
['adam8', [71770, 71775]]
['adam8', [72286, 72291]]
['adam8', [72448, 72453]]
['adam8', [72642, 72647]]
['adam8', [72759, 72764]]
['adam8', [72788, 72793]]
['adam8', [73573, 73578]]
['adam8', [73758, 73763]]
['adam8', [73826, 73831]]
['adam8', [74214, 74219]]
['adam8', [74348, 74353]]
['adam8', [74456, 74461]]
['adam8', [74539, 74544]]
['adam8', [74777, 74782]]
['adam8', [74973, 74978]]
['adam8', [75131, 75136]]
['adam8', [75278, 75283]]
['adam8', [75369, 75374]]
['adam8', [75516, 75521]]
['adam8', [75583, 75588]]
['adam8', [75828, 75833]]
['adam8', [76162, 76167]]
['adam8', [76344, 76349]]
['adam8', [76483, 76488]]
['adam8', [76558, 76563]]
['adam8', [76805, 76810]]
['adam8', [77087, 77092]]
['adam8', [77516, 77521]]
['adam8', [78069, 78074]]
['adam8', [78085, 78090]]
['adam8', [78256, 78261]]
['adam8', [78708, 78713]]
['adam8', [78940, 78945]]
['adam8', [79800, 79805]]
['adam8', [79909, 79914]]
['adam8', [80046, 80051]]
['adam8', [80171, 80176]]
['adam8', [80249, 80254]]
['adam8', [81038, 81043]]
['adam8', [81554, 81559]]
['adam8', [81716, 81721]]
['adam8', [81910, 81915]]
['adam8', [82027, 82032]]
['adam8', [82056, 82061]]
['adam8', [82841, 82846]]
['adam8', [82990, 82995]]
['adam8', [83054, 83059]]
['adam8', [83101, 83106]]
['adam8', [83225, 83230]]
['adam8', [83408, 83413]]
['adam8', [83549, 83554]]
['adam8', [84420, 84425]]
['adam8', [84596, 84601]]
['adam8', [85505, 85510]]
['adam8', [85555, 85560]]
['adam8', [86736, 86741]]
['adam8', [86827, 86832]]
['adam8', [87177, 87182]]
['adam8', [87366, 87371]]
['adam8', [87646, 87651]]
['adam8', [87860, 87865]]
['adam8', [88786, 88791]]
['adam8', [88962, 88967]]
['adam8', [89872, 89877]]
['adam8', [89922, 89927]]
['adam8', [91103, 91108]]
['adam8', [91194, 91199]]
['adam8', [91544, 91549]]
['adam8', [91733, 91738]]
['adam8', [92013, 92018]]
['adam8', [92227, 92232]]
['adam8', [92419, 92424]]
['adam8', [92606, 92611]]
['adam8', [92649, 92654]]
['adam8', [92816, 92821]]
['adam8', [92875, 92880]]
['adam8', [92993, 92998]]
['adam8', [93508, 93513]]
['adam8', [93831, 93836]]
['adam8', [93901, 93906]]
['adam8', [94005, 94010]]
['adam8', [94026, 94031]]
['adam8', [94163, 94168]]
['adam8', [94273, 94278]]
['adam8', [94622, 94627]]
['adam8', [94634, 94639]]
['adam8', [94756, 94761]]
['adam8', [94765, 94770]]
['adam8', [94865, 94870]]
['adam8', [95014, 95019]]
['adam8', [95066, 95071]]
['adam8', [95225, 95230]]
['adam8', [95437, 95442]]
['adam8', [95446, 95451]]
['adam8', [95585, 95590]]
['adam8', [95658, 95663]]
['adam8', [96892, 96897]]
['adam8', [97013, 97018]]
['adam8', [97116, 97121]]
['adam8', [97317, 97322]]
['adam8', [97384, 97389]]
['adam8', [97764, 97769]]
['adam8', [97846, 97851]]
['adam8', [98110, 98115]]
['adam8', [98705, 98710]]
['adam8', [98786, 98791]]
['adam8', [98840, 98845]]
['adam8', [98895, 98900]]
['adam8', [99045, 99050]]
['adam8', [99329, 99334]]
['adam8', [99506, 99511]]
['adam8', [99612, 99617]]
['adam8', [99663, 99668]]
['adam8', [99710, 99715]]
['adam8', [99726, 99731]]
['adam8', [99924, 99929]]
['adam8', [99968, 99973]]
['adam8', [100232, 100237]]
['adam8', [100350, 100355]]
['adam8', [100471, 100476]]
['adam8', [100564, 100569]]
['adam8', [100790, 100795]]
['adam8', [100897, 100902]]
['adam8', [101228, 101233]]
['adam8', [101398, 101403]]
['adam8', [101437, 101442]]
['adam8', [101524, 101529]]
['adam8', [101606, 101611]]
['adam8', [101710, 101715]]
['adam8', [101857, 101862]]
['adam8', [102011, 102016]]
['adam8', [102121, 102126]]
['adam8', [102261, 102266]]
['adam8', [102349, 102354]]
['adam8', [102429, 102434]]
['adam8', [102436, 102441]]
['adam8', [102656, 102661]]
['adam8', [102849, 102854]]
['adam8', [103110, 103115]]
['adam8', [103191, 103196]]
['adam8', [103574, 103579]]
['adam8', [104050, 104055]]
['adam8', [104119, 104124]]
['adam8', [104329, 104334]]
['adam8', [104624, 104629]]
['adam8', [104816, 104821]]
['adam8', [105093, 105098]]
['adam8', [105164, 105169]]
['adam8', [105239, 105244]]
['adam8', [105395, 105400]]
['adam8', [105607, 105612]]
['adam8', [105683, 105688]]
['adam8', [106120, 106125]]
['adam8', [106364, 106369]]
['adam8', [106619, 106624]]
['adam8', [106675, 106680]]
['adam8', [108035, 108040]]
['adam8', [108125, 108130]]
['adam8', [108314, 108319]]
['adam8', [108371, 108376]]
['adam8', [108994, 108999]]
['adam8', [109042, 109047]]
['adam8', [109070, 109075]]
['adam8', [109120, 109125]]
['adam8', [109283, 109288]]
['adam8', [109754, 109759]]
['adam8', [109863, 109868]]
['adam8', [109920, 109925]]
['adam8', [110018, 110023]]
['adam8', [110128, 110133]]
['adam8', [110268, 110273]]
['adam8', [110329, 110334]]
['adam8', [110439, 110444]]
['adam8', [110535, 110540]]
['adam8', [110657, 110662]]
['adam8', [110795, 110800]]
['adam8', [110959, 110964]]
['adam8', [111024, 111029]]
['adam8', [111106, 111111]]
['adam8', [111193, 111198]]
['adam8', [111267, 111272]]
['adam8', [111378, 111383]]
['adam8', [111464, 111469]]
['metalloproteinase', [92, 109]]
['metalloproteinase', [4562, 4579]]
['metalloproteinase', [4795, 4812]]
['metalloproteinase', [9267, 9284]]
['metalloproteinase', [9500, 9517]]
['metalloproteinase', [11042, 11059]]
['metalloproteinase', [13292, 13309]]
['metalloproteinase', [19653, 19670]]
['metalloproteinase', [21903, 21920]]
['metalloproteinase', [25549, 25566]]
['metalloproteinase', [59540, 59557]]
['metalloproteinase', [85262, 85279]]
['metalloproteinase', [89629, 89646]]
['metalloproteinase', [102379, 102396]]
['metalloproteinase', [105655, 105672]]
['metalloproteinase', [106625, 106642]]
['domain-8', [110, 118]]
['airway', [350, 356]]
['airway', [518, 524]]
['airway', [540, 546]]
['airway', [669, 675]]
['airway', [779, 785]]
['airway', [983, 989]]
['airway', [1008, 1014]]
['airway', [2158, 2164]]
['airway', [2362, 2368]]
['airway', [2918, 2924]]
['airway', [2945, 2951]]
['airway', [3335, 3341]]
['airway', [3451, 3457]]
['airway', [3578, 3584]]
['airway', [3656, 3662]]
['airway', [3687, 3693]]
['airway', [3839, 3845]]
['airway', [4121, 4127]]
['airway', [4369, 4375]]
['airway', [4419, 4425]]
['airway', [4646, 4652]]
['airway', [4714, 4720]]
['airway', [5041, 5047]]
['airway', [5071, 5077]]
['airway', [5178, 5184]]
['airway', [5513, 5519]]
['airway', [5686, 5692]]
['airway', [5711, 5717]]
['airway', [6862, 6868]]
['airway', [7066, 7072]]
['airway', [7622, 7628]]
['airway', [7649, 7655]]
['airway', [8039, 8045]]
['airway', [8155, 8161]]
['airway', [8282, 8288]]
['airway', [8360, 8366]]
['airway', [8391, 8397]]
['airway', [8543, 8549]]
['airway', [8825, 8831]]
['airway', [9073, 9079]]
['airway', [9123, 9129]]
['airway', [9351, 9357]]
['airway', [9419, 9425]]
['airway', [9746, 9752]]
['airway', [9776, 9782]]
['airway', [9883, 9889]]
['airway', [10218, 10224]]
['airway', [15682, 15688]]
['airway', [16845, 16851]]
['airway', [17003, 17009]]
['airway', [17740, 17746]]
['airway', [17812, 17818]]
['airway', [18519, 18525]]
['airway', [27942, 27948]]
['airway', [29106, 29112]]
['airway', [29264, 29270]]
['airway', [30001, 30007]]
['airway', [30073, 30079]]
['airway', [30780, 30786]]
['airway', [31582, 31588]]
['airway', [32080, 32086]]
['airway', [32214, 32220]]
['airway', [33678, 33684]]
['airway', [36771, 36777]]
['airway', [38104, 38110]]
['airway', [38566, 38572]]
['airway', [39064, 39070]]
['airway', [39198, 39204]]
['airway', [40662, 40668]]
['airway', [43757, 43763]]
['airway', [45090, 45096]]
['airway', [45414, 45420]]
['airway', [45506, 45512]]
['airway', [45537, 45543]]
['airway', [45672, 45678]]
['airway', [45765, 45771]]
['airway', [45816, 45822]]
['airway', [46328, 46334]]
['airway', [46506, 46512]]
['airway', [48665, 48671]]
['airway', [49603, 49609]]
['airway', [49758, 49764]]
['airway', [50526, 50532]]
['airway', [50922, 50928]]
['airway', [51719, 51725]]
['airway', [52442, 52448]]
['airway', [53079, 53085]]
['airway', [53196, 53202]]
['airway', [53416, 53422]]
['airway', [53729, 53735]]
['airway', [54266, 54272]]
['airway', [55378, 55384]]
['airway', [55463, 55469]]
['airway', [55622, 55628]]
['airway', [57188, 57194]]
['airway', [57230, 57236]]
['airway', [57286, 57292]]
['airway', [57341, 57347]]
['airway', [57473, 57479]]
['airway', [57777, 57783]]
['airway', [57807, 57813]]
['airway', [57884, 57890]]
['airway', [58043, 58049]]
['airway', [58212, 58218]]
['airway', [58838, 58844]]
['airway', [58891, 58897]]
['airway', [58953, 58959]]
['airway', [59104, 59110]]
['airway', [59480, 59486]]
['airway', [60041, 60047]]
['airway', [60524, 60530]]
['airway', [60717, 60723]]
['airway', [60988, 60994]]
['airway', [61188, 61194]]
['airway', [61240, 61246]]
['airway', [61563, 61569]]
['airway', [61750, 61756]]
['airway', [61915, 61921]]
['airway', [61992, 61998]]
['airway', [62781, 62787]]
['airway', [62959, 62965]]
['airway', [65118, 65124]]
['airway', [66056, 66062]]
['airway', [66211, 66217]]
['airway', [66979, 66985]]
['airway', [67375, 67381]]
['airway', [68172, 68178]]
['airway', [68895, 68901]]
['airway', [69532, 69538]]
['airway', [69649, 69655]]
['airway', [69869, 69875]]
['airway', [70182, 70188]]
['airway', [70719, 70725]]
['airway', [71831, 71837]]
['airway', [71916, 71922]]
['airway', [72075, 72081]]
['airway', [73641, 73647]]
['airway', [73683, 73689]]
['airway', [74384, 74390]]
['airway', [75322, 75328]]
['airway', [75477, 75483]]
['airway', [76245, 76251]]
['airway', [76642, 76648]]
['airway', [77439, 77445]]
['airway', [78162, 78168]]
['airway', [78799, 78805]]
['airway', [78916, 78922]]
['airway', [79136, 79142]]
['airway', [79449, 79455]]
['airway', [79986, 79992]]
['airway', [81099, 81105]]
['airway', [81184, 81190]]
['airway', [81343, 81349]]
['airway', [82909, 82915]]
['airway', [82951, 82957]]
['airway', [83008, 83014]]
['airway', [83063, 83069]]
['airway', [83195, 83201]]
['airway', [83499, 83505]]
['airway', [83529, 83535]]
['airway', [83606, 83612]]
['airway', [83765, 83771]]
['airway', [83934, 83940]]
['airway', [84560, 84566]]
['airway', [84613, 84619]]
['airway', [84675, 84681]]
['airway', [84826, 84832]]
['airway', [85202, 85208]]
['airway', [85763, 85769]]
['airway', [86246, 86252]]
['airway', [86439, 86445]]
['airway', [86710, 86716]]
['airway', [86910, 86916]]
['airway', [86962, 86968]]
['airway', [87285, 87291]]
['airway', [87472, 87478]]
['airway', [87637, 87643]]
['airway', [87714, 87720]]
['airway', [88131, 88137]]
['airway', [88300, 88306]]
['airway', [88926, 88932]]
['airway', [88979, 88985]]
['airway', [89041, 89047]]
['airway', [89193, 89199]]
['airway', [89569, 89575]]
['airway', [90130, 90136]]
['airway', [90613, 90619]]
['airway', [90806, 90812]]
['airway', [91077, 91083]]
['airway', [91277, 91283]]
['airway', [91329, 91335]]
['airway', [91652, 91658]]
['airway', [91839, 91845]]
['airway', [92004, 92010]]
['airway', [92081, 92087]]
['airway', [92510, 92516]]
['airway', [92679, 92685]]
['airway', [92701, 92707]]
['airway', [92830, 92836]]
['airway', [92940, 92946]]
['airway', [93168, 93174]]
['airway', [93426, 93432]]
['airway', [93467, 93473]]
['airway', [93688, 93694]]
['airway', [93936, 93942]]
['airway', [94107, 94113]]
['airway', [94497, 94503]]
['airway', [94816, 94822]]
['airway', [94910, 94916]]
['airway', [95158, 95164]]
['airway', [95204, 95210]]
['airway', [95291, 95297]]
['airway', [95508, 95514]]
['airway', [95893, 95899]]
['airway', [96219, 96225]]
['airway', [97022, 97028]]
['airway', [97639, 97645]]
['airway', [99862, 99868]]
['airway', [101118, 101124]]
['airway', [103135, 103141]]
['airway', [103214, 103220]]
['airway', [103807, 103813]]
['airway', [104302, 104308]]
['airway', [104594, 104600]]
['airway', [104884, 104890]]
['airway', [105013, 105019]]
['airway', [105112, 105118]]
['airway', [105197, 105203]]
['airway', [105248, 105254]]
['airway', [105350, 105356]]
['airway', [105490, 105496]]
['airway', [105789, 105795]]
['airway', [106068, 106074]]
['airway', [106306, 106312]]
['airway', [106401, 106407]]
['airway', [106472, 106478]]
['airway', [106553, 106559]]
['airway', [106865, 106871]]
['airway', [107287, 107293]]
['airway', [107371, 107377]]
['airway', [107478, 107484]]
['airway', [107700, 107706]]
['airway', [108156, 108162]]
['airway', [109685, 109691]]
['inflammatory', [547, 559]]
['inflammatory', [955, 967]]
['inflammatory', [2327, 2339]]
['inflammatory', [3025, 3037]]
['inflammatory', [5658, 5670]]
['inflammatory', [7031, 7043]]
['inflammatory', [7729, 7741]]
['inflammatory', [16391, 16403]]
['inflammatory', [17114, 17126]]
['inflammatory', [28651, 28663]]
['inflammatory', [29375, 29387]]
['inflammatory', [32180, 32192]]
['inflammatory', [33633, 33645]]
['inflammatory', [35777, 35789]]
['inflammatory', [37590, 37602]]
['inflammatory', [39164, 39176]]
['inflammatory', [40617, 40629]]
['inflammatory', [42763, 42775]]
['inflammatory', [44576, 44588]]
['inflammatory', [47769, 47781]]
['inflammatory', [51219, 51231]]
['inflammatory', [51742, 51754]]
['inflammatory', [55564, 55576]]
['inflammatory', [57052, 57064]]
['inflammatory', [64222, 64234]]
['inflammatory', [67672, 67684]]
['inflammatory', [68195, 68207]]
['inflammatory', [72017, 72029]]
['inflammatory', [73505, 73517]]
['inflammatory', [76939, 76951]]
['inflammatory', [77462, 77474]]
['inflammatory', [81285, 81297]]
['inflammatory', [82773, 82785]]
['inflammatory', [92708, 92720]]
['inflammatory', [93654, 93666]]
['inflammatory', [94185, 94197]]
['inflammatory', [95314, 95326]]
['inflammatory', [95665, 95677]]
['inflammatory', [95991, 96003]]
['inflammatory', [96379, 96391]]
['inflammatory', [96489, 96501]]
['inflammatory', [96758, 96770]]
['inflammatory', [96919, 96931]]
['inflammatory', [98910, 98922]]
['inflammatory', [99771, 99783]]
['inflammatory', [104516, 104528]]
['inflammatory', [105297, 105309]]
['inflammatory', [105507, 105519]]
['cells', [560, 565]]
['cells', [2145, 2150]]
['cells', [2414, 2419]]
['cells', [2434, 2439]]
['cells', [2512, 2517]]
['cells', [2660, 2665]]
['cells', [2719, 2724]]
['cells', [3083, 3088]]
['cells', [3133, 3138]]
['cells', [3156, 3161]]
['cells', [4440, 4445]]
['cells', [5015, 5020]]
['cells', [6849, 6854]]
['cells', [7118, 7123]]
['cells', [7138, 7143]]
['cells', [7216, 7221]]
['cells', [7364, 7369]]
['cells', [7423, 7428]]
['cells', [7787, 7792]]
['cells', [7837, 7842]]
['cells', [7860, 7865]]
['cells', [9144, 9149]]
['cells', [9720, 9725]]
['cells', [12114, 12119]]
['cells', [14314, 14319]]
['cells', [15497, 15502]]
['cells', [15669, 15674]]
['cells', [15802, 15807]]
['cells', [15940, 15945]]
['cells', [16663, 16668]]
['cells', [16791, 16796]]
