['1', [8447, 8448]]
['1', [8512, 8513]]
['1', [9460, 9461]]
['1', [9953, 9954]]
['1', [9958, 9959]]
['1', [10066, 10067]]
['1', [10344, 10345]]
['1', [10349, 10350]]
['1', [10789, 10790]]
['1', [11327, 11328]]
['1', [12281, 12282]]
['1', [12999, 13000]]
['1', [13012, 13013]]
['1', [13111, 13112]]
['1', [13165, 13166]]
['1', [13177, 13178]]
['1', [13287, 13288]]
['1', [13400, 13401]]
['1', [13412, 13413]]
['1', [14124, 14125]]
['1', [14220, 14221]]
['1', [14315, 14316]]
['1', [15521, 15522]]
['1', [15526, 15527]]
['1', [15541, 15542]]
['1', [15879, 15880]]
['1', [15977, 15978]]
['1', [16607, 16608]]
['1', [16738, 16739]]
['1', [17391, 17392]]
['1', [17393, 17394]]
['1', [17464, 17465]]
['1', [17631, 17632]]
['1', [17696, 17697]]
['1', [18644, 18645]]
['1', [19138, 19139]]
['1', [19143, 19144]]
['1', [19251, 19252]]
['1', [19529, 19530]]
['1', [19534, 19535]]
['1', [19975, 19976]]
['1', [20513, 20514]]
['1', [21468, 21469]]
['1', [22187, 22188]]
['1', [22200, 22201]]
['1', [22299, 22300]]
['1', [22353, 22354]]
['1', [22365, 22366]]
['1', [22475, 22476]]
['1', [22588, 22589]]
['1', [22600, 22601]]
['1', [23312, 23313]]
['1', [23408, 23409]]
['1', [23503, 23504]]
['1', [24426, 24427]]
['1', [24648, 24649]]
['1', [24842, 24843]]
['1', [24851, 24852]]
['1', [24871, 24872]]
['1', [25008, 25009]]
['1', [25040, 25041]]
['1', [25061, 25062]]
['1', [25082, 25083]]
['1', [25378, 25379]]
['1', [27064, 27065]]
['1', [27557, 27558]]
['1', [27560, 27561]]
['1', [28878, 28879]]
['1', [29147, 29148]]
['1', [29158, 29159]]
['1', [29442, 29443]]
['1', [29448, 29449]]
['1', [29453, 29454]]
['1', [29503, 29504]]
['1', [29514, 29515]]
['1', [29825, 29826]]
['1', [29988, 29989]]
['1', [29993, 29994]]
['1', [30003, 30004]]
['1', [30218, 30219]]
['1', [30223, 30224]]
['1', [30229, 30230]]
['1', [30234, 30235]]
['1', [30341, 30342]]
['1', [30563, 30564]]
['1', [30757, 30758]]
['1', [30766, 30767]]
['1', [30786, 30787]]
['1', [30923, 30924]]
['1', [30955, 30956]]
['1', [30976, 30977]]
['1', [30997, 30998]]
['1', [31293, 31294]]
['1', [32979, 32980]]
['1', [33472, 33473]]
['1', [33475, 33476]]
['1', [34793, 34794]]
['1', [35062, 35063]]
['1', [35073, 35074]]
['1', [35357, 35358]]
['1', [35363, 35364]]
['1', [35368, 35369]]
['1', [35418, 35419]]
['1', [35429, 35430]]
['1', [35740, 35741]]
['1', [35903, 35904]]
['1', [35908, 35909]]
['1', [35918, 35919]]
['1', [36133, 36134]]
['1', [36138, 36139]]
['1', [36144, 36145]]
['1', [36149, 36150]]
['1', [36248, 36249]]
