['3', [34137, 34138]]
['3', [35412, 35413]]
['3', [35463, 35464]]
['3', [35741, 35742]]
['3', [35745, 35746]]
['3', [37079, 37080]]
['3', [37998, 37999]]
['3', [38017, 38018]]
['3', [38032, 38033]]
['3', [38047, 38048]]
['3', [38066, 38067]]
['3', [38081, 38082]]
['3', [38096, 38097]]
['3', [38115, 38116]]
['3', [38130, 38131]]
['3', [38144, 38145]]
['3', [38152, 38153]]
['3', [38170, 38171]]
['3', [38181, 38182]]
['3', [38197, 38198]]
['3', [38205, 38206]]
['3', [38220, 38221]]
['3', [38225, 38226]]
['3', [38233, 38234]]
['3', [38237, 38238]]
['3', [38342, 38343]]
['3', [38378, 38379]]
['3', [38379, 38380]]
['3', [38389, 38390]]
['3', [38414, 38415]]
['3', [38495, 38496]]
['3', [38530, 38531]]
['3', [38554, 38555]]
['3', [38565, 38566]]
['3', [38569, 38570]]
['3', [38576, 38577]]
['3', [38579, 38580]]
['3', [38648, 38649]]
['3', [38660, 38661]]
['3', [38681, 38682]]
['3', [38717, 38718]]
['3', [38726, 38727]]
['3', [38737, 38738]]
['3', [38804, 38805]]
['3', [38813, 38814]]
['3', [38849, 38850]]
['3', [38861, 38862]]
['3', [38872, 38873]]
['3', [38962, 38963]]
['3', [38974, 38975]]
['3', [39004, 39005]]
['3', [39019, 39020]]
['3', [39023, 39024]]
['3', [39050, 39051]]
['3', [39064, 39065]]
['3', [39076, 39077]]
['3', [39096, 39097]]
['3', [39104, 39105]]
['3', [39122, 39123]]
['3', [39168, 39169]]
['3', [39204, 39205]]
['3', [39216, 39217]]
['3', [39247, 39248]]
['3', [39257, 39258]]
['3', [39321, 39322]]
['3', [39374, 39375]]
['3', [39532, 39533]]
['3', [39816, 39817]]
['3', [39835, 39836]]
['3', [39865, 39866]]
['3', [39895, 39896]]
['3', [39924, 39925]]
['3', [39932, 39933]]
['3', [39947, 39948]]
['3', [39951, 39952]]
['3', [39962, 39963]]
['3', [39963, 39964]]
['3', [39975, 39976]]
['3', [39978, 39979]]
['3', [39990, 39991]]
['3', [39993, 39994]]
['3', [39996, 39997]]
['3', [40033, 40034]]
['3', [40096, 40097]]
['3', [40101, 40102]]
['3', [40133, 40134]]
['3', [40148, 40149]]
['3', [40149, 40150]]
['3', [40202, 40203]]
['3', [40255, 40256]]
['3', [40273, 40274]]
['3', [40277, 40278]]
['3', [40281, 40282]]
['3', [40288, 40289]]
['3', [40291, 40292]]
['3', [40302, 40303]]
['3', [40332, 40333]]
['3', [40379, 40380]]
['3', [40408, 40409]]
['3', [40416, 40417]]
['3', [40477, 40478]]
['3', [40495, 40496]]
['3', [40534, 40535]]
['3', [40571, 40572]]
['3', [40601, 40602]]
['3', [40659, 40660]]
['3', [40670, 40671]]
['3', [40682, 40683]]
['3', [40683, 40684]]
['3', [40686, 40687]]
['3', [40689, 40690]]
['3', [40701, 40702]]
['3', [40729, 40730]]
['3', [40828, 40829]]
['3', [40904, 40905]]
['3', [40974, 40975]]
['3', [41102, 41103]]
['3', [41217, 41218]]
['3', [41487, 41488]]
['3', [41495, 41496]]
['3', [41525, 41526]]
['3', [41554, 41555]]
['3', [41560, 41561]]
['3', [41565, 41566]]
['3', [41577, 41578]]
['3', [41644, 41645]]
['3', [41649, 41650]]
['3', [41669, 41670]]
['3', [41687, 41688]]
['3', [41714, 41715]]
['3', [41738, 41739]]
['3', [41785, 41786]]
['3', [41789, 41790]]
['3', [41796, 41797]]
['3', [41799, 41800]]
['3', [41846, 41847]]
['3', [41884, 41885]]
['3', [41913, 41914]]
['3', [41916, 41917]]
['3', [41942, 41943]]
['3', [41953, 41954]]
['3', [41982, 41983]]
['3', [41994, 41995]]
['3', [42022, 42023]]
['3', [42135, 42136]]
['3', [42231, 42232]]
['3', [42236, 42237]]
['3', [42248, 42249]]
['3', [42271, 42272]]
['3', [42322, 42323]]
['3', [42588, 42589]]
['3', [42607, 42608]]
['3', [42622, 42623]]
['3', [42637, 42638]]
['3', [42656, 42657]]
['3', [42671, 42672]]
['3', [42686, 42687]]
['3', [42705, 42706]]
['3', [42720, 42721]]
['3', [42734, 42735]]
['3', [42742, 42743]]
['3', [42760, 42761]]
['3', [42771, 42772]]
['3', [42787, 42788]]
['3', [42795, 42796]]
['3', [42810, 42811]]
['3', [42815, 42816]]
['3', [42823, 42824]]
['3', [42827, 42828]]
['3', [42932, 42933]]
['3', [42968, 42969]]
['3', [42969, 42970]]
['3', [42979, 42980]]
['3', [43004, 43005]]
['3', [43085, 43086]]
['3', [43120, 43121]]
['3', [43144, 43145]]
['3', [43155, 43156]]
['3', [43159, 43160]]
['3', [43166, 43167]]
['3', [43169, 43170]]
['3', [43238, 43239]]
['3', [43250, 43251]]
['3', [43271, 43272]]
['3', [43307, 43308]]
['3', [43316, 43317]]
['3', [43327, 43328]]
['3', [43394, 43395]]
['3', [43403, 43404]]
['3', [43439, 43440]]
['3', [43451, 43452]]
['3', [43462, 43463]]
