['mpg', [25141, 25144]]
['mpg', [25303, 25306]]
['mpg', [25316, 25319]]
['mpg', [25649, 25652]]
['mpg', [25785, 25788]]
['mpg', [26017, 26020]]
['mpg', [26036, 26039]]
['mpg', [26207, 26210]]
['mpg', [26212, 26215]]
['mpg', [26306, 26309]]
['mpg', [26316, 26319]]
['mpg', [26699, 26702]]
['mpg', [26724, 26727]]
['mpg', [26886, 26889]]
['mpg', [26899, 26902]]
['mpg', [27232, 27235]]
['mpg', [27368, 27371]]
['mpg', [27600, 27603]]
['mpg', [27619, 27622]]
['mpg', [27790, 27793]]
['mpg', [27795, 27798]]
['mpg', [27889, 27892]]
['mpg', [27899, 27902]]
['mpg', [30971, 30974]]
['mpg', [31184, 31187]]
['mpg', [33851, 33854]]
['mpg', [34265, 34268]]
['mpg', [36533, 36536]]
['mpg', [36624, 36627]]
['mpg', [38776, 38779]]
['mpg', [41355, 41358]]
['mpg', [42228, 42231]]
['mpg', [42269, 42272]]
['mpg', [42414, 42417]]
['plasma', [998, 1004]]
['plasma', [4814, 4820]]
['plasma', [8780, 8786]]
['plasma', [8902, 8908]]
['plasma', [12223, 12229]]
['plasma', [12345, 12351]]
['plasma', [15714, 15720]]
['plasma', [15873, 15879]]
['plasma', [15975, 15981]]
['plasma', [17255, 17261]]
['plasma', [17793, 17799]]
['plasma', [19915, 19921]]
['plasma', [20074, 20080]]
['plasma', [20176, 20182]]
['plasma', [21456, 21462]]
['plasma', [21994, 22000]]
['plasma', [25414, 25420]]
['plasma', [25573, 25579]]
['plasma', [25675, 25681]]
['plasma', [26997, 27003]]
['plasma', [27156, 27162]]
['plasma', [27258, 27264]]
['plasma', [28539, 28545]]
['plasma', [29608, 29614]]
['plasma', [30147, 30153]]
['plasma', [30388, 30394]]
['plasma', [30891, 30897]]
['plasma', [40968, 40974]]
['plasma', [41861, 41867]]
['lipid', [1005, 1010]]
['lipid', [4821, 4826]]
['lipid', [30854, 30859]]
['peroxidation', [1011, 1023]]
