['girls', [41263, 41268]]
['girls', [41483, 41488]]
['girls', [41642, 41647]]
['girls', [41938, 41943]]
['girls', [42077, 42082]]
['girls', [42285, 42290]]
['girls', [42310, 42315]]
['girls', [42441, 42446]]
['girls', [43384, 43389]]
['girls', [43493, 43498]]
['girls', [44069, 44074]]
['girls', [44231, 44236]]
['girls', [44768, 44773]]
['girls', [44822, 44827]]
['girls', [45142, 45147]]
['girls', [45165, 45170]]
['girls', [45398, 45403]]
['girls', [45587, 45592]]
['girls', [45852, 45857]]
['girls', [45885, 45890]]
['girls', [45924, 45929]]
['girls', [46164, 46169]]
['girls', [46227, 46232]]
['girls', [46414, 46419]]
['girls', [46475, 46480]]
['girls', [46773, 46778]]
['girls', [46969, 46974]]
['girls', [47076, 47081]]
['girls', [47368, 47373]]
['girls', [47778, 47783]]
['girls', [47888, 47893]]
['girls', [47911, 47916]]
['girls', [48154, 48159]]
['girls', [48193, 48198]]
['girls', [48290, 48295]]
['girls', [48718, 48723]]
['girls', [48937, 48942]]
['girls', [49106, 49111]]
['girls', [49127, 49132]]
['girls', [49250, 49255]]
['girls', [50272, 50277]]
['girls', [50407, 50412]]
['girls', [50458, 50463]]
['girls', [50842, 50847]]
['girls', [50957, 50962]]
['girls', [51016, 51021]]
['girls', [51508, 51513]]
['girls', [51623, 51628]]
['girls', [52572, 52577]]
['girls', [52604, 52609]]
['girls', [55537, 55542]]
['girls', [56060, 56065]]
['cincinnati', [2929, 2939]]
['cincinnati', [3491, 3501]]
['cincinnati', [3521, 3531]]
['cincinnati', [3702, 3712]]
['cincinnati', [3958, 3968]]
['cincinnati', [16205, 16215]]
['cincinnati', [16767, 16777]]
['cincinnati', [16797, 16807]]
['cincinnati', [16978, 16988]]
['cincinnati', [17234, 17244]]
['cincinnati', [52986, 52996]]
['site', [3928, 3932]]
['site', [3969, 3973]]
['site', [17204, 17208]]
['site', [17245, 17249]]
['site', [62873, 62877]]
['participants', [397, 409]]
['participants', [2279, 2291]]
['participants', [3238, 3250]]
['participants', [3381, 3393]]
['participants', [3579, 3591]]
['participants', [3739, 3751]]
['participants', [4723, 4735]]
['participants', [5221, 5233]]
['participants', [5445, 5457]]
['participants', [5631, 5643]]
['participants', [5863, 5875]]
['participants', [6121, 6133]]
['participants', [6140, 6152]]
['participants', [6282, 6294]]
['participants', [7247, 7259]]
['participants', [12529, 12541]]
['participants', [15555, 15567]]
['participants', [16514, 16526]]
['participants', [16657, 16669]]
['participants', [16855, 16867]]
['participants', [17015, 17027]]
['participants', [17999, 18011]]
['participants', [18497, 18509]]
['participants', [18721, 18733]]
['participants', [18907, 18919]]
['participants', [19139, 19151]]
['participants', [19397, 19409]]
['participants', [19416, 19428]]
['participants', [19558, 19570]]
['participants', [20524, 20536]]
['participants', [23835, 23847]]
['participants', [29119, 29131]]
['participants', [31896, 31908]]
['participants', [55551, 55563]]
['participants', [56074, 56086]]
['participants', [56636, 56648]]
['participants', [57246, 57258]]
['participants', [61881, 61893]]
['participants', [62325, 62337]]
['wave', [5240, 5244]]
['wave', [18516, 18520]]
['ii', [5245, 5247]]
['ii', [18521, 18523]]
['visits', [5381, 5387]]
['visits', [10924, 10930]]
['visits', [18657, 18663]]
['visits', [27514, 27520]]
['visits', [30290, 30296]]
['visits', [60990, 60996]]
['nghs\\.', [6459, 6465]]
['nghs\\.', [19735, 19741]]
['whr', [8959, 8962]]
['whr', [9056, 9059]]
['whr', [13742, 13745]]
['whr', [14033, 14036]]
['whr', [22236, 22239]]
['whr', [22333, 22336]]
['whr', [25547, 25550]]
['whr', [25644, 25647]]
['whr', [33110, 33113]]
['whr', [33401, 33404]]
['whr', [36271, 36274]]
['whr', [38466, 38469]]
['whr', [39235, 39238]]
['whr', [41622, 41625]]
['whr', [43817, 43820]]
['whr', [44586, 44589]]
['whr', [45980, 45983]]
['bmi', [6907, 6910]]
['bmi', [7511, 7514]]
['bmi', [13697, 13700]]
['bmi', [13988, 13991]]
['bmi', [20183, 20186]]
['bmi', [20788, 20791]]
['bmi', [24099, 24102]]
['bmi', [33065, 33068]]
['bmi', [33356, 33359]]
['bmi', [35674, 35677]]
['bmi', [36222, 36225]]
['bmi', [36438, 36441]]
['bmi', [37452, 37455]]
['bmi', [38051, 38054]]
['bmi', [38313, 38316]]
['bmi', [38939, 38942]]
['bmi', [39586, 39589]]
['bmi', [41025, 41028]]
['bmi', [41573, 41576]]
['bmi', [41789, 41792]]
['bmi', [42803, 42806]]
['bmi', [43402, 43405]]
['bmi', [43664, 43667]]
['bmi', [44290, 44293]]
['bmi', [44937, 44940]]
['bmi', [46312, 46315]]
['bmi', [48557, 48560]]
['race-specific', [761, 774]]
['race-specific', [15486, 15499]]
['race-specific', [34854, 34867]]
['race-specific', [37839, 37852]]
['race-specific', [43190, 43203]]
['linear', [13594, 13600]]
['linear', [15124, 15130]]
['linear', [15500, 15506]]
['linear', [32962, 32968]]
['linear', [34492, 34498]]
['linear', [34868, 34874]]
['regression', [13601, 13611]]
['regression', [15131, 15141]]
['regression', [15507, 15517]]
['regression', [32969, 32979]]
['regression', [34499, 34509]]
['regression', [34875, 34885]]
['models', [1761, 1767]]
['models', [15142, 15148]]
['models', [15396, 15402]]
['models', [15518, 15524]]
['models', [34510, 34516]]
['models', [34764, 34770]]
['models', [34886, 34892]]
['models', [39707, 39713]]
['models', [45058, 45064]]
['table', [7953, 7958]]
['table', [21230, 21235]]
['table', [24541, 24546]]
['table', [35051, 35056]]
['table', [35394, 35399]]
['table', [35704, 35709]]
['table', [36140, 36145]]
['table', [36942, 36947]]
['table', [37070, 37075]]
['table', [37991, 37996]]
['table', [39392, 39397]]
['table', [40402, 40407]]
['table', [40745, 40750]]
['table', [41055, 41060]]
['table', [41491, 41496]]
['table', [42293, 42298]]
['table', [42421, 42426]]
['table', [43342, 43347]]
['table', [44743, 44748]]
['table', [52456, 52461]]
['table', [52463, 52468]]
['table', [53819, 53824]]
['table', [55297, 55302]]
['table', [58415, 58420]]
['table', [61658, 61663]]
['1', [368, 369]]
['1', [373, 374]]
['1', [386, 387]]
['1', [391, 392]]
['1', [486, 487]]
['1', [616, 617]]
['1', [619, 620]]
['1', [631, 632]]
