['cancer', [3724, 3730]]
['cancer', [5421, 5427]]
['cancer', [5563, 5569]]
['cancer', [5760, 5766]]
['cancer', [5839, 5845]]
['cancer', [6099, 6105]]
['cancer', [6266, 6272]]
['cancer', [6353, 6359]]
['cancer', [6768, 6774]]
['cancer', [6971, 6977]]
['cancer', [16310, 16316]]
['cancer', [16599, 16605]]
['cancer', [20610, 20616]]
['cancer', [21606, 21612]]
['cancer', [23871, 23877]]
['cancer', [24800, 24806]]
['cancer', [25089, 25095]]
['cancer', [29104, 29110]]
['cancer', [30101, 30107]]
['cancer', [32369, 32375]]
['cancer', [49717, 49723]]
['cancer', [49772, 49778]]
['cancer', [49931, 49937]]
['cancer', [50121, 50127]]
['cancer', [50285, 50291]]
['cancer', [50327, 50333]]
['cancer', [50525, 50531]]
['cancer', [51831, 51837]]
['cancer', [53142, 53148]]
['cancer', [53224, 53230]]
['cancer', [53343, 53349]]
['cancer', [53660, 53666]]
['cancer', [54042, 54048]]
['cancer', [54686, 54692]]
['cancer', [54746, 54752]]
['cancer', [54855, 54861]]
['cancer', [55311, 55317]]
['cancer', [55353, 55359]]
['cancer', [55425, 55431]]
['cancer', [55505, 55511]]
['cancer', [55666, 55672]]
['cancer', [57009, 57015]]
['cancer', [57064, 57070]]
['cancer', [57223, 57229]]
['cancer', [57413, 57419]]
['cancer', [57577, 57583]]
['cancer', [57619, 57625]]
['cancer', [57817, 57823]]
['cancer', [59123, 59129]]
['cancer', [60434, 60440]]
['cancer', [60516, 60522]]
['cancer', [60635, 60641]]
['cancer', [60952, 60958]]
['cancer', [61334, 61340]]
['cancer', [61978, 61984]]
['cancer', [62038, 62044]]
['cancer', [62147, 62153]]
['cancer', [62603, 62609]]
['cancer', [62645, 62651]]
['cancer', [62717, 62723]]
['cancer', [62797, 62803]]
['cancer', [62958, 62964]]
['cancer', [65991, 65997]]
['cancer', [68733, 68739]]
['cells', [155, 160]]
['cells', [835, 840]]
['cells', [884, 889]]
['cells', [1145, 1150]]
['cells', [1460, 1465]]
['cells', [3054, 3059]]
['cells', [3349, 3354]]
['cells', [3470, 3475]]
['cells', [3731, 3736]]
['cells', [3987, 3992]]
['cells', [6106, 6111]]
['cells', [6978, 6983]]
['cells', [7058, 7063]]
['cells', [7386, 7391]]
['cells', [7419, 7424]]
['cells', [7495, 7500]]
['cells', [7928, 7933]]
['cells', [8031, 8036]]
['cells', [8209, 8214]]
['cells', [8721, 8726]]
['cells', [8839, 8844]]
['cells', [8960, 8965]]
['cells', [9081, 9086]]
['cells', [9196, 9201]]
['cells', [9260, 9265]]
['cells', [9310, 9315]]
['cells', [9404, 9409]]
['cells', [9651, 9656]]
['cells', [10051, 10056]]
['cells', [10185, 10190]]
['cells', [10259, 10264]]
['cells', [10336, 10341]]
['cells', [10420, 10425]]
['cells', [11244, 11249]]
['cells', [11586, 11591]]
['cells', [11670, 11675]]
['cells', [11786, 11791]]
['cells', [12060, 12065]]
['cells', [12168, 12173]]
['cells', [12441, 12446]]
['cells', [12954, 12959]]
['cells', [13155, 13160]]
['cells', [13720, 13725]]
['cells', [14033, 14038]]
['cells', [14131, 14136]]
['cells', [14537, 14542]]
['cells', [14623, 14628]]
['cells', [14816, 14821]]
['cells', [14862, 14867]]
['cells', [14949, 14954]]
['cells', [15032, 15037]]
['cells', [15283, 15288]]
['cells', [15306, 15311]]
['cells', [15428, 15433]]
['cells', [15498, 15503]]
['cells', [15561, 15566]]
['cells', [15768, 15773]]
['cells', [15875, 15880]]
['cells', [16119, 16124]]
['cells', [17740, 17745]]
['cells', [17813, 17818]]
['cells', [17850, 17855]]
['cells', [18730, 18735]]
['cells', [20617, 20622]]
['cells', [21613, 21618]]
['cells', [21710, 21715]]
['cells', [22261, 22266]]
['cells', [22288, 22293]]
['cells', [22543, 22548]]
['cells', [23157, 23162]]
['cells', [23273, 23278]]
['cells', [23371, 23376]]
['cells', [23561, 23566]]
['cells', [23746, 23751]]
['cells', [23878, 23883]]
['cells', [24065, 24070]]
['cells', [24115, 24120]]
['cells', [24177, 24182]]
['cells', [24276, 24281]]
['cells', [24487, 24492]]
['cells', [26231, 26236]]
['cells', [26304, 26309]]
['cells', [26341, 26346]]
