['90', [9572, 9574]]
['90', [16317, 16319]]
['90', [16597, 16599]]
['90', [16690, 16692]]
['90', [20424, 20426]]
['90', [21144, 21146]]
['90', [21289, 21291]]
['90', [21548, 21550]]
['90', [21913, 21915]]
['90', [21980, 21982]]
['90', [22576, 22578]]
['90', [22607, 22609]]
['90', [23837, 23839]]
['90', [24557, 24559]]
['90', [24702, 24704]]
['90', [24961, 24963]]
['90', [25326, 25328]]
['90', [25393, 25395]]
['90', [25989, 25991]]
['90', [26020, 26022]]
['90', [26641, 26643]]
['90', [26855, 26857]]
['90', [28116, 28118]]
['90', [28206, 28208]]
['90', [30775, 30777]]
['90', [32808, 32810]]
['90', [33022, 33024]]
['90', [34283, 34285]]
['90', [34373, 34375]]
['90', [36942, 36944]]
['fkbp51', [4692, 4698]]
['121', [4918, 4921]]
['chip', [5846, 5850]]
['chip', [7319, 7323]]
['chip', [7673, 7677]]
['chip', [8039, 8043]]
['chip', [11296, 11300]]
['chip', [11967, 11971]]
['chip', [12963, 12967]]
['chip', [14436, 14440]]
['chip', [14790, 14794]]
['chip', [15156, 15160]]
['chip', [18416, 18420]]
['chip', [19087, 19091]]
['chip', [21807, 21811]]
['chip', [22018, 22022]]
['chip', [22149, 22153]]
['chip', [25220, 25224]]
['chip', [25431, 25435]]
['chip', [25562, 25566]]
['irb-approved', [6303, 6315]]
['irb-approved', [13420, 13432]]
['written', [6316, 6323]]
['written', [13433, 13440]]
['informed', [6324, 6332]]
['informed', [13441, 13449]]
['consent', [6333, 6340]]
['consent', [13450, 13457]]
['forms', [77, 82]]
['forms', [4024, 4029]]
['forms', [6341, 6346]]
['forms', [13458, 13463]]
['bpi', [6459, 6462]]
['bpi', [6486, 6489]]
['bpi', [6664, 6667]]
['bpi', [6687, 6690]]
['bpi', [13576, 13579]]
['bpi', [13603, 13606]]
['bpi', [13781, 13784]]
['bpi', [13804, 13807]]
['bpi', [29133, 29136]]
['bpi', [35300, 35303]]
['bpii', [6486, 6490]]
['bpii', [6687, 6691]]
['bpii', [13603, 13607]]
['bpii', [13804, 13808]]
['sa\\/bp', [6576, 6582]]
['sa\\/bp', [6714, 6720]]
['sa\\/bp', [13693, 13699]]
['sa\\/bp', [13831, 13837]]
['nimh', [5821, 5825]]
['nimh', [5983, 5987]]
['nimh', [7706, 7710]]
['nimh', [7868, 7872]]
['nimh', [8048, 8052]]
['nimh', [11305, 11309]]
['nimh', [12938, 12942]]
['nimh', [13100, 13104]]
['nimh', [14823, 14827]]
['nimh', [14985, 14989]]
['nimh', [15165, 15169]]
['nimh', [18425, 18429]]
['nimh', [21866, 21870]]
['nimh', [22056, 22060]]
['nimh', [22187, 22191]]
['nimh', [25279, 25283]]
['nimh', [25469, 25473]]
['nimh', [25600, 25604]]
['sample', [963, 969]]
['sample', [4156, 4162]]
['sample', [5278, 5284]]
['sample', [5530, 5536]]
['sample', [6786, 6792]]
['sample', [7177, 7183]]
['sample', [7408, 7414]]
['sample', [7711, 7717]]
['sample', [7873, 7879]]
['sample', [7945, 7951]]
['sample', [8623, 8629]]
['sample', [9321, 9327]]
['sample', [12309, 12315]]
['sample', [12647, 12653]]
['sample', [13903, 13909]]
['sample', [14294, 14300]]
['sample', [14525, 14531]]
['sample', [14828, 14834]]
['sample', [14990, 14996]]
['sample', [15062, 15068]]
['sample', [15741, 15747]]
['sample', [16439, 16445]]
['sample', [19429, 19435]]
['sample', [19922, 19928]]
['sample', [20219, 20225]]
['sample', [21824, 21830]]
['sample', [21871, 21877]]
['sample', [21954, 21960]]
['sample', [22027, 22033]]
['sample', [22061, 22067]]
['sample', [22158, 22164]]
['sample', [22192, 22198]]
['sample', [23335, 23341]]
['sample', [23632, 23638]]
['sample', [25237, 25243]]
['sample', [25284, 25290]]
['sample', [25367, 25373]]
['sample', [25440, 25446]]
['sample', [25474, 25480]]
['sample', [25571, 25577]]
['sample', [25605, 25611]]
['sample', [26759, 26765]]
['sample', [27022, 27028]]
['sample', [27082, 27088]]
['sample', [28555, 28561]]
['sample', [29323, 29329]]
['sample', [29354, 29360]]
['sample', [30688, 30694]]
['sample', [31326, 31332]]
['sample', [31360, 31366]]
['sample', [32926, 32932]]
['sample', [33189, 33195]]
['sample', [33249, 33255]]
['sample', [34722, 34728]]
['sample', [35490, 35496]]
['sample', [35521, 35527]]
['sample', [36855, 36861]]
['sample', [37493, 37499]]
['sample', [37527, 37533]]
['contained', [6617, 6626]]
['contained', [7880, 7889]]
['contained', [13734, 13743]]
['contained', [14997, 15006]]
['contained', [19955, 19964]]
['contained', [23368, 23377]]
['235', [7890, 7893]]
['235', [15007, 15010]]
['families', [532, 540]]
['families', [3528, 3536]]
['families', [5470, 5478]]
['families', [5580, 5588]]
['families', [7328, 7336]]
['families', [7377, 7385]]
['families', [7894, 7902]]
['families', [12697, 12705]]
['families', [14445, 14453]]
['families', [14494, 14502]]
['families', [15011, 15019]]
['refseq', [8299, 8305]]
['refseq', [15417, 15423]]
['transcript', [8312, 8322]]
['transcript', [15430, 15440]]
['r', [43, 44]]
['r', [49, 50]]
['r', [52, 53]]
['r', [70, 71]]
['r', [79, 80]]
['r', [85, 86]]
['r', [117, 118]]
['r', [125, 126]]
['r', [132, 133]]
['r', [153, 154]]
['r', [180, 181]]
['r', [230, 231]]
['r', [237, 238]]
['r', [241, 242]]
['r', [242, 243]]
['r', [254, 255]]
['r', [271, 272]]
['r', [277, 278]]
['r', [296, 297]]
['r', [305, 306]]
['r', [332, 333]]
['r', [344, 345]]
['r', [361, 362]]
['r', [373, 374]]
['r', [375, 376]]
['r', [382, 383]]
['r', [390, 391]]
['r', [396, 397]]
['r', [399, 400]]
['r', [449, 450]]
['r', [490, 491]]
['r', [556, 557]]
['r', [563, 564]]
['r', [571, 572]]
['r', [578, 579]]
['r', [582, 583]]
['r', [588, 589]]
['r', [614, 615]]
['r', [617, 618]]
['r', [645, 646]]
['r', [650, 651]]
['r', [651, 652]]
['r', [700, 701]]
['r', [709, 710]]
['r', [745, 746]]
['r', [780, 781]]
['r', [790, 791]]
['r', [805, 806]]
['r', [817, 818]]
['r', [846, 847]]
['r', [878, 879]]
['r', [880, 881]]
['r', [903, 904]]
['r', [950, 951]]
['r', [998, 999]]
['r', [1050, 1051]]
['r', [1062, 1063]]
['r', [1102, 1103]]
['r', [1126, 1127]]
['r', [1216, 1217]]
['r', [1244, 1245]]
['r', [1248, 1249]]
['r', [1265, 1266]]
['r', [1268, 1269]]
['r', [1276, 1277]]
['r', [1322, 1323]]
['r', [1384, 1385]]
['r', [1392, 1393]]
['r', [1418, 1419]]
['r', [1432, 1433]]
['r', [1434, 1435]]
['r', [1443, 1444]]
['r', [1483, 1484]]
['r', [1530, 1531]]
['r', [1537, 1538]]
['r', [1576, 1577]]
