['cancer', [38473, 38479]]
['cancer', [38546, 38552]]
['cancer', [38619, 38625]]
['cancer', [38787, 38793]]
['cancer', [38978, 38984]]
['cancer', [39780, 39786]]
['cancer', [39985, 39991]]
['cancer', [42157, 42163]]
['cancer', [42293, 42299]]
['cancer', [42680, 42686]]
['cancer', [43242, 43248]]
['cancer', [45329, 45335]]
['cancer', [45457, 45463]]
['cancer', [46142, 46148]]
['cancer', [46330, 46336]]
['cancer', [46406, 46412]]
['cancer', [47199, 47205]]
['cancer', [47485, 47491]]
['cancer', [47766, 47772]]
['cancer', [47817, 47823]]
['cancer', [47943, 47949]]
['cancer', [48279, 48285]]
['cancer', [48538, 48544]]
['cancer', [49119, 49125]]
['cancer', [49255, 49261]]
['cancer', [50013, 50019]]
['cancer', [50224, 50230]]
['cancer', [50527, 50533]]
['cancer', [50618, 50624]]
['cancer', [50803, 50809]]
['cancer', [50983, 50989]]
['cancer', [51960, 51966]]
['cancer', [52488, 52494]]
['cancer', [52772, 52778]]
['cancer', [53426, 53432]]
['cancer', [53525, 53531]]
['cancer', [53913, 53919]]
['cancer', [54149, 54155]]
['cancer', [54238, 54244]]
['cancer', [54348, 54354]]
['cancer', [54427, 54433]]
['cancer', [55210, 55216]]
['cancer', [55637, 55643]]
['cancer', [55829, 55835]]
['cancer', [56089, 56095]]
['cancer', [56432, 56438]]
['cancer', [56561, 56567]]
['cancer', [57255, 57261]]
['cancer', [57389, 57395]]
['cancer', [57447, 57453]]
['cancer', [57568, 57574]]
['cancer', [57664, 57670]]
['cancer', [57978, 57984]]
['cancer', [58027, 58033]]
['cancer', [58464, 58470]]
['cancer', [58797, 58803]]
['cancer', [58959, 58965]]
['cancer', [58973, 58979]]
['cancer', [59038, 59044]]
['cancer', [59105, 59111]]
['cancer', [59356, 59362]]
['cancer', [59488, 59494]]
['cancer', [59631, 59637]]
['cancer', [59843, 59849]]
['cancer', [59907, 59913]]
['cancer', [60119, 60125]]
['cancer', [60576, 60582]]
['cancer', [60649, 60655]]
['cancer', [60795, 60801]]
['cancer', [60971, 60977]]
['cancer', [61331, 61337]]
['cancer', [61467, 61473]]
['cancer', [61573, 61579]]
['cancer', [61852, 61858]]
['cancer', [62151, 62157]]
['cancer', [62572, 62578]]
['cancer', [63165, 63171]]
['cancer', [63180, 63186]]
['cancer', [63217, 63223]]
['cancer', [63239, 63245]]
['cancer', [63417, 63423]]
['cancer', [64832, 64838]]
['cancer', [64845, 64851]]
['cancer', [64865, 64871]]
['cancer', [65295, 65301]]
['cancer', [65748, 65754]]
['cancer', [65788, 65794]]
['cancer', [65862, 65868]]
['cancer', [66799, 66805]]
['cancer', [66922, 66928]]
['cancer', [67011, 67017]]
['cancer', [67354, 67360]]
['cancer', [67437, 67443]]
['cancer', [67680, 67686]]
['cancer', [67809, 67815]]
['cancer', [68522, 68528]]
['cancer', [68681, 68687]]
['cancer', [68794, 68800]]
['cancer', [68857, 68863]]
['cancer', [68959, 68965]]
['cancer', [69365, 69371]]
['cancer', [69458, 69464]]
['cancer', [69564, 69570]]
['cancer', [69987, 69993]]
['cancer', [70089, 70095]]
['cancer', [70245, 70251]]
['cancer', [70851, 70857]]
['cancer', [71225, 71231]]
['cancer', [71328, 71334]]
['cancer', [71453, 71459]]
['cancer', [72107, 72113]]
['cancer', [72198, 72204]]
['cancer', [72304, 72310]]
['cancer', [72564, 72570]]
['cancer', [72637, 72643]]
['cancer', [72710, 72716]]
['cancer', [72878, 72884]]
['cancer', [73069, 73075]]
['cancer', [73871, 73877]]
['cancer', [74077, 74083]]
['cancer', [76249, 76255]]
['cancer', [76385, 76391]]
['cancer', [76772, 76778]]
['cancer', [77334, 77340]]
['cancer', [79421, 79427]]
['cancer', [79549, 79555]]
['cancer', [80234, 80240]]
['cancer', [80422, 80428]]
['cancer', [80498, 80504]]
['cancer', [81291, 81297]]
['cancer', [81577, 81583]]
['cancer', [81858, 81864]]
['cancer', [81909, 81915]]
['cancer', [82035, 82041]]
['cancer', [82371, 82377]]
['cancer', [82631, 82637]]
['cancer', [83212, 83218]]
['cancer', [83348, 83354]]
['cancer', [84106, 84112]]
['cancer', [84317, 84323]]
['cancer', [84620, 84626]]
['cancer', [84711, 84717]]
['cancer', [84896, 84902]]
['cancer', [85076, 85082]]
['cancer', [86053, 86059]]
['cancer', [86581, 86587]]
['cancer', [86865, 86871]]
['cancer', [87519, 87525]]
['cancer', [87618, 87624]]
['cancer', [88006, 88012]]
['cancer', [88242, 88248]]
['cancer', [88331, 88337]]
['cancer', [88441, 88447]]
['cancer', [88520, 88526]]
['cancer', [88794, 88800]]
['cancer', [89293, 89299]]
['cancer', [89420, 89426]]
['cancer', [89442, 89448]]
['cancer', [89608, 89614]]
['cancer', [91521, 91527]]
['cancer', [91547, 91553]]
['cancer', [91600, 91606]]
['cancer', [92695, 92701]]
['cancer', [93001, 93007]]
['cancer', [93050, 93056]]
['cancer', [93571, 93577]]
['cancer', [93685, 93691]]
['cancer', [93723, 93729]]
['cancer', [94687, 94693]]
['cancer', [94894, 94900]]
['cancer', [94976, 94982]]
['cancer', [95022, 95028]]
['cancer', [95163, 95169]]
['cancer', [95236, 95242]]
['cancer', [95803, 95809]]
['cancer', [95856, 95862]]
['cancer', [95943, 95949]]
['cancer', [96009, 96015]]
['cancer', [96682, 96688]]
['cancer', [96737, 96743]]
['cancer', [97175, 97181]]
['cancer', [97521, 97527]]
['cancer', [97600, 97606]]
['cancer', [97899, 97905]]
['cancer', [97955, 97961]]
['cancer', [98092, 98098]]
['cancer', [98248, 98254]]
['cancer', [98665, 98671]]
['cancer', [100572, 100578]]
['cancer', [100893, 100899]]
['cancer', [101495, 101501]]
['risks', [30, 35]]
['risks', [188, 193]]
['risks', [414, 419]]
['risks', [605, 610]]
['risks', [642, 647]]
['risks', [1126, 1131]]
['risks', [1390, 1395]]
['risks', [1476, 1481]]
['risks', [2148, 2153]]
['risks', [2219, 2224]]
['risks', [3216, 3221]]
['risks', [3651, 3656]]
['risks', [4033, 4038]]
['risks', [4241, 4246]]
['risks', [4425, 4430]]
['risks', [4541, 4546]]
['risks', [4913, 4918]]
['risks', [5089, 5094]]
['risks', [10557, 10562]]
['risks', [11223, 11228]]
['risks', [12167, 12172]]
['risks', [12539, 12544]]
['risks', [12715, 12720]]
['risks', [18185, 18190]]
['risks', [18852, 18857]]
['risks', [20683, 20688]]
['risks', [21369, 21374]]
['risks', [21537, 21542]]
['risks', [21869, 21874]]
['risks', [23306, 23311]]
['risks', [23767, 23772]]
['risks', [24273, 24278]]
['risks', [24659, 24664]]
['risks', [25779, 25784]]
['risks', [26036, 26041]]
['risks', [27595, 27600]]
['risks', [28030, 28035]]
['risks', [28091, 28096]]
['risks', [28368, 28373]]
['risks', [28458, 28463]]
['risks', [28541, 28546]]
['risks', [28615, 28620]]
['risks', [30715, 30720]]
['risks', [38273, 38278]]
['risks', [38759, 38764]]
['risks', [39515, 39520]]
['risks', [39787, 39792]]
['risks', [40135, 40140]]
['risks', [40464, 40469]]
['risks', [40971, 40976]]
['risks', [41129, 41134]]
['risks', [43016, 43021]]
['risks', [43270, 43275]]
['risks', [47039, 47044]]
['risks', [47150, 47155]]
['risks', [47206, 47211]]
['risks', [47692, 47697]]
['risks', [48131, 48136]]
['risks', [50394, 50399]]
['risks', [50810, 50815]]
['risks', [52495, 52500]]
['risks', [54773, 54778]]
['risks', [55459, 55464]]
['risks', [55627, 55632]]
['risks', [55959, 55964]]
['risks', [57396, 57401]]
['risks', [57857, 57862]]
['risks', [58363, 58368]]
['risks', [58749, 58754]]
['risks', [59869, 59874]]
['risks', [60126, 60131]]
['risks', [61685, 61690]]
['risks', [62120, 62125]]
['risks', [62181, 62186]]
['risks', [62459, 62464]]
['risks', [62549, 62554]]
['risks', [62632, 62637]]
['risks', [62706, 62711]]
['risks', [64806, 64811]]
['risks', [72364, 72369]]
['risks', [72850, 72855]]
['risks', [73606, 73611]]
['risks', [73878, 73883]]
['risks', [74227, 74232]]
['risks', [74556, 74561]]
['risks', [75063, 75068]]
['risks', [75221, 75226]]
['risks', [77108, 77113]]
['risks', [77362, 77367]]
['risks', [81131, 81136]]
['risks', [81242, 81247]]
['risks', [81298, 81303]]
['risks', [81784, 81789]]
['risks', [82223, 82228]]
['risks', [84487, 84492]]
['risks', [84903, 84908]]
['risks', [86588, 86593]]
['risks', [88801, 88806]]
['risks', [88903, 88908]]
['risks', [89100, 89105]]
['risks', [89615, 89620]]
['risks', [90172, 90177]]
['risks', [90796, 90801]]
['risks', [91485, 91490]]
['risks', [91585, 91590]]
['risks', [91758, 91763]]
['risks', [92387, 92392]]
['risks', [92589, 92594]]
