['il-1', [31540, 31544]]
['il-1', [31643, 31647]]
['il-1', [31655, 31659]]
['il-1', [31903, 31907]]
['il-1', [31978, 31982]]
['il-1', [32582, 32586]]
['il-1', [32610, 32614]]
['il-1', [32672, 32676]]
['il-1', [32829, 32833]]
['il-1', [32848, 32852]]
['il-1', [32883, 32887]]
['il-1', [32925, 32929]]
['il-1', [33046, 33050]]
['il-1', [33117, 33121]]
['il-1', [33143, 33147]]
['il-1', [33289, 33293]]
['il-1', [33390, 33394]]
['il-1', [33400, 33404]]
['il-1', [33503, 33507]]
['il-1', [33544, 33548]]
['il-1', [33694, 33698]]
['il-1', [33898, 33902]]
['il-1', [33991, 33995]]
['il-1', [34322, 34326]]
['il-1', [34694, 34698]]
['il-1', [35130, 35134]]
['il-1', [35150, 35154]]
['il-1', [35533, 35537]]
['il-1', [35905, 35909]]
['il-1', [36341, 36345]]
['il-1', [36361, 36365]]
['il-1', [37335, 37339]]
['il-1', [37786, 37790]]
['il-1', [38276, 38280]]
['il-1', [39204, 39208]]
['il-1', [39655, 39659]]
['il-1', [40145, 40149]]
['il-1', [40588, 40592]]
['il-1', [40663, 40667]]
['il-1', [41013, 41017]]
['il-1', [41063, 41067]]
['il-1', [41130, 41134]]
['il-1', [41695, 41699]]
['il-1', [41770, 41774]]
['il-1', [42120, 42124]]
['il-1', [42170, 42174]]
['il-1', [42237, 42241]]
['il-1', [42866, 42870]]
['il-1', [42886, 42890]]
['il-1', [42900, 42904]]
['il-1', [43150, 43154]]
['il-1', [43470, 43474]]
['il-1', [44036, 44040]]
['il-1', [44056, 44060]]
['il-1', [44070, 44074]]
['il-1', [44320, 44324]]
['il-1', [44640, 44644]]
['il-1', [47095, 47099]]
['il-1', [47108, 47112]]
['il-1', [47123, 47127]]
['il-1', [47226, 47230]]
['il-1', [47238, 47242]]
['il-1', [48029, 48033]]
['il-1', [48042, 48046]]
['il-1', [48057, 48061]]
['il-1', [48160, 48164]]
['il-1', [48172, 48176]]
['il-1', [48421, 48425]]
['il-1', [48496, 48500]]
['il-1', [49100, 49104]]
['il-1', [49128, 49132]]
['il-1', [49190, 49194]]
['il-1', [49347, 49351]]
['il-1', [49366, 49370]]
['il-1', [49401, 49405]]
['il-1', [49443, 49447]]
['il-1', [49564, 49568]]
['il-1', [49631, 49635]]
['il-1', [49706, 49710]]
['il-1', [50310, 50314]]
['il-1', [50338, 50342]]
['il-1', [50400, 50404]]
['il-1', [50557, 50561]]
['il-1', [50576, 50580]]
['il-1', [50611, 50615]]
['il-1', [50653, 50657]]
['il-1', [50774, 50778]]
['il-1', [50846, 50850]]
['il-1', [50872, 50876]]
['il-1', [51018, 51022]]
['il-1', [51119, 51123]]
['il-1', [51129, 51133]]
['il-1', [51232, 51236]]
['il-1', [51273, 51277]]
['il-1', [51423, 51427]]
['il-1', [51627, 51631]]
['il-1', [51720, 51724]]
['il-1', [51891, 51895]]
['il-1', [51917, 51921]]
['il-1', [52063, 52067]]
['il-1', [52164, 52168]]
['il-1', [52174, 52178]]
['il-1', [52277, 52281]]
['il-1', [52318, 52322]]
['il-1', [52468, 52472]]
['il-1', [52672, 52676]]
['il-1', [52765, 52769]]
['il-1', [53508, 53512]]
['il-1', [53617, 53621]]
['il-1', [53931, 53935]]
['il-1', [53968, 53972]]
['il-1', [54046, 54050]]
['il-1', [54260, 54264]]
['il-1', [54820, 54824]]
['il-1', [54933, 54937]]
['il-1', [55367, 55371]]
['il-1', [56240, 56244]]
['il-1', [56547, 56551]]
['il-1', [56744, 56748]]
['il-1', [56976, 56980]]
['il-1', [57183, 57187]]
['il-1', [57325, 57329]]
['il-1', [57547, 57551]]
['il-1', [57689, 57693]]
['il-1', [57786, 57790]]
['il-1', [58088, 58092]]
['il-1', [60468, 60472]]
['il-1', [60906, 60910]]
['il-1', [61098, 61102]]
['il-1', [61162, 61166]]
['il-1', [61177, 61181]]
['il-1', [61318, 61322]]
['il-1', [61451, 61455]]
['il-1', [61657, 61661]]
['il-1', [61666, 61670]]
['il-1', [62040, 62044]]
['il-1', [62099, 62103]]
['il-1', [63186, 63190]]
['il-1', [63295, 63299]]
['il-1', [63609, 63613]]
['il-1', [63646, 63650]]
['il-1', [63724, 63728]]
['il-1', [63938, 63942]]
['il-1', [64498, 64502]]
['il-1', [64611, 64615]]
['il-1', [65045, 65049]]
['il-1', [65918, 65922]]
['il-1', [66225, 66229]]
['il-1', [66422, 66426]]
['il-1', [66654, 66658]]
['il-1', [66861, 66865]]
['il-1', [67003, 67007]]
['il-1', [67225, 67229]]
['il-1', [67367, 67371]]
['il-1', [67464, 67468]]
['il-1', [67766, 67770]]
['il-1', [70146, 70150]]
['il-1', [70584, 70588]]
['il-1', [70776, 70780]]
['il-1', [70840, 70844]]
['il-1', [70855, 70859]]
['il-1', [70996, 71000]]
['il-1', [71129, 71133]]
['il-1', [71335, 71339]]
['il-1', [71344, 71348]]
['il-1', [71718, 71722]]
['il-1', [71777, 71781]]
