['hemisphere', [29927, 29937]]
['hemisphere', [30545, 30555]]
['hemisphere', [30679, 30689]]
['hemisphere', [30784, 30794]]
['hemisphere', [30853, 30863]]
['hemisphere', [30974, 30984]]
['hemisphere', [31112, 31122]]
['hemisphere', [34065, 34075]]
['hemisphere', [34296, 34306]]
['hemisphere', [35332, 35342]]
['hemisphere', [35943, 35953]]
['hemisphere', [36050, 36060]]
['hemisphere', [36837, 36847]]
['hemisphere', [36925, 36935]]
['hemisphere', [37059, 37069]]
['hemisphere', [41677, 41687]]
['hemisphere', [43201, 43211]]
['hemisphere', [43432, 43442]]
['hemisphere', [44468, 44478]]
['hemisphere', [45079, 45089]]
['hemisphere', [45186, 45196]]
['hemisphere', [45974, 45984]]
['hemisphere', [46062, 46072]]
['hemisphere', [46196, 46206]]
['hemisphere', [50815, 50825]]
['hemisphere', [51034, 51044]]
['hemisphere', [51063, 51073]]
['hemisphere', [52017, 52027]]
['hemisphere', [52092, 52102]]
['hemisphere', [52657, 52667]]
['hemisphere', [57346, 57356]]
['hemisphere', [57426, 57436]]
['hemisphere', [58547, 58557]]
['hemisphere', [58636, 58646]]
['areas', [1172, 1177]]
['areas', [2068, 2073]]
['areas', [2320, 2325]]
['areas', [2356, 2361]]
['areas', [6070, 6075]]
['areas', [7223, 7228]]
['areas', [11124, 11129]]
['areas', [12487, 12492]]
['areas', [13488, 13493]]
['areas', [13660, 13665]]
['areas', [14144, 14149]]
['areas', [17309, 17314]]
['areas', [18463, 18468]]
['areas', [22364, 22369]]
['areas', [23727, 23732]]
['areas', [24728, 24733]]
['areas', [24900, 24905]]
['areas', [26094, 26099]]
['areas', [27457, 27462]]
['areas', [28458, 28463]]
['areas', [28630, 28635]]
['areas', [29115, 29120]]
['damaged', [2264, 2271]]
['damaged', [2596, 2603]]
['damaged', [7388, 7395]]
['damaged', [8213, 8220]]
['damaged', [8456, 8463]]
['damaged', [18628, 18635]]
['damaged', [19453, 19460]]
['damaged', [19696, 19703]]
['regions', [2126, 2133]]
['regions', [2514, 2521]]
['regions', [2604, 2611]]
['regions', [2754, 2761]]
['regions', [3956, 3963]]
['regions', [6036, 6043]]
['regions', [6324, 6331]]
['regions', [8178, 8185]]
['regions', [8237, 8244]]
['regions', [8321, 8328]]
['regions', [10085, 10092]]
['regions', [10777, 10784]]
['regions', [10987, 10994]]
['regions', [11977, 11984]]
['regions', [12958, 12965]]
['regions', [13275, 13282]]
['regions', [13325, 13332]]
['regions', [17275, 17282]]
['regions', [17563, 17570]]
['regions', [19418, 19425]]
['regions', [19477, 19484]]
['regions', [19561, 19568]]
['regions', [21325, 21332]]
['regions', [22017, 22024]]
['regions', [22227, 22234]]
['regions', [23217, 23224]]
['regions', [24198, 24205]]
['regions', [24515, 24522]]
['regions', [24565, 24572]]
['regions', [25747, 25754]]
['regions', [25957, 25964]]
['regions', [26947, 26954]]
['regions', [27928, 27935]]
['regions', [28245, 28252]]
['regions', [28295, 28302]]
['regions', [51045, 51052]]
['regions', [51074, 51081]]
['regions', [52005, 52012]]
['domains', [3006, 3013]]
['domains', [37359, 37366]]
['domains', [46496, 46503]]
['ttp', [5130, 5133]]
['ttp', [5380, 5383]]
['ttp', [16369, 16372]]
['ttp', [16619, 16622]]
['ttps', [5380, 5384]]
['ttps', [16619, 16623]]
['hrf', [5557, 5560]]
['hrf', [5784, 5787]]
['hrf', [6171, 6174]]
['hrf', [16796, 16799]]
['hrf', [17023, 17026]]
['hrf', [17410, 17413]]
['hrf', [41061, 41064]]
['hrf', [41174, 41177]]
