['prognostic', [48377, 48387]]
['prognostic', [50359, 50369]]
['prognostic', [50657, 50667]]
['prognostic', [52639, 52649]]
['prognostic', [53620, 53630]]
['prognostic', [55043, 55053]]
['prognostic', [61435, 61445]]
['prognostic', [63952, 63962]]
['prognostic', [65655, 65665]]
['prognostic', [66702, 66712]]
['prognostic', [66799, 66809]]
['prognostic', [67504, 67514]]
['prognostic', [67969, 67979]]
['prognostic', [71290, 71300]]
['prognostic', [72130, 72140]]
['prognostic', [72435, 72445]]
['prognostic', [72568, 72578]]
['prognostic', [74595, 74605]]
['prognostic', [74788, 74798]]
['prognostic', [75101, 75111]]
['prognostic', [75282, 75292]]
['prognostic', [78122, 78132]]
['prognostic', [78595, 78605]]
['prognostic', [80073, 80083]]
['prognostic', [81120, 81130]]
['prognostic', [81217, 81227]]
['prognostic', [81922, 81932]]
['prognostic', [82387, 82397]]
['prognostic', [85708, 85718]]
['prognostic', [86548, 86558]]
['prognostic', [86853, 86863]]
['prognostic', [86986, 86996]]
['prognostic', [89013, 89023]]
['prognostic', [89206, 89216]]
['prognostic', [89519, 89529]]
['prognostic', [89700, 89710]]
['prognostic', [92540, 92550]]
['prognostic', [93013, 93023]]
['gene', [40, 44]]
['gene', [135, 139]]
['gene', [504, 508]]
['gene', [574, 578]]
['gene', [642, 646]]
['gene', [1037, 1041]]
['gene', [2327, 2331]]
['gene', [2515, 2519]]
['gene', [2796, 2800]]
['gene', [2941, 2945]]
['gene', [3218, 3222]]
['gene', [3237, 3241]]
['gene', [3433, 3437]]
['gene', [3518, 3522]]
['gene', [3876, 3880]]
['gene', [4030, 4034]]
['gene', [4350, 4354]]
['gene', [4421, 4425]]
['gene', [4500, 4504]]
['gene', [4721, 4725]]
['gene', [4779, 4783]]
['gene', [4874, 4878]]
['gene', [4970, 4974]]
['gene', [5034, 5038]]
['gene', [5061, 5065]]
['gene', [5702, 5706]]
['gene', [6713, 6717]]
['gene', [6733, 6737]]
['gene', [6755, 6759]]
['gene', [6776, 6780]]
['gene', [6902, 6906]]
['gene', [7035, 7039]]
['gene', [7270, 7274]]
['gene', [7349, 7353]]
['gene', [7375, 7379]]
['gene', [7436, 7440]]
['gene', [7479, 7483]]
['gene', [7811, 7815]]
['gene', [8278, 8282]]
['gene', [8366, 8370]]
['gene', [8434, 8438]]
['gene', [8524, 8528]]
['gene', [8851, 8855]]
['gene', [9188, 9192]]
['gene', [9208, 9212]]
['gene', [9317, 9321]]
['gene', [10165, 10169]]
['gene', [10236, 10240]]
['gene', [10315, 10319]]
['gene', [10536, 10540]]
['gene', [10594, 10598]]
['gene', [10689, 10693]]
['gene', [10785, 10789]]
['gene', [10850, 10854]]
['gene', [10877, 10881]]
['gene', [11518, 11522]]
['gene', [12531, 12535]]
['gene', [12551, 12555]]
['gene', [12573, 12577]]
['gene', [12594, 12598]]
['gene', [12720, 12724]]
['gene', [12853, 12857]]
['gene', [13088, 13092]]
['gene', [13167, 13171]]
['gene', [13193, 13197]]
['gene', [13255, 13259]]
['gene', [13298, 13302]]
['gene', [13630, 13634]]
['gene', [14097, 14101]]
['gene', [14185, 14189]]
['gene', [14253, 14257]]
['gene', [14343, 14347]]
['gene', [14670, 14674]]
['gene', [15007, 15011]]
['gene', [15027, 15031]]
['gene', [15136, 15140]]
['gene', [15958, 15962]]
['gene', [16110, 16114]]
['gene', [16181, 16185]]
['gene', [16280, 16284]]
['gene', [16395, 16399]]
['gene', [16492, 16496]]
['gene', [16503, 16507]]
['gene', [16732, 16736]]
['gene', [16783, 16787]]
['gene', [17027, 17031]]
['gene', [17062, 17066]]
['gene', [17254, 17258]]
['gene', [17486, 17490]]
['gene', [17726, 17730]]
['gene', [18419, 18423]]
['gene', [18562, 18566]]
['gene', [18889, 18893]]
['gene', [18954, 18958]]
['gene', [19140, 19144]]
['gene', [19215, 19219]]
['gene', [19348, 19352]]
['gene', [19489, 19493]]
['gene', [19742, 19746]]
['gene', [19973, 19977]]
['gene', [20198, 20202]]
['gene', [20402, 20406]]
['gene', [20489, 20493]]
['gene', [20530, 20534]]
['gene', [20727, 20731]]
['gene', [20822, 20826]]
['gene', [21305, 21309]]
['gene', [21661, 21665]]
['gene', [22012, 22016]]
['gene', [22180, 22184]]
['gene', [22241, 22245]]
['gene', [22746, 22750]]
['gene', [23078, 23082]]
['gene', [23109, 23113]]
['gene', [23626, 23630]]
['gene', [23721, 23725]]
['gene', [23776, 23780]]
['gene', [23873, 23877]]
['gene', [24666, 24670]]
['gene', [25599, 25603]]
['gene', [25944, 25948]]
['gene', [26102, 26106]]
['gene', [26232, 26236]]
['gene', [26260, 26264]]
['gene', [26405, 26409]]
['gene', [26599, 26603]]
['gene', [26673, 26677]]
['gene', [26758, 26762]]
['gene', [26923, 26927]]
['gene', [27300, 27304]]
['gene', [27453, 27457]]
['gene', [27699, 27703]]
['gene', [27812, 27816]]
['gene', [27915, 27919]]
['gene', [28048, 28052]]
['gene', [28200, 28204]]
['gene', [28271, 28275]]
['gene', [28370, 28374]]
['gene', [28485, 28489]]
['gene', [28582, 28586]]
['gene', [28593, 28597]]
['gene', [28822, 28826]]
['gene', [28873, 28877]]
['gene', [29117, 29121]]
['gene', [29152, 29156]]
['gene', [29344, 29348]]
['gene', [29576, 29580]]
['gene', [29816, 29820]]
['gene', [30509, 30513]]
['gene', [30652, 30656]]
['gene', [30979, 30983]]
['gene', [31044, 31048]]
['gene', [31230, 31234]]
['gene', [31305, 31309]]
['gene', [31438, 31442]]
['gene', [31579, 31583]]
['gene', [31832, 31836]]
['gene', [32063, 32067]]
['gene', [32288, 32292]]
['gene', [32492, 32496]]
['gene', [32579, 32583]]
['gene', [32620, 32624]]
['gene', [32817, 32821]]
['gene', [32912, 32916]]
['gene', [33395, 33399]]
['gene', [33751, 33755]]
['gene', [34102, 34106]]
['gene', [34270, 34274]]
['gene', [34331, 34335]]
['gene', [34836, 34840]]
['gene', [35168, 35172]]
['gene', [35199, 35203]]
['gene', [35716, 35720]]
['gene', [35811, 35815]]
['gene', [35866, 35870]]
['gene', [35963, 35967]]
['gene', [36756, 36760]]
['gene', [37689, 37693]]
['gene', [38034, 38038]]
['gene', [38192, 38196]]
['gene', [38322, 38326]]
['gene', [38350, 38354]]
['gene', [38495, 38499]]
['gene', [38689, 38693]]
['gene', [38763, 38767]]
['gene', [38848, 38852]]
['gene', [39013, 39017]]
['gene', [39390, 39394]]
['gene', [39543, 39547]]
['gene', [39789, 39793]]
['gene', [39902, 39906]]
['gene', [40005, 40009]]
['gene', [40130, 40134]]
['gene', [40282, 40286]]
['gene', [40353, 40357]]
['gene', [40452, 40456]]
['gene', [40567, 40571]]
['gene', [40664, 40668]]
['gene', [40675, 40679]]
['gene', [40904, 40908]]
['gene', [40955, 40959]]
['gene', [41199, 41203]]
['gene', [41234, 41238]]
['gene', [41426, 41430]]
['gene', [41658, 41662]]
['gene', [41848, 41852]]
['gene', [42000, 42004]]
['gene', [42071, 42075]]
['gene', [42170, 42174]]
['gene', [42285, 42289]]
['gene', [42382, 42386]]
['gene', [42393, 42397]]
['gene', [42622, 42626]]
['gene', [42673, 42677]]
['gene', [42917, 42921]]
['gene', [42952, 42956]]
['gene', [43144, 43148]]
['gene', [43376, 43380]]
['gene', [43617, 43621]]
['gene', [44310, 44314]]
['gene', [44453, 44457]]
['gene', [44780, 44784]]
['gene', [44845, 44849]]
['gene', [45031, 45035]]
['gene', [45106, 45110]]
['gene', [45239, 45243]]
['gene', [45380, 45384]]
['gene', [45633, 45637]]
['gene', [45915, 45919]]
['gene', [46608, 46612]]
['gene', [46751, 46755]]
['gene', [47078, 47082]]
['gene', [47143, 47147]]
['gene', [47329, 47333]]
['gene', [47404, 47408]]
['gene', [47537, 47541]]
['gene', [47678, 47682]]
['gene', [47931, 47935]]
['gene', [48163, 48167]]
['gene', [48388, 48392]]
['gene', [48592, 48596]]
['gene', [48679, 48683]]
['gene', [48720, 48724]]
['gene', [48917, 48921]]
['gene', [49012, 49016]]
['gene', [49495, 49499]]
['gene', [49851, 49855]]
['gene', [50202, 50206]]
['gene', [50370, 50374]]
['gene', [50443, 50447]]
['gene', [50668, 50672]]
['gene', [50872, 50876]]
['gene', [50959, 50963]]
['gene', [51000, 51004]]
['gene', [51197, 51201]]
['gene', [51292, 51296]]
['gene', [51775, 51779]]
['gene', [52131, 52135]]
['gene', [52482, 52486]]
['gene', [52650, 52654]]
['gene', [52712, 52716]]
['gene', [53217, 53221]]
['gene', [53549, 53553]]
['gene', [53580, 53584]]
['gene', [54097, 54101]]
['gene', [54135, 54139]]
['gene', [54640, 54644]]
['gene', [54972, 54976]]
['gene', [55003, 55007]]
['gene', [55520, 55524]]
['gene', [55616, 55620]]
['gene', [55671, 55675]]
['gene', [55768, 55772]]
['gene', [56561, 56565]]
['gene', [57467, 57471]]
['gene', [57522, 57526]]
['gene', [57619, 57623]]
['gene', [58412, 58416]]
['gene', [59346, 59350]]
['gene', [59691, 59695]]
['gene', [59849, 59853]]
['gene', [59979, 59983]]
['gene', [60007, 60011]]
['gene', [60152, 60156]]
['gene', [60346, 60350]]
['gene', [60420, 60424]]
['gene', [60505, 60509]]
['gene', [60670, 60674]]
['gene', [61047, 61051]]
['gene', [61200, 61204]]
['gene', [61446, 61450]]
['gene', [61559, 61563]]
['gene', [61662, 61666]]
['gene', [61863, 61867]]
['gene', [62208, 62212]]
['gene', [62366, 62370]]
['gene', [62496, 62500]]
['gene', [62524, 62528]]
['gene', [62669, 62673]]
['gene', [62863, 62867]]
['gene', [62937, 62941]]
['gene', [63022, 63026]]
['gene', [63187, 63191]]
['gene', [63564, 63568]]
['gene', [63717, 63721]]
['gene', [63963, 63967]]
['gene', [64076, 64080]]
['gene', [64179, 64183]]
['gene', [64313, 64317]]
['gene', [65606, 65610]]
['gene', [65666, 65670]]
['gene', [65781, 65785]]
['gene', [66059, 66063]]
['gene', [66362, 66366]]
['gene', [66473, 66477]]
['gene', [66542, 66546]]
['gene', [66713, 66717]]
['gene', [67181, 67185]]
['gene', [67250, 67254]]
['gene', [67419, 67423]]
['gene', [67515, 67519]]
['gene', [67892, 67896]]
['gene', [68132, 68136]]
['gene', [68191, 68195]]
['gene', [68333, 68337]]
['gene', [68540, 68544]]
['gene', [68846, 68850]]
['gene', [69056, 69060]]
['gene', [69256, 69260]]
['gene', [69313, 69317]]
['gene', [69517, 69521]]
['gene', [70190, 70194]]
['gene', [70344, 70348]]
['gene', [70621, 70625]]
['gene', [70635, 70639]]
['gene', [71012, 71016]]
['gene', [72089, 72093]]
['gene', [72141, 72145]]
['gene', [72233, 72237]]
['gene', [72446, 72450]]
['gene', [73009, 73013]]
['gene', [73191, 73195]]
['gene', [73258, 73262]]
['gene', [73522, 73526]]
['gene', [73736, 73740]]
['gene', [75112, 75116]]
['gene', [75293, 75297]]
['gene', [76179, 76183]]
['gene', [76215, 76219]]
['gene', [76750, 76754]]
['gene', [77094, 77098]]
['gene', [78133, 78137]]
['gene', [78731, 78735]]
['gene', [80024, 80028]]
['gene', [80084, 80088]]
['gene', [80199, 80203]]
['gene', [80477, 80481]]
['gene', [80780, 80784]]
['gene', [80891, 80895]]
['gene', [80960, 80964]]
['gene', [81131, 81135]]
['gene', [81599, 81603]]
['gene', [81668, 81672]]
['gene', [81837, 81841]]
['gene', [81933, 81937]]
['gene', [82310, 82314]]
['gene', [82550, 82554]]
['gene', [82609, 82613]]
['gene', [82751, 82755]]
['gene', [82958, 82962]]
['gene', [83264, 83268]]
['gene', [83474, 83478]]
['gene', [83674, 83678]]
['gene', [83731, 83735]]
['gene', [83935, 83939]]
['gene', [84608, 84612]]
['gene', [84762, 84766]]
['gene', [85039, 85043]]
['gene', [85053, 85057]]
['gene', [85430, 85434]]
['gene', [86507, 86511]]
['gene', [86559, 86563]]
['gene', [86651, 86655]]
['gene', [86864, 86868]]
['gene', [87427, 87431]]
['gene', [87609, 87613]]
['gene', [87676, 87680]]
['gene', [87940, 87944]]
['gene', [88154, 88158]]
['gene', [89530, 89534]]
['gene', [89711, 89715]]
['gene', [90597, 90601]]
['gene', [90633, 90637]]
['gene', [91168, 91172]]
['gene', [91512, 91516]]
['gene', [92551, 92555]]
['gene', [94143, 94147]]
['gene', [94201, 94205]]
['gene', [94252, 94256]]
['gene', [94305, 94309]]
['gene', [94359, 94363]]
['gene', [94431, 94435]]
['gene', [94526, 94530]]
['gene', [94790, 94794]]
['gene', [95039, 95043]]
['gene', [95243, 95247]]
['gene', [95417, 95421]]
['gene', [96039, 96043]]
['gene', [96134, 96138]]
['gene', [97371, 97375]]
['gene', [97734, 97738]]
['gene', [99003, 99007]]
['gene', [99061, 99065]]
['gene', [99112, 99116]]
['gene', [99165, 99169]]
['gene', [99219, 99223]]
['gene', [99291, 99295]]
['gene', [99386, 99390]]
['gene', [99650, 99654]]
['gene', [99899, 99903]]
