['\\(', [26103, 26105]]
['\\(', [26316, 26318]]
['\\(', [26460, 26462]]
['\\(', [26523, 26525]]
['\\(', [26613, 26615]]
['\\(', [26773, 26775]]
['\\(', [26791, 26793]]
['\\(', [26800, 26802]]
['\\(', [26839, 26841]]
['\\(', [26947, 26949]]
['\\(', [27467, 27469]]
['\\(', [27656, 27658]]
['\\(', [27875, 27877]]
['\\(', [27972, 27974]]
['\\(', [28448, 28450]]
['\\(', [28564, 28566]]
['\\(', [29750, 29752]]
['\\(', [29907, 29909]]
['\\(', [29971, 29973]]
['\\(', [30017, 30019]]
['\\(', [30249, 30251]]
['\\(', [30304, 30306]]
['\\(', [30501, 30503]]
['\\(', [30633, 30635]]
['\\(', [30770, 30772]]
['\\(', [30778, 30780]]
['\\(', [31032, 31034]]
['\\(', [31268, 31270]]
['\\(', [31389, 31391]]
['\\(', [31947, 31949]]
['\\(', [32025, 32027]]
['\\(', [32244, 32246]]
['\\(', [32368, 32370]]
['\\(', [32500, 32502]]
['\\(', [32657, 32659]]
['\\(', [32671, 32673]]
['\\(', [32690, 32692]]
['\\(', [32827, 32829]]
['\\(', [32963, 32965]]
['\\(', [33130, 33132]]
['\\(', [33174, 33176]]
['\\(', [33189, 33191]]
['\\(', [33224, 33226]]
['\\(', [33597, 33599]]
['\\(', [33776, 33778]]
['\\(', [33809, 33811]]
['\\(', [33900, 33902]]
['\\(', [34059, 34061]]
['\\(', [34134, 34136]]
['\\(', [34161, 34163]]
['\\(', [34208, 34210]]
['\\(', [34322, 34324]]
['\\(', [34370, 34372]]
['\\(', [35939, 35941]]
['\\(', [36096, 36098]]
['\\(', [36160, 36162]]
['\\(', [36206, 36208]]
['\\(', [36438, 36440]]
['\\(', [36493, 36495]]
['\\(', [36690, 36692]]
['\\(', [36822, 36824]]
['\\(', [36959, 36961]]
['\\(', [36967, 36969]]
['\\(', [37221, 37223]]
['\\(', [37457, 37459]]
['\\(', [37578, 37580]]
['\\(', [38136, 38138]]
['\\(', [38214, 38216]]
['\\(', [38433, 38435]]
['\\(', [38557, 38559]]
['\\(', [38689, 38691]]
['\\(', [38846, 38848]]
['\\(', [38860, 38862]]
['\\(', [38879, 38881]]
['\\(', [39016, 39018]]
['\\(', [39152, 39154]]
['\\(', [39319, 39321]]
['\\(', [39363, 39365]]
['\\(', [39378, 39380]]
['\\(', [39413, 39415]]
['\\(', [39786, 39788]]
['\\(', [39965, 39967]]
['\\(', [39998, 40000]]
['\\(', [40089, 40091]]
['\\(', [40248, 40250]]
['\\(', [40323, 40325]]
['\\(', [40350, 40352]]
['\\(', [40397, 40399]]
['\\(', [40511, 40513]]
['\\(', [40559, 40561]]
['\\(', [41899, 41901]]
['\\(', [41994, 41996]]
['\\(', [42126, 42128]]
['\\(', [42896, 42898]]
['\\(', [43159, 43161]]
['\\(', [43217, 43219]]
['\\(', [43371, 43373]]
['\\(', [43840, 43842]]
['\\(', [44096, 44098]]
['\\(', [44494, 44496]]
['\\(', [44804, 44806]]
['\\(', [45154, 45156]]
['\\(', [45214, 45216]]
['\\(', [45711, 45713]]
['\\(', [45734, 45736]]
['\\(', [46239, 46241]]
['\\(', [46375, 46377]]
['\\(', [46747, 46749]]
['\\(', [46869, 46871]]
['\\(', [47060, 47062]]
['\\(', [47162, 47164]]
['\\(', [47250, 47252]]
['\\(', [47360, 47362]]
['\\(', [48542, 48544]]
['\\(', [48793, 48795]]
['\\(', [48854, 48856]]
['\\(', [48964, 48966]]
['\\(', [48977, 48979]]
['\\(', [49142, 49144]]
['\\(', [49626, 49628]]
['\\(', [49825, 49827]]
['\\(', [50613, 50615]]
['\\(', [51054, 51056]]
['\\(', [51105, 51107]]
['\\(', [51777, 51779]]
['\\(', [52577, 52579]]
['\\(', [53268, 53270]]
['\\(', [53363, 53365]]
['\\(', [53495, 53497]]
['\\(', [54265, 54267]]
['\\(', [54528, 54530]]
['\\(', [54586, 54588]]
['\\(', [54740, 54742]]
['\\(', [55209, 55211]]
['\\(', [55465, 55467]]
['\\(', [55863, 55865]]
['\\(', [56173, 56175]]
['\\(', [56523, 56525]]
['\\(', [56583, 56585]]
['\\(', [57080, 57082]]
['\\(', [57103, 57105]]
['\\(', [57608, 57610]]
['\\(', [57744, 57746]]
['\\(', [58116, 58118]]
['\\(', [58238, 58240]]
['\\(', [58429, 58431]]
['\\(', [58531, 58533]]
['\\(', [58619, 58621]]
['\\(', [58729, 58731]]
['\\(', [59911, 59913]]
['\\(', [60162, 60164]]
['\\(', [60223, 60225]]
['\\(', [60333, 60335]]
['\\(', [60346, 60348]]
['\\(', [60511, 60513]]
['\\(', [60995, 60997]]
['\\(', [61194, 61196]]
['\\(', [61982, 61984]]
['\\(', [62423, 62425]]
['\\(', [62474, 62476]]
['\\(', [63146, 63148]]
['\\(', [63946, 63948]]
['\\(', [64019, 64021]]
['\\(', [64038, 64040]]
['\\(', [64072, 64074]]
['\\(', [64642, 64644]]
['\\(', [64706, 64708]]
['\\(', [64735, 64737]]
['\\(', [64779, 64781]]
['\\(', [64800, 64802]]
['\\(', [64848, 64850]]
['\\(', [64895, 64897]]
['\\(', [64935, 64937]]
['\\(', [64999, 65001]]
['\\(', [65049, 65051]]
['\\(', [65086, 65088]]
['\\(', [65119, 65121]]
['\\(', [65160, 65162]]
['\\(', [65206, 65208]]
['\\(', [65239, 65241]]
['\\(', [65319, 65321]]
['\\(', [66217, 66219]]
['\\(', [66379, 66381]]
['\\(', [67878, 67880]]
['\\(', [67995, 67997]]
['\\(', [68064, 68066]]
['\\(', [68190, 68192]]
['\\(', [68209, 68211]]
['\\(', [68243, 68245]]
['\\(', [68813, 68815]]
['\\(', [68877, 68879]]
['\\(', [68906, 68908]]
['\\(', [68950, 68952]]
['\\(', [68971, 68973]]
['\\(', [69019, 69021]]
['\\(', [69066, 69068]]
['\\(', [69106, 69108]]
['\\(', [69170, 69172]]
['\\(', [69220, 69222]]
['\\(', [69257, 69259]]
['\\(', [69290, 69292]]
['\\(', [69331, 69333]]
['\\(', [69377, 69379]]
['\\(', [69410, 69412]]
['\\(', [69490, 69492]]
['\\(', [70388, 70390]]
['\\(', [70550, 70552]]
['\\(', [72049, 72051]]
['\\(', [72166, 72168]]
['\\(', [72235, 72237]]
['dz', [3512, 3514]]
['dz', [48832, 48834]]
['dz', [60201, 60203]]
['\\)', [215, 217]]
['\\)', [1081, 1083]]
['\\)', [1236, 1238]]
['\\)', [1252, 1254]]
['\\)', [1292, 1294]]
['\\)', [1549, 1551]]
['\\)', [1919, 1921]]
['\\)', [2068, 2070]]
['\\)', [2438, 2440]]
['\\)', [2528, 2530]]
['\\)', [2569, 2571]]
['\\)', [2774, 2776]]
['\\)', [2933, 2935]]
['\\)', [3337, 3339]]
['\\)', [3491, 3493]]
['\\)', [3514, 3516]]
['\\)', [3633, 3635]]
['\\)', [3653, 3655]]
['\\)', [3654, 3656]]
['\\)', [3820, 3822]]
['\\)', [4079, 4081]]
['\\)', [4927, 4929]]
['\\)', [5052, 5054]]
['\\)', [5069, 5071]]
['\\)', [5226, 5228]]
['\\)', [5260, 5262]]
['\\)', [5271, 5273]]
['\\)', [5591, 5593]]
['\\)', [5774, 5776]]
['\\)', [6021, 6023]]
['\\)', [6188, 6190]]
['\\)', [7088, 7090]]
['\\)', [7120, 7122]]
['\\)', [7148, 7150]]
['\\)', [7202, 7204]]
['\\)', [7514, 7516]]
['\\)', [7573, 7575]]
['\\)', [7634, 7636]]
['\\)', [7676, 7678]]
['\\)', [8084, 8086]]
['\\)', [8521, 8523]]
['\\)', [8543, 8545]]
['\\)', [8611, 8613]]
['\\)', [8842, 8844]]
['\\)', [8928, 8930]]
['\\)', [9069, 9071]]
['\\)', [9075, 9077]]
['\\)', [9127, 9129]]
['\\)', [9164, 9166]]
['\\)', [9798, 9800]]
['\\)', [10400, 10402]]
['\\)', [11322, 11324]]
['\\)', [11396, 11398]]
['\\)', [11581, 11583]]
['\\)', [11611, 11613]]
['\\)', [11648, 11650]]
['\\)', [12082, 12084]]
['\\)', [12423, 12425]]
['\\)', [12482, 12484]]
['\\)', [12585, 12587]]
['\\)', [12701, 12703]]
['\\)', [12810, 12812]]
['\\)', [12889, 12891]]
['\\)', [13313, 13315]]
['\\)', [13340, 13342]]
['\\)', [13501, 13503]]
['\\)', [13531, 13533]]
['\\)', [13735, 13737]]
['\\)', [13749, 13751]]
['\\)', [14073, 14075]]
['\\)', [14214, 14216]]
['\\)', [14322, 14324]]
['\\)', [14390, 14392]]
['\\)', [15019, 15021]]
['\\)', [15034, 15036]]
['\\)', [15038, 15040]]
['\\)', [15251, 15253]]
['\\)', [15418, 15420]]
['\\)', [15487, 15489]]
['\\)', [15557, 15559]]
['\\)', [15712, 15714]]
['\\)', [15731, 15733]]
['\\)', [15740, 15742]]
['\\)', [15774, 15776]]
['\\)', [15882, 15884]]
['\\)', [16404, 16406]]
['\\)', [16599, 16601]]
['\\)', [16812, 16814]]
['\\)', [16933, 16935]]
['\\)', [17405, 17407]]
['\\)', [17525, 17527]]
['\\)', [18153, 18155]]
['\\)', [18185, 18187]]
['\\)', [18213, 18215]]
['\\)', [18267, 18269]]
['\\)', [18579, 18581]]
['\\)', [18638, 18640]]
['\\)', [18699, 18701]]
['\\)', [18741, 18743]]
['\\)', [19149, 19151]]
['\\)', [19587, 19589]]
['\\)', [19609, 19611]]
['\\)', [19677, 19679]]
['\\)', [19908, 19910]]
['\\)', [19994, 19996]]
['\\)', [20135, 20137]]
['\\)', [20141, 20143]]
['\\)', [20193, 20195]]
['\\)', [20230, 20232]]
['\\)', [20864, 20866]]
['\\)', [21466, 21468]]
['\\)', [22389, 22391]]
['\\)', [22463, 22465]]
['\\)', [22648, 22650]]
['\\)', [22678, 22680]]
['\\)', [22715, 22717]]
['\\)', [23149, 23151]]
['\\)', [23490, 23492]]
['\\)', [23549, 23551]]
['\\)', [23652, 23654]]
['\\)', [23769, 23771]]
['\\)', [23878, 23880]]
['\\)', [23957, 23959]]
['\\)', [24381, 24383]]
['\\)', [24408, 24410]]
['\\)', [24569, 24571]]
['\\)', [24599, 24601]]
['\\)', [24803, 24805]]
['\\)', [24817, 24819]]
['\\)', [25141, 25143]]
['\\)', [25282, 25284]]
['\\)', [25390, 25392]]
['\\)', [25458, 25460]]
['\\)', [26087, 26089]]
['\\)', [26102, 26104]]
['\\)', [26106, 26108]]
['\\)', [26319, 26321]]
['\\)', [26486, 26488]]
['\\)', [26555, 26557]]
['\\)', [26625, 26627]]
['\\)', [26780, 26782]]
['\\)', [26799, 26801]]
['\\)', [26808, 26810]]
['\\)', [26842, 26844]]
['\\)', [26950, 26952]]
['\\)', [27472, 27474]]
['\\)', [27667, 27669]]
['\\)', [27880, 27882]]
['\\)', [28001, 28003]]
['\\)', [28473, 28475]]
['\\)', [28593, 28595]]
['\\)', [29771, 29773]]
['\\)', [29934, 29936]]
['\\)', [29975, 29977]]
['\\)', [30038, 30040]]
['\\)', [30264, 30266]]
['\\)', [30315, 30317]]
['\\)', [30511, 30513]]
['\\)', [30640, 30642]]
['\\)', [30777, 30779]]
['\\)', [30783, 30785]]
['\\)', [31040, 31042]]
['\\)', [31285, 31287]]
['\\)', [31421, 31423]]
['\\)', [31952, 31954]]
['\\)', [32040, 32042]]
['\\)', [32254, 32256]]
['\\)', [32434, 32436]]
['\\)', [32515, 32517]]
['\\)', [32669, 32671]]
['\\)', [32688, 32690]]
['\\)', [32715, 32717]]
['\\)', [32835, 32837]]
['\\)', [33001, 33003]]
['\\)', [33154, 33156]]
['\\)', [33182, 33184]]
['\\)', [33197, 33199]]
['\\)', [33232, 33234]]
['\\)', [33663, 33665]]
['\\)', [33796, 33798]]
['\\)', [33829, 33831]]
['\\)', [33921, 33923]]
['\\)', [34079, 34081]]
['\\)', [34154, 34156]]
['\\)', [34181, 34183]]
['\\)', [34228, 34230]]
['\\)', [34331, 34333]]
['\\)', [34380, 34382]]
['\\)', [35960, 35962]]
['\\)', [36123, 36125]]
['\\)', [36164, 36166]]
['\\)', [36227, 36229]]
['\\)', [36453, 36455]]
['\\)', [36504, 36506]]
['\\)', [36700, 36702]]
['\\)', [36829, 36831]]
['\\)', [36966, 36968]]
['\\)', [36972, 36974]]
['\\)', [37229, 37231]]
['\\)', [37474, 37476]]
['\\)', [37610, 37612]]
['\\)', [38141, 38143]]
['\\)', [38229, 38231]]
['\\)', [38443, 38445]]
['\\)', [38623, 38625]]
['\\)', [38704, 38706]]
['\\)', [38858, 38860]]
['\\)', [38877, 38879]]
['\\)', [38904, 38906]]
['\\)', [39024, 39026]]
['\\)', [39190, 39192]]
['\\)', [39343, 39345]]
['\\)', [39371, 39373]]
['\\)', [39386, 39388]]
['\\)', [39421, 39423]]
['\\)', [39852, 39854]]
['\\)', [39985, 39987]]
['\\)', [40018, 40020]]
['\\)', [40110, 40112]]
['\\)', [40268, 40270]]
['\\)', [40343, 40345]]
['\\)', [40370, 40372]]
['\\)', [40417, 40419]]
['\\)', [40520, 40522]]
['\\)', [40569, 40571]]
['\\)', [41979, 41981]]
['\\)', [41999, 42001]]
['\\)', [42212, 42214]]
['\\)', [42901, 42903]]
['\\)', [43168, 43170]]
['\\)', [43225, 43227]]
['\\)', [43412, 43414]]
['\\)', [43902, 43904]]
['\\)', [44114, 44116]]
['\\)', [44511, 44513]]
['\\)', [44817, 44819]]
['\\)', [45159, 45161]]
['\\)', [45238, 45240]]
['\\)', [45716, 45718]]
['\\)', [45738, 45740]]
['\\)', [46253, 46255]]
['\\)', [46380, 46382]]
['\\)', [46752, 46754]]
['\\)', [46874, 46876]]
['\\)', [47071, 47073]]
['\\)', [47173, 47175]]
['\\)', [47265, 47267]]
['\\)', [47365, 47367]]
['\\)', [48590, 48592]]
['\\)', [48798, 48800]]
['\\)', [48859, 48861]]
['\\)', [48994, 48996]]
['\\)', [49058, 49060]]
['\\)', [49204, 49206]]
['\\)', [49715, 49717]]
['\\)', [49883, 49885]]
['\\)', [50638, 50640]]
['\\)', [51069, 51071]]
['\\)', [51121, 51123]]
['\\)', [51792, 51794]]
['\\)', [52587, 52589]]
['\\)', [53348, 53350]]
['\\)', [53368, 53370]]
['\\)', [53581, 53583]]
['\\)', [54270, 54272]]
['\\)', [54537, 54539]]
['\\)', [54594, 54596]]
['\\)', [54781, 54783]]
['\\)', [55271, 55273]]
['\\)', [55483, 55485]]
['\\)', [55880, 55882]]
['\\)', [56186, 56188]]
['\\)', [56528, 56530]]
['\\)', [56607, 56609]]
['\\)', [57085, 57087]]
['\\)', [57107, 57109]]
['\\)', [57622, 57624]]
['\\)', [57749, 57751]]
['\\)', [58121, 58123]]
['\\)', [58243, 58245]]
['\\)', [58440, 58442]]
['\\)', [58542, 58544]]
['\\)', [58634, 58636]]
['\\)', [58734, 58736]]
['\\)', [59959, 59961]]
['\\)', [60167, 60169]]
['\\)', [60228, 60230]]
['\\)', [60363, 60365]]
['\\)', [60427, 60429]]
['\\)', [60573, 60575]]
['\\)', [61084, 61086]]
['\\)', [61252, 61254]]
['\\)', [62007, 62009]]
['\\)', [62438, 62440]]
['\\)', [62490, 62492]]
['\\)', [63161, 63163]]
['\\)', [63956, 63958]]
['\\)', [64021, 64023]]
['\\)', [64040, 64042]]
['\\)', [64078, 64080]]
['\\)', [64648, 64650]]
['\\)', [64712, 64714]]
['\\)', [64739, 64741]]
['\\)', [64782, 64784]]
['\\)', [64804, 64806]]
['\\)', [64852, 64854]]
['\\)', [64897, 64899]]
['\\)', [64938, 64940]]
['\\)', [65003, 65005]]
['\\)', [65052, 65054]]
['\\)', [65089, 65091]]
['\\)', [65122, 65124]]
['\\)', [65166, 65168]]
['\\)', [65209, 65211]]
['\\)', [65254, 65256]]
['\\)', [65322, 65324]]
['\\)', [66241, 66243]]
['\\)', [66403, 66405]]
['\\)', [67902, 67904]]
['\\)', [68003, 68005]]
['\\)', [68127, 68129]]
['\\)', [68192, 68194]]
['\\)', [68211, 68213]]
['\\)', [68249, 68251]]
['\\)', [68819, 68821]]
['\\)', [68883, 68885]]
['\\)', [68910, 68912]]
['\\)', [68953, 68955]]
['\\)', [68975, 68977]]
['\\)', [69023, 69025]]
['\\)', [69068, 69070]]
['\\)', [69109, 69111]]
['\\)', [69174, 69176]]
['\\)', [69223, 69225]]
['\\)', [69260, 69262]]
['\\)', [69293, 69295]]
['\\)', [69337, 69339]]
['\\)', [69380, 69382]]
['\\)', [69425, 69427]]
['\\)', [69493, 69495]]
['\\)', [70412, 70414]]
['\\)', [70574, 70576]]
['\\)', [72073, 72075]]
['\\)', [72174, 72176]]
['\\)', [72298, 72300]]
['twin', [119, 123]]
['twin', [3340, 3344]]
['twin', [3516, 3520]]
['twin', [42345, 42349]]
['twin', [48835, 48839]]
['twin', [53714, 53718]]
['twin', [60204, 60208]]
['pairs', [420, 425]]
['pairs', [3521, 3526]]
['pairs', [6795, 6800]]
['pairs', [13636, 13641]]
['pairs', [17860, 17865]]
['pairs', [24704, 24709]]
['pairs', [29255, 29260]]
['pairs', [29339, 29344]]
['pairs', [29379, 29384]]
['pairs', [33383, 33388]]
['pairs', [34441, 34446]]
['pairs', [34667, 34672]]
['pairs', [35444, 35449]]
['pairs', [35528, 35533]]
['pairs', [35568, 35573]]
['pairs', [39572, 39577]]
['pairs', [40630, 40635]]
['pairs', [40856, 40861]]
['pairs', [47951, 47956]]
['pairs', [59320, 59325]]
['pairs', [64309, 64314]]
['pairs', [68480, 68485]]
['major', [3866, 3871]]
['major', [29941, 29946]]
['major', [36130, 36135]]
['gene', [45, 49]]
['gene', [220, 224]]
['gene', [251, 255]]
['gene', [797, 801]]
['gene', [922, 926]]
['gene', [987, 991]]
['gene', [1177, 1181]]
['gene', [1213, 1217]]
['gene', [1432, 1436]]
['gene', [1573, 1577]]
['gene', [1649, 1653]]
['gene', [1729, 1733]]
['gene', [1781, 1785]]
['gene', [3408, 3412]]
['gene', [3567, 3571]]
['gene', [3872, 3876]]
['gene', [3945, 3949]]
['gene', [4217, 4221]]
['gene', [4402, 4406]]
['gene', [4495, 4499]]
['gene', [4582, 4586]]
['gene', [6026, 6030]]
['gene', [6118, 6122]]
['gene', [6290, 6294]]
['gene', [6383, 6387]]
['gene', [6526, 6530]]
['gene', [6574, 6578]]
['gene', [6647, 6651]]
['gene', [6857, 6861]]
['gene', [12929, 12933]]
['gene', [13589, 13593]]
['gene', [13712, 13716]]
['gene', [13764, 13768]]
['gene', [14052, 14056]]
['gene', [14117, 14121]]
['gene', [14302, 14306]]
['gene', [14744, 14748]]
['gene', [14881, 14885]]
['gene', [15070, 15074]]
['gene', [15376, 15380]]
['gene', [15399, 15403]]
['gene', [15650, 15654]]
['gene', [15751, 15755]]
['gene', [15814, 15818]]
['gene', [15987, 15991]]
['gene', [16100, 16104]]
['gene', [16320, 16324]]
['gene', [16370, 16374]]
['gene', [16474, 16478]]
['gene', [16544, 16548]]
['gene', [16676, 16680]]
['gene', [17193, 17197]]
['gene', [17922, 17926]]
['gene', [23997, 24001]]
['gene', [24657, 24661]]
['gene', [24780, 24784]]
['gene', [24832, 24836]]
['gene', [25120, 25124]]
['gene', [25185, 25189]]
['gene', [25370, 25374]]
['gene', [25812, 25816]]
['gene', [25949, 25953]]
['gene', [26138, 26142]]
['gene', [26444, 26448]]
['gene', [26467, 26471]]
['gene', [26718, 26722]]
['gene', [26819, 26823]]
['gene', [26882, 26886]]
['gene', [27055, 27059]]
['gene', [27168, 27172]]
['gene', [27388, 27392]]
['gene', [27438, 27442]]
['gene', [27542, 27546]]
['gene', [27612, 27616]]
['gene', [27744, 27748]]
['gene', [28261, 28265]]
['gene', [29170, 29174]]
['gene', [30735, 30739]]
['gene', [30906, 30910]]
['gene', [31181, 31185]]
['gene', [31229, 31233]]
['gene', [31458, 31462]]
['gene', [31615, 31619]]
['gene', [31732, 31736]]
['gene', [32228, 32232]]
['gene', [32274, 32278]]
['gene', [32441, 32445]]
['gene', [32603, 32607]]
['gene', [32840, 32844]]
['gene', [32919, 32923]]
['gene', [33078, 33082]]
['gene', [33243, 33247]]
['gene', [33340, 33344]]
['gene', [34723, 34727]]
['gene', [35359, 35363]]
['gene', [36924, 36928]]
['gene', [37095, 37099]]
['gene', [37370, 37374]]
['gene', [37418, 37422]]
['gene', [37647, 37651]]
['gene', [37804, 37808]]
