['sp3', [32985, 32988]]
['sp3', [33233, 33236]]
['sp3', [33377, 33380]]
['sp3', [33589, 33592]]
['sp3', [33737, 33740]]
['sp3', [33830, 33833]]
['sp3', [34043, 34046]]
['sp3', [34253, 34256]]
['sp3', [34393, 34396]]
['sp3', [34636, 34639]]
['sp3', [47662, 47665]]
['sp3', [48782, 48785]]
['sp3', [48822, 48825]]
['sp3', [49130, 49133]]
['sp3', [49198, 49201]]
['sp3', [49368, 49371]]
['sp3', [49616, 49619]]
['sp3', [49760, 49763]]
['sp3', [49972, 49975]]
['sp3', [50099, 50102]]
['sp3', [51219, 51222]]
['sp3', [51259, 51262]]
['sp3', [51567, 51570]]
['sp3', [51635, 51638]]
['sp3', [51805, 51808]]
['sp3', [52053, 52056]]
['sp3', [52197, 52200]]
['sp3', [52409, 52412]]
['sp3', [52558, 52561]]
['sp3', [52651, 52654]]
['sp3', [52864, 52867]]
['sp3', [53074, 53077]]
['sp3', [53214, 53217]]
['sp3', [53457, 53460]]
['sp3', [53573, 53576]]
['sp3', [53666, 53669]]
['sp3', [53879, 53882]]
['sp3', [54089, 54092]]
['sp3', [54229, 54232]]
['sp3', [54472, 54475]]
['sp3', [55737, 55740]]
['sp3', [55815, 55818]]
['sp3', [55922, 55925]]
['sp3', [56020, 56023]]
['sp3', [56167, 56170]]
['sp3', [56260, 56263]]
['sp3', [56487, 56490]]
['sp3', [56663, 56666]]
['sp3', [57009, 57012]]
['sp3', [57239, 57242]]
['sp3', [58267, 58270]]
['sp3', [59315, 59318]]
['sp3', [59401, 59404]]
['sp3', [60492, 60495]]
['sp3', [60630, 60633]]
['sp3', [60845, 60848]]
['sp3', [62433, 62436]]
['sp3', [62511, 62514]]
['sp3', [62618, 62621]]
['sp3', [62716, 62719]]
['sp3', [62863, 62866]]
['sp3', [62956, 62959]]
['sp3', [63183, 63186]]
['sp3', [63359, 63362]]
['sp3', [63705, 63708]]
['sp3', [63935, 63938]]
['sp3', [64963, 64966]]
['sp3', [66011, 66014]]
['sp3', [66097, 66100]]
['sp3', [67188, 67191]]
['sp3', [67326, 67329]]
['sp3', [67541, 67544]]
['sp3', [71332, 71335]]
['sp3', [71817, 71820]]
['sp3', [71892, 71895]]
['sp3', [72019, 72022]]
['sp3', [72359, 72362]]
['sp3', [72501, 72504]]
['sp3', [72585, 72588]]
['sp3', [72677, 72680]]
['sp3', [72771, 72774]]
['sp3', [72890, 72893]]
['sp3', [76507, 76510]]
['sp3', [76992, 76995]]
['sp3', [77067, 77070]]
['sp3', [77194, 77197]]
['sp3', [77534, 77537]]
['sp3', [77676, 77679]]
['sp3', [77760, 77763]]
['sp3', [77852, 77855]]
['sp3', [77946, 77949]]
['sp3', [78065, 78068]]
['cyclin-dependent', [42, 58]]
['kinase', [59, 65]]
['kinase', [139, 145]]
['kinase', [1287, 1293]]
['kinase', [1749, 1755]]
['kinase', [61211, 61217]]
['kinase', [67907, 67913]]
['5', [66, 67]]
['5', [146, 147]]
['5', [152, 153]]
['5', [231, 232]]
['5', [292, 293]]
['5', [1131, 1132]]
['5', [1294, 1295]]
['5', [1300, 1301]]
['5', [1407, 1408]]
['5', [1575, 1576]]
['5', [1747, 1748]]
['5', [1829, 1830]]
['5', [1924, 1925]]
['5', [2297, 2298]]
['5', [2350, 2351]]
['5', [2407, 2408]]
['5', [2422, 2423]]
['5', [2572, 2573]]
['5', [2747, 2748]]
['5', [3167, 3168]]
['5', [3300, 3301]]
['5', [3350, 3351]]
['5', [3508, 3509]]
['5', [3611, 3612]]
['5', [3708, 3709]]
['5', [3800, 3801]]
['5', [5025, 5026]]
['5', [5262, 5263]]
['5', [5430, 5431]]
['5', [5470, 5471]]
['5', [5957, 5958]]
['5', [6053, 6054]]
['5', [6094, 6095]]
['5', [6350, 6351]]
['5', [6577, 6578]]
['5', [6748, 6749]]
['5', [7106, 7107]]
['5', [7201, 7202]]
['5', [7224, 7225]]
['5', [7237, 7238]]
['5', [7264, 7265]]
['5', [7871, 7872]]
['5', [8042, 8043]]
['5', [8093, 8094]]
['5', [8144, 8145]]
['5', [8195, 8196]]
['5', [8461, 8462]]
['5', [8632, 8633]]
['5', [9096, 9097]]
['5', [9133, 9134]]
['5', [9173, 9174]]
['5', [9210, 9211]]
['5', [9812, 9813]]
['5', [9845, 9846]]
['5', [9878, 9879]]
['5', [9911, 9912]]
['5', [9942, 9943]]
['5', [10167, 10168]]
['5', [10335, 10336]]
['5', [10375, 10376]]
['5', [10864, 10865]]
['5', [10960, 10961]]
['5', [11001, 11002]]
['5', [11257, 11258]]
['5', [11484, 11485]]
['5', [11655, 11656]]
['5', [12014, 12015]]
['5', [12109, 12110]]
['5', [12132, 12133]]
['5', [12145, 12146]]
['5', [12172, 12173]]
['5', [12779, 12780]]
['5', [12950, 12951]]
['5', [13001, 13002]]
['5', [13052, 13053]]
['5', [13103, 13104]]
['5', [13370, 13371]]
['5', [13541, 13542]]
['5', [14005, 14006]]
['5', [14042, 14043]]
['5', [14082, 14083]]
['5', [14119, 14120]]
['5', [14722, 14723]]
['5', [14755, 14756]]
['5', [14788, 14789]]
['5', [14821, 14822]]
['5', [14852, 14853]]
['5', [15018, 15019]]
['5', [15386, 15387]]
['5', [15444, 15445]]
['5', [15498, 15499]]
['5', [15610, 15611]]
['5', [16033, 16034]]
['5', [16742, 16743]]
['5', [16879, 16880]]
['5', [16963, 16964]]
['5', [17100, 17101]]
['5', [17421, 17422]]
['5', [17448, 17449]]
['5', [17468, 17469]]
['5', [17473, 17474]]
['5', [17487, 17488]]
['5', [17494, 17495]]
['5', [17500, 17501]]
['5', [17516, 17517]]
['5', [17592, 17593]]
['5', [17687, 17688]]
['5', [17742, 17743]]
['5', [17857, 17858]]
['5', [17946, 17947]]
['5', [17958, 17959]]
['5', [17991, 17992]]
['5', [18016, 18017]]
['5', [18079, 18080]]
['5', [18242, 18243]]
['5', [18382, 18383]]
['5', [18387, 18388]]
['5', [18407, 18408]]
['5', [18412, 18413]]
['5', [18590, 18591]]
['5', [18659, 18660]]
['5', [18665, 18666]]
['5', [18690, 18691]]
['5', [18817, 18818]]
['5', [19080, 19081]]
['5', [19191, 19192]]
['5', [19405, 19406]]
['5', [19728, 19729]]
['5', [20172, 20173]]
['5', [20276, 20277]]
['5', [20290, 20291]]
['5', [20357, 20358]]
['5', [20686, 20687]]
['5', [21711, 21712]]
['5', [24519, 24520]]
['5', [24682, 24683]]
['5', [24939, 24940]]
['5', [25307, 25308]]
['5', [25365, 25366]]
['5', [25419, 25420]]
['5', [25531, 25532]]
['5', [25954, 25955]]
['5', [26663, 26664]]
['5', [26800, 26801]]
['5', [26884, 26885]]
['5', [27021, 27022]]
['5', [27342, 27343]]
['5', [27369, 27370]]
['5', [27389, 27390]]
['5', [27394, 27395]]
['5', [27408, 27409]]
['5', [27415, 27416]]
['5', [27421, 27422]]
['5', [27437, 27438]]
['5', [27513, 27514]]
['5', [27608, 27609]]
