['cells', [40534, 40539]]
['cells', [41626, 41631]]
['cells', [41656, 41661]]
['cells', [41728, 41733]]
['cells', [43095, 43100]]
['cells', [44225, 44230]]
['cells', [44556, 44561]]
['cells', [44743, 44748]]
['cells', [44780, 44785]]
['cells', [49320, 49325]]
['cells', [49626, 49631]]
['cells', [50718, 50723]]
['cells', [50748, 50753]]
['cells', [50820, 50825]]
['cells', [52572, 52577]]
['cells', [52878, 52883]]
['cells', [53970, 53975]]
['cells', [54000, 54005]]
['cells', [54072, 54077]]
['cells', [55440, 55445]]
['cells', [57245, 57250]]
['cells', [58798, 58803]]
['cells', [59129, 59134]]
['cells', [59316, 59321]]
['cells', [59353, 59358]]
['cells', [59393, 59398]]
['cells', [59724, 59729]]
['cells', [59911, 59916]]
['cells', [59948, 59953]]
['cells', [60863, 60868]]
['cells', [61687, 61692]]
['cells', [63206, 63211]]
['cells', [65463, 65468]]
['cells', [66587, 66592]]
['cells', [67209, 67214]]
['cells', [67409, 67414]]
['cells', [69171, 69176]]
['cells', [69995, 70000]]
['cells', [71514, 71519]]
['cells', [73771, 73776]]
['cells', [74895, 74900]]
['cells', [75517, 75522]]
['cells', [75717, 75722]]
['lysosomal', [1137, 1146]]
['lysosomal', [1156, 1165]]
['lysosomal', [1649, 1658]]
['lysosomal', [1668, 1677]]
['lysosomal', [2910, 2919]]
['lysosomal', [14247, 14256]]
['lysosomal', [14281, 14290]]
['lysosomal', [14655, 14664]]
['lysosomal', [26330, 26339]]
['lysosomal', [26364, 26373]]
['lysosomal', [26738, 26747]]
['lysosomal', [34175, 34184]]
['lysosomal', [41763, 41772]]
['lysosomal', [50855, 50864]]
['lysosomal', [54107, 54116]]
['acid', [2920, 2924]]
['acid', [3212, 3216]]
['hydrolases', [2925, 2935]]
['enzymes', [2946, 2953]]
['misfolded', [3402, 3411]]
['aggregate-prone', [3412, 3427]]
['proteins', [2654, 2662]]
['proteins', [3428, 3436]]
['proteins', [60610, 60618]]
['proteins', [61901, 61909]]
['proteins', [65367, 65375]]
['proteins', [65488, 65496]]
['proteins', [68918, 68926]]
['proteins', [70209, 70217]]
['proteins', [73675, 73683]]
['proteins', [73796, 73804]]
['table', [6145, 6150]]
['table', [6710, 6715]]
['table', [11642, 11647]]
['table', [12864, 12869]]
['table', [18223, 18228]]
['table', [18788, 18793]]
['table', [23724, 23729]]
['table', [24946, 24951]]
['table', [29730, 29735]]
['table', [37318, 37323]]
['table', [44898, 44903]]
['table', [46409, 46414]]
['table', [62729, 62734]]
['table', [65351, 65356]]
['table', [71037, 71042]]
['table', [73659, 73664]]
['1a', [6151, 6153]]
['1a', [18229, 18231]]
['1a', [31624, 31626]]
['1a', [39212, 39214]]
['1a', [48304, 48306]]
['1a', [51556, 51558]]
['1b', [6716, 6718]]
['1b', [18794, 18796]]
['1b', [31896, 31898]]
['1b', [39484, 39486]]
['1b', [48576, 48578]]
['1b', [51828, 51830]]
['tissue', [5770, 5776]]
['tissue', [6467, 6473]]
['tissue', [7108, 7114]]
['tissue', [7275, 7281]]
['tissue', [8170, 8176]]
['tissue', [8653, 8659]]
['tissue', [9514, 9520]]
['tissue', [10094, 10100]]
['tissue', [12663, 12669]]
['tissue', [17848, 17854]]
['tissue', [18545, 18551]]
['tissue', [19186, 19192]]
['tissue', [19354, 19360]]
['tissue', [20249, 20255]]
['tissue', [20733, 20739]]
['tissue', [21595, 21601]]
['tissue', [22175, 22181]]
['tissue', [24745, 24751]]
['tissue', [62907, 62913]]
['tissue', [64302, 64308]]
['tissue', [65227, 65233]]
['tissue', [71215, 71221]]
['tissue', [72610, 72616]]
['tissue', [73535, 73541]]
['sampling', [6572, 6580]]
['sampling', [7282, 7290]]
['sampling', [15767, 15775]]
['sampling', [18650, 18658]]
['sampling', [19361, 19369]]
['sampling', [27850, 27858]]
['male', [7291, 7295]]
['male', [19370, 19374]]
['c57bl\\/6j', [7296, 7305]]
['c57bl\\/6j', [19375, 19384]]
['mice', [827, 831]]
['mice', [1708, 1712]]
['mice', [7305, 7309]]
['mice', [7411, 7415]]
['mice', [8083, 8087]]
['mice', [13361, 13365]]
['mice', [13384, 13388]]
['mice', [19384, 19388]]
['mice', [19490, 19494]]
['mice', [20162, 20166]]
['mice', [25443, 25447]]
['mice', [25466, 25470]]
['mice', [29647, 29651]]
['mice', [30526, 30530]]
['mice', [30605, 30609]]
['mice', [34511, 34515]]
['mice', [35001, 35005]]
['mice', [35179, 35183]]
['mice', [35301, 35305]]
['mice', [35497, 35501]]
['mice', [35587, 35591]]
['mice', [36071, 36075]]
['mice', [36100, 36104]]
['mice', [36326, 36330]]
['mice', [36653, 36657]]
