['rap80', [49537, 49542]]
['rap80', [49612, 49617]]
['rap80', [49755, 49760]]
['rap80', [49845, 49850]]
['rap80', [50076, 50081]]
['rap80', [50124, 50129]]
['rap80', [50335, 50340]]
['rap80', [50423, 50428]]
['rap80', [50631, 50636]]
['rap80', [51213, 51218]]
['rap80', [51278, 51283]]
['rap80', [51605, 51610]]
['rap80', [51685, 51690]]
['rap80', [51815, 51820]]
['rap80', [51824, 51829]]
['rap80', [52305, 52310]]
['rap80', [52339, 52344]]
['rap80', [52461, 52466]]
['rap80', [52497, 52502]]
['rap80', [52571, 52576]]
['rap80', [52598, 52603]]
['rap80', [52654, 52659]]
['rap80', [52815, 52820]]
['rap80', [52839, 52844]]
['rap80', [53009, 53014]]
['rap80', [53130, 53135]]
['rap80', [53299, 53304]]
['rap80', [53364, 53369]]
['rap80', [53439, 53444]]
['rap80', [53582, 53587]]
['rap80', [53672, 53677]]
['rap80', [53903, 53908]]
['rap80', [53951, 53956]]
['rap80', [54137, 54142]]
['rap80', [54196, 54201]]
['rap80', [54259, 54264]]
['rap80', [54425, 54430]]
['rap80', [54438, 54443]]
['rap80', [54513, 54518]]
['rap80', [54626, 54631]]
['rap80', [54763, 54768]]
['rap80', [54776, 54781]]
['rap80', [54880, 54885]]
['rap80', [54890, 54895]]
['rap80', [54995, 55000]]
['rap80', [55205, 55210]]
['rap80', [55264, 55269]]
['rap80', [55315, 55320]]
['rap80', [55445, 55450]]
['rap80', [55507, 55512]]
['rap80', [55543, 55548]]
['rap80', [55631, 55636]]
['rap80', [55690, 55695]]
['rap80', [55753, 55758]]
['rap80', [55919, 55924]]
['rap80', [55932, 55937]]
['rap80', [56007, 56012]]
['rap80', [56120, 56125]]
['rap80', [56257, 56262]]
['rap80', [56270, 56275]]
['rap80', [56374, 56379]]
['rap80', [56384, 56389]]
['rap80', [56489, 56494]]
['rap80', [56699, 56704]]
['rap80', [56758, 56763]]
['rap80', [56809, 56814]]
['rap80', [56939, 56944]]
['rap80', [57001, 57006]]
['rap80', [57037, 57042]]
['rap80', [57125, 57130]]
['rap80', [57490, 57495]]
['rap80', [57499, 57504]]
['rap80', [57857, 57862]]
['rap80', [58222, 58227]]
['rap80', [58231, 58236]]
['rap80', [59792, 59797]]
['rap80', [60087, 60092]]
['rap80', [60228, 60233]]
['rap80', [60447, 60452]]
['rap80', [60500, 60505]]
['rap80', [60540, 60545]]
['rap80', [60628, 60633]]
['rap80', [60795, 60800]]
['rap80', [60948, 60953]]
['rap80', [60979, 60984]]
['rap80', [61109, 61114]]
['rap80', [61477, 61482]]
['rap80', [61741, 61746]]
['rap80', [62163, 62168]]
['rap80', [62465, 62470]]
['rap80', [62539, 62544]]
['rap80', [62598, 62603]]
['rap80', [62861, 62866]]
['rap80', [63873, 63878]]
['rap80', [64141, 64146]]
['rap80', [64730, 64735]]
['rap80', [64916, 64921]]
['rap80', [65042, 65047]]
['rap80', [65185, 65190]]
['rap80', [65329, 65334]]
['rap80', [65439, 65444]]
['rap80', [65550, 65555]]
['rap80', [65696, 65701]]
['rap80', [65821, 65826]]
['rap80', [65949, 65954]]
['rap80', [66591, 66596]]
['rap80', [68334, 68339]]
['rap80', [68629, 68634]]
['rap80', [68770, 68775]]
['rap80', [68989, 68994]]
['rap80', [69042, 69047]]
['rap80', [69082, 69087]]
['rap80', [69170, 69175]]
['rap80', [69337, 69342]]
