['wt1', [40654, 40657]]
['wt1', [40669, 40672]]
['wt1', [40741, 40744]]
['wt1', [40769, 40772]]
['wt1', [40897, 40900]]
['wt1', [41113, 41116]]
['wt1', [41293, 41296]]
['wt1', [41381, 41384]]
['wt1', [41485, 41488]]
['wt1', [41529, 41532]]
['wt1', [41675, 41678]]
['wt1', [41687, 41690]]
['wt1', [41739, 41742]]
['wt1', [41827, 41830]]
['wt1', [41843, 41846]]
['wt1', [41862, 41865]]
['wt1', [41989, 41992]]
['wt1', [42045, 42048]]
['wt1', [42098, 42101]]
['wt1', [42135, 42138]]
['wt1', [42182, 42185]]
['wt1', [42202, 42205]]
['wt1', [42277, 42280]]
['wt1', [42310, 42313]]
['wt1', [42365, 42368]]
['wt1', [42396, 42399]]
['wt1', [42523, 42526]]
['wt1', [42725, 42728]]
['wt1', [42794, 42797]]
['wt1', [42897, 42900]]
['wt1', [42958, 42961]]
['wt1', [42987, 42990]]
['wt1', [43043, 43046]]
['wt1', [43168, 43171]]
['wt1', [43233, 43236]]
['wt1', [43306, 43309]]
['wt1', [43319, 43322]]
['wt1', [43485, 43488]]
['wt1', [43635, 43638]]
['wt1', [43778, 43781]]
['wt1', [43930, 43933]]
['wt1', [43966, 43969]]
['wt1', [44027, 44030]]
['wt1', [44093, 44096]]
['wt1', [44120, 44123]]
['wt1', [44211, 44214]]
['wt1', [44327, 44330]]
['wt1', [44483, 44486]]
['wt1', [44716, 44719]]
['wt1', [44751, 44754]]
['wt1', [44972, 44975]]
['wt1', [45125, 45128]]
['wt1', [45238, 45241]]
['wt1', [45257, 45260]]
['wt1', [45313, 45316]]
['wt1', [45355, 45358]]
['wt1', [45485, 45488]]
['wt1', [45509, 45512]]
['wt1', [45622, 45625]]
['wt1', [45856, 45859]]
['wt1', [45896, 45899]]
['wt1', [45968, 45971]]
['wt1', [46123, 46126]]
['wt1', [46154, 46157]]
['wt1', [46341, 46344]]
['wt1', [46466, 46469]]
['wt1', [46603, 46606]]
['wt1', [46622, 46625]]
['wt1', [46678, 46681]]
['wt1', [46720, 46723]]
['wt1', [46850, 46853]]
['wt1', [46874, 46877]]
['wt1', [46987, 46990]]
['wt1', [47221, 47224]]
['wt1', [47261, 47264]]
['wt1', [47333, 47336]]
['wt1', [47488, 47491]]
['wt1', [47519, 47522]]
['wt1', [47706, 47709]]
['wt1', [47831, 47834]]
['wt1', [47965, 47968]]
['wt1', [47980, 47983]]
['wt1', [48052, 48055]]
['wt1', [48080, 48083]]
['wt1', [48208, 48211]]
['wt1', [48424, 48427]]
['wt1', [48604, 48607]]
['wt1', [48692, 48695]]
['wt1', [48796, 48799]]
['wt1', [48840, 48843]]
['wt1', [48987, 48990]]
['wt1', [49002, 49005]]
['wt1', [49074, 49077]]
['wt1', [49102, 49105]]
['wt1', [49230, 49233]]
['wt1', [49446, 49449]]
['wt1', [49626, 49629]]
['wt1', [49714, 49717]]
['wt1', [49818, 49821]]
['wt1', [49862, 49865]]
['wt1', [50009, 50012]]
['wt1', [50021, 50024]]
['wt1', [50073, 50076]]
['wt1', [50161, 50164]]
['wt1', [50177, 50180]]
['wt1', [50196, 50199]]
['wt1', [50323, 50326]]
['wt1', [50379, 50382]]
['wt1', [50432, 50435]]
['wt1', [50469, 50472]]
['wt1', [50516, 50519]]
['wt1', [50536, 50539]]
['wt1', [50612, 50615]]
['wt1', [50624, 50627]]
['wt1', [50676, 50679]]
['wt1', [50764, 50767]]
['wt1', [50780, 50783]]
['wt1', [50799, 50802]]
['wt1', [50926, 50929]]
['wt1', [50982, 50985]]
['wt1', [51035, 51038]]
['wt1', [51072, 51075]]
['wt1', [51119, 51122]]
['wt1', [51139, 51142]]
['wt1', [51215, 51218]]
['wt1', [51248, 51251]]
['wt1', [51303, 51306]]
['wt1', [51334, 51337]]
['wt1', [51461, 51464]]
['wt1', [51663, 51666]]
['wt1', [51732, 51735]]
['wt1', [51835, 51838]]
['wt1', [51896, 51899]]
['wt1', [51925, 51928]]
['wt1', [51981, 51984]]
['wt1', [52111, 52114]]
['wt1', [52144, 52147]]
['wt1', [52199, 52202]]
['wt1', [52230, 52233]]
['wt1', [52357, 52360]]
['wt1', [52559, 52562]]
['wt1', [52628, 52631]]
['wt1', [52731, 52734]]
['wt1', [52792, 52795]]
['wt1', [52821, 52824]]
['wt1', [52877, 52880]]
['wt1', [53003, 53006]]
['wt1', [53068, 53071]]
['wt1', [53141, 53144]]
['wt1', [53154, 53157]]
['wt1', [53320, 53323]]
['wt1', [53470, 53473]]
['wt1', [53613, 53616]]
['wt1', [53765, 53768]]
['wt1', [53801, 53804]]
['wt1', [53862, 53865]]
['wt1', [53928, 53931]]
['wt1', [53969, 53972]]
['wt1', [54034, 54037]]
['wt1', [54107, 54110]]
['wt1', [54120, 54123]]
['wt1', [54286, 54289]]
['wt1', [54436, 54439]]
['wt1', [54579, 54582]]
['wt1', [54731, 54734]]
['wt1', [54767, 54770]]
['wt1', [54828, 54831]]
['wt1', [54894, 54897]]
['wt1', [54922, 54925]]
['wt1', [55013, 55016]]
['wt1', [55129, 55132]]
['wt1', [55285, 55288]]
['wt1', [55518, 55521]]
['wt1', [55553, 55556]]
['wt1', [55774, 55777]]
['wt1', [55927, 55930]]
['wt1', [56020, 56023]]
['wt1', [56111, 56114]]
['wt1', [56227, 56230]]
['wt1', [56383, 56386]]
['wt1', [56616, 56619]]
['wt1', [56651, 56654]]
['wt1', [56872, 56875]]
['wt1', [57025, 57028]]
['wt1', [57375, 57378]]
['wt1', [57447, 57450]]
['wt1', [57715, 57718]]
['wt1', [57791, 57794]]
['wt1', [57805, 57808]]
['wt1', [57856, 57859]]
['wt1', [57956, 57959]]
['wt1', [58047, 58050]]
['wt1', [58128, 58131]]
['wt1', [58211, 58214]]
['wt1', [58302, 58305]]
['wt1', [58379, 58382]]
['wt1', [58440, 58443]]
['wt1', [58553, 58556]]
['wt1', [58757, 58760]]
['wt1', [59180, 59183]]
['wt1', [59291, 59294]]
['wt1', [59667, 59670]]
['wt1', [59823, 59826]]
['wt1', [60378, 60381]]
['wt1', [61422, 61425]]
['wt1', [62384, 62387]]
['wt1', [62436, 62439]]
['wt1', [62469, 62472]]
['wt1', [62597, 62600]]
['wt1', [62626, 62629]]
['wt1', [63748, 63751]]
['wt1', [63778, 63781]]
['wt1', [63942, 63945]]
['wt1', [64212, 64215]]
['wt1', [64228, 64231]]
['wt1', [64638, 64641]]
['wt1', [64710, 64713]]
['wt1', [64978, 64981]]
['wt1', [65054, 65057]]
['wt1', [65068, 65071]]
['wt1', [65119, 65122]]
['wt1', [65219, 65222]]
['wt1', [65310, 65313]]
['wt1', [65391, 65394]]
['wt1', [65474, 65477]]
['wt1', [65565, 65568]]
['wt1', [65642, 65645]]
['wt1', [65703, 65706]]
['wt1', [65816, 65819]]
['wt1', [66020, 66023]]
['wt1', [66443, 66446]]
['wt1', [66554, 66557]]
['wt1', [66930, 66933]]
['wt1', [67086, 67089]]
['wt1', [67641, 67644]]
['wt1', [68685, 68688]]
['wt1', [69647, 69650]]
['wt1', [69699, 69702]]
['wt1', [69732, 69735]]
['wt1', [69860, 69863]]
['wt1', [69889, 69892]]
['wt1', [71011, 71014]]
['wt1', [71041, 71044]]
['wt1', [71205, 71208]]
['wt1', [71475, 71478]]
['wt1', [71491, 71494]]
['wt1', [71709, 71712]]
['wt1', [71749, 71752]]
['wt1', [71832, 71835]]
['wt1', [71949, 71952]]
['wt1', [71965, 71968]]
['wt1', [71985, 71988]]
['wt1', [72379, 72382]]
['wt1', [72393, 72396]]
['wt1', [72430, 72433]]
['wt1', [72605, 72608]]
['wt1', [72645, 72648]]
['wt1', [72728, 72731]]
['wt1', [72845, 72848]]
['wt1', [72861, 72864]]
['wt1', [72881, 72884]]
['wt1', [73275, 73278]]
['wt1', [73289, 73292]]
['wt1', [73326, 73329]]
['truncated', [78, 87]]
['truncated', [679, 688]]
['truncated', [1062, 1071]]
['truncated', [5217, 5226]]
['truncated', [5486, 5495]]
['truncated', [5839, 5848]]
['truncated', [6448, 6457]]
['truncated', [8059, 8068]]
['truncated', [8435, 8444]]
['truncated', [8611, 8620]]
['truncated', [19891, 19900]]
['truncated', [21502, 21511]]
['truncated', [21878, 21887]]
['truncated', [22054, 22063]]
['truncated', [33330, 33339]]
['truncated', [33948, 33957]]
['truncated', [39283, 39292]]
['truncated', [39901, 39910]]
['truncated', [45228, 45237]]
['truncated', [45846, 45855]]
['truncated', [46593, 46602]]
['truncated', [47211, 47220]]
['truncated', [57781, 57790]]
['truncated', [58736, 58745]]
['truncated', [59640, 59649]]
['truncated', [63727, 63736]]
['truncated', [65044, 65053]]
['truncated', [65999, 66008]]
['truncated', [66903, 66912]]
['truncated', [70990, 70999]]
['wt1-expressing', [88, 102]]
['wt1-expressing', [887, 901]]
['wt1-expressing', [1535, 1549]]
['wt1-expressing', [1707, 1721]]
['wt1-expressing', [3684, 3698]]
['wt1-expressing', [4042, 4056]]
['wt1-expressing', [6129, 6143]]
['wt1-expressing', [11423, 11437]]
['wt1-expressing', [16245, 16259]]
['wt1-expressing', [24869, 24883]]
['wt1-expressing', [29696, 29710]]
['wt1-expressing', [35874, 35888]]
['wt1-expressing', [37366, 37380]]
['wt1-expressing', [41827, 41841]]
['wt1-expressing', [43319, 43333]]
['wt1-expressing', [50161, 50175]]
['wt1-expressing', [50764, 50778]]
['wt1-expressing', [53154, 53168]]
['wt1-expressing', [54120, 54134]]
['wt1-expressing', [57956, 57970]]
['wt1-expressing', [58128, 58142]]
['wt1-expressing', [58302, 58316]]
['wt1-expressing', [64228, 64242]]
['wt1-expressing', [65219, 65233]]
['wt1-expressing', [65391, 65405]]
['wt1-expressing', [65565, 65579]]
['wt1-expressing', [71491, 71505]]
['wt1-expressing', [71949, 71963]]
['wt1-expressing', [72845, 72859]]
['adenovirus', [103, 113]]
['adenovirus', [4517, 4527]]
['adenovirus', [9105, 9115]]
['adenovirus', [9774, 9784]]
['adenovirus', [22549, 22559]]
['adenovirus', [23218, 23228]]
['vaccine', [114, 121]]
['vaccine', [293, 300]]
['vaccine', [1681, 1688]]
['vaccine', [1914, 1921]]
['vaccine', [1949, 1956]]
['vaccine', [2190, 2197]]
['vaccine', [4138, 4145]]
['vaccine', [4184, 4191]]
['vaccine', [4355, 4362]]
['vaccine', [6318, 6325]]
['vaccine', [34002, 34009]]
['vaccine', [34330, 34337]]
['vaccine', [37829, 37836]]
['vaccine', [38262, 38269]]
['vaccine', [38767, 38774]]
['vaccine', [39176, 39183]]
['vaccine', [39955, 39962]]
['vaccine', [40283, 40290]]
['vaccine', [43782, 43789]]
['vaccine', [44215, 44222]]
['vaccine', [44720, 44727]]
['vaccine', [45129, 45136]]
['vaccine', [45900, 45907]]
['vaccine', [46228, 46235]]
['vaccine', [47265, 47272]]
['vaccine', [47593, 47600]]
['vaccine', [53617, 53624]]
['vaccine', [54583, 54590]]
['vaccine', [55017, 55024]]
['vaccine', [55522, 55529]]
['vaccine', [55931, 55938]]
['vaccine', [56115, 56122]]
['vaccine', [56620, 56627]]
['vaccine', [57029, 57036]]
['vaccine', [57635, 57642]]
['vaccine', [58632, 58639]]
['vaccine', [59099, 59106]]
['vaccine', [59230, 59237]]
['vaccine', [60590, 60597]]
['vaccine', [60647, 60654]]
['vaccine', [63897, 63904]]
['vaccine', [64216, 64223]]
['vaccine', [64898, 64905]]
['vaccine', [65895, 65902]]
['vaccine', [66362, 66369]]
['vaccine', [66493, 66500]]
['vaccine', [67853, 67860]]
['vaccine', [67910, 67917]]
['vaccine', [71160, 71167]]
['vaccine', [71479, 71486]]
['purpose', [122, 129]]
['wilms\xe2\x80\x99', [13, 21]]
['wilms\xe2\x80\x99', [130, 138]]
['wilms\xe2\x80\x99', [2220, 2228]]
['wilms\xe2\x80\x99', [2593, 2601]]
['tumor', [22, 27]]
['tumor', [55, 60]]
['tumor', [139, 144]]
['tumor', [209, 214]]
['tumor', [247, 252]]
['tumor', [452, 457]]
['tumor', [848, 853]]
['tumor', [902, 907]]
['tumor', [1304, 1309]]
['tumor', [1357, 1362]]
['tumor', [1401, 1406]]
['tumor', [2100, 2105]]
['tumor', [2229, 2234]]
['tumor', [2538, 2543]]
['tumor', [2602, 2607]]
['tumor', [2815, 2820]]
['tumor', [3426, 3431]]
['tumor', [3699, 3704]]
['tumor', [4057, 4062]]
['tumor', [4752, 4757]]
['tumor', [5347, 5352]]
['tumor', [6197, 6202]]
['tumor', [6242, 6247]]
['tumor', [18287, 18292]]
['tumor', [18610, 18615]]
['tumor', [18655, 18660]]
['tumor', [18762, 18767]]
['tumor', [19188, 19193]]
['tumor', [19233, 19238]]
['tumor', [19661, 19666]]
['tumor', [19688, 19693]]
['tumor', [19748, 19753]]
['tumor', [19802, 19807]]
['tumor', [31740, 31745]]
['tumor', [32063, 32068]]
['tumor', [32108, 32113]]
['tumor', [32216, 32221]]
['tumor', [32642, 32647]]
['tumor', [32687, 32692]]
['tumor', [33116, 33121]]
['tumor', [33143, 33148]]
['tumor', [33203, 33208]]
