['1', [19857, 19858]]
['1', [19862, 19863]]
['1', [20620, 20621]]
['1', [22438, 22439]]
['1', [23123, 23124]]
['1', [24794, 24795]]
['1', [27772, 27773]]
['1', [29160, 29161]]
['1', [30965, 30966]]
['1', [34402, 34403]]
['1', [45715, 45716]]
['1', [50743, 50744]]
['1', [54853, 54854]]
['1', [59882, 59883]]
['1', [61874, 61875]]
['1', [63682, 63683]]
['1', [65433, 65434]]
['rfa', [3483, 3486]]
['rfa', [3732, 3735]]
['rfa', [4226, 4229]]
['rfa', [5158, 5161]]
['rfa', [5268, 5271]]
['rfa', [45727, 45730]]
['rfa', [54865, 54868]]
['rfa', [62006, 62009]]
['rfa', [62360, 62363]]
['complementary', [8174, 8187]]
['elements', [8188, 8196]]
['elements', [16972, 16980]]
['elements', [17052, 17060]]
['elements', [24988, 24996]]
['elements', [25068, 25076]]
['elements', [27612, 27620]]
['elements', [27885, 27893]]
['elements', [30282, 30290]]
['elements', [31586, 31594]]
['elements', [37350, 37358]]
['elements', [64311, 64319]]
['\\?', [77, 79]]
['\\?', [8012, 8014]]
['\\?', [8121, 8123]]
['\\?', [8217, 8219]]
['\\?', [8329, 8331]]
['\\?', [8414, 8416]]
['\\?', [8530, 8532]]
['\\?', [8601, 8603]]
['\\?', [8705, 8707]]
['\\?', [9402, 9404]]
['\\?', [9734, 9736]]
['\\?', [16179, 16181]]
['\\?', [24195, 24197]]
['\\?', [32786, 32788]]
['\\?', [38756, 38758]]
['\\?', [39730, 39732]]
['\\?', [43198, 43200]]
['\\?', [43277, 43279]]
['\\?', [43365, 43367]]
['\\?', [43433, 43435]]
['\\?', [43499, 43501]]
['\\?', [43584, 43586]]
['\\?', [43660, 43662]]
['\\?', [43713, 43715]]
['\\?', [48963, 48965]]
['\\?', [52334, 52336]]
['\\?', [52413, 52415]]
['\\?', [52501, 52503]]
['\\?', [52569, 52571]]
['\\?', [52635, 52637]]
['\\?', [52720, 52722]]
['\\?', [52796, 52798]]
['\\?', [52849, 52851]]
['\\?', [58102, 58104]]
['\\?', [64531, 64533]]
['\\?', [65131, 65133]]
['\\?', [65769, 65771]]
['and', [55, 58]]
['and', [120, 123]]
['and', [430, 433]]
['and', [520, 523]]
['and', [593, 596]]
['and', [685, 688]]
['and', [817, 820]]
['and', [871, 874]]
['and', [956, 959]]
['and', [1039, 1042]]
['and', [1346, 1349]]
['and', [1584, 1587]]
['and', [1740, 1743]]
['and', [1917, 1920]]
['and', [2058, 2061]]
['and', [2150, 2153]]
['and', [2313, 2316]]
['and', [2380, 2383]]
['and', [2527, 2530]]
['and', [2716, 2719]]
['and', [2889, 2892]]
['and', [3322, 3325]]
['and', [3421, 3424]]
['and', [3587, 3590]]
['and', [3769, 3772]]
['and', [3819, 3822]]
['and', [4111, 4114]]
['and', [4267, 4270]]
['and', [4323, 4326]]
['and', [4375, 4378]]
['and', [4395, 4398]]
['and', [4452, 4455]]
['and', [4726, 4729]]
['and', [5056, 5059]]
['and', [5728, 5731]]
['and', [5789, 5792]]
['and', [6011, 6014]]
['and', [6312, 6315]]
['and', [6532, 6535]]
['and', [6953, 6956]]
['and', [7153, 7156]]
['and', [7181, 7184]]
['and', [7220, 7223]]
['and', [7256, 7259]]
['and', [7371, 7374]]
['and', [7429, 7432]]
['and', [7548, 7551]]
['and', [7755, 7758]]
['and', [7987, 7990]]
['and', [8478, 8481]]
['and', [8603, 8606]]
['and', [8852, 8855]]
['and', [9046, 9049]]
['and', [9060, 9063]]
['and', [9092, 9095]]
['and', [9285, 9288]]
['and', [9505, 9508]]
['and', [9582, 9585]]
['and', [9943, 9946]]
['and', [10237, 10240]]
['and', [10409, 10412]]
['and', [10504, 10507]]
['and', [10754, 10757]]
['and', [10776, 10779]]
['and', [10979, 10982]]
['and', [11520, 11523]]
['and', [11665, 11668]]
['and', [11731, 11734]]
['and', [11783, 11786]]
['and', [11957, 11960]]
['and', [11997, 12000]]
['and', [12095, 12098]]
['and', [12245, 12248]]
['and', [12290, 12293]]
['and', [12533, 12536]]
['and', [12577, 12580]]
['and', [12664, 12667]]
['and', [12734, 12737]]
['and', [12939, 12942]]
['and', [13061, 13064]]
['and', [13095, 13098]]
['and', [13188, 13191]]
['and', [13357, 13360]]
['and', [13568, 13571]]
['and', [13611, 13614]]
['and', [13662, 13665]]
['and', [13692, 13695]]
['and', [14268, 14271]]
['and', [14297, 14300]]
['and', [14537, 14540]]
['and', [14867, 14870]]
['and', [15042, 15045]]
['and', [15209, 15212]]
['and', [15427, 15430]]
['and', [15551, 15554]]
['and', [15592, 15595]]
['and', [15610, 15613]]
['and', [15868, 15871]]
['and', [15887, 15890]]
['and', [15971, 15974]]
['and', [16022, 16025]]
['and', [16040, 16043]]
['and', [16571, 16574]]
['and', [16627, 16630]]
['and', [16714, 16717]]
['and', [16740, 16743]]
['and', [16791, 16794]]
['and', [16882, 16885]]
['and', [16946, 16949]]
['and', [17295, 17298]]
['and', [17447, 17450]]
['and', [17728, 17731]]
['and', [17743, 17746]]
['and', [17803, 17806]]
['and', [18009, 18012]]
['and', [18060, 18063]]
['and', [18191, 18194]]
['and', [18247, 18250]]
['and', [18512, 18515]]
['and', [18595, 18598]]
['and', [18736, 18739]]
['and', [18827, 18830]]
['and', [18920, 18923]]
['and', [18954, 18957]]
['and', [19366, 19369]]
['and', [19534, 19537]]
['and', [19679, 19682]]
['and', [19745, 19748]]
['and', [19797, 19800]]
['and', [19971, 19974]]
['and', [20011, 20014]]
['and', [20109, 20112]]
['and', [20259, 20262]]
['and', [20304, 20307]]
['and', [20547, 20550]]
['and', [20591, 20594]]
['and', [20678, 20681]]
['and', [20748, 20751]]
['and', [20953, 20956]]
['and', [21075, 21078]]
['and', [21109, 21112]]
['and', [21202, 21205]]
['and', [21371, 21374]]
['and', [21582, 21585]]
['and', [21625, 21628]]
