['stroke', [38436, 38442]]
['stroke', [38903, 38909]]
['stroke', [38927, 38933]]
['stroke', [39215, 39221]]
['stroke', [39433, 39439]]
['stroke', [40375, 40381]]
['stroke', [40563, 40569]]
['stroke', [40811, 40817]]
['stroke', [41278, 41284]]
['stroke', [41330, 41336]]
['stroke', [41482, 41488]]
['stroke', [41592, 41598]]
['stroke', [42787, 42793]]
['stroke', [43279, 43285]]
['stroke', [43825, 43831]]
['stroke', [44964, 44970]]
['stroke', [45079, 45085]]
['stroke', [45450, 45456]]
['stroke', [45511, 45517]]
['stroke', [45531, 45537]]
['stroke', [45608, 45614]]
['stroke', [45874, 45880]]
['stroke', [47894, 47900]]
['stroke', [48102, 48108]]
['stroke', [48152, 48158]]
['stroke', [48220, 48226]]
['stroke', [48988, 48994]]
['stroke', [49646, 49652]]
['stroke', [49732, 49738]]
['stroke', [49816, 49822]]
['stroke', [49901, 49907]]
['\\(', [584, 586]]
['\\(', [1093, 1095]]
['\\(', [1250, 1252]]
['\\(', [1302, 1304]]
['\\(', [1413, 1415]]
['\\(', [1698, 1700]]
['\\(', [1812, 1814]]
['\\(', [2044, 2046]]
['\\(', [2051, 2053]]
['\\(', [2093, 2095]]
['\\(', [2098, 2100]]
['\\(', [2151, 2153]]
['\\(', [2157, 2159]]
['\\(', [2201, 2203]]
['\\(', [2205, 2207]]
['\\(', [2378, 2380]]
['\\(', [4490, 4492]]
['\\(', [4528, 4530]]
['\\(', [4558, 4560]]
['\\(', [4711, 4713]]
['\\(', [6193, 6195]]
['\\(', [6258, 6260]]
['\\(', [6926, 6928]]
['\\(', [7083, 7085]]
['\\(', [7135, 7137]]
['\\(', [7246, 7248]]
['\\(', [7531, 7533]]
['\\(', [7645, 7647]]
['\\(', [7878, 7880]]
['\\(', [7885, 7887]]
['\\(', [7927, 7929]]
['\\(', [7932, 7934]]
['\\(', [7985, 7987]]
['\\(', [7991, 7993]]
['\\(', [8035, 8037]]
['\\(', [8039, 8041]]
['\\(', [8212, 8214]]
['\\(', [9924, 9926]]
['\\(', [10078, 10080]]
['\\(', [10130, 10132]]
['\\(', [10250, 10252]]
['\\(', [10585, 10587]]
['\\(', [10966, 10968]]
['\\(', [11426, 11428]]
['\\(', [11558, 11560]]
['\\(', [11631, 11633]]
['\\(', [11732, 11734]]
['\\(', [11887, 11889]]
['\\(', [12245, 12247]]
['\\(', [12330, 12332]]
['\\(', [12350, 12352]]
['\\(', [12552, 12554]]
['\\(', [12760, 12762]]
['\\(', [13686, 13688]]
['\\(', [13712, 13714]]
['\\(', [13922, 13924]]
['\\(', [15164, 15166]]
['\\(', [15318, 15320]]
['\\(', [15370, 15372]]
['\\(', [15490, 15492]]
['\\(', [15826, 15828]]
['\\(', [16207, 16209]]
['\\(', [16668, 16670]]
['\\(', [16800, 16802]]
['\\(', [16873, 16875]]
['\\(', [16974, 16976]]
['\\(', [17129, 17131]]
['\\(', [17488, 17490]]
['\\(', [17573, 17575]]
['\\(', [17593, 17595]]
['\\(', [17795, 17797]]
['\\(', [18003, 18005]]
['\\(', [18931, 18933]]
['\\(', [18957, 18959]]
['\\(', [19167, 19169]]
['\\(', [19506, 19508]]
['\\(', [19528, 19530]]
['\\(', [19693, 19695]]
['\\(', [19878, 19880]]
['\\(', [20555, 20557]]
['\\(', [20746, 20748]]
['\\(', [20807, 20809]]
['\\(', [20940, 20942]]
['\\(', [21265, 21267]]
['\\(', [21695, 21697]]
['\\(', [21787, 21789]]
['\\(', [21947, 21949]]
['\\(', [22112, 22114]]
['\\(', [22154, 22156]]
['\\(', [22195, 22197]]
['\\(', [22220, 22222]]
['\\(', [22621, 22623]]
['\\(', [22706, 22708]]
['\\(', [23306, 23308]]
['\\(', [23328, 23330]]
['\\(', [23493, 23495]]
['\\(', [23678, 23680]]
['\\(', [24355, 24357]]
['\\(', [24546, 24548]]
['\\(', [24607, 24609]]
['\\(', [24740, 24742]]
['\\(', [25065, 25067]]
['\\(', [25495, 25497]]
['\\(', [25587, 25589]]
['\\(', [25747, 25749]]
['\\(', [25912, 25914]]
['\\(', [25954, 25956]]
['\\(', [25995, 25997]]
['\\(', [26020, 26022]]
['\\(', [26421, 26423]]
['\\(', [26506, 26508]]
['\\(', [27003, 27005]]
['\\(', [27198, 27200]]
['\\(', [29591, 29593]]
