['2', [53839, 53840]]
['2', [54051, 54052]]
['2', [54097, 54098]]
['2', [54268, 54269]]
['2', [54482, 54483]]
['2', [54491, 54492]]
['2', [54551, 54552]]
['2', [54695, 54696]]
['2', [54696, 54697]]
['2', [54767, 54768]]
['2', [54768, 54769]]
['2', [54882, 54883]]
['2', [54900, 54901]]
['2', [54930, 54931]]
['2', [56004, 56005]]
['2', [56005, 56006]]
['2', [56026, 56027]]
['2', [56219, 56220]]
['2', [56728, 56729]]
['2', [56737, 56738]]
['2', [56738, 56739]]
['2', [56919, 56920]]
['2', [57019, 57020]]
['2', [57115, 57116]]
['2', [57124, 57125]]
['2', [57125, 57126]]
['2', [58148, 58149]]
['2', [58540, 58541]]
['2', [58594, 58595]]
['2', [58873, 58874]]
['2', [58907, 58908]]
['2', [58910, 58911]]
['2', [59624, 59625]]
['2', [59801, 59802]]
['2', [59810, 59811]]
['2', [59812, 59813]]
['2', [59959, 59960]]
['2', [59986, 59987]]
['2', [60075, 60076]]
['2', [60178, 60179]]
['2', [60359, 60360]]
['2', [60360, 60361]]
['2', [60368, 60369]]
['2', [60502, 60503]]
['2', [60642, 60643]]
['2', [60692, 60693]]
['2', [60841, 60842]]
['2', [60902, 60903]]
['2', [60940, 60941]]
['2', [60977, 60978]]
['2', [61236, 61237]]
['2', [61507, 61508]]
['2', [61792, 61793]]
['2', [61995, 61996]]
['2', [62545, 62546]]
['2', [62709, 62710]]
['2', [62725, 62726]]
['2', [62745, 62746]]
['2', [62895, 62896]]
['2', [63116, 63117]]
['2', [63233, 63234]]
['2', [63304, 63305]]
['2', [63664, 63665]]
['2', [63673, 63674]]
['2', [63708, 63709]]
['2', [63765, 63766]]
['2', [63768, 63769]]
['2', [63785, 63786]]
['2', [63792, 63793]]
['2', [63865, 63866]]
['2', [63872, 63873]]
['2', [64170, 64171]]
['2', [64202, 64203]]
['2', [64670, 64671]]
['2', [64679, 64680]]
['2', [64952, 64953]]
['2', [65766, 65767]]
['2', [65773, 65774]]
['2', [65786, 65787]]
['2', [65787, 65788]]
['2', [65822, 65823]]
['2', [65831, 65832]]
['2', [66134, 66135]]
['2', [66565, 66566]]
['2', [66573, 66574]]
['2', [66581, 66582]]
['2', [66608, 66609]]
['2', [66922, 66923]]
['2', [66999, 67000]]
['2', [67733, 67734]]
['2', [67761, 67762]]
['2', [68696, 68697]]
['2', [69066, 69067]]
['2', [69279, 69280]]
['2', [69662, 69663]]
['2', [70061, 70062]]
['2', [71438, 71439]]
['2', [71486, 71487]]
['2', [71495, 71496]]
['2', [71563, 71564]]
['2', [71583, 71584]]
['2', [71602, 71603]]
['2', [71612, 71613]]
['2', [71621, 71622]]
['2', [71667, 71668]]
['2', [71714, 71715]]
['2', [71746, 71747]]
['2', [71750, 71751]]
['2', [71756, 71757]]
['2', [71775, 71776]]
['2', [71787, 71788]]
['2', [71835, 71836]]
['2', [71855, 71856]]
['2', [71915, 71916]]
['2', [71943, 71944]]
['2', [71945, 71946]]
['2', [71959, 71960]]
['2', [71967, 71968]]
['2', [71983, 71984]]
['2', [72006, 72007]]
['2', [72023, 72024]]
['2', [72027, 72028]]
['2', [72062, 72063]]
['2', [72078, 72079]]
['2', [72087, 72088]]
['2', [72137, 72138]]
['2', [72177, 72178]]
['2', [72239, 72240]]
['2', [72254, 72255]]
['2', [72269, 72270]]
['2', [72339, 72340]]
['2', [72381, 72382]]
['2', [72405, 72406]]
['2', [72411, 72412]]
['2', [72460, 72461]]
['2', [72546, 72547]]
['2', [72556, 72557]]
['2', [72596, 72597]]
['2', [72632, 72633]]
['2', [72641, 72642]]
['2', [72643, 72644]]
['2', [72665, 72666]]
['2', [72666, 72667]]
['2', [72682, 72683]]
['2', [72690, 72691]]
['2', [72720, 72721]]
['2', [72767, 72768]]
['2', [72774, 72775]]
['2', [72808, 72809]]
['2', [72817, 72818]]
['2', [72818, 72819]]
['2', [72920, 72921]]
['2', [72944, 72945]]
['2', [72948, 72949]]
['2', [72978, 72979]]
['2', [73045, 73046]]
['2', [73057, 73058]]
['2', [73078, 73079]]
['2', [73086, 73087]]
['2', [73094, 73095]]
['2', [73095, 73096]]
['2', [73146, 73147]]
['2', [73158, 73159]]
['2', [73162, 73163]]
['2', [73163, 73164]]
['2', [73166, 73167]]
['2', [73224, 73225]]
['2', [73250, 73251]]
['2', [73313, 73314]]
['2', [73317, 73318]]
['2', [73330, 73331]]
['2', [73350, 73351]]
['2', [73354, 73355]]
['2', [73358, 73359]]
['2', [73362, 73363]]
['2', [73363, 73364]]
['2', [73403, 73404]]
['2', [73427, 73428]]
['2', [73431, 73432]]
['2', [73435, 73436]]
['2', [73501, 73502]]
['2', [73505, 73506]]
['2', [73531, 73532]]
['2', [73542, 73543]]
['2', [73545, 73546]]
['2', [73623, 73624]]
['2', [73628, 73629]]
['2', [73635, 73636]]
['2', [73709, 73710]]
['2', [73718, 73719]]
['2', [73792, 73793]]
['2', [73861, 73862]]
['2', [73870, 73871]]
['2', [73895, 73896]]
['2', [74014, 74015]]
['2', [74077, 74078]]
['2', [74081, 74082]]
['2', [74086, 74087]]
['2', [74131, 74132]]
['2', [74154, 74155]]
['2', [74206, 74207]]
['2', [74215, 74216]]
['2', [74217, 74218]]
['2', [74220, 74221]]
['2', [74233, 74234]]
['2', [74247, 74248]]
['2', [74257, 74258]]
['2', [74293, 74294]]
['2', [74312, 74313]]
['2', [74342, 74343]]
['2', [74346, 74347]]
['2', [74352, 74353]]
['2', [74355, 74356]]
['2', [74361, 74362]]
['2', [74386, 74387]]
['2', [74395, 74396]]
['2', [74438, 74439]]
['2', [74446, 74447]]
['2', [74451, 74452]]
['2', [74466, 74467]]
['2', [74477, 74478]]
['2', [74501, 74502]]
['2', [74530, 74531]]
['2', [74552, 74553]]
['2', [74558, 74559]]
['2', [74578, 74579]]
['2', [74600, 74601]]
['2', [74636, 74637]]
['2', [74661, 74662]]
