['cardiac dysfunction', [19565, 19584]]
['cardiac dysfunction', [20088, 20107]]
['cardiac dysfunction', [20217, 20236]]
['cardiac dysfunction', [20345, 20364]]
['cardiac dysfunction', [20434, 20453]]
['cardiac dysfunction', [21276, 21295]]
['cardiac dysfunction', [22702, 22721]]
['left', [26, 30]]
['left', [843, 847]]
['left', [888, 892]]
['left', [1031, 1035]]
['left', [1163, 1167]]
['left', [1316, 1320]]
['left', [1417, 1421]]
['left', [2070, 2074]]
['left', [2115, 2119]]
['left', [2258, 2262]]
['left', [2390, 2394]]
['left', [2544, 2548]]
['left', [2645, 2649]]
['left', [3158, 3162]]
['left', [3811, 3815]]
['left', [5625, 5629]]
['left', [5874, 5878]]
['left', [6759, 6763]]
['left', [7413, 7417]]
['left', [9229, 9233]]
['left', [9478, 9482]]
['left', [10156, 10160]]
['left', [10324, 10328]]
['left', [10571, 10575]]
['left', [10690, 10694]]
['left', [10752, 10756]]
['left', [10823, 10827]]
['left', [11186, 11190]]
['left', [11336, 11340]]
['left', [11467, 11471]]
['left', [11677, 11681]]
['left', [11845, 11849]]
['left', [12092, 12096]]
['left', [12211, 12215]]
['left', [12273, 12277]]
['left', [12344, 12348]]
['left', [12707, 12711]]
['left', [12857, 12861]]
['left', [12988, 12992]]
['left', [13190, 13194]]
['left', [13358, 13362]]
['left', [13605, 13609]]
['left', [13841, 13845]]
['left', [14009, 14013]]
['left', [14256, 14260]]
['left', [14376, 14380]]
['left', [14438, 14442]]
['left', [14509, 14513]]
['left', [14817, 14821]]
['left', [14879, 14883]]
['left', [14950, 14954]]
['left', [15314, 15318]]
['left', [15464, 15468]]
['left', [15595, 15599]]
['left', [15737, 15741]]
['left', [15887, 15891]]
['left', [16018, 16022]]
['left', [16397, 16401]]
['left', [16508, 16512]]
['left', [16804, 16808]]
['left', [16970, 16974]]
['left', [17146, 17150]]
['left', [17983, 17987]]
['left', [18599, 18603]]
['left', [18710, 18714]]
['left', [19006, 19010]]
['left', [19172, 19176]]
['left', [19348, 19352]]
['left', [20185, 20189]]
['left', [20613, 20617]]
['left', [20693, 20697]]
['left', [20899, 20903]]
['left', [20936, 20940]]
['left', [21162, 21166]]
['left', [21236, 21240]]
['left', [21354, 21358]]
['left', [21519, 21523]]
['left', [21560, 21564]]
['left', [21719, 21723]]
['left', [21794, 21798]]
['left', [21854, 21858]]
['left', [22039, 22043]]
['left', [22119, 22123]]
['left', [22325, 22329]]
['left', [22362, 22366]]
['left', [22588, 22592]]
['left', [22662, 22666]]
['left', [22780, 22784]]
['left', [22945, 22949]]
['left', [22986, 22990]]
['left', [23145, 23149]]
['left', [23220, 23224]]
['left', [23280, 23284]]
['permanent', [31, 40]]
['permanent', [267, 276]]
['permanent', [3005, 3014]]
['permanent', [6606, 6615]]
['cerebral ischemia', [1327, 1344]]
['cerebral ischemia', [2555, 2572]]
['cerebral ischemia', [2801, 2818]]
['cerebral ischemia', [3021, 3038]]
['cerebral ischemia', [6402, 6419]]
['cerebral ischemia', [6622, 6639]]
['cerebral ischemia', [16252, 16269]]
['cerebral ischemia', [18454, 18471]]
['focal', [50, 55]]
['focal', [368, 373]]
['focal', [1321, 1326]]
['focal', [1594, 1599]]
['focal', [2549, 2554]]
['focal', [2795, 2800]]
['focal', [3015, 3020]]
['focal', [6396, 6401]]
['focal', [6616, 6621]]
['focal', [16246, 16251]]
['focal', [16322, 16327]]
['focal', [16402, 16407]]
['focal', [17988, 17993]]
['focal', [18258, 18263]]
['focal', [18448, 18453]]
