['apn', [2982, 2985]]
['apn', [3047, 3050]]
['apn', [3055, 3058]]
['apn', [3076, 3079]]
['apn', [3137, 3140]]
['apn', [3145, 3148]]
['apn', [3186, 3189]]
['apn', [3315, 3318]]
['apn', [3388, 3391]]
['apn', [3515, 3518]]
['apn', [3748, 3751]]
['apn', [4110, 4113]]
['apn', [4134, 4137]]
['apn', [4187, 4190]]
['apn', [4830, 4833]]
['apn', [5216, 5219]]
['apn', [7067, 7070]]
['apn', [7366, 7369]]
['apn', [9488, 9491]]
['apn', [9512, 9515]]
['apn', [9565, 9568]]
['apn', [10209, 10212]]
['apn', [10595, 10598]]
['apn', [12447, 12450]]
['apn', [12747, 12750]]
['apn', [14575, 14578]]
['apn', [14919, 14922]]
['apn', [15072, 15075]]
['apn', [15125, 15128]]
['apn', [15327, 15330]]
['apn', [15377, 15380]]
['apn', [15405, 15408]]
['apn', [15422, 15425]]
['apn', [15521, 15524]]
['apn', [15529, 15532]]
['apn', [15600, 15603]]
['apn', [15661, 15664]]
['apn', [15725, 15728]]
['apn', [15797, 15800]]
['apn', [15840, 15843]]
['apn', [16071, 16074]]
['apn', [16213, 16216]]
['apn', [16342, 16345]]
['apn', [16482, 16485]]
['apn', [16621, 16624]]
['apn', [17000, 17003]]
['apn', [17375, 17378]]
['apn', [17562, 17565]]
['apn', [17715, 17718]]
['apn', [17843, 17846]]
['apn', [17989, 17992]]
['apn', [18333, 18336]]
['apn', [18486, 18489]]
['apn', [18539, 18542]]
['apn', [18741, 18744]]
['apn', [18791, 18794]]
['apn', [18819, 18822]]
['apn', [18836, 18839]]
['apn', [18935, 18938]]
['apn', [18943, 18946]]
['apn', [19014, 19017]]
['apn', [19075, 19078]]
['apn', [19139, 19142]]
['apn', [19211, 19214]]
['apn', [19254, 19257]]
['apn', [19485, 19488]]
['apn', [19627, 19630]]
['apn', [19756, 19759]]
['apn', [19896, 19899]]
['apn', [20035, 20038]]
['apn', [20414, 20417]]
['apn', [20789, 20792]]
['apn', [20976, 20979]]
['apn', [21129, 21132]]
['apn', [21257, 21260]]
['apn', [21392, 21395]]
['apn', [21736, 21739]]
['apn', [21889, 21892]]
['apn', [21942, 21945]]
['apn', [22144, 22147]]
['apn', [22194, 22197]]
['apn', [22222, 22225]]
['apn', [22240, 22243]]
['apn', [22584, 22587]]
['apn', [22737, 22740]]
['apn', [22790, 22793]]
['apn', [22992, 22995]]
['apn', [23042, 23045]]
['apn', [23070, 23073]]
['apn', [23088, 23091]]
['apn', [23187, 23190]]
['apn', [23195, 23198]]
['apn', [23266, 23269]]
['apn', [23327, 23330]]
['apn', [23391, 23394]]
['apn', [23463, 23466]]
['apn', [23506, 23509]]
['apn', [23737, 23740]]
['apn', [23879, 23882]]
['apn', [24008, 24011]]
['apn', [24149, 24152]]
['apn', [24248, 24251]]
['apn', [24256, 24259]]
['apn', [24327, 24330]]
['apn', [24388, 24391]]
['apn', [24452, 24455]]
['apn', [24524, 24527]]
['apn', [24567, 24570]]
['apn', [24798, 24801]]
['apn', [24940, 24943]]
['apn', [25069, 25072]]
['apn', [25210, 25213]]
['apn', [25349, 25352]]
['apn', [25728, 25731]]
['apn', [26103, 26106]]
['apn', [26290, 26293]]
['apn', [26443, 26446]]
['apn', [26571, 26574]]
['apn', [26706, 26709]]
['apn', [26845, 26848]]
['apn', [27224, 27227]]
['apn', [27599, 27602]]
['apn', [27786, 27789]]
['apn', [27939, 27942]]
['apn', [28067, 28070]]
['apn', [28223, 28226]]
['apn', [28317, 28320]]
['apn', [28860, 28863]]
['apn', [28868, 28871]]
['apn', [28925, 28928]]
['apn', [28955, 28958]]
['apn', [29648, 29651]]
['apn', [29667, 29670]]
['apn', [29763, 29766]]
['apn', [29803, 29806]]
['apn', [29959, 29962]]
['apn', [30148, 30151]]
