['plasma', [31102, 31108]]
['plasma', [31568, 31574]]
['plasma', [33126, 33132]]
['plasma', [33521, 33527]]
['plasma', [35489, 35495]]
['plasma', [36175, 36181]]
['plasma', [36955, 36961]]
['plasma', [37010, 37016]]
['plasma', [37198, 37204]]
['plasma', [37293, 37299]]
['plasma', [37359, 37365]]
['plasma', [37754, 37760]]
['plasma', [37809, 37815]]
['plasma', [37997, 38003]]
['plasma', [38092, 38098]]
['plasma', [38158, 38164]]
['plasma', [38553, 38559]]
['plasma', [39019, 39025]]
['plasma', [39365, 39371]]
['plasma', [39831, 39837]]
['plasma', [41390, 41396]]
['plasma', [41785, 41791]]
['plasma', [43753, 43759]]
['plasma', [44439, 44445]]
['plasma', [46026, 46032]]
['plasma', [46421, 46427]]
['plasma', [48389, 48395]]
['plasma', [49075, 49081]]
['plasma', [50286, 50292]]
['plasma', [50579, 50585]]
['plasma', [50787, 50793]]
['plasma', [50978, 50984]]
['plasma', [51435, 51441]]
['plasma', [51709, 51715]]
['plasma', [52596, 52602]]
['plasma', [52652, 52658]]
['plasma', [53420, 53426]]
['plasma', [54542, 54548]]
['plasma', [54835, 54841]]
['plasma', [55043, 55049]]
['plasma', [55234, 55240]]
['plasma', [55691, 55697]]
['plasma', [55965, 55971]]
['plasma', [56852, 56858]]
['plasma', [56908, 56914]]
['plasma', [57676, 57682]]
['lipoprotein', [36, 47]]
['lipoprotein', [252, 263]]
['lipoprotein', [301, 312]]
['lipoprotein', [386, 397]]
['lipoprotein', [1474, 1485]]
['lipoprotein', [1667, 1678]]
['lipoprotein', [2081, 2092]]
['lipoprotein', [2165, 2176]]
['lipoprotein', [3346, 3357]]
['lipoprotein', [3518, 3529]]
['lipoprotein', [4652, 4663]]
['lipoprotein', [4845, 4856]]
['lipoprotein', [5875, 5886]]
['lipoprotein', [6317, 6328]]
['lipoprotein', [6539, 6550]]
['lipoprotein', [7921, 7932]]
['lipoprotein', [8106, 8117]]
['lipoprotein', [8124, 8135]]
['lipoprotein', [8273, 8284]]
['lipoprotein', [9860, 9871]]
['lipoprotein', [10302, 10313]]
['lipoprotein', [10524, 10535]]
['lipoprotein', [11908, 11919]]
['lipoprotein', [12093, 12104]]
['lipoprotein', [12111, 12122]]
['lipoprotein', [12260, 12271]]
['lipoprotein', [22186, 22197]]
['lipoprotein', [22671, 22682]]
['lipoprotein', [22914, 22925]]
['lipoprotein', [23159, 23170]]
['lipoprotein', [23287, 23298]]
['lipoprotein', [24272, 24283]]
['lipoprotein', [24547, 24558]]
['lipoprotein', [24763, 24774]]
